Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.010,Bluetooth,-74
0.011,Bluetooth,126
0.041,Bluetooth,-73
0.042,Bluetooth,-74
0.073,Bluetooth,-71
0.085,Bluetooth,-70
0.102,Bluetooth,-72
0.105,Bluetooth,-72
0.135,Bluetooth,-72
0.136,Bluetooth,126
0.164,Bluetooth,-74
0.164,Bluetooth,-74
0.198,Bluetooth,-72
0.199,Bluetooth,-70
0.232,Bluetooth,-72
0.234,Bluetooth,127
0.261,Bluetooth,-73
0.262,Bluetooth,-74
0.296,Bluetooth,-72
0.296,Bluetooth,-74
0.330,Bluetooth,-70
0.331,Bluetooth,-71
0.361,Bluetooth,-72
0.361,Bluetooth,-73
0.389,Bluetooth,-73
0.390,Bluetooth,-73
0.420,Bluetooth,-71
0.422,Bluetooth,-73
0.456,Bluetooth,-70
0.457,Bluetooth,-71
0.487,Bluetooth,-71
0.488,Bluetooth,127
0.519,Bluetooth,-73
0.521,Bluetooth,-74
0.686,Bluetooth,-71
0.687,Bluetooth,-72
0.716,Bluetooth,-72
0.718,Bluetooth,126
0.745,Bluetooth,126
0.780,Bluetooth,-72
0.781,Bluetooth,-73
0.842,Bluetooth,-70
0.843,Bluetooth,127
0.873,Bluetooth,-73
0.874,Bluetooth,-73
0.907,Bluetooth,-71
0.908,Bluetooth,-72
0.942,Bluetooth,-71
0.943,Bluetooth,-72
0.975,Bluetooth,-72
0.976,Bluetooth,-73
1.005,Bluetooth,-72
1.006,Bluetooth,-74
1.036,Bluetooth,-71
1.037,Bluetooth,-72
1.070,Bluetooth,-71
1.071,Bluetooth,127
1.130,Bluetooth,-75
1.131,Bluetooth,-74
1.161,Bluetooth,-71
1.162,Bluetooth,-73
1.197,Bluetooth,-73
1.198,Bluetooth,127
1.224,Bluetooth,-74
1.225,Bluetooth,-74
1.259,Bluetooth,-71
1.260,Bluetooth,-72
1.290,Bluetooth,-73
1.291,Bluetooth,-72
1.323,Bluetooth,-71
1.324,Bluetooth,-72
1.353,Bluetooth,-75
1.354,Bluetooth,-76
1.387,Bluetooth,-72
1.388,Bluetooth,-71
1.417,Bluetooth,-73
1.419,Bluetooth,-72
1.450,Bluetooth,-72
1.452,Bluetooth,-71
1.483,Bluetooth,-75
1.486,Bluetooth,-75
1.517,Bluetooth,-72
1.520,Bluetooth,-73
1.548,Bluetooth,-74
1.550,Bluetooth,-71
1.582,Bluetooth,-76
1.584,Bluetooth,-76
1.615,Bluetooth,-77
1.616,Bluetooth,-76
1.648,Bluetooth,-72
1.649,Bluetooth,-72
1.678,Bluetooth,-72
1.679,Bluetooth,-73
1.708,Bluetooth,-77
1.709,Bluetooth,-77
1.739,Bluetooth,-73
1.740,Bluetooth,-73
1.770,Bluetooth,-71
1.771,Bluetooth,-72
1.806,Bluetooth,-73
1.807,Bluetooth,-73
1.837,Bluetooth,-76
1.839,Bluetooth,-76
1.872,Bluetooth,-72
1.873,Bluetooth,-71
1.905,Bluetooth,-72
1.906,Bluetooth,-74
1.935,Bluetooth,-72
1.936,Bluetooth,-73
1.998,Bluetooth,-73
2.005,Bluetooth,-73
2.032,Bluetooth,-72
2.034,Bluetooth,-73
2.066,Bluetooth,-78
2.067,Bluetooth,-78
2.129,Bluetooth,-74
2.130,Bluetooth,-74
2.160,Bluetooth,-73
2.161,Bluetooth,-73
2.193,Bluetooth,-77
2.194,Bluetooth,-78
2.224,Bluetooth,-73
2.225,Bluetooth,-72
2.256,Bluetooth,-73
2.257,Bluetooth,-73
2.287,Bluetooth,-72
2.289,Bluetooth,-73
2.316,Bluetooth,-77
2.319,Bluetooth,-76
2.351,Bluetooth,-73
2.353,Bluetooth,-74
2.384,Bluetooth,-72
2.386,Bluetooth,-72
2.415,Bluetooth,-72
2.416,Bluetooth,-73
2.447,Bluetooth,-77
2.448,Bluetooth,-77
2.478,Bluetooth,-71
2.479,Bluetooth,-72
2.511,Bluetooth,-74
2.512,Bluetooth,-72
2.541,Bluetooth,-76
2.542,Bluetooth,-76
2.576,Bluetooth,-76
2.577,Bluetooth,-77
2.610,Bluetooth,-71
2.611,Bluetooth,-72
2.641,Bluetooth,-73
2.642,Bluetooth,-73
2.675,Bluetooth,-77
2.676,Bluetooth,-77
2.709,Bluetooth,-73
2.710,Bluetooth,-73
2.740,Bluetooth,-73
2.741,Bluetooth,-72
2.772,Bluetooth,-72
2.773,Bluetooth,-73
2.803,Bluetooth,-75
2.804,Bluetooth,-74
2.833,Bluetooth,-72
2.835,Bluetooth,-71
2.933,Bluetooth,-75
2.935,Bluetooth,-75
3.027,Bluetooth,-74
3.028,Bluetooth,-73
3.062,Bluetooth,-71
3.063,Bluetooth,-73
3.091,Bluetooth,-71
3.092,Bluetooth,-71
3.123,Bluetooth,-72
3.124,Bluetooth,-72
3.189,Bluetooth,-71
3.189,Bluetooth,-72
3.225,Bluetooth,-70
3.226,Bluetooth,-72
3.287,Bluetooth,-74
3.289,Bluetooth,-74
3.382,Bluetooth,-75
3.384,Bluetooth,-75
3.418,Bluetooth,-73
3.419,Bluetooth,-74
3.451,Bluetooth,-73
3.453,Bluetooth,-72
3.481,Bluetooth,-71
3.482,Bluetooth,127
3.800,Bluetooth,-71
3.803,Bluetooth,-70
3.834,Bluetooth,-70
3.836,Bluetooth,126
3.864,Bluetooth,-74
3.865,Bluetooth,-74
