Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-56
0.002,Bluetooth,-56
0.065,Bluetooth,-57
0.067,Bluetooth,-58
0.097,Bluetooth,-56
0.099,Bluetooth,-57
0.192,Bluetooth,-57
0.193,Bluetooth,-58
0.224,Bluetooth,-56
0.225,Bluetooth,-56
0.256,Bluetooth,-63
0.257,Bluetooth,-63
0.318,Bluetooth,-57
0.319,Bluetooth,-57
0.351,Bluetooth,-56
0.352,Bluetooth,-57
0.385,Bluetooth,-61
0.385,Bluetooth,-60
0.412,Bluetooth,-57
0.413,Bluetooth,-58
0.545,Bluetooth,-57
0.545,Bluetooth,-57
0.575,Bluetooth,-57
0.576,Bluetooth,-58
0.640,Bluetooth,-60
0.641,Bluetooth,-59
0.672,Bluetooth,-57
0.673,Bluetooth,-58
0.701,Bluetooth,-56
0.702,Bluetooth,-57
0.734,Bluetooth,-60
0.736,Bluetooth,-61
0.825,Bluetooth,-58
0.827,Bluetooth,-58
0.857,Bluetooth,-58
0.953,Bluetooth,-58
0.954,Bluetooth,-59
0.988,Bluetooth,-59
0.989,Bluetooth,-59
1.023,Bluetooth,-62
1.024,Bluetooth,-63
1.053,Bluetooth,-58
1.055,Bluetooth,-59
1.086,Bluetooth,-58
1.087,Bluetooth,-59
1.118,Bluetooth,-59
1.119,Bluetooth,-60
1.152,Bluetooth,-62
1.153,Bluetooth,-62
1.181,Bluetooth,-58
1.182,Bluetooth,-58
1.242,Bluetooth,-59
1.244,Bluetooth,-58
1.273,Bluetooth,-59
1.275,Bluetooth,-61
1.307,Bluetooth,-58
1.308,Bluetooth,-59
1.337,Bluetooth,-58
1.339,Bluetooth,-58
1.402,Bluetooth,-60
1.403,Bluetooth,-60
1.436,Bluetooth,-59
1.436,Bluetooth,-58
1.465,Bluetooth,-59
1.466,Bluetooth,-59
1.564,Bluetooth,-58
1.566,Bluetooth,-59
1.597,Bluetooth,-59
1.598,Bluetooth,-59
1.632,Bluetooth,-61
1.633,Bluetooth,-61
1.660,Bluetooth,-58
1.661,Bluetooth,-58
1.725,Bluetooth,-61
1.726,Bluetooth,-61
1.755,Bluetooth,-62
1.757,Bluetooth,-62
1.787,Bluetooth,-59
1.788,Bluetooth,-58
1.818,Bluetooth,-62
1.819,Bluetooth,-64
1.882,Bluetooth,-63
1.883,Bluetooth,-64
1.915,Bluetooth,-62
1.916,Bluetooth,-60
1.947,Bluetooth,-61
1.948,Bluetooth,-60
1.978,Bluetooth,-63
1.979,Bluetooth,-63
