Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.050,Bluetooth,-62
0.051,Bluetooth,-62
0.090,Bluetooth,-57
0.091,Bluetooth,-58
0.123,Bluetooth,-60
0.124,Bluetooth,-60
0.153,Bluetooth,-66
0.187,Bluetooth,-61
0.188,Bluetooth,-62
0.221,Bluetooth,-68
0.222,Bluetooth,-67
0.257,Bluetooth,-65
0.294,Bluetooth,-58
0.296,Bluetooth,-57
0.338,Bluetooth,-69
0.339,Bluetooth,-70
0.433,Bluetooth,-59
0.434,Bluetooth,-59
0.526,Bluetooth,-68
0.527,Bluetooth,-68
0.565,Bluetooth,-60
0.566,Bluetooth,-61
0.600,Bluetooth,-72
0.601,Bluetooth,-74
0.633,Bluetooth,-68
0.634,Bluetooth,-68
0.670,Bluetooth,-60
0.671,Bluetooth,-59
0.703,Bluetooth,-70
0.704,Bluetooth,-68
0.736,Bluetooth,-67
0.738,Bluetooth,-67
0.767,Bluetooth,-64
0.768,Bluetooth,-65
0.800,Bluetooth,-63
0.801,Bluetooth,-64
0.839,Bluetooth,-65
0.840,Bluetooth,-66
0.904,Bluetooth,-65
0.905,Bluetooth,-65
1.042,Bluetooth,-65
1.044,Bluetooth,-66
1.075,Bluetooth,-63
1.077,Bluetooth,-65
1.113,Bluetooth,-70
1.149,Bluetooth,-68
1.150,Bluetooth,-69
1.183,Bluetooth,-62
1.183,Bluetooth,-63
1.212,Bluetooth,-71
1.213,Bluetooth,-71
1.248,Bluetooth,-71
1.253,Bluetooth,-71
1.289,Bluetooth,-61
1.290,Bluetooth,-63
1.320,Bluetooth,-60
1.321,Bluetooth,-60
1.359,Bluetooth,-70
1.430,Bluetooth,-62
1.431,Bluetooth,-61
1.464,Bluetooth,-70
1.466,Bluetooth,-70
1.540,Bluetooth,-61
1.602,Bluetooth,-70
1.603,Bluetooth,-71
1.643,Bluetooth,-73
1.709,Bluetooth,-72
1.710,Bluetooth,-71
1.748,Bluetooth,-74
1.856,Bluetooth,-75
1.927,Bluetooth,-63
1.929,Bluetooth,-62
1.960,Bluetooth,-72
1.994,Bluetooth,-73
1.995,Bluetooth,-74
2.032,Bluetooth,-62
2.033,Bluetooth,-62
2.066,Bluetooth,-71
2.067,Bluetooth,-71
2.229,Bluetooth,-72
2.268,Bluetooth,-63
2.269,Bluetooth,-62
2.300,Bluetooth,-70
2.301,Bluetooth,-71
2.339,Bluetooth,-73
2.373,Bluetooth,-62
2.374,Bluetooth,-61
2.403,Bluetooth,-61
2.404,Bluetooth,-63
2.477,Bluetooth,-72
2.604,Bluetooth,-71
2.644,Bluetooth,-62
2.645,Bluetooth,-62
2.677,Bluetooth,-72
2.815,Bluetooth,-70
2.953,Bluetooth,-70
2.988,Bluetooth,-61
2.989,Bluetooth,-62
3.025,Bluetooth,-74
3.171,Bluetooth,-70
3.172,Bluetooth,-71
3.211,Bluetooth,-65
3.212,Bluetooth,-65
3.245,Bluetooth,-63
3.246,Bluetooth,-63
3.277,Bluetooth,-75
3.278,Bluetooth,-74
3.318,Bluetooth,-69
3.319,Bluetooth,-70
