Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-58
0.001,Bluetooth,-58
0.058,Bluetooth,-61
0.059,Bluetooth,-62
0.092,Bluetooth,-61
0.093,Bluetooth,-63
0.123,Bluetooth,-62
0.124,Bluetooth,-61
0.154,Bluetooth,-68
0.155,Bluetooth,-67
0.221,Bluetooth,-59
0.222,Bluetooth,-58
0.280,Bluetooth,-64
0.281,Bluetooth,-65
0.313,Bluetooth,-55
0.313,Bluetooth,-56
0.405,Bluetooth,-60
0.406,Bluetooth,-61
0.438,Bluetooth,-55
0.439,Bluetooth,-56
0.469,Bluetooth,-61
0.470,Bluetooth,-61
0.502,Bluetooth,-59
0.503,Bluetooth,-60
0.531,Bluetooth,-58
0.532,Bluetooth,-57
0.562,Bluetooth,-56
0.563,Bluetooth,-54
0.595,Bluetooth,-58
0.596,Bluetooth,-58
0.656,Bluetooth,-57
0.657,Bluetooth,-57
0.689,Bluetooth,-55
0.691,Bluetooth,-55
0.726,Bluetooth,-57
0.727,Bluetooth,-57
0.819,Bluetooth,-56
0.820,Bluetooth,-56
0.853,Bluetooth,-57
0.854,Bluetooth,-57
0.884,Bluetooth,-58
0.885,Bluetooth,-58
0.920,Bluetooth,-55
0.921,Bluetooth,-56
0.952,Bluetooth,-59
0.953,Bluetooth,-58
1.050,Bluetooth,-55
1.050,Bluetooth,-55
1.083,Bluetooth,-58
1.084,Bluetooth,-58
1.114,Bluetooth,-58
1.115,Bluetooth,-58
1.180,Bluetooth,-57
1.181,Bluetooth,-56
1.242,Bluetooth,-61
1.303,Bluetooth,-56
1.305,Bluetooth,-56
1.343,Bluetooth,-59
1.344,Bluetooth,-59
1.405,Bluetooth,-60
1.406,Bluetooth,-60
1.440,Bluetooth,-56
1.443,Bluetooth,-55
1.472,Bluetooth,-58
1.472,Bluetooth,-57
1.502,Bluetooth,-60
1.504,Bluetooth,-60
1.570,Bluetooth,-60
1.571,Bluetooth,-60
1.602,Bluetooth,-55
1.603,Bluetooth,-54
1.634,Bluetooth,-58
1.635,Bluetooth,-59
1.701,Bluetooth,-60
1.702,Bluetooth,-59
1.730,Bluetooth,-55
1.731,Bluetooth,-55
1.763,Bluetooth,-58
1.764,Bluetooth,-58
1.795,Bluetooth,-60
1.796,Bluetooth,-61
1.856,Bluetooth,-55
1.857,Bluetooth,-55
1.889,Bluetooth,-58
1.891,Bluetooth,-57
1.923,Bluetooth,-59
1.924,Bluetooth,-60
1.955,Bluetooth,-55
1.956,Bluetooth,-55
2.018,Bluetooth,-58
2.019,Bluetooth,-58
2.079,Bluetooth,-56
2.081,Bluetooth,-55
2.115,Bluetooth,-58
2.115,Bluetooth,-58
2.173,Bluetooth,-60
2.174,Bluetooth,-60
2.208,Bluetooth,-54
2.208,Bluetooth,-56
2.239,Bluetooth,-58
2.241,Bluetooth,-58
2.271,Bluetooth,-61
2.271,Bluetooth,-61
2.334,Bluetooth,-54
2.335,Bluetooth,-55
2.367,Bluetooth,-58
2.369,Bluetooth,-58
2.398,Bluetooth,-60
2.398,Bluetooth,-61
2.429,Bluetooth,-55
2.430,Bluetooth,-56
2.491,Bluetooth,-58
2.492,Bluetooth,-58
2.524,Bluetooth,-63
2.557,Bluetooth,-55
2.558,Bluetooth,-55
2.592,Bluetooth,-58
2.593,Bluetooth,-58
2.650,Bluetooth,-61
2.652,Bluetooth,-61
2.682,Bluetooth,-56
2.683,Bluetooth,-55
2.717,Bluetooth,-59
2.718,Bluetooth,-58
2.838,Bluetooth,-56
2.839,Bluetooth,-55
2.898,Bluetooth,-58
2.900,Bluetooth,-57
2.929,Bluetooth,-61
2.930,Bluetooth,-61
2.994,Bluetooth,-58
3.061,Bluetooth,-60
3.061,Bluetooth,-60
3.092,Bluetooth,-55
3.093,Bluetooth,-55
3.124,Bluetooth,-58
3.125,Bluetooth,-58
3.157,Bluetooth,-60
3.159,Bluetooth,-61
3.195,Bluetooth,-56
3.196,Bluetooth,-56
3.291,Bluetooth,-60
3.293,Bluetooth,-60
3.323,Bluetooth,-56
3.324,Bluetooth,-56
3.415,Bluetooth,-60
3.416,Bluetooth,-61
3.447,Bluetooth,-55
3.448,Bluetooth,-57
3.482,Bluetooth,-57
3.483,Bluetooth,-58
3.576,Bluetooth,-56
3.577,Bluetooth,-56
3.607,Bluetooth,-57
3.608,Bluetooth,-58
3.637,Bluetooth,-61
3.638,Bluetooth,-61
3.768,Bluetooth,-61
3.769,Bluetooth,-60
3.803,Bluetooth,-56
3.804,Bluetooth,-56
3.834,Bluetooth,-57
3.835,Bluetooth,-57
3.900,Bluetooth,-62
3.901,Bluetooth,-61
3.929,Bluetooth,-56
3.932,Bluetooth,-57
3.960,Bluetooth,-58
3.962,Bluetooth,-57
14.297,Bluetooth,-50
14.298,Bluetooth,-50
14.359,Bluetooth,-53
14.360,Bluetooth,-53
14.391,Bluetooth,-55
14.392,Bluetooth,-55
14.455,Bluetooth,-50
14.456,Bluetooth,-50
14.485,Bluetooth,-53
14.486,Bluetooth,-53
14.520,Bluetooth,-56
14.520,Bluetooth,-57
14.557,Bluetooth,-50
14.558,Bluetooth,-51
14.618,Bluetooth,-54
14.619,Bluetooth,-54
14.681,Bluetooth,-51
14.682,Bluetooth,-51
14.714,Bluetooth,-54
14.715,Bluetooth,-54
14.774,Bluetooth,-58
14.775,Bluetooth,-57
14.804,Bluetooth,-51
14.805,Bluetooth,-51
14.837,Bluetooth,-53
14.838,Bluetooth,-54
14.896,Bluetooth,-57
14.897,Bluetooth,-57
14.928,Bluetooth,-50
14.929,Bluetooth,-51
14.964,Bluetooth,-55
14.965,Bluetooth,-54
14.993,Bluetooth,-59
14.994,Bluetooth,-58
15.062,Bluetooth,-51
15.063,Bluetooth,-51
15.093,Bluetooth,-54
15.094,Bluetooth,-53
15.121,Bluetooth,-58
15.122,Bluetooth,-57
15.220,Bluetooth,-54
15.221,Bluetooth,-55
15.247,Bluetooth,-58
15.248,Bluetooth,-58
15.277,Bluetooth,-51
15.278,Bluetooth,-52
15.338,Bluetooth,-53
15.339,Bluetooth,-54
15.372,Bluetooth,-58
15.373,Bluetooth,-58
15.436,Bluetooth,-53
15.438,Bluetooth,-53
15.499,Bluetooth,-59
15.500,Bluetooth,-58
15.533,Bluetooth,-49
15.534,Bluetooth,-50
15.568,Bluetooth,-52
15.568,Bluetooth,-53
15.598,Bluetooth,-58
15.598,Bluetooth,-58
15.658,Bluetooth,-52
15.659,Bluetooth,-50
15.688,Bluetooth,-52
15.690,Bluetooth,-52
15.721,Bluetooth,-57
15.722,Bluetooth,-56
15.781,Bluetooth,-50
15.782,Bluetooth,-51
15.812,Bluetooth,-52
15.813,Bluetooth,-53
15.871,Bluetooth,-51
15.873,Bluetooth,-50
15.935,Bluetooth,-52
15.937,Bluetooth,-52
15.965,Bluetooth,-57
15.966,Bluetooth,-56
16.001,Bluetooth,-52
16.002,Bluetooth,-53
16.033,Bluetooth,-52
16.034,Bluetooth,-52
16.062,Bluetooth,-52
16.063,Bluetooth,-52
16.092,Bluetooth,-57
16.093,Bluetooth,-57
16.122,Bluetooth,-52
16.123,Bluetooth,-51
16.156,Bluetooth,-51
16.158,Bluetooth,-51
16.219,Bluetooth,-57
16.220,Bluetooth,-57
16.316,Bluetooth,-57
16.317,Bluetooth,-57
16.377,Bluetooth,-52
16.378,Bluetooth,-52
16.413,Bluetooth,-52
16.414,Bluetooth,-52
16.443,Bluetooth,-57
16.444,Bluetooth,-57
16.474,Bluetooth,-51
16.475,Bluetooth,-52
16.505,Bluetooth,-52
16.506,Bluetooth,-53
16.538,Bluetooth,-52
16.538,Bluetooth,-52
16.571,Bluetooth,-57
16.572,Bluetooth,-57
16.604,Bluetooth,-52
16.605,Bluetooth,-52
16.635,Bluetooth,-51
16.636,Bluetooth,-51
16.695,Bluetooth,-57
16.696,Bluetooth,-56
16.726,Bluetooth,-52
16.727,Bluetooth,-52
16.757,Bluetooth,-51
16.758,Bluetooth,-52
16.822,Bluetooth,-56
16.823,Bluetooth,-56
16.854,Bluetooth,-53
16.855,Bluetooth,-53
16.886,Bluetooth,-51
16.916,Bluetooth,-55
16.918,Bluetooth,-56
16.979,Bluetooth,-53
16.981,Bluetooth,-53
17.015,Bluetooth,-51
17.016,Bluetooth,-51
17.046,Bluetooth,-56
17.048,Bluetooth,-56
17.079,Bluetooth,-53
17.080,Bluetooth,-53
17.142,Bluetooth,-51
17.143,Bluetooth,-50
17.172,Bluetooth,-55
17.173,Bluetooth,-56
17.204,Bluetooth,-53
17.205,Bluetooth,-52
17.233,Bluetooth,-51
17.234,Bluetooth,-51
17.295,Bluetooth,-56
17.296,Bluetooth,-56
17.330,Bluetooth,-52
17.331,Bluetooth,-52
17.365,Bluetooth,-50
17.367,Bluetooth,-51
17.396,Bluetooth,-56
17.398,Bluetooth,-57
17.431,Bluetooth,-51
17.432,Bluetooth,-52
17.464,Bluetooth,-52
17.465,Bluetooth,-52
17.498,Bluetooth,-51
17.499,Bluetooth,-50
17.529,Bluetooth,-56
17.530,Bluetooth,-56
17.565,Bluetooth,-52
17.566,Bluetooth,-52
17.601,Bluetooth,-52
17.602,Bluetooth,-52
17.660,Bluetooth,-55
17.661,Bluetooth,-55
17.694,Bluetooth,-51
17.695,Bluetooth,-51
17.723,Bluetooth,-51
17.725,Bluetooth,-51
17.822,Bluetooth,-52
17.823,Bluetooth,-52
17.852,Bluetooth,-50
17.854,Bluetooth,-50
17.885,Bluetooth,-55
17.886,Bluetooth,-55
17.922,Bluetooth,-52
17.922,Bluetooth,-52
18.051,Bluetooth,-52
18.052,Bluetooth,-53
18.087,Bluetooth,-51
18.088,Bluetooth,-50
18.115,Bluetooth,-55
18.116,Bluetooth,-55
29.181,Bluetooth,-51
29.182,Bluetooth,-51
29.216,Bluetooth,-53
29.217,Bluetooth,-53
29.252,Bluetooth,-53
29.253,Bluetooth,-52
29.281,Bluetooth,-52
29.282,Bluetooth,-52
29.312,Bluetooth,-53
29.313,Bluetooth,-53
29.378,Bluetooth,-54
29.379,Bluetooth,-53
29.408,Bluetooth,-53
29.409,Bluetooth,-52
29.439,Bluetooth,-53
29.440,Bluetooth,-53
29.475,Bluetooth,-53
29.537,Bluetooth,-52
29.538,Bluetooth,-52
29.571,Bluetooth,-52
29.572,Bluetooth,-53
29.600,Bluetooth,-53
29.601,Bluetooth,-53
29.632,Bluetooth,-52
29.633,Bluetooth,-52
29.723,Bluetooth,-53
29.724,Bluetooth,-53
29.755,Bluetooth,-51
29.756,Bluetooth,-52
29.823,Bluetooth,-53
29.824,Bluetooth,-54
29.854,Bluetooth,-54
29.855,Bluetooth,-52
29.884,Bluetooth,-51
29.885,Bluetooth,-52
29.917,Bluetooth,-52
29.918,Bluetooth,-54
29.977,Bluetooth,-51
29.978,Bluetooth,-51
30.005,Bluetooth,-52
30.006,Bluetooth,-52
30.036,Bluetooth,-53
30.037,Bluetooth,-54
30.103,Bluetooth,-52
30.104,Bluetooth,-53
30.130,Bluetooth,-52
30.131,Bluetooth,-52
30.162,Bluetooth,-52
30.163,Bluetooth,-53
30.194,Bluetooth,-53
30.195,Bluetooth,-54
30.352,Bluetooth,-52
30.353,Bluetooth,-52
30.416,Bluetooth,-53
30.417,Bluetooth,-52
30.448,Bluetooth,-54
30.449,Bluetooth,-53
30.479,Bluetooth,-52
30.479,Bluetooth,-52
30.540,Bluetooth,-53
30.541,Bluetooth,-53
30.570,Bluetooth,-55
30.571,Bluetooth,-55
30.599,Bluetooth,-52
30.632,Bluetooth,-53
30.633,Bluetooth,-53
30.660,Bluetooth,-53
30.661,Bluetooth,-53
30.692,Bluetooth,-54
30.693,Bluetooth,-53
30.723,Bluetooth,-52
30.723,Bluetooth,-52
30.750,Bluetooth,-53
30.751,Bluetooth,-53
30.781,Bluetooth,-52
30.782,Bluetooth,-53
30.811,Bluetooth,-55
30.812,Bluetooth,-53
30.840,Bluetooth,-51
30.841,Bluetooth,-51
30.871,Bluetooth,-53
30.872,Bluetooth,-51
30.902,Bluetooth,-51
30.903,Bluetooth,-52
30.965,Bluetooth,-51
30.994,Bluetooth,-51
30.997,Bluetooth,-51
31.089,Bluetooth,-51
31.090,Bluetooth,-51
31.125,Bluetooth,-51
31.126,Bluetooth,-51
31.157,Bluetooth,-51
31.158,Bluetooth,-51
31.188,Bluetooth,-55
31.189,Bluetooth,-54
31.249,Bluetooth,-52
31.250,Bluetooth,-52
31.409,Bluetooth,-51
31.410,Bluetooth,-52
31.444,Bluetooth,-54
31.473,Bluetooth,-51
31.474,Bluetooth,-50
31.566,Bluetooth,-56
31.567,Bluetooth,-56
31.596,Bluetooth,-52
31.598,Bluetooth,-53
31.630,Bluetooth,-52
31.630,Bluetooth,-52
31.689,Bluetooth,-54
31.690,Bluetooth,-55
31.719,Bluetooth,-52
31.723,Bluetooth,-52
31.781,Bluetooth,-55
31.782,Bluetooth,-55
31.842,Bluetooth,-52
31.843,Bluetooth,-52
31.874,Bluetooth,-53
31.876,Bluetooth,-52
31.911,Bluetooth,-54
31.912,Bluetooth,-54
32.004,Bluetooth,-52
32.005,Bluetooth,-52
32.037,Bluetooth,-54
32.039,Bluetooth,-54
32.070,Bluetooth,-52
32.071,Bluetooth,-52
32.106,Bluetooth,-54
32.107,Bluetooth,-53
32.139,Bluetooth,-54
32.140,Bluetooth,-54
32.201,Bluetooth,-52
32.201,Bluetooth,-51
32.231,Bluetooth,-54
32.233,Bluetooth,-53
32.299,Bluetooth,-53
32.299,Bluetooth,-52
32.334,Bluetooth,-55
32.335,Bluetooth,-55
32.366,Bluetooth,-53
32.367,Bluetooth,-52
32.398,Bluetooth,-52
32.399,Bluetooth,-53
32.429,Bluetooth,-55
32.429,Bluetooth,-55
32.490,Bluetooth,-52
32.491,Bluetooth,-51
32.552,Bluetooth,-55
32.618,Bluetooth,-52
32.619,Bluetooth,-52
32.648,Bluetooth,-53
32.649,Bluetooth,-53
32.683,Bluetooth,-54
32.684,Bluetooth,-55
32.717,Bluetooth,-52
32.717,Bluetooth,-52
32.750,Bluetooth,-53
32.751,Bluetooth,-52
32.779,Bluetooth,-53
32.780,Bluetooth,-53
32.815,Bluetooth,-55
32.816,Bluetooth,-55
32.846,Bluetooth,-54
32.847,Bluetooth,-52
32.912,Bluetooth,-54
