Distance,15.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-77
0.001,Bluetooth,-76
0.033,Bluetooth,-74
0.034,Bluetooth,-73
0.066,Bluetooth,-75
0.067,Bluetooth,-75
0.099,Bluetooth,-77
0.100,Bluetooth,-76
0.130,Bluetooth,-74
0.131,Bluetooth,-73
0.159,Bluetooth,127
0.190,Bluetooth,-76
0.191,Bluetooth,-77
0.225,Bluetooth,-76
0.226,Bluetooth,-76
0.262,Bluetooth,-73
0.263,Bluetooth,-74
0.290,Bluetooth,127
0.320,Bluetooth,-75
0.320,Bluetooth,-75
0.350,Bluetooth,128
0.382,Bluetooth,-72
0.383,Bluetooth,-73
0.412,Bluetooth,128
0.472,Bluetooth,127
0.535,Bluetooth,-75
0.536,Bluetooth,-74
0.598,Bluetooth,-76
0.599,Bluetooth,-76
0.631,Bluetooth,128
0.665,Bluetooth,126
0.697,Bluetooth,-76
0.698,Bluetooth,-75
0.727,Bluetooth,127
0.758,Bluetooth,127
0.789,Bluetooth,127
0.817,Bluetooth,-77
0.818,Bluetooth,-77
0.852,Bluetooth,-73
0.853,Bluetooth,-75
0.886,Bluetooth,-76
0.887,Bluetooth,-77
0.918,Bluetooth,-76
0.920,Bluetooth,-76
0.949,Bluetooth,-77
0.950,Bluetooth,-75
0.983,Bluetooth,-73
0.986,Bluetooth,-75
1.016,Bluetooth,-77
1.018,Bluetooth,-76
1.046,Bluetooth,-76
1.048,Bluetooth,-77
1.080,Bluetooth,-77
1.081,Bluetooth,-78
1.112,Bluetooth,-75
1.113,Bluetooth,-75
1.146,Bluetooth,-76
1.147,Bluetooth,-76
1.180,Bluetooth,-76
1.181,Bluetooth,-77
1.210,Bluetooth,-76
1.211,Bluetooth,-75
1.277,Bluetooth,-77
1.279,Bluetooth,-76
1.309,Bluetooth,-77
1.311,Bluetooth,-77
1.379,Bluetooth,-76
1.379,Bluetooth,-76
1.409,Bluetooth,-77
1.409,Bluetooth,-77
1.473,Bluetooth,-75
1.474,Bluetooth,-76
1.505,Bluetooth,-76
1.505,Bluetooth,-76
1.539,Bluetooth,-76
1.539,Bluetooth,-77
1.571,Bluetooth,-75
1.572,Bluetooth,-75
1.604,Bluetooth,-76
1.604,Bluetooth,-76
1.637,Bluetooth,-76
1.638,Bluetooth,-76
1.670,Bluetooth,-76
1.670,Bluetooth,-76
1.703,Bluetooth,-74
1.704,Bluetooth,-74
1.736,Bluetooth,-76
1.736,Bluetooth,-75
1.766,Bluetooth,-75
1.767,Bluetooth,-76
1.797,Bluetooth,-75
1.798,Bluetooth,-76
1.831,Bluetooth,-75
1.831,Bluetooth,-75
1.861,Bluetooth,-75
1.862,Bluetooth,-76
1.894,Bluetooth,-75
1.894,Bluetooth,-75
1.926,Bluetooth,-74
1.927,Bluetooth,-73
1.955,Bluetooth,-75
1.955,Bluetooth,-73
1.988,Bluetooth,-75
1.988,Bluetooth,-75
2.020,Bluetooth,-75
2.021,Bluetooth,-77
2.052,Bluetooth,-74
2.053,Bluetooth,-73
2.085,Bluetooth,-76
2.086,Bluetooth,-75
2.115,Bluetooth,-75
2.116,Bluetooth,-76
