Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-60
0.000,Bluetooth,-60
0.040,Bluetooth,-53
0.041,Bluetooth,-53
0.074,Bluetooth,-59
0.075,Bluetooth,-58
0.105,Bluetooth,-60
0.105,Bluetooth,-60
0.138,Bluetooth,-54
0.139,Bluetooth,-53
0.243,Bluetooth,-60
0.280,Bluetooth,-59
0.281,Bluetooth,-59
0.319,Bluetooth,-53
0.320,Bluetooth,-54
0.639,Bluetooth,-54
0.639,Bluetooth,-54
0.675,Bluetooth,-57
0.676,Bluetooth,-57
0.709,Bluetooth,-59
0.709,Bluetooth,-59
0.747,Bluetooth,-55
0.748,Bluetooth,-53
0.787,Bluetooth,-57
0.788,Bluetooth,-57
0.824,Bluetooth,-58
0.825,Bluetooth,-59
0.859,Bluetooth,-57
0.929,Bluetooth,-57
0.930,Bluetooth,-56
0.964,Bluetooth,-57
0.965,Bluetooth,-57
0.995,Bluetooth,-59
0.996,Bluetooth,-60
1.101,Bluetooth,-55
1.102,Bluetooth,-56
1.138,Bluetooth,-57
1.139,Bluetooth,-56
1.169,Bluetooth,-59
1.242,Bluetooth,-59
1.243,Bluetooth,-59
1.278,Bluetooth,-54
1.279,Bluetooth,-54
1.309,Bluetooth,-58
1.310,Bluetooth,-57
1.345,Bluetooth,-61
1.346,Bluetooth,-60
1.377,Bluetooth,-54
1.378,Bluetooth,-54
1.450,Bluetooth,-55
1.485,Bluetooth,-55
1.485,Bluetooth,-56
1.521,Bluetooth,-60
1.522,Bluetooth,-60
1.647,Bluetooth,-58
1.648,Bluetooth,-59
1.680,Bluetooth,-54
1.681,Bluetooth,-56
1.719,Bluetooth,-57
1.720,Bluetooth,-57
1.753,Bluetooth,-57
1.788,Bluetooth,-57
1.789,Bluetooth,-58
1.827,Bluetooth,-58
1.828,Bluetooth,-59
1.857,Bluetooth,-57
1.858,Bluetooth,-57
1.923,Bluetooth,-60
1.924,Bluetooth,-61
1.962,Bluetooth,-59
1.963,Bluetooth,-60
1.999,Bluetooth,-62
2.000,Bluetooth,-63
2.035,Bluetooth,-58
2.036,Bluetooth,-58
2.071,Bluetooth,-61
2.184,Bluetooth,-58
2.184,Bluetooth,-58
2.224,Bluetooth,-63
2.225,Bluetooth,-64
2.299,Bluetooth,-62
2.300,Bluetooth,-61
2.365,Bluetooth,-64
2.429,Bluetooth,-60
2.430,Bluetooth,-60
2.596,Bluetooth,-57
2.597,Bluetooth,-58
2.695,Bluetooth,-56
2.696,Bluetooth,-58
2.733,Bluetooth,-59
2.734,Bluetooth,-60
2.769,Bluetooth,-61
2.770,Bluetooth,-62
2.802,Bluetooth,-58
2.803,Bluetooth,-58
2.844,Bluetooth,-63
2.845,Bluetooth,-63
2.983,Bluetooth,-60
2.984,Bluetooth,-59
3.027,Bluetooth,-57
3.028,Bluetooth,-59
3.057,Bluetooth,-67
3.058,Bluetooth,-67
3.122,Bluetooth,-64
3.122,Bluetooth,-65
3.158,Bluetooth,-59
3.159,Bluetooth,-58
3.198,Bluetooth,-61
3.199,Bluetooth,-61
3.233,Bluetooth,-63
3.234,Bluetooth,-62
3.267,Bluetooth,-59
3.344,Bluetooth,-61
3.346,Bluetooth,-60
3.378,Bluetooth,-61
3.379,Bluetooth,-60
3.406,Bluetooth,-61
3.407,Bluetooth,-61
3.447,Bluetooth,-58
3.448,Bluetooth,-58
3.516,Bluetooth,-61
3.517,Bluetooth,-61
3.558,Bluetooth,-60
3.595,Bluetooth,-62
3.596,Bluetooth,-62
3.664,Bluetooth,-55
3.665,Bluetooth,-54
3.704,Bluetooth,-59
3.704,Bluetooth,-60
3.734,Bluetooth,-58
3.735,Bluetooth,-58
3.765,Bluetooth,-52
3.766,Bluetooth,-53
3.871,Bluetooth,-61
3.905,Bluetooth,-58
3.906,Bluetooth,-60
3.946,Bluetooth,-58
3.947,Bluetooth,-59
142.560,Bluetooth,-59
142.561,Bluetooth,-59
142.672,Bluetooth,-86
142.673,Bluetooth,-88
142.705,Bluetooth,-60
142.707,Bluetooth,-62
142.736,Bluetooth,-62
142.769,Bluetooth,-66
142.844,Bluetooth,-67
142.844,Bluetooth,-66
142.919,Bluetooth,-60
142.920,Bluetooth,-61
142.991,Bluetooth,-66
142.992,Bluetooth,-66
143.067,Bluetooth,-60
143.104,Bluetooth,-61
143.105,Bluetooth,-61
143.132,Bluetooth,-76
143.133,Bluetooth,-76
143.169,Bluetooth,-75
143.170,Bluetooth,-75
143.272,Bluetooth,-62
143.273,Bluetooth,-62
143.345,Bluetooth,-65
143.407,Bluetooth,-64
143.408,Bluetooth,-64
143.623,Bluetooth,-62
143.624,Bluetooth,-63
143.661,Bluetooth,-64
143.692,Bluetooth,-69
143.693,Bluetooth,-68
143.733,Bluetooth,-58
143.734,Bluetooth,-58
143.761,Bluetooth,-63
143.762,Bluetooth,-63
143.799,Bluetooth,-64
143.800,Bluetooth,-64
143.906,Bluetooth,-61
143.906,Bluetooth,-61
143.949,Bluetooth,-66
143.987,Bluetooth,-61
143.988,Bluetooth,-60
144.057,Bluetooth,-68
144.058,Bluetooth,-68
144.158,Bluetooth,-76
144.160,Bluetooth,-77
144.191,Bluetooth,-68
144.192,Bluetooth,-68
144.226,Bluetooth,-67
144.227,Bluetooth,-66
144.257,Bluetooth,-72
144.293,Bluetooth,-69
144.294,Bluetooth,-69
144.331,Bluetooth,-64
144.333,Bluetooth,-64
144.368,Bluetooth,-68
144.462,Bluetooth,-65
144.463,Bluetooth,-65
144.500,Bluetooth,-62
144.501,Bluetooth,-63
144.573,Bluetooth,-67
144.700,Bluetooth,-66
144.700,Bluetooth,-66
144.804,Bluetooth,-60
144.805,Bluetooth,-60
144.834,Bluetooth,-65
144.904,Bluetooth,-66
144.905,Bluetooth,-66
144.934,Bluetooth,-66
144.935,Bluetooth,-66
144.967,Bluetooth,-61
144.968,Bluetooth,-61
145.006,Bluetooth,-64
145.007,Bluetooth,-65
145.087,Bluetooth,-62
145.088,Bluetooth,-62
145.157,Bluetooth,-64
145.196,Bluetooth,-63
145.197,Bluetooth,-63
145.230,Bluetooth,-65
145.321,Bluetooth,-63
145.356,Bluetooth,-65
145.358,Bluetooth,-65
145.387,Bluetooth,-61
145.389,Bluetooth,-61
145.464,Bluetooth,-65
145.533,Bluetooth,-66
145.534,Bluetooth,-66
145.611,Bluetooth,-64
145.612,Bluetooth,-64
145.690,Bluetooth,-61
145.691,Bluetooth,-61
145.727,Bluetooth,-60
145.728,Bluetooth,-61
145.766,Bluetooth,-60
145.800,Bluetooth,-63
145.801,Bluetooth,-61
145.836,Bluetooth,-61
145.836,Bluetooth,-62
145.909,Bluetooth,-61
145.910,Bluetooth,-60
145.945,Bluetooth,-61
