Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-60
0.102,Bluetooth,-60
0.103,Bluetooth,-60
0.175,Bluetooth,-58
0.177,Bluetooth,-58
0.208,Bluetooth,-56
0.209,Bluetooth,-56
0.245,Bluetooth,-59
0.246,Bluetooth,-58
0.282,Bluetooth,-58
0.346,Bluetooth,-59
0.347,Bluetooth,-59
0.530,Bluetooth,-62
0.531,Bluetooth,-63
0.598,Bluetooth,-61
0.599,Bluetooth,-61
0.631,Bluetooth,-63
0.633,Bluetooth,-63
0.704,Bluetooth,-62
0.705,Bluetooth,-62
0.741,Bluetooth,-62
0.742,Bluetooth,-64
0.846,Bluetooth,-63
0.847,Bluetooth,-63
0.916,Bluetooth,-57
0.917,Bluetooth,-57
1.027,Bluetooth,-56
1.028,Bluetooth,-56
1.056,Bluetooth,-56
1.057,Bluetooth,-56
1.130,Bluetooth,-60
1.131,Bluetooth,-61
1.170,Bluetooth,-54
1.171,Bluetooth,-55
1.209,Bluetooth,-63
1.210,Bluetooth,-62
1.243,Bluetooth,-60
1.244,Bluetooth,-61
1.353,Bluetooth,-62
1.354,Bluetooth,-60
1.424,Bluetooth,-61
1.425,Bluetooth,-62
1.461,Bluetooth,-60
1.462,Bluetooth,-61
1.537,Bluetooth,-56
1.538,Bluetooth,-56
1.569,Bluetooth,-60
1.570,Bluetooth,-59
1.635,Bluetooth,-54
1.636,Bluetooth,-55
1.670,Bluetooth,-58
1.671,Bluetooth,-58
1.735,Bluetooth,-61
1.736,Bluetooth,-61
1.773,Bluetooth,-56
1.774,Bluetooth,-55
1.802,Bluetooth,-57
1.803,Bluetooth,-57
1.842,Bluetooth,-60
1.843,Bluetooth,-61
1.873,Bluetooth,-55
1.874,Bluetooth,-55
1.902,Bluetooth,-57
1.903,Bluetooth,-57
1.933,Bluetooth,-58
1.934,Bluetooth,-58
1.972,Bluetooth,-62
1.973,Bluetooth,-61
2.010,Bluetooth,-56
2.011,Bluetooth,-55
2.047,Bluetooth,-57
2.048,Bluetooth,-58
2.079,Bluetooth,-61
2.080,Bluetooth,-61
2.142,Bluetooth,-58
2.144,Bluetooth,-57
2.216,Bluetooth,-60
2.217,Bluetooth,-60
2.287,Bluetooth,-58
2.288,Bluetooth,-58
2.324,Bluetooth,-61
2.325,Bluetooth,-61
2.393,Bluetooth,-58
2.426,Bluetooth,-63
2.428,Bluetooth,-62
2.460,Bluetooth,-57
2.461,Bluetooth,-58
2.492,Bluetooth,-56
2.493,Bluetooth,-57
2.521,Bluetooth,-60
2.522,Bluetooth,-60
2.557,Bluetooth,-60
2.558,Bluetooth,-61
2.589,Bluetooth,-56
2.590,Bluetooth,-57
2.623,Bluetooth,-61
2.660,Bluetooth,-61
2.661,Bluetooth,-61
2.686,Bluetooth,-61
2.687,Bluetooth,-60
2.726,Bluetooth,-56
2.727,Bluetooth,-55
2.765,Bluetooth,-60
2.766,Bluetooth,-61
2.803,Bluetooth,-60
