Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.073,Bluetooth,-70
0.074,Bluetooth,-68
0.096,Bluetooth,-61
0.097,Bluetooth,-61
0.116,Bluetooth,-61
0.117,Bluetooth,-62
0.238,Bluetooth,-61
0.239,Bluetooth,-61
0.262,Bluetooth,-66
0.263,Bluetooth,-66
0.404,Bluetooth,-66
0.405,Bluetooth,-66
0.427,Bluetooth,-69
0.429,Bluetooth,-70
0.555,Bluetooth,-70
0.557,Bluetooth,-70
0.644,Bluetooth,-67
0.646,Bluetooth,-67
0.669,Bluetooth,-66
0.671,Bluetooth,-67
0.787,Bluetooth,-64
0.789,Bluetooth,-64
0.874,Bluetooth,-65
0.876,Bluetooth,-64
0.899,Bluetooth,-65
0.900,Bluetooth,-65
1.060,Bluetooth,-68
1.061,Bluetooth,-69
1.083,Bluetooth,-69
1.085,Bluetooth,-69
1.150,Bluetooth,-69
1.152,Bluetooth,-69
1.276,Bluetooth,-69
1.278,Bluetooth,-69
1.382,Bluetooth,-70
1.384,Bluetooth,-69
1.407,Bluetooth,-69
1.409,Bluetooth,-69
1.426,Bluetooth,-67
1.522,Bluetooth,-68
1.523,Bluetooth,-69
1.542,Bluetooth,-67
1.543,Bluetooth,-67
1.761,Bluetooth,-68
1.763,Bluetooth,-67
1.782,Bluetooth,-65
1.784,Bluetooth,-66
1.876,Bluetooth,-68
1.878,Bluetooth,-68
1.898,Bluetooth,-67
1.900,Bluetooth,-67
1.919,Bluetooth,-66
1.921,Bluetooth,-66
2.073,Bluetooth,-65
2.075,Bluetooth,-65
2.098,Bluetooth,-67
2.099,Bluetooth,-68
2.145,Bluetooth,-64
2.146,Bluetooth,-66
2.239,Bluetooth,-67
2.241,Bluetooth,-66
2.417,Bluetooth,-67
2.418,Bluetooth,-66
2.595,Bluetooth,-68
2.597,Bluetooth,-67
2.617,Bluetooth,-64
2.619,Bluetooth,-63
2.764,Bluetooth,-65
2.765,Bluetooth,-64
2.788,Bluetooth,-64
2.791,Bluetooth,-65
2.875,Bluetooth,-66
2.876,Bluetooth,-65
2.899,Bluetooth,-64
2.901,Bluetooth,-65
2.919,Bluetooth,-65
2.921,Bluetooth,-67
3.112,Bluetooth,-65
3.114,Bluetooth,-64
3.238,Bluetooth,-66
3.240,Bluetooth,-65
3.262,Bluetooth,-65
3.263,Bluetooth,-66
3.428,Bluetooth,-70
3.429,Bluetooth,-70
3.517,Bluetooth,-65
3.518,Bluetooth,-65
3.716,Bluetooth,-64
3.717,Bluetooth,-65
3.876,Bluetooth,-65
3.877,Bluetooth,-65
3.900,Bluetooth,-70
3.901,Bluetooth,-71
62.074,Bluetooth,-70
62.075,Bluetooth,-71
62.096,Bluetooth,-64
62.098,Bluetooth,-64
62.146,Bluetooth,-67
62.147,Bluetooth,-68
62.166,Bluetooth,-68
62.168,Bluetooth,-68
62.312,Bluetooth,-71
62.313,Bluetooth,-73
62.463,Bluetooth,-64
62.464,Bluetooth,-65
62.594,Bluetooth,-64
62.595,Bluetooth,-64
62.618,Bluetooth,-70
62.788,Bluetooth,-71
62.790,Bluetooth,-70
62.821,Bluetooth,-64
62.822,Bluetooth,-64
62.938,Bluetooth,-64
62.939,Bluetooth,-65
62.962,Bluetooth,-64
62.962,Bluetooth,-64
63.109,Bluetooth,-67
63.110,Bluetooth,-68
63.250,Bluetooth,-71
63.274,Bluetooth,-71
63.275,Bluetooth,-72
63.392,Bluetooth,-83
63.393,Bluetooth,-84
63.433,Bluetooth,-67
63.433,Bluetooth,-69
63.567,Bluetooth,-80
63.568,Bluetooth,-80
63.591,Bluetooth,-81
63.592,Bluetooth,-83
63.789,Bluetooth,-67
63.790,Bluetooth,-66
63.878,Bluetooth,-78
63.879,Bluetooth,-79
63.939,Bluetooth,-74
63.941,Bluetooth,-74
63.960,Bluetooth,-74
63.961,Bluetooth,-74
