Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-56
0.001,Bluetooth,-55
0.039,Bluetooth,-61
0.040,Bluetooth,-59
0.079,Bluetooth,-60
0.080,Bluetooth,-60
0.116,Bluetooth,-66
0.117,Bluetooth,-66
0.148,Bluetooth,-65
0.149,Bluetooth,-65
0.261,Bluetooth,-65
0.263,Bluetooth,-66
0.333,Bluetooth,-58
0.334,Bluetooth,-58
0.370,Bluetooth,-64
0.371,Bluetooth,-64
0.407,Bluetooth,-55
0.408,Bluetooth,-56
0.438,Bluetooth,-55
0.440,Bluetooth,-55
0.515,Bluetooth,-62
0.516,Bluetooth,-64
0.557,Bluetooth,-55
0.558,Bluetooth,-54
0.593,Bluetooth,-59
0.594,Bluetooth,-58
0.629,Bluetooth,-64
0.630,Bluetooth,-63
0.668,Bluetooth,-55
0.669,Bluetooth,-55
0.700,Bluetooth,-60
0.701,Bluetooth,-59
0.736,Bluetooth,-64
0.737,Bluetooth,-63
0.771,Bluetooth,-55
0.772,Bluetooth,-54
0.802,Bluetooth,-54
0.803,Bluetooth,-54
0.835,Bluetooth,-58
0.836,Bluetooth,-58
0.866,Bluetooth,-64
0.867,Bluetooth,-63
0.899,Bluetooth,-54
0.900,Bluetooth,-53
0.936,Bluetooth,-57
0.938,Bluetooth,-58
0.999,Bluetooth,-65
1.000,Bluetooth,-65
1.031,Bluetooth,-54
1.032,Bluetooth,-53
1.063,Bluetooth,-57
1.064,Bluetooth,-58
1.102,Bluetooth,-64
1.103,Bluetooth,-63
1.176,Bluetooth,-59
1.177,Bluetooth,-59
1.237,Bluetooth,-63
1.238,Bluetooth,-63
1.278,Bluetooth,-54
1.279,Bluetooth,-54
1.314,Bluetooth,-57
1.315,Bluetooth,-59
1.351,Bluetooth,-62
1.352,Bluetooth,-62
1.382,Bluetooth,-54
1.383,Bluetooth,-53
1.417,Bluetooth,-57
1.418,Bluetooth,-58
1.446,Bluetooth,-62
1.447,Bluetooth,-63
1.480,Bluetooth,-60
1.481,Bluetooth,-64
1.517,Bluetooth,-55
1.518,Bluetooth,-55
1.551,Bluetooth,-58
1.552,Bluetooth,-59
1.585,Bluetooth,-61
1.586,Bluetooth,-62
1.697,Bluetooth,-61
