Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-62
0.001,Bluetooth,-61
0.032,Bluetooth,-64
0.033,Bluetooth,-64
0.065,Bluetooth,-75
0.136,Bluetooth,-64
0.137,Bluetooth,-64
0.169,Bluetooth,-72
0.205,Bluetooth,-60
0.206,Bluetooth,-60
0.268,Bluetooth,-65
0.269,Bluetooth,-64
0.342,Bluetooth,-60
0.343,Bluetooth,-60
0.477,Bluetooth,-61
0.479,Bluetooth,-61
0.510,Bluetooth,-64
0.511,Bluetooth,-64
0.543,Bluetooth,-71
0.543,Bluetooth,-71
0.575,Bluetooth,-60
0.577,Bluetooth,-61
0.615,Bluetooth,-66
0.615,Bluetooth,-65
0.638,Bluetooth,-66
0.639,Bluetooth,-65
0.675,Bluetooth,-69
0.710,Bluetooth,-60
0.711,Bluetooth,-60
0.746,Bluetooth,-65
0.747,Bluetooth,-65
0.786,Bluetooth,-70
0.787,Bluetooth,-68
0.822,Bluetooth,-60
0.823,Bluetooth,-60
0.856,Bluetooth,-65
0.858,Bluetooth,-65
0.886,Bluetooth,-69
0.887,Bluetooth,-70
0.918,Bluetooth,-70
0.918,Bluetooth,-70
0.949,Bluetooth,-59
0.950,Bluetooth,-60
0.983,Bluetooth,-64
0.984,Bluetooth,-64
1.014,Bluetooth,-69
1.015,Bluetooth,-69
1.049,Bluetooth,-60
1.050,Bluetooth,-60
1.079,Bluetooth,-60
1.081,Bluetooth,-60
1.268,Bluetooth,-69
1.269,Bluetooth,-68
1.302,Bluetooth,-61
1.303,Bluetooth,-62
1.372,Bluetooth,-68
1.373,Bluetooth,-68
1.545,Bluetooth,-61
1.546,Bluetooth,-61
1.586,Bluetooth,-66
1.587,Bluetooth,-66
1.622,Bluetooth,-66
1.623,Bluetooth,-67
1.657,Bluetooth,-60
1.658,Bluetooth,-59
1.692,Bluetooth,-65
1.693,Bluetooth,-66
1.723,Bluetooth,-66
1.724,Bluetooth,-66
1.794,Bluetooth,-61
1.795,Bluetooth,-61
1.906,Bluetooth,-61
1.907,Bluetooth,-63
1.945,Bluetooth,-79
1.946,Bluetooth,-80
1.978,Bluetooth,-65
1.979,Bluetooth,-65
2.047,Bluetooth,-77
2.077,Bluetooth,-80
2.182,Bluetooth,-77
2.183,Bluetooth,-76
2.216,Bluetooth,-62
2.218,Bluetooth,-62
2.245,Bluetooth,-60
2.246,Bluetooth,-60
