Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.028,Bluetooth,-63
0.029,Bluetooth,-63
0.138,Bluetooth,-65
0.139,Bluetooth,-64
0.172,Bluetooth,-68
0.239,Bluetooth,-65
0.241,Bluetooth,-64
0.278,Bluetooth,-68
0.383,Bluetooth,-64
0.384,Bluetooth,-65
0.422,Bluetooth,-69
0.423,Bluetooth,-69
0.459,Bluetooth,-69
0.460,Bluetooth,-69
0.492,Bluetooth,-64
0.494,Bluetooth,-65
0.523,Bluetooth,-69
0.524,Bluetooth,-69
0.659,Bluetooth,-69
0.660,Bluetooth,-69
0.732,Bluetooth,-67
0.733,Bluetooth,-65
0.825,Bluetooth,-70
0.854,Bluetooth,-66
0.855,Bluetooth,-66
0.928,Bluetooth,-69
0.998,Bluetooth,-69
0.999,Bluetooth,-69
1.216,Bluetooth,-65
1.284,Bluetooth,-69
1.319,Bluetooth,-65
1.320,Bluetooth,-65
1.354,Bluetooth,-68
1.355,Bluetooth,-68
1.423,Bluetooth,-69
1.424,Bluetooth,-68
1.455,Bluetooth,-64
1.493,Bluetooth,-68
1.494,Bluetooth,-69
1.671,Bluetooth,-64
1.672,Bluetooth,-65
1.709,Bluetooth,-64
1.711,Bluetooth,-64
1.743,Bluetooth,-66
1.744,Bluetooth,-67
1.781,Bluetooth,-68
1.782,Bluetooth,-68
1.987,Bluetooth,-68
1.988,Bluetooth,-68
2.055,Bluetooth,-64
2.092,Bluetooth,-65
2.093,Bluetooth,-67
2.130,Bluetooth,-67
2.131,Bluetooth,-66
2.202,Bluetooth,-66
2.203,Bluetooth,-67
2.234,Bluetooth,-67
2.270,Bluetooth,-64
2.271,Bluetooth,-64
2.305,Bluetooth,-64
2.342,Bluetooth,-67
2.343,Bluetooth,-65
2.449,Bluetooth,-67
2.450,Bluetooth,-67
2.484,Bluetooth,-66
2.485,Bluetooth,-67
2.549,Bluetooth,-65
2.551,Bluetooth,-64
2.584,Bluetooth,-66
2.648,Bluetooth,-64
2.794,Bluetooth,-66
2.795,Bluetooth,-67
2.827,Bluetooth,-68
2.828,Bluetooth,-67
2.858,Bluetooth,-66
2.859,Bluetooth,-67
2.922,Bluetooth,-66
2.923,Bluetooth,-67
3.019,Bluetooth,-65
3.058,Bluetooth,-67
3.059,Bluetooth,-67
3.117,Bluetooth,-64
3.118,Bluetooth,-65
3.288,Bluetooth,-69
3.289,Bluetooth,-69
3.319,Bluetooth,-68
3.321,Bluetooth,-68
3.355,Bluetooth,-65
3.356,Bluetooth,-67
3.435,Bluetooth,-68
3.505,Bluetooth,-66
3.506,Bluetooth,-65
3.540,Bluetooth,-69
3.541,Bluetooth,-68
3.610,Bluetooth,-65
3.645,Bluetooth,-69
3.683,Bluetooth,-68
3.683,Bluetooth,-68
3.719,Bluetooth,-64
3.759,Bluetooth,-70
3.800,Bluetooth,-68
3.872,Bluetooth,-70
3.873,Bluetooth,-70
3.901,Bluetooth,-70
90.436,Bluetooth,-77
90.468,Bluetooth,-69
90.469,Bluetooth,-67
90.508,Bluetooth,-84
90.509,Bluetooth,-83
90.549,Bluetooth,-75
90.550,Bluetooth,-75
90.662,Bluetooth,-87
90.664,Bluetooth,-87
90.695,Bluetooth,-73
90.697,Bluetooth,-72
90.730,Bluetooth,-69
90.770,Bluetooth,-85
90.804,Bluetooth,-71
90.805,Bluetooth,-71
90.833,Bluetooth,-69
90.915,Bluetooth,-70
90.917,Bluetooth,-69
90.974,Bluetooth,-70
91.009,Bluetooth,-81
91.010,Bluetooth,-82
91.077,Bluetooth,-70
91.078,Bluetooth,-69
91.218,Bluetooth,-69
91.219,Bluetooth,-70
91.354,Bluetooth,-85
91.355,Bluetooth,-84
91.423,Bluetooth,-70
91.424,Bluetooth,-71
91.544,Bluetooth,-71
91.546,Bluetooth,-71
91.618,Bluetooth,-80
91.619,Bluetooth,-80
91.655,Bluetooth,-73
91.691,Bluetooth,-65
91.692,Bluetooth,-65
91.725,Bluetooth,-78
91.765,Bluetooth,-76
91.871,Bluetooth,-75
91.872,Bluetooth,-75
91.940,Bluetooth,-66
91.941,Bluetooth,-67
91.978,Bluetooth,-75
91.979,Bluetooth,-74
92.015,Bluetooth,-81
92.046,Bluetooth,-66
92.047,Bluetooth,-66
92.121,Bluetooth,-85
92.122,Bluetooth,-85
92.152,Bluetooth,-64
92.153,Bluetooth,-65
92.188,Bluetooth,-70
92.293,Bluetooth,-65
92.294,Bluetooth,-65
92.333,Bluetooth,-71
92.334,Bluetooth,-70
92.373,Bluetooth,-82
92.406,Bluetooth,-65
92.407,Bluetooth,-65
92.588,Bluetooth,-77
92.589,Bluetooth,-79
92.766,Bluetooth,-65
92.767,Bluetooth,-65
92.804,Bluetooth,-70
92.840,Bluetooth,-76
92.841,Bluetooth,-76
92.876,Bluetooth,-65
92.908,Bluetooth,-71
92.909,Bluetooth,-71
92.944,Bluetooth,-71
92.975,Bluetooth,-77
93.044,Bluetooth,-73
93.045,Bluetooth,-71
93.082,Bluetooth,-81
93.083,Bluetooth,-82
93.159,Bluetooth,-73
93.160,Bluetooth,-73
93.195,Bluetooth,-83
93.197,Bluetooth,-82
93.226,Bluetooth,-67
93.256,Bluetooth,-67
93.290,Bluetooth,-75
93.291,Bluetooth,-74
93.362,Bluetooth,-66
93.363,Bluetooth,-68
93.394,Bluetooth,-75
93.395,Bluetooth,-73
93.431,Bluetooth,-71
93.433,Bluetooth,-71
93.460,Bluetooth,-70
93.461,Bluetooth,-70
93.491,Bluetooth,-67
93.492,Bluetooth,-67
93.530,Bluetooth,-75
93.561,Bluetooth,-69
93.562,Bluetooth,-70
93.596,Bluetooth,-68
93.627,Bluetooth,-73
93.628,Bluetooth,-75
93.770,Bluetooth,-74
93.771,Bluetooth,-75
93.800,Bluetooth,-71
93.802,Bluetooth,-70
93.831,Bluetooth,-68
93.833,Bluetooth,-68
93.936,Bluetooth,-72
93.971,Bluetooth,-69
93.973,Bluetooth,-68
94.010,Bluetooth,-74
94.011,Bluetooth,-74
94.045,Bluetooth,-75
94.079,Bluetooth,-68
94.080,Bluetooth,-68
94.116,Bluetooth,-75
94.117,Bluetooth,-75
94.155,Bluetooth,-78
94.157,Bluetooth,-78
94.194,Bluetooth,-67
