Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-48
0.037,Bluetooth,-47
0.038,Bluetooth,-48
0.077,Bluetooth,-48
0.078,Bluetooth,-48
0.116,Bluetooth,-49
0.116,Bluetooth,-48
0.152,Bluetooth,-48
0.183,Bluetooth,-48
0.184,Bluetooth,-48
0.221,Bluetooth,-48
0.222,Bluetooth,-48
0.299,Bluetooth,-48
0.299,Bluetooth,-48
0.328,Bluetooth,-48
0.330,Bluetooth,-48
0.368,Bluetooth,-48
0.369,Bluetooth,-49
0.397,Bluetooth,-47
0.398,Bluetooth,-47
0.428,Bluetooth,-49
0.429,Bluetooth,-48
0.610,Bluetooth,-47
0.611,Bluetooth,-48
0.676,Bluetooth,-47
0.676,Bluetooth,-48
0.706,Bluetooth,-47
0.707,Bluetooth,-49
0.736,Bluetooth,-50
0.912,Bluetooth,-48
0.913,Bluetooth,-49
0.942,Bluetooth,-48
0.942,Bluetooth,-48
0.985,Bluetooth,-50
0.986,Bluetooth,-49
1.121,Bluetooth,-47
1.122,Bluetooth,-49
1.156,Bluetooth,-48
1.157,Bluetooth,-49
1.185,Bluetooth,-49
1.186,Bluetooth,-49
1.322,Bluetooth,-49
1.324,Bluetooth,-49
1.358,Bluetooth,-49
1.393,Bluetooth,-49
1.395,Bluetooth,-49
1.471,Bluetooth,-49
1.472,Bluetooth,-49
1.502,Bluetooth,-50
1.503,Bluetooth,-49
1.540,Bluetooth,-48
1.542,Bluetooth,-49
1.575,Bluetooth,-49
1.575,Bluetooth,-48
1.609,Bluetooth,-49
1.610,Bluetooth,-50
1.649,Bluetooth,-48
1.680,Bluetooth,-48
1.720,Bluetooth,-50
1.722,Bluetooth,-49
1.755,Bluetooth,-49
1.756,Bluetooth,-49
1.891,Bluetooth,-49
1.892,Bluetooth,-48
1.922,Bluetooth,-49
1.923,Bluetooth,-48
1.960,Bluetooth,-49
2.064,Bluetooth,-49
2.065,Bluetooth,-49
2.093,Bluetooth,-50
2.095,Bluetooth,-48
2.129,Bluetooth,-49
2.234,Bluetooth,-49
2.235,Bluetooth,-49
2.236,Bluetooth,-49
2.271,Bluetooth,-49
2.272,Bluetooth,-49
2.308,Bluetooth,-49
2.309,Bluetooth,-49
2.374,Bluetooth,-49
2.374,Bluetooth,-48
2.404,Bluetooth,-49
2.405,Bluetooth,-49
2.441,Bluetooth,-50
2.443,Bluetooth,-48
2.478,Bluetooth,-49
2.478,Bluetooth,-48
2.513,Bluetooth,-49
2.515,Bluetooth,-50
2.548,Bluetooth,-50
2.579,Bluetooth,-48
2.581,Bluetooth,-49
2.615,Bluetooth,-49
2.616,Bluetooth,-48
2.693,Bluetooth,-49
2.694,Bluetooth,-48
2.734,Bluetooth,-48
2.735,Bluetooth,-48
