Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-73
0.001,Bluetooth,-73
0.062,Bluetooth,-71
0.094,Bluetooth,-74
0.095,Bluetooth,-73
0.157,Bluetooth,-69
0.193,Bluetooth,-73
0.194,Bluetooth,-72
0.256,Bluetooth,-69
0.323,Bluetooth,-72
0.324,Bluetooth,-73
0.355,Bluetooth,-68
0.355,Bluetooth,-67
0.420,Bluetooth,-72
0.423,Bluetooth,-72
0.482,Bluetooth,-68
0.483,Bluetooth,-68
0.514,Bluetooth,-71
0.515,Bluetooth,-70
0.581,Bluetooth,-68
0.582,Bluetooth,-70
0.611,Bluetooth,-72
0.612,Bluetooth,-72
0.676,Bluetooth,-69
0.677,Bluetooth,-67
0.711,Bluetooth,-70
0.712,Bluetooth,-69
0.777,Bluetooth,-71
0.778,Bluetooth,-72
0.810,Bluetooth,-71
0.811,Bluetooth,-71
0.915,Bluetooth,-73
0.916,Bluetooth,-74
0.977,Bluetooth,-69
0.978,Bluetooth,-69
1.044,Bluetooth,-67
1.045,Bluetooth,-68
1.072,Bluetooth,-68
1.073,Bluetooth,-69
1.133,Bluetooth,-71
1.134,Bluetooth,-74
1.163,Bluetooth,-69
1.164,Bluetooth,-69
1.193,Bluetooth,-72
1.195,Bluetooth,-72
1.258,Bluetooth,-69
1.259,Bluetooth,-70
1.289,Bluetooth,-67
1.290,Bluetooth,-69
1.323,Bluetooth,-73
1.324,Bluetooth,-72
1.355,Bluetooth,-72
1.356,Bluetooth,-72
1.488,Bluetooth,-69
1.489,Bluetooth,-69
1.582,Bluetooth,-68
1.583,Bluetooth,-69
1.616,Bluetooth,-71
1.684,Bluetooth,-68
1.685,Bluetooth,-69
1.713,Bluetooth,-72
1.715,Bluetooth,-72
1.780,Bluetooth,-67
1.781,Bluetooth,-69
1.811,Bluetooth,-71
1.812,Bluetooth,-73
1.874,Bluetooth,-68
1.875,Bluetooth,-68
1.905,Bluetooth,-73
1.906,Bluetooth,-71
1.940,Bluetooth,-68
1.966,Bluetooth,-67
1.967,Bluetooth,-68
1.998,Bluetooth,-71
1.999,Bluetooth,-72
2.064,Bluetooth,-68
2.065,Bluetooth,-68
2.097,Bluetooth,-71
2.098,Bluetooth,-70
2.159,Bluetooth,-68
2.159,Bluetooth,-69
2.219,Bluetooth,-71
2.220,Bluetooth,-71
2.281,Bluetooth,-69
2.282,Bluetooth,-68
2.311,Bluetooth,-72
2.312,Bluetooth,-71
2.377,Bluetooth,-67
2.378,Bluetooth,-68
2.407,Bluetooth,-71
2.408,Bluetooth,-71
2.440,Bluetooth,-69
2.499,Bluetooth,-71
2.501,Bluetooth,-71
2.533,Bluetooth,-68
2.534,Bluetooth,-68
2.561,Bluetooth,-68
2.562,Bluetooth,-68
2.591,Bluetooth,-68
2.592,Bluetooth,-68
2.626,Bluetooth,-69
2.627,Bluetooth,-69
2.653,Bluetooth,-68
2.654,Bluetooth,-69
2.714,Bluetooth,-68
2.716,Bluetooth,-67
2.814,Bluetooth,-72
2.815,Bluetooth,-71
