Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-74
0.032,Bluetooth,-68
0.033,Bluetooth,-67
0.065,Bluetooth,-67
0.068,Bluetooth,-67
0.095,Bluetooth,-73
0.096,Bluetooth,-72
0.124,Bluetooth,-75
0.125,Bluetooth,-76
0.155,Bluetooth,-66
0.156,Bluetooth,-68
0.186,Bluetooth,-67
0.187,Bluetooth,-67
0.216,Bluetooth,-74
0.217,Bluetooth,-72
0.245,Bluetooth,-75
0.246,Bluetooth,-74
0.283,Bluetooth,-67
0.284,Bluetooth,-66
0.318,Bluetooth,-74
0.319,Bluetooth,-73
0.383,Bluetooth,-75
0.384,Bluetooth,-75
0.412,Bluetooth,-67
0.413,Bluetooth,-67
0.442,Bluetooth,-73
0.443,Bluetooth,-72
0.474,Bluetooth,-75
0.475,Bluetooth,-75
0.504,Bluetooth,-75
0.505,Bluetooth,-75
0.534,Bluetooth,-66
0.536,Bluetooth,-66
0.568,Bluetooth,-74
0.569,Bluetooth,-73
0.596,Bluetooth,-75
0.597,Bluetooth,-76
0.630,Bluetooth,-66
0.633,Bluetooth,-65
0.662,Bluetooth,-68
0.663,Bluetooth,-67
0.698,Bluetooth,-73
0.700,Bluetooth,-74
0.726,Bluetooth,-75
0.728,Bluetooth,-75
0.759,Bluetooth,-67
0.760,Bluetooth,-67
0.792,Bluetooth,-74
0.794,Bluetooth,-73
0.823,Bluetooth,-73
0.824,Bluetooth,-73
0.853,Bluetooth,-76
0.854,Bluetooth,-76
0.887,Bluetooth,-68
0.887,Bluetooth,-67
0.921,Bluetooth,-74
0.923,Bluetooth,-73
0.952,Bluetooth,-74
0.953,Bluetooth,-75
1.017,Bluetooth,-66
1.017,Bluetooth,-66
1.048,Bluetooth,-73
1.049,Bluetooth,-72
1.080,Bluetooth,-75
1.081,Bluetooth,-75
1.111,Bluetooth,-66
1.111,Bluetooth,-67
1.141,Bluetooth,-68
1.141,Bluetooth,-66
1.172,Bluetooth,-73
1.172,Bluetooth,-72
1.202,Bluetooth,-75
1.203,Bluetooth,-76
1.238,Bluetooth,-67
1.239,Bluetooth,-67
1.273,Bluetooth,-73
1.274,Bluetooth,-72
1.303,Bluetooth,-73
1.304,Bluetooth,-73
1.337,Bluetooth,-76
1.338,Bluetooth,-76
1.366,Bluetooth,-66
1.367,Bluetooth,-66
1.397,Bluetooth,-73
1.397,Bluetooth,-73
1.458,Bluetooth,-76
1.459,Bluetooth,-76
1.490,Bluetooth,-66
1.491,Bluetooth,-67
1.522,Bluetooth,-73
1.522,Bluetooth,-74
1.555,Bluetooth,-75
1.556,Bluetooth,-74
1.585,Bluetooth,-76
1.587,Bluetooth,-76
1.617,Bluetooth,-67
1.620,Bluetooth,-67
1.647,Bluetooth,-74
1.648,Bluetooth,-72
1.676,Bluetooth,-76
1.677,Bluetooth,-76
1.707,Bluetooth,-76
1.708,Bluetooth,-76
1.741,Bluetooth,-67
1.742,Bluetooth,-67
1.774,Bluetooth,-72
1.774,Bluetooth,-72
1.803,Bluetooth,-76
1.805,Bluetooth,-76
1.836,Bluetooth,-66
1.838,Bluetooth,-68
1.869,Bluetooth,127
1.902,Bluetooth,-73
1.903,Bluetooth,-72
1.929,Bluetooth,-75
1.930,Bluetooth,-76
1.966,Bluetooth,-67
1.968,Bluetooth,-66
1.995,Bluetooth,-73
1.996,Bluetooth,-73
2.060,Bluetooth,-78
2.061,Bluetooth,-77
2.093,Bluetooth,-66
2.094,Bluetooth,-68
2.125,Bluetooth,-74
2.126,Bluetooth,-73
2.155,Bluetooth,-77
2.156,Bluetooth,-77
2.188,Bluetooth,-68
2.191,Bluetooth,-67
2.223,Bluetooth,-68
2.224,Bluetooth,-68
2.255,Bluetooth,-74
2.257,Bluetooth,-75
2.285,Bluetooth,-77
2.285,Bluetooth,-78
2.311,Bluetooth,-68
2.311,Bluetooth,-67
2.377,Bluetooth,-74
2.377,Bluetooth,-73
2.406,Bluetooth,-78
2.407,Bluetooth,-78
2.438,Bluetooth,-67
2.438,Bluetooth,-69
2.470,Bluetooth,-76
2.470,Bluetooth,-75
2.534,Bluetooth,-79
2.534,Bluetooth,-79
2.566,Bluetooth,-69
2.567,Bluetooth,-69
2.595,Bluetooth,-76
2.595,Bluetooth,-76
2.655,Bluetooth,-79
2.656,Bluetooth,-81
2.718,Bluetooth,-78
2.718,Bluetooth,-77
2.778,Bluetooth,-78
2.778,Bluetooth,-79
2.808,Bluetooth,-70
2.808,Bluetooth,-69
2.843,Bluetooth,-78
2.843,Bluetooth,-77
2.871,Bluetooth,-80
2.872,Bluetooth,-80
2.902,Bluetooth,-78
2.902,Bluetooth,-79
2.932,Bluetooth,-70
2.932,Bluetooth,-70
2.963,Bluetooth,-78
2.963,Bluetooth,-77
2.991,Bluetooth,-78
2.992,Bluetooth,-79
3.027,Bluetooth,-70
3.028,Bluetooth,-69
3.057,Bluetooth,-70
3.057,Bluetooth,-69
3.091,Bluetooth,-77
3.092,Bluetooth,-76
3.122,Bluetooth,-79
3.122,Bluetooth,-79
3.154,Bluetooth,-70
3.155,Bluetooth,-68
3.185,Bluetooth,-69
3.185,Bluetooth,-69
3.217,Bluetooth,-77
3.217,Bluetooth,-76
3.248,Bluetooth,-77
3.249,Bluetooth,-79
3.278,Bluetooth,-69
3.279,Bluetooth,-68
3.314,Bluetooth,-77
3.316,Bluetooth,-75
3.379,Bluetooth,-78
3.380,Bluetooth,-78
3.413,Bluetooth,-68
3.413,Bluetooth,-68
3.447,Bluetooth,-77
3.448,Bluetooth,-76
3.477,Bluetooth,-78
3.477,Bluetooth,-79
3.510,Bluetooth,-69
3.510,Bluetooth,-69
3.541,Bluetooth,-69
3.541,Bluetooth,-70
3.572,Bluetooth,-77
3.572,Bluetooth,-76
3.604,Bluetooth,-77
3.604,Bluetooth,-78
3.636,Bluetooth,-69
3.636,Bluetooth,-69
3.669,Bluetooth,-76
3.670,Bluetooth,-75
3.700,Bluetooth,-76
3.701,Bluetooth,-75
3.733,Bluetooth,-77
3.734,Bluetooth,-79
3.764,Bluetooth,-70
3.765,Bluetooth,-70
3.795,Bluetooth,-78
3.796,Bluetooth,-75
3.859,Bluetooth,-79
3.860,Bluetooth,-79
3.888,Bluetooth,-69
3.889,Bluetooth,-69
3.919,Bluetooth,-76
3.920,Bluetooth,-74
3.980,Bluetooth,-78
3.982,Bluetooth,-78
167.175,Bluetooth,-71
167.177,Bluetooth,-70
167.207,Bluetooth,-71
167.208,Bluetooth,-71
167.238,Bluetooth,-70
167.239,Bluetooth,-70
167.269,Bluetooth,-69
167.270,Bluetooth,-71
