Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-54
0.001,Bluetooth,-55
0.037,Bluetooth,-55
0.072,Bluetooth,-54
0.073,Bluetooth,-54
0.102,Bluetooth,-60
0.103,Bluetooth,-60
0.136,Bluetooth,-62
0.137,Bluetooth,-62
0.197,Bluetooth,-62
0.198,Bluetooth,-61
0.232,Bluetooth,-54
0.233,Bluetooth,-53
0.266,Bluetooth,-59
0.267,Bluetooth,-58
0.342,Bluetooth,-58
0.379,Bluetooth,-60
0.379,Bluetooth,-59
0.419,Bluetooth,-53
0.420,Bluetooth,-53
0.453,Bluetooth,-58
0.454,Bluetooth,-59
0.484,Bluetooth,-61
0.484,Bluetooth,-60
0.517,Bluetooth,-53
0.518,Bluetooth,-53
0.622,Bluetooth,-60
0.659,Bluetooth,-60
0.660,Bluetooth,-59
0.698,Bluetooth,-54
0.699,Bluetooth,-53
1.018,Bluetooth,-54
1.018,Bluetooth,-54
1.054,Bluetooth,-57
1.055,Bluetooth,-57
1.088,Bluetooth,-59
1.088,Bluetooth,-59
1.126,Bluetooth,-55
1.127,Bluetooth,-54
1.166,Bluetooth,-57
1.167,Bluetooth,-56
1.203,Bluetooth,-59
1.204,Bluetooth,-60
1.238,Bluetooth,-56
1.308,Bluetooth,-56
1.309,Bluetooth,-55
1.343,Bluetooth,-58
1.344,Bluetooth,-57
1.374,Bluetooth,-60
1.375,Bluetooth,-59
1.480,Bluetooth,-54
1.481,Bluetooth,-55
1.517,Bluetooth,-57
1.518,Bluetooth,-57
1.548,Bluetooth,-59
1.621,Bluetooth,-59
1.622,Bluetooth,-59
1.657,Bluetooth,-54
1.658,Bluetooth,-54
1.688,Bluetooth,-57
1.689,Bluetooth,-57
1.724,Bluetooth,-61
1.725,Bluetooth,-59
1.756,Bluetooth,-56
1.757,Bluetooth,-55
1.829,Bluetooth,-55
1.864,Bluetooth,-56
1.864,Bluetooth,-56
1.900,Bluetooth,-60
1.901,Bluetooth,-61
2.026,Bluetooth,-59
2.027,Bluetooth,-60
2.059,Bluetooth,-55
2.060,Bluetooth,-56
2.098,Bluetooth,-57
2.099,Bluetooth,-57
2.132,Bluetooth,-57
2.167,Bluetooth,-58
2.168,Bluetooth,-58
2.206,Bluetooth,-59
2.207,Bluetooth,-58
2.236,Bluetooth,-59
2.237,Bluetooth,-57
2.302,Bluetooth,-60
2.303,Bluetooth,-60
