Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-65
0.001,Bluetooth,-65
0.029,Bluetooth,-69
0.063,Bluetooth,-62
0.064,Bluetooth,-62
0.096,Bluetooth,-64
0.097,Bluetooth,-65
0.160,Bluetooth,-62
0.161,Bluetooth,-62
0.190,Bluetooth,-65
0.191,Bluetooth,-65
0.254,Bluetooth,-62
0.255,Bluetooth,-62
0.285,Bluetooth,-65
0.286,Bluetooth,-64
0.349,Bluetooth,-63
0.350,Bluetooth,-62
0.411,Bluetooth,-65
0.412,Bluetooth,-65
0.445,Bluetooth,-62
0.446,Bluetooth,-62
0.577,Bluetooth,-63
0.578,Bluetooth,-63
0.608,Bluetooth,-65
0.610,Bluetooth,-65
0.644,Bluetooth,-62
0.644,Bluetooth,-63
0.673,Bluetooth,-61
0.674,Bluetooth,-62
0.707,Bluetooth,-65
0.708,Bluetooth,-65
0.776,Bluetooth,-62
0.776,Bluetooth,-62
0.803,Bluetooth,-66
0.804,Bluetooth,-65
0.862,Bluetooth,-62
0.863,Bluetooth,-62
0.898,Bluetooth,-65
0.899,Bluetooth,-65
0.961,Bluetooth,-63
0.962,Bluetooth,-63
0.991,Bluetooth,-65
0.992,Bluetooth,-65
1.082,Bluetooth,-62
1.083,Bluetooth,-62
1.115,Bluetooth,-64
1.117,Bluetooth,-66
1.150,Bluetooth,-62
1.151,Bluetooth,-62
1.246,Bluetooth,-62
1.307,Bluetooth,-65
1.309,Bluetooth,-65
1.372,Bluetooth,-62
1.373,Bluetooth,-62
1.402,Bluetooth,-65
1.403,Bluetooth,-66
1.469,Bluetooth,-62
1.470,Bluetooth,-62
1.500,Bluetooth,-64
1.501,Bluetooth,-65
1.563,Bluetooth,-62
1.564,Bluetooth,-63
1.593,Bluetooth,-65
1.594,Bluetooth,-65
1.660,Bluetooth,-62
1.661,Bluetooth,-62
1.690,Bluetooth,-65
1.691,Bluetooth,-66
1.734,Bluetooth,-69
1.756,Bluetooth,-62
1.757,Bluetooth,-62
1.788,Bluetooth,-65
1.789,Bluetooth,-65
1.818,Bluetooth,-65
1.820,Bluetooth,-65
1.850,Bluetooth,-62
1.851,Bluetooth,-62
1.909,Bluetooth,-65
1.910,Bluetooth,-65
2.005,Bluetooth,-65
2.006,Bluetooth,-65
2.069,Bluetooth,-62
2.070,Bluetooth,-63
2.099,Bluetooth,-66
2.100,Bluetooth,-66
2.163,Bluetooth,-62
2.164,Bluetooth,-62
2.194,Bluetooth,-65
2.195,Bluetooth,-65
2.255,Bluetooth,-62
2.256,Bluetooth,-62
2.285,Bluetooth,-66
2.286,Bluetooth,-66
2.378,Bluetooth,-62
2.379,Bluetooth,-61
2.415,Bluetooth,-66
2.416,Bluetooth,-65
2.447,Bluetooth,-63
2.448,Bluetooth,-63
2.512,Bluetooth,-67
2.513,Bluetooth,-66
2.576,Bluetooth,-62
2.578,Bluetooth,-62
2.606,Bluetooth,-66
2.608,Bluetooth,-66
2.669,Bluetooth,-62
2.670,Bluetooth,-63
2.702,Bluetooth,-66
2.704,Bluetooth,-66
2.767,Bluetooth,-62
2.768,Bluetooth,-63
2.798,Bluetooth,-66
2.799,Bluetooth,-66
2.860,Bluetooth,-62
2.861,Bluetooth,-61
2.893,Bluetooth,-66
2.894,Bluetooth,-67
2.952,Bluetooth,-61
2.953,Bluetooth,-63
3.011,Bluetooth,-66
3.013,Bluetooth,-66
3.104,Bluetooth,-65
3.105,Bluetooth,-67
3.167,Bluetooth,-63
3.168,Bluetooth,-63
3.200,Bluetooth,-66
3.202,Bluetooth,-66
3.256,Bluetooth,-62
3.257,Bluetooth,-62
3.285,Bluetooth,-66
