Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-61
0.002,Bluetooth,-61
0.125,Bluetooth,-57
0.127,Bluetooth,-58
0.155,Bluetooth,-56
0.156,Bluetooth,-55
0.188,Bluetooth,-51
0.190,Bluetooth,-50
0.256,Bluetooth,-48
0.258,Bluetooth,-50
0.300,Bluetooth,-48
0.301,Bluetooth,-49
0.331,Bluetooth,-48
0.333,Bluetooth,-50
0.363,Bluetooth,-53
0.365,Bluetooth,-53
0.395,Bluetooth,-48
0.466,Bluetooth,-51
0.467,Bluetooth,-51
0.495,Bluetooth,-51
0.497,Bluetooth,-50
0.562,Bluetooth,-50
0.564,Bluetooth,-49
0.594,Bluetooth,-52
0.596,Bluetooth,-53
0.628,Bluetooth,-49
0.630,Bluetooth,-49
0.665,Bluetooth,-49
0.667,Bluetooth,-49
0.768,Bluetooth,-57
0.769,Bluetooth,-57
0.804,Bluetooth,-54
0.806,Bluetooth,-55
0.869,Bluetooth,-52
0.938,Bluetooth,-59
0.940,Bluetooth,-59
1.083,Bluetooth,-63
1.085,Bluetooth,-62
1.145,Bluetooth,-50
1.147,Bluetooth,-50
1.213,Bluetooth,-49
1.215,Bluetooth,-49
1.253,Bluetooth,-48
1.254,Bluetooth,-47
1.299,Bluetooth,-52
1.301,Bluetooth,-53
1.400,Bluetooth,-44
1.402,Bluetooth,-46
1.431,Bluetooth,-51
1.433,Bluetooth,-51
1.535,Bluetooth,-49
1.537,Bluetooth,-51
1.715,Bluetooth,-44
1.717,Bluetooth,-45
1.755,Bluetooth,-46
1.757,Bluetooth,-45
1.799,Bluetooth,-51
1.800,Bluetooth,-52
1.829,Bluetooth,-44
1.832,Bluetooth,-45
1.862,Bluetooth,-45
1.865,Bluetooth,-45
1.896,Bluetooth,-51
1.897,Bluetooth,-51
1.928,Bluetooth,-51
1.931,Bluetooth,-51
2.040,Bluetooth,-54
2.041,Bluetooth,-53
2.068,Bluetooth,-46
2.069,Bluetooth,-46
2.107,Bluetooth,-47
2.108,Bluetooth,-47
2.146,Bluetooth,-52
2.148,Bluetooth,-52
2.180,Bluetooth,-49
2.182,Bluetooth,-48
2.280,Bluetooth,-65
2.282,Bluetooth,-64
2.313,Bluetooth,-50
2.315,Bluetooth,-49
2.390,Bluetooth,-59
2.392,Bluetooth,-59
2.425,Bluetooth,-51
2.427,Bluetooth,-52
2.489,Bluetooth,-55
2.491,Bluetooth,-54
2.611,Bluetooth,-59
2.613,Bluetooth,-58
2.646,Bluetooth,-62
2.648,Bluetooth,-63
2.682,Bluetooth,-53
2.684,Bluetooth,-54
2.718,Bluetooth,-59
2.720,Bluetooth,-59
2.758,Bluetooth,-66
2.761,Bluetooth,-66
2.790,Bluetooth,-52
2.821,Bluetooth,-57
2.823,Bluetooth,-56
2.852,Bluetooth,-61
2.854,Bluetooth,-61
2.883,Bluetooth,-57
2.884,Bluetooth,-56
2.913,Bluetooth,-52
2.914,Bluetooth,-52
2.949,Bluetooth,-52
2.951,Bluetooth,-51
2.981,Bluetooth,-62
2.983,Bluetooth,-62
3.015,Bluetooth,-50
3.017,Bluetooth,-51
3.056,Bluetooth,-57
3.058,Bluetooth,-58
3.091,Bluetooth,-71
3.093,Bluetooth,-66
3.122,Bluetooth,-68
3.124,Bluetooth,-68
3.152,Bluetooth,-52
3.153,Bluetooth,-52
3.188,Bluetooth,-56
3.190,Bluetooth,-56
3.220,Bluetooth,-55
3.222,Bluetooth,-56
3.258,Bluetooth,-48
3.260,Bluetooth,-47
3.299,Bluetooth,-49
3.301,Bluetooth,-49
3.330,Bluetooth,-49
3.331,Bluetooth,-48
3.401,Bluetooth,-51
3.403,Bluetooth,-51
3.441,Bluetooth,-54
3.444,Bluetooth,-54
3.479,Bluetooth,-53
3.481,Bluetooth,-54
3.511,Bluetooth,-52
3.513,Bluetooth,-51
3.547,Bluetooth,-52
3.549,Bluetooth,-53
3.579,Bluetooth,-52
