Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-50
0.245,Bluetooth,-49
0.246,Bluetooth,-48
0.274,Bluetooth,-50
0.275,Bluetooth,-50
0.350,Bluetooth,-50
0.351,Bluetooth,-50
0.430,Bluetooth,-50
0.431,Bluetooth,-49
0.502,Bluetooth,-51
0.503,Bluetooth,-51
0.535,Bluetooth,-52
0.535,Bluetooth,-50
0.613,Bluetooth,-52
0.720,Bluetooth,-51
0.720,Bluetooth,-51
0.753,Bluetooth,-49
0.754,Bluetooth,-49
0.793,Bluetooth,-49
0.794,Bluetooth,-49
0.833,Bluetooth,-50
0.834,Bluetooth,-50
0.968,Bluetooth,-50
0.968,Bluetooth,-48
1.040,Bluetooth,-49
1.041,Bluetooth,-48
1.102,Bluetooth,-48
1.103,Bluetooth,-47
1.140,Bluetooth,-50
1.141,Bluetooth,-49
1.177,Bluetooth,-48
1.178,Bluetooth,-49
1.208,Bluetooth,-48
1.352,Bluetooth,-49
1.354,Bluetooth,-48
1.430,Bluetooth,-48
1.431,Bluetooth,-48
1.467,Bluetooth,-48
1.468,Bluetooth,-49
1.508,Bluetooth,-49
1.544,Bluetooth,-48
1.545,Bluetooth,-48
1.616,Bluetooth,-48
1.616,Bluetooth,-48
1.653,Bluetooth,-49
1.655,Bluetooth,-48
1.760,Bluetooth,-48
1.761,Bluetooth,-49
1.791,Bluetooth,-48
1.792,Bluetooth,-48
1.867,Bluetooth,-48
1.867,Bluetooth,-47
1.939,Bluetooth,-48
1.940,Bluetooth,-49
1.973,Bluetooth,-47
1.973,Bluetooth,-47
2.012,Bluetooth,-47
2.014,Bluetooth,-48
2.052,Bluetooth,-48
2.053,Bluetooth,-49
2.092,Bluetooth,-47
2.093,Bluetooth,-47
2.300,Bluetooth,-48
2.301,Bluetooth,-48
2.336,Bluetooth,-47
2.337,Bluetooth,-48
2.369,Bluetooth,-47
2.370,Bluetooth,-47
2.408,Bluetooth,-47
2.521,Bluetooth,-48
2.523,Bluetooth,-47
2.559,Bluetooth,-49
2.560,Bluetooth,-47
2.590,Bluetooth,-48
2.591,Bluetooth,-48
2.659,Bluetooth,-48
2.659,Bluetooth,-48
2.839,Bluetooth,-48
2.840,Bluetooth,-49
2.873,Bluetooth,-48
2.873,Bluetooth,-48
2.908,Bluetooth,-48
