Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-48
0.002,Bluetooth,-48
0.067,Bluetooth,-50
0.069,Bluetooth,-51
0.099,Bluetooth,-46
0.100,Bluetooth,-46
0.129,Bluetooth,-48
0.131,Bluetooth,-49
0.165,Bluetooth,-52
0.166,Bluetooth,-50
0.223,Bluetooth,-46
0.225,Bluetooth,-47
0.258,Bluetooth,-49
0.259,Bluetooth,-48
0.292,Bluetooth,-53
0.294,Bluetooth,-53
0.323,Bluetooth,-45
0.324,Bluetooth,-47
0.425,Bluetooth,-51
0.426,Bluetooth,-52
0.454,Bluetooth,-46
0.456,Bluetooth,-45
0.485,Bluetooth,-48
0.486,Bluetooth,-48
0.547,Bluetooth,-52
0.548,Bluetooth,-52
0.575,Bluetooth,-47
0.576,Bluetooth,-46
0.606,Bluetooth,-48
0.608,Bluetooth,-48
0.638,Bluetooth,-50
0.640,Bluetooth,-52
0.670,Bluetooth,-52
0.671,Bluetooth,-51
0.702,Bluetooth,-46
0.703,Bluetooth,-47
0.734,Bluetooth,-47
0.736,Bluetooth,-48
0.765,Bluetooth,-51
0.766,Bluetooth,-51
0.798,Bluetooth,-46
0.800,Bluetooth,-46
0.830,Bluetooth,-46
0.831,Bluetooth,-45
0.866,Bluetooth,-47
0.867,Bluetooth,-47
0.896,Bluetooth,-51
0.898,Bluetooth,-51
0.924,Bluetooth,-43
0.988,Bluetooth,-47
1.085,Bluetooth,-47
1.087,Bluetooth,-47
1.147,Bluetooth,-50
1.149,Bluetooth,-49
1.178,Bluetooth,-47
1.180,Bluetooth,-46
1.209,Bluetooth,-48
1.210,Bluetooth,-50
1.239,Bluetooth,-49
1.241,Bluetooth,-51
1.271,Bluetooth,-48
1.272,Bluetooth,-49
1.303,Bluetooth,-45
1.305,Bluetooth,-46
1.334,Bluetooth,-47
1.336,Bluetooth,-47
1.426,Bluetooth,-45
1.428,Bluetooth,-46
1.456,Bluetooth,-46
1.458,Bluetooth,-46
1.521,Bluetooth,-46
1.522,Bluetooth,-47
1.585,Bluetooth,-47
1.616,Bluetooth,-48
1.617,Bluetooth,-49
1.645,Bluetooth,-45
1.646,Bluetooth,-47
1.674,Bluetooth,-45
1.676,Bluetooth,-46
1.706,Bluetooth,-47
1.708,Bluetooth,-47
1.866,Bluetooth,-49
1.868,Bluetooth,-49
1.895,Bluetooth,-46
1.897,Bluetooth,-46
1.929,Bluetooth,-47
1.931,Bluetooth,-48
1.961,Bluetooth,-50
1.964,Bluetooth,-48
2.023,Bluetooth,-46
2.025,Bluetooth,-46
2.090,Bluetooth,-50
2.091,Bluetooth,-49
2.123,Bluetooth,-47
2.124,Bluetooth,-46
2.153,Bluetooth,-46
2.155,Bluetooth,-46
2.189,Bluetooth,-47
2.190,Bluetooth,-48
2.219,Bluetooth,-49
2.221,Bluetooth,-50
2.250,Bluetooth,-47
2.251,Bluetooth,-46
2.285,Bluetooth,-48
2.287,Bluetooth,-47
2.461,Bluetooth,-48
2.463,Bluetooth,-48
2.491,Bluetooth,-46
2.492,Bluetooth,-46
2.524,Bluetooth,-46
2.526,Bluetooth,-48
2.558,Bluetooth,-49
2.560,Bluetooth,-50
2.624,Bluetooth,-45
2.625,Bluetooth,-46
2.659,Bluetooth,-50
2.661,Bluetooth,-48
2.692,Bluetooth,-49
2.694,Bluetooth,-48
2.719,Bluetooth,-46
2.721,Bluetooth,-46
2.789,Bluetooth,-47
2.790,Bluetooth,-47
2.825,Bluetooth,-49
2.827,Bluetooth,-49
2.852,Bluetooth,-46
2.854,Bluetooth,-46
2.885,Bluetooth,-47
2.887,Bluetooth,-47
2.914,Bluetooth,-47
2.916,Bluetooth,-47
2.948,Bluetooth,-49
2.950,Bluetooth,-51
2.976,Bluetooth,-46
2.978,Bluetooth,-46
3.010,Bluetooth,-47
3.012,Bluetooth,-47
3.041,Bluetooth,-49
3.042,Bluetooth,-50
3.105,Bluetooth,-46
3.106,Bluetooth,-46
3.138,Bluetooth,-47
3.139,Bluetooth,-46
3.168,Bluetooth,-48
3.170,Bluetooth,-49
3.200,Bluetooth,-46
3.201,Bluetooth,-46
3.230,Bluetooth,-46
3.232,Bluetooth,-46
3.261,Bluetooth,-48
3.262,Bluetooth,-48
3.291,Bluetooth,-49
3.292,Bluetooth,-50
3.326,Bluetooth,-45
3.328,Bluetooth,-47
3.350,Bluetooth,-46
3.351,Bluetooth,-46
3.381,Bluetooth,-45
3.382,Bluetooth,-47
3.441,Bluetooth,-47
3.442,Bluetooth,-47
3.472,Bluetooth,-45
3.473,Bluetooth,-46
3.504,Bluetooth,-47
3.506,Bluetooth,-46
3.537,Bluetooth,-49
3.538,Bluetooth,-49
3.565,Bluetooth,-46
3.566,Bluetooth,-46
3.661,Bluetooth,-48
3.664,Bluetooth,-48
3.691,Bluetooth,-45
3.692,Bluetooth,-46
3.721,Bluetooth,-47
3.723,Bluetooth,-47
3.787,Bluetooth,-50
3.789,Bluetooth,-49
3.825,Bluetooth,-46
3.827,Bluetooth,-46
3.854,Bluetooth,-47
3.855,Bluetooth,-46
3.887,Bluetooth,-50
3.889,Bluetooth,-50
3.921,Bluetooth,-46
3.922,Bluetooth,-46
3.952,Bluetooth,-45
3.954,Bluetooth,-46
10.023,Bluetooth,-51
10.025,Bluetooth,-51
10.055,Bluetooth,-53
10.057,Bluetooth,-53
10.088,Bluetooth,-52
10.090,Bluetooth,-52
10.122,Bluetooth,-51
10.124,Bluetooth,-53
10.154,Bluetooth,-53
10.156,Bluetooth,-53
10.221,Bluetooth,-53
10.222,Bluetooth,-53
10.250,Bluetooth,-50
10.251,Bluetooth,-53
10.282,Bluetooth,-53
10.283,Bluetooth,-53
10.316,Bluetooth,-52
10.318,Bluetooth,-51
10.378,Bluetooth,-50
10.380,Bluetooth,-52
10.413,Bluetooth,-54
10.415,Bluetooth,-54
10.445,Bluetooth,-52
10.447,Bluetooth,-52
10.473,Bluetooth,-51
10.475,Bluetooth,-51
10.509,Bluetooth,-53
10.511,Bluetooth,-54
10.542,Bluetooth,-53
10.544,Bluetooth,-53
10.608,Bluetooth,-50
10.610,Bluetooth,-52
10.733,Bluetooth,-51
10.735,Bluetooth,-51
10.766,Bluetooth,-53
10.768,Bluetooth,-53
10.798,Bluetooth,-52
10.800,Bluetooth,-52
10.862,Bluetooth,-51
10.864,Bluetooth,-51
10.956,Bluetooth,-51
10.957,Bluetooth,-50
11.016,Bluetooth,-53
11.018,Bluetooth,-52
11.050,Bluetooth,-53
11.051,Bluetooth,-54
11.079,Bluetooth,-51
11.080,Bluetooth,-52
11.109,Bluetooth,-52
11.111,Bluetooth,-53
11.139,Bluetooth,-52
11.140,Bluetooth,-53
11.172,Bluetooth,-52
11.173,Bluetooth,-52
11.204,Bluetooth,-51
11.206,Bluetooth,-51
11.236,Bluetooth,-54
11.238,Bluetooth,-54
11.297,Bluetooth,-51
11.299,Bluetooth,-52
11.330,Bluetooth,-50
11.332,Bluetooth,-52
11.360,Bluetooth,-54
11.362,Bluetooth,-54
11.392,Bluetooth,-51
11.394,Bluetooth,-52
11.488,Bluetooth,-52
11.620,Bluetooth,-53
11.621,Bluetooth,-52
11.650,Bluetooth,-51
11.651,Bluetooth,-52
11.679,Bluetooth,-51
11.680,Bluetooth,-51
11.744,Bluetooth,-53
11.746,Bluetooth,-52
11.780,Bluetooth,-52
11.782,Bluetooth,-53
11.811,Bluetooth,-52
11.813,Bluetooth,-52
11.844,Bluetooth,-53
11.846,Bluetooth,-54
11.879,Bluetooth,-52
11.880,Bluetooth,-51
11.939,Bluetooth,-52
11.941,Bluetooth,-52
11.970,Bluetooth,-53
12.002,Bluetooth,-51
12.004,Bluetooth,-52
12.036,Bluetooth,-52
12.037,Bluetooth,-51
12.099,Bluetooth,-54
12.101,Bluetooth,-53
12.131,Bluetooth,-52
12.133,Bluetooth,-52
12.161,Bluetooth,-51
12.162,Bluetooth,-52
12.258,Bluetooth,-52
12.260,Bluetooth,-52
12.292,Bluetooth,-50
12.294,Bluetooth,-52
12.323,Bluetooth,-53
12.324,Bluetooth,-53
12.353,Bluetooth,-52
12.355,Bluetooth,-52
12.383,Bluetooth,-53
12.385,Bluetooth,-52
12.412,Bluetooth,-52
12.414,Bluetooth,-52
12.448,Bluetooth,-53
12.450,Bluetooth,-53
12.481,Bluetooth,-53
12.483,Bluetooth,-54
12.512,Bluetooth,-51
12.514,Bluetooth,-52
12.574,Bluetooth,-54
12.576,Bluetooth,-54
12.604,Bluetooth,-52
12.606,Bluetooth,-52
12.762,Bluetooth,-51
12.764,Bluetooth,-52
12.796,Bluetooth,-53
12.798,Bluetooth,-53
12.826,Bluetooth,-53
12.829,Bluetooth,-53
12.858,Bluetooth,-53
12.860,Bluetooth,-52
12.892,Bluetooth,-50
12.922,Bluetooth,-54
12.924,Bluetooth,-53
12.957,Bluetooth,-52
12.958,Bluetooth,-52
13.019,Bluetooth,-50
13.021,Bluetooth,-51
13.082,Bluetooth,-52
13.084,Bluetooth,-52
13.113,Bluetooth,-52
13.115,Bluetooth,-52
13.142,Bluetooth,-51
13.144,Bluetooth,-51
13.177,Bluetooth,-54
13.178,Bluetooth,-53
13.211,Bluetooth,-53
13.213,Bluetooth,-52
13.241,Bluetooth,-51
13.242,Bluetooth,-53
13.276,Bluetooth,-53
13.278,Bluetooth,-53
13.340,Bluetooth,-51
13.341,Bluetooth,-52
13.371,Bluetooth,-51
13.372,Bluetooth,-53
13.404,Bluetooth,-54
13.405,Bluetooth,-55
13.436,Bluetooth,-51
13.437,Bluetooth,-52
13.497,Bluetooth,-52
13.499,Bluetooth,-53
13.528,Bluetooth,-53
13.529,Bluetooth,-53
13.558,Bluetooth,-52
13.560,Bluetooth,-51
13.620,Bluetooth,-50
13.621,Bluetooth,-51
13.650,Bluetooth,-53
13.652,Bluetooth,-53
13.685,Bluetooth,-51
13.686,Bluetooth,-51
13.716,Bluetooth,-52
13.717,Bluetooth,-51
13.777,Bluetooth,-53
13.778,Bluetooth,-53
13.873,Bluetooth,-52
13.874,Bluetooth,-53
13.941,Bluetooth,-50
13.942,Bluetooth,-51
13.970,Bluetooth,-52
13.971,Bluetooth,-50
27.099,Bluetooth,-64
27.100,Bluetooth,-64
27.197,Bluetooth,-61
27.199,Bluetooth,-63
27.228,Bluetooth,-65
27.229,Bluetooth,-64
27.260,Bluetooth,-64
27.262,Bluetooth,-63
27.318,Bluetooth,-62
27.320,Bluetooth,-62
27.354,Bluetooth,-63
27.356,Bluetooth,-63
27.390,Bluetooth,-62
27.391,Bluetooth,-63
27.419,Bluetooth,-62
27.421,Bluetooth,-62
27.488,Bluetooth,-63
27.489,Bluetooth,-64
27.522,Bluetooth,-63
27.523,Bluetooth,-64
27.550,Bluetooth,-61
27.552,Bluetooth,-62
27.583,Bluetooth,-63
27.584,Bluetooth,-63
27.646,Bluetooth,-64
27.647,Bluetooth,-64
27.677,Bluetooth,-62
27.679,Bluetooth,-61
27.712,Bluetooth,-64
27.714,Bluetooth,-62
27.840,Bluetooth,-63
27.871,Bluetooth,-63
27.872,Bluetooth,-63
27.965,Bluetooth,-64
27.967,Bluetooth,-64
27.998,Bluetooth,-63
28.000,Bluetooth,-63
28.028,Bluetooth,-62
28.030,Bluetooth,-62
28.061,Bluetooth,-64
28.063,Bluetooth,-63
28.123,Bluetooth,-62
28.125,Bluetooth,-63
28.152,Bluetooth,-62
28.153,Bluetooth,-64
28.184,Bluetooth,-64
28.185,Bluetooth,-65
28.244,Bluetooth,-64
28.246,Bluetooth,-64
28.278,Bluetooth,-62
28.280,Bluetooth,-62
28.309,Bluetooth,-63
28.311,Bluetooth,-62
28.340,Bluetooth,-63
28.341,Bluetooth,-62
28.404,Bluetooth,-63
28.406,Bluetooth,-63
28.435,Bluetooth,-62
28.437,Bluetooth,-62
28.468,Bluetooth,-63
28.470,Bluetooth,-62
28.498,Bluetooth,-61
28.500,Bluetooth,-63
28.564,Bluetooth,-65
28.566,Bluetooth,-64
28.594,Bluetooth,-61
28.596,Bluetooth,-62
28.627,Bluetooth,-62
28.629,Bluetooth,-61
28.661,Bluetooth,-62
28.726,Bluetooth,-63
28.728,Bluetooth,-64
28.755,Bluetooth,-62
28.756,Bluetooth,-62
28.788,Bluetooth,-63
28.789,Bluetooth,-63
28.821,Bluetooth,-63
28.822,Bluetooth,-63
28.915,Bluetooth,-63
28.917,Bluetooth,-63
28.950,Bluetooth,-63
28.951,Bluetooth,-63
29.043,Bluetooth,-63
29.044,Bluetooth,-63
29.077,Bluetooth,-64
29.079,Bluetooth,-63
29.106,Bluetooth,-62
29.107,Bluetooth,-62
29.139,Bluetooth,-64
29.140,Bluetooth,-63
29.202,Bluetooth,-63
29.204,Bluetooth,-62
29.231,Bluetooth,-62
29.233,Bluetooth,-62
29.270,Bluetooth,-63
29.271,Bluetooth,-63
29.298,Bluetooth,-63
29.300,Bluetooth,-63
29.328,Bluetooth,-64
29.330,Bluetooth,-63
29.357,Bluetooth,-61
29.358,Bluetooth,-61
29.390,Bluetooth,-63
29.392,Bluetooth,-64
29.482,Bluetooth,-61
29.483,Bluetooth,-62
29.520,Bluetooth,-63
29.584,Bluetooth,-61
29.586,Bluetooth,-61
29.619,Bluetooth,-63
29.620,Bluetooth,-63
29.650,Bluetooth,-62
29.652,Bluetooth,-63
29.710,Bluetooth,-60
29.711,Bluetooth,-61
29.740,Bluetooth,-63
29.742,Bluetooth,-63
29.770,Bluetooth,-61
29.771,Bluetooth,-62
29.804,Bluetooth,-64
29.834,Bluetooth,-61
29.836,Bluetooth,-61
29.905,Bluetooth,-63
29.906,Bluetooth,-62
29.967,Bluetooth,-60
29.968,Bluetooth,-61
30.003,Bluetooth,-63
30.004,Bluetooth,-62
30.036,Bluetooth,-62
30.037,Bluetooth,-63
30.064,Bluetooth,-61
30.066,Bluetooth,-61
30.098,Bluetooth,-62
30.099,Bluetooth,-62
30.128,Bluetooth,-62
30.130,Bluetooth,-62
30.188,Bluetooth,-61
30.190,Bluetooth,-61
30.219,Bluetooth,-62
30.220,Bluetooth,-63
30.249,Bluetooth,-62
30.250,Bluetooth,-62
30.280,Bluetooth,-62
30.281,Bluetooth,-62
30.309,Bluetooth,-61
30.310,Bluetooth,-60
30.344,Bluetooth,-62
30.346,Bluetooth,-62
30.377,Bluetooth,-62
30.604,Bluetooth,-61
30.634,Bluetooth,-63
30.664,Bluetooth,-61
30.666,Bluetooth,-59
30.698,Bluetooth,-62
30.699,Bluetooth,-62
30.730,Bluetooth,-62
30.732,Bluetooth,-62
30.761,Bluetooth,-63
30.763,Bluetooth,-61
30.794,Bluetooth,-61
30.795,Bluetooth,-60
30.826,Bluetooth,-63
30.958,Bluetooth,-61
30.960,Bluetooth,-60
30.990,Bluetooth,-62
30.991,Bluetooth,-63
31.020,Bluetooth,-59
31.021,Bluetooth,-59
31.053,Bluetooth,-58
31.054,Bluetooth,-59
44.068,Bluetooth,-64
44.070,Bluetooth,-63
44.101,Bluetooth,-75
44.103,Bluetooth,-74
44.136,Bluetooth,-71
44.137,Bluetooth,-71
44.168,Bluetooth,-64
44.170,Bluetooth,-64
44.267,Bluetooth,-70
44.269,Bluetooth,-70
44.298,Bluetooth,-64
44.300,Bluetooth,-64
44.330,Bluetooth,-77
44.332,Bluetooth,-75
44.396,Bluetooth,-70
44.398,Bluetooth,-72
44.426,Bluetooth,-64
44.428,Bluetooth,-64
44.456,Bluetooth,-75
44.458,Bluetooth,-76
44.551,Bluetooth,-65
44.552,Bluetooth,-65
44.581,Bluetooth,-75
44.583,Bluetooth,-76
44.616,Bluetooth,-70
44.617,Bluetooth,-71
44.646,Bluetooth,-65
44.647,Bluetooth,-65
44.676,Bluetooth,-65
44.678,Bluetooth,-65
44.715,Bluetooth,-73
44.716,Bluetooth,-73
44.744,Bluetooth,-70
44.745,Bluetooth,-70
44.772,Bluetooth,-65
44.773,Bluetooth,-66
44.968,Bluetooth,-70
44.970,Bluetooth,-70
45.032,Bluetooth,-66
45.033,Bluetooth,-66
45.067,Bluetooth,-72
45.069,Bluetooth,-71
45.098,Bluetooth,-70
45.100,Bluetooth,-70
45.131,Bluetooth,-67
45.132,Bluetooth,-66
45.166,Bluetooth,-70
45.168,Bluetooth,-71
45.197,Bluetooth,-73
45.198,Bluetooth,-74
45.231,Bluetooth,-70
45.232,Bluetooth,-70
45.262,Bluetooth,-66
45.264,Bluetooth,-65
45.297,Bluetooth,-72
45.298,Bluetooth,-73
45.328,Bluetooth,-70
45.330,Bluetooth,-70
45.387,Bluetooth,-66
