Distance,15.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-68
0.002,Bluetooth,-68
0.028,Bluetooth,-61
0.029,Bluetooth,-61
0.062,Bluetooth,-63
0.064,Bluetooth,-64
0.096,Bluetooth,-70
0.097,Bluetooth,-70
0.169,Bluetooth,-60
0.171,Bluetooth,-61
0.198,Bluetooth,-60
0.199,Bluetooth,-61
0.230,Bluetooth,-69
0.231,Bluetooth,-71
0.258,Bluetooth,-63
0.259,Bluetooth,-63
0.298,Bluetooth,-65
0.299,Bluetooth,-63
0.336,Bluetooth,-68
0.338,Bluetooth,-68
0.370,Bluetooth,-75
0.373,Bluetooth,-76
0.444,Bluetooth,-66
0.445,Bluetooth,-66
0.481,Bluetooth,-71
0.482,Bluetooth,-71
0.513,Bluetooth,-71
0.515,Bluetooth,-70
0.547,Bluetooth,-62
0.547,Bluetooth,-61
0.581,Bluetooth,-82
0.582,Bluetooth,-82
0.617,Bluetooth,-54
0.618,Bluetooth,-54
0.648,Bluetooth,-59
0.649,Bluetooth,-59
0.793,Bluetooth,-54
0.794,Bluetooth,-54
0.830,Bluetooth,-66
0.831,Bluetooth,-65
0.869,Bluetooth,-52
0.871,Bluetooth,-52
0.910,Bluetooth,-55
0.951,Bluetooth,-64
0.953,Bluetooth,-63
0.989,Bluetooth,-52
0.991,Bluetooth,-52
1.021,Bluetooth,-55
1.023,Bluetooth,-55
1.059,Bluetooth,-66
1.061,Bluetooth,-66
1.097,Bluetooth,-53
1.098,Bluetooth,-53
1.129,Bluetooth,-55
1.130,Bluetooth,-55
1.242,Bluetooth,-51
1.243,Bluetooth,-52
1.312,Bluetooth,-62
1.313,Bluetooth,-63
1.343,Bluetooth,-51
1.344,Bluetooth,-52
1.384,Bluetooth,-54
1.444,Bluetooth,-53
1.446,Bluetooth,-54
1.516,Bluetooth,-52
1.518,Bluetooth,-50
1.554,Bluetooth,-54
1.555,Bluetooth,-54
1.592,Bluetooth,-62
1.593,Bluetooth,-62
1.622,Bluetooth,-52
1.624,Bluetooth,-52
1.669,Bluetooth,-54
1.670,Bluetooth,-54
1.701,Bluetooth,-61
1.703,Bluetooth,-62
1.729,Bluetooth,-51
1.730,Bluetooth,-52
1.762,Bluetooth,-51
1.763,Bluetooth,-53
1.797,Bluetooth,-55
1.799,Bluetooth,-56
1.872,Bluetooth,-52
1.874,Bluetooth,-54
1.910,Bluetooth,-56
1.911,Bluetooth,-55
1.951,Bluetooth,-70
1.953,Bluetooth,-71
1.988,Bluetooth,-57
1.990,Bluetooth,-57
2.020,Bluetooth,-56
2.021,Bluetooth,-58
2.052,Bluetooth,-67
2.054,Bluetooth,-68
2.119,Bluetooth,-54
2.121,Bluetooth,-53
2.150,Bluetooth,-55
2.152,Bluetooth,-54
2.186,Bluetooth,-67
2.187,Bluetooth,-67
2.218,Bluetooth,-60
2.282,Bluetooth,-57
2.283,Bluetooth,-58
2.320,Bluetooth,-69
2.322,Bluetooth,-69
2.354,Bluetooth,-71
2.356,Bluetooth,-70
2.389,Bluetooth,-59
2.390,Bluetooth,-60
2.422,Bluetooth,-59
2.424,Bluetooth,-60
2.453,Bluetooth,-59
2.455,Bluetooth,-58
2.488,Bluetooth,-60
2.490,Bluetooth,-60
2.524,Bluetooth,-58
2.526,Bluetooth,-58
2.559,Bluetooth,-61
2.560,Bluetooth,-62
2.589,Bluetooth,-64
2.590,Bluetooth,-65
2.619,Bluetooth,-73
2.621,Bluetooth,-72
2.658,Bluetooth,-60
2.659,Bluetooth,-60
2.724,Bluetooth,-61
2.725,Bluetooth,-62
2.762,Bluetooth,-64
2.763,Bluetooth,-65
2.799,Bluetooth,-61
2.800,Bluetooth,-61
2.827,Bluetooth,-66
2.828,Bluetooth,-65
2.858,Bluetooth,-65
2.859,Bluetooth,-64
2.891,Bluetooth,-60
2.893,Bluetooth,-62
2.927,Bluetooth,-66
2.929,Bluetooth,-66
2.960,Bluetooth,-63
2.961,Bluetooth,-61
2.992,Bluetooth,-68
2.993,Bluetooth,-68
3.027,Bluetooth,-62
3.029,Bluetooth,-61
3.063,Bluetooth,-61
3.065,Bluetooth,-60
3.103,Bluetooth,-71
3.105,Bluetooth,-70
3.140,Bluetooth,-65
3.142,Bluetooth,-65
3.169,Bluetooth,-63
3.171,Bluetooth,-63
3.204,Bluetooth,-62
3.205,Bluetooth,-61
3.236,Bluetooth,-63
3.237,Bluetooth,-65
3.266,Bluetooth,-63
3.268,Bluetooth,-64
3.297,Bluetooth,-60
3.299,Bluetooth,-59
3.336,Bluetooth,-65
3.337,Bluetooth,-65
3.372,Bluetooth,-73
3.374,Bluetooth,-71
3.440,Bluetooth,-70
3.441,Bluetooth,-70
3.516,Bluetooth,-80
3.518,Bluetooth,-82
3.552,Bluetooth,-60
3.553,Bluetooth,-60
3.586,Bluetooth,-63
3.588,Bluetooth,-63
3.626,Bluetooth,-69
3.628,Bluetooth,-68
3.670,Bluetooth,-62
3.671,Bluetooth,-61
3.734,Bluetooth,-72
3.736,Bluetooth,-72
3.799,Bluetooth,-58
3.801,Bluetooth,-57
3.834,Bluetooth,-61
3.835,Bluetooth,-61
3.873,Bluetooth,-72
3.874,Bluetooth,-73
3.911,Bluetooth,-58
3.912,Bluetooth,-59
20.003,Bluetooth,-55
20.005,Bluetooth,-55
20.041,Bluetooth,-56
20.042,Bluetooth,-57
20.075,Bluetooth,-59
20.076,Bluetooth,-59
20.140,Bluetooth,-55
20.142,Bluetooth,-55
20.181,Bluetooth,-59
20.182,Bluetooth,-58
20.213,Bluetooth,-59
20.215,Bluetooth,-59
20.254,Bluetooth,-55
20.256,Bluetooth,-56
20.291,Bluetooth,-59
20.293,Bluetooth,-58
20.321,Bluetooth,-58
20.322,Bluetooth,-58
20.391,Bluetooth,-59
20.393,Bluetooth,-58
20.477,Bluetooth,-56
20.479,Bluetooth,-56
20.514,Bluetooth,-59
20.516,Bluetooth,-59
20.649,Bluetooth,-60
20.652,Bluetooth,-60
20.688,Bluetooth,-56
20.689,Bluetooth,-57
20.722,Bluetooth,-56
20.723,Bluetooth,-56
20.752,Bluetooth,-60
20.754,Bluetooth,-60
20.784,Bluetooth,-60
20.785,Bluetooth,-60
20.814,Bluetooth,-58
20.815,Bluetooth,-57
20.855,Bluetooth,-55
20.893,Bluetooth,-58
20.895,Bluetooth,-59
20.958,Bluetooth,-56
20.960,Bluetooth,-56
21.055,Bluetooth,-57
21.057,Bluetooth,-57
21.093,Bluetooth,-56
21.095,Bluetooth,-56
21.134,Bluetooth,-56
21.136,Bluetooth,-57
21.243,Bluetooth,-56
21.244,Bluetooth,-56
21.279,Bluetooth,-56
21.281,Bluetooth,-56
21.338,Bluetooth,-59
21.339,Bluetooth,-58
21.378,Bluetooth,-58
21.380,Bluetooth,-58
21.418,Bluetooth,-56
21.420,Bluetooth,-57
21.444,Bluetooth,-58
21.445,Bluetooth,-58
21.480,Bluetooth,-56
21.481,Bluetooth,-57
21.515,Bluetooth,-55
21.518,Bluetooth,-55
21.554,Bluetooth,-59
21.556,Bluetooth,-59
21.594,Bluetooth,-56
21.596,Bluetooth,-56
21.633,Bluetooth,-57
21.635,Bluetooth,-57
21.671,Bluetooth,-60
21.673,Bluetooth,-60
21.752,Bluetooth,-57
21.754,Bluetooth,-58
21.817,Bluetooth,-60
21.818,Bluetooth,-61
21.847,Bluetooth,-54
21.887,Bluetooth,-57
