Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-58
0.001,Bluetooth,-59
0.033,Bluetooth,-61
0.034,Bluetooth,-63
0.069,Bluetooth,-74
0.070,Bluetooth,-74
0.105,Bluetooth,-60
0.144,Bluetooth,-65
0.145,Bluetooth,-66
0.179,Bluetooth,-65
0.253,Bluetooth,-77
0.255,Bluetooth,-75
0.292,Bluetooth,-60
0.294,Bluetooth,-60
0.323,Bluetooth,-69
0.325,Bluetooth,-69
0.360,Bluetooth,-61
0.361,Bluetooth,-61
0.394,Bluetooth,-61
0.396,Bluetooth,-62
0.426,Bluetooth,-66
0.428,Bluetooth,-67
0.493,Bluetooth,-52
0.494,Bluetooth,-53
0.532,Bluetooth,-55
0.533,Bluetooth,-54
0.592,Bluetooth,-52
0.593,Bluetooth,-54
0.738,Bluetooth,-57
0.739,Bluetooth,-59
0.811,Bluetooth,-57
0.812,Bluetooth,-59
0.927,Bluetooth,-61
0.928,Bluetooth,-60
0.955,Bluetooth,-52
0.956,Bluetooth,-52
0.996,Bluetooth,-55
1.030,Bluetooth,-58
1.031,Bluetooth,-57
1.092,Bluetooth,-49
1.093,Bluetooth,-49
1.131,Bluetooth,-54
1.133,Bluetooth,-54
1.203,Bluetooth,-50
1.274,Bluetooth,-58
1.275,Bluetooth,-57
1.307,Bluetooth,-49
1.308,Bluetooth,-50
1.347,Bluetooth,-53
1.348,Bluetooth,-53
1.384,Bluetooth,-60
1.385,Bluetooth,-59
1.488,Bluetooth,-52
1.489,Bluetooth,-52
1.529,Bluetooth,-58
1.530,Bluetooth,-59
1.567,Bluetooth,-51
1.568,Bluetooth,-50
1.647,Bluetooth,-59
1.648,Bluetooth,-59
1.679,Bluetooth,-49
1.680,Bluetooth,-51
1.717,Bluetooth,-52
1.718,Bluetooth,-52
1.754,Bluetooth,-59
1.756,Bluetooth,-59
1.818,Bluetooth,-52
1.819,Bluetooth,-52
1.860,Bluetooth,-59
1.861,Bluetooth,-59
2.007,Bluetooth,-59
2.008,Bluetooth,-60
2.072,Bluetooth,-52
2.073,Bluetooth,-52
2.111,Bluetooth,-59
2.112,Bluetooth,-60
2.180,Bluetooth,-52
2.181,Bluetooth,-52
2.220,Bluetooth,-59
2.221,Bluetooth,-59
2.255,Bluetooth,-59
2.256,Bluetooth,-60
2.289,Bluetooth,-49
2.290,Bluetooth,-49
2.366,Bluetooth,-58
2.367,Bluetooth,-59
2.394,Bluetooth,-49
2.395,Bluetooth,-50
2.431,Bluetooth,-51
2.432,Bluetooth,-52
2.499,Bluetooth,-49
2.500,Bluetooth,-50
2.530,Bluetooth,-49
2.531,Bluetooth,-48
2.568,Bluetooth,-53
2.569,Bluetooth,-52
2.635,Bluetooth,-49
2.636,Bluetooth,-50
2.710,Bluetooth,-60
2.711,Bluetooth,-60
2.741,Bluetooth,-49
2.742,Bluetooth,-49
2.773,Bluetooth,-49
2.774,Bluetooth,-50
2.808,Bluetooth,-53
2.809,Bluetooth,-52
2.909,Bluetooth,-53
2.910,Bluetooth,-52
2.982,Bluetooth,-49
2.983,Bluetooth,-49
3.010,Bluetooth,-50
3.011,Bluetooth,-50
3.049,Bluetooth,-51
3.051,Bluetooth,-53
3.080,Bluetooth,-60
3.081,Bluetooth,-60
3.119,Bluetooth,-50
3.120,Bluetooth,-50
3.153,Bluetooth,-52
3.154,Bluetooth,-53
3.191,Bluetooth,-60
3.192,Bluetooth,-60
3.267,Bluetooth,-53
3.268,Bluetooth,-53
3.298,Bluetooth,-60
3.299,Bluetooth,-59
3.333,Bluetooth,-59
3.334,Bluetooth,-59
3.400,Bluetooth,-52
3.401,Bluetooth,-51
3.467,Bluetooth,-50
3.468,Bluetooth,-49
3.501,Bluetooth,-52
3.502,Bluetooth,-53
3.604,Bluetooth,-50
3.645,Bluetooth,-53
3.680,Bluetooth,-60
3.681,Bluetooth,-61
3.709,Bluetooth,-49
3.710,Bluetooth,-50
3.747,Bluetooth,-53
3.748,Bluetooth,-52
3.786,Bluetooth,-60
3.787,Bluetooth,-59
3.889,Bluetooth,-53
3.890,Bluetooth,-52
46.879,Bluetooth,-63
46.880,Bluetooth,-63
46.912,Bluetooth,-61
46.914,Bluetooth,-60
47.007,Bluetooth,-64
47.009,Bluetooth,-62
47.080,Bluetooth,-71
47.081,Bluetooth,-70
47.111,Bluetooth,-62
47.112,Bluetooth,-63
47.180,Bluetooth,-71
47.181,Bluetooth,-70
47.245,Bluetooth,-63
47.247,Bluetooth,-62
47.317,Bluetooth,-70
47.318,Bluetooth,-70
47.350,Bluetooth,-63
47.352,Bluetooth,-63
47.384,Bluetooth,-62
47.385,Bluetooth,-61
47.449,Bluetooth,-71
47.451,Bluetooth,-72
47.485,Bluetooth,-62
47.486,Bluetooth,-62
47.519,Bluetooth,-62
47.519,Bluetooth,-61
47.550,Bluetooth,-71
47.551,Bluetooth,-71
47.624,Bluetooth,-61
47.625,Bluetooth,-60
47.688,Bluetooth,-71
47.732,Bluetooth,-62
47.733,Bluetooth,-62
47.833,Bluetooth,-62
47.834,Bluetooth,-62
47.873,Bluetooth,-62
47.874,Bluetooth,-61
47.904,Bluetooth,-70
47.944,Bluetooth,-62
47.945,Bluetooth,-62
47.983,Bluetooth,-60
47.984,Bluetooth,-61
48.050,Bluetooth,-71
48.051,Bluetooth,-71
48.091,Bluetooth,-62
48.092,Bluetooth,-62
48.128,Bluetooth,-61
48.129,Bluetooth,-63
48.158,Bluetooth,-70
48.159,Bluetooth,-72
48.234,Bluetooth,-62
48.235,Bluetooth,-63
48.260,Bluetooth,-71
48.290,Bluetooth,-71
48.371,Bluetooth,-62
48.372,Bluetooth,-63
48.401,Bluetooth,-70
48.433,Bluetooth,-63
48.434,Bluetooth,-61
48.466,Bluetooth,-61
48.499,Bluetooth,-72
48.500,Bluetooth,-71
48.529,Bluetooth,-71
48.530,Bluetooth,-72
48.563,Bluetooth,-62
48.564,Bluetooth,-62
48.600,Bluetooth,-62
48.601,Bluetooth,-63
48.629,Bluetooth,-72
48.666,Bluetooth,-61
48.667,Bluetooth,-63
48.768,Bluetooth,-71
48.804,Bluetooth,-62
48.805,Bluetooth,-62
48.838,Bluetooth,-63
48.840,Bluetooth,-62
48.868,Bluetooth,-72
48.869,Bluetooth,-71
48.901,Bluetooth,-62
48.902,Bluetooth,-62
48.941,Bluetooth,-62
48.943,Bluetooth,-62
49.049,Bluetooth,-62
49.050,Bluetooth,-63
49.083,Bluetooth,-62
49.084,Bluetooth,-62
49.153,Bluetooth,-62
49.154,Bluetooth,-62
49.184,Bluetooth,-62
49.186,Bluetooth,-62
49.254,Bluetooth,-72
49.255,Bluetooth,-72
49.291,Bluetooth,-62
49.292,Bluetooth,-62
49.323,Bluetooth,-62
49.324,Bluetooth,-62
49.356,Bluetooth,-72
49.357,Bluetooth,-72
49.429,Bluetooth,-62
49.430,Bluetooth,-61
49.464,Bluetooth,-72
49.465,Bluetooth,-73
49.498,Bluetooth,-62
49.499,Bluetooth,-62
49.609,Bluetooth,-73
49.610,Bluetooth,-72
49.681,Bluetooth,-61
49.682,Bluetooth,-62
49.711,Bluetooth,-72
49.712,Bluetooth,-72
49.745,Bluetooth,-62
49.746,Bluetooth,-61
49.844,Bluetooth,-72
49.845,Bluetooth,-71
49.916,Bluetooth,-61
