Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.123,Bluetooth,-49
0.124,Bluetooth,-49
0.152,Bluetooth,-50
0.153,Bluetooth,-50
0.228,Bluetooth,-50
0.229,Bluetooth,-50
0.308,Bluetooth,-50
0.309,Bluetooth,-50
0.380,Bluetooth,-51
0.381,Bluetooth,-50
0.413,Bluetooth,-51
0.413,Bluetooth,-51
0.491,Bluetooth,-51
0.598,Bluetooth,-49
0.598,Bluetooth,-50
0.631,Bluetooth,-49
0.632,Bluetooth,-50
0.671,Bluetooth,-49
0.672,Bluetooth,-49
0.711,Bluetooth,-50
0.712,Bluetooth,-50
0.846,Bluetooth,-49
0.846,Bluetooth,-49
0.918,Bluetooth,-49
0.919,Bluetooth,-49
0.980,Bluetooth,-48
0.981,Bluetooth,-48
1.018,Bluetooth,-49
1.019,Bluetooth,-49
1.055,Bluetooth,-48
1.056,Bluetooth,-48
1.086,Bluetooth,-48
1.230,Bluetooth,-48
1.232,Bluetooth,-49
1.308,Bluetooth,-48
1.309,Bluetooth,-48
1.345,Bluetooth,-48
1.346,Bluetooth,-47
1.386,Bluetooth,-47
1.422,Bluetooth,-48
1.423,Bluetooth,-49
1.494,Bluetooth,-48
1.494,Bluetooth,-48
1.531,Bluetooth,-48
1.533,Bluetooth,-49
1.638,Bluetooth,-48
1.639,Bluetooth,-48
1.669,Bluetooth,-48
1.670,Bluetooth,-48
1.745,Bluetooth,-48
1.745,Bluetooth,-48
1.817,Bluetooth,-49
1.818,Bluetooth,-47
1.851,Bluetooth,-48
1.851,Bluetooth,-48
1.890,Bluetooth,-48
1.892,Bluetooth,-48
1.930,Bluetooth,-48
1.931,Bluetooth,-48
1.970,Bluetooth,-47
1.971,Bluetooth,-48
2.178,Bluetooth,-48
2.179,Bluetooth,-48
2.214,Bluetooth,-48
2.215,Bluetooth,-48
2.247,Bluetooth,-47
2.248,Bluetooth,-49
2.286,Bluetooth,-47
2.399,Bluetooth,-47
2.401,Bluetooth,-48
2.437,Bluetooth,-48
2.438,Bluetooth,-49
2.468,Bluetooth,-48
2.469,Bluetooth,-48
2.537,Bluetooth,-47
2.537,Bluetooth,-48
2.717,Bluetooth,-48
2.718,Bluetooth,-48
2.751,Bluetooth,-48
2.751,Bluetooth,-49
2.786,Bluetooth,-47
2.787,Bluetooth,-48
2.827,Bluetooth,-47
2.829,Bluetooth,-48
2.864,Bluetooth,-48
2.866,Bluetooth,-48
2.898,Bluetooth,-48
2.972,Bluetooth,-49
2.973,Bluetooth,-47
3.007,Bluetooth,-47
3.008,Bluetooth,-48
3.038,Bluetooth,-48
3.075,Bluetooth,-47
3.076,Bluetooth,-48
3.115,Bluetooth,-48
3.116,Bluetooth,-48
3.154,Bluetooth,-48
3.154,Bluetooth,-48
3.190,Bluetooth,-47
3.221,Bluetooth,-48
3.222,Bluetooth,-48
3.259,Bluetooth,-48
3.260,Bluetooth,-48
3.337,Bluetooth,-49
3.337,Bluetooth,-48
3.366,Bluetooth,-49
3.368,Bluetooth,-48
3.406,Bluetooth,-48
3.407,Bluetooth,-48
3.435,Bluetooth,-48
3.436,Bluetooth,-48
3.466,Bluetooth,-48
3.467,Bluetooth,-48
3.648,Bluetooth,-49
3.649,Bluetooth,-48
3.714,Bluetooth,-49
3.714,Bluetooth,-48
3.744,Bluetooth,-48
3.745,Bluetooth,-48
3.774,Bluetooth,-49
3.950,Bluetooth,-48
3.951,Bluetooth,-48
3.980,Bluetooth,-47
3.980,Bluetooth,-48
16.423,Bluetooth,-45
16.424,Bluetooth,-45
16.501,Bluetooth,-45
16.502,Bluetooth,-44
16.642,Bluetooth,-46
16.643,Bluetooth,-44
16.681,Bluetooth,-45
16.754,Bluetooth,-44
16.755,Bluetooth,-44
16.785,Bluetooth,-45
16.785,Bluetooth,-45
16.819,Bluetooth,-45
16.820,Bluetooth,-45
16.855,Bluetooth,-46
16.857,Bluetooth,-45
16.891,Bluetooth,-45
16.892,Bluetooth,-46
16.953,Bluetooth,-46
16.954,Bluetooth,-46
17.021,Bluetooth,-46
17.059,Bluetooth,-45
17.061,Bluetooth,-45
17.165,Bluetooth,-46
17.165,Bluetooth,-45
17.406,Bluetooth,-44
17.407,Bluetooth,-44
17.474,Bluetooth,-45
17.475,Bluetooth,-44
17.517,Bluetooth,-44
17.517,Bluetooth,-43
17.550,Bluetooth,-45
17.551,Bluetooth,-45
17.581,Bluetooth,-43
17.612,Bluetooth,-45
17.613,Bluetooth,-45
17.651,Bluetooth,-46
17.653,Bluetooth,-45
17.798,Bluetooth,-46
17.799,Bluetooth,-44
17.833,Bluetooth,-45
17.834,Bluetooth,-46
17.899,Bluetooth,-44
17.930,Bluetooth,-44
17.931,Bluetooth,-45
17.996,Bluetooth,-45
17.997,Bluetooth,-46
18.038,Bluetooth,-45
18.039,Bluetooth,-46
18.073,Bluetooth,-45
18.074,Bluetooth,-45
18.106,Bluetooth,-48
18.107,Bluetooth,-47
18.180,Bluetooth,-49
18.420,Bluetooth,-47
18.527,Bluetooth,-49
18.528,Bluetooth,-48
18.556,Bluetooth,-47
18.557,Bluetooth,-47
18.659,Bluetooth,-51
18.660,Bluetooth,-51
18.938,Bluetooth,-46
19.008,Bluetooth,-47
