Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-48
0.001,Bluetooth,-48
0.034,Bluetooth,-48
0.034,Bluetooth,-48
0.069,Bluetooth,-47
0.070,Bluetooth,-49
0.110,Bluetooth,-48
0.112,Bluetooth,-47
0.147,Bluetooth,-48
0.149,Bluetooth,-48
0.181,Bluetooth,-47
0.255,Bluetooth,-49
0.256,Bluetooth,-48
0.290,Bluetooth,-49
0.291,Bluetooth,-48
0.321,Bluetooth,-48
0.358,Bluetooth,-48
0.359,Bluetooth,-48
0.398,Bluetooth,-48
0.399,Bluetooth,-48
0.437,Bluetooth,-48
0.437,Bluetooth,-47
0.473,Bluetooth,-48
0.504,Bluetooth,-48
0.505,Bluetooth,-48
0.542,Bluetooth,-48
0.543,Bluetooth,-48
0.620,Bluetooth,-49
0.620,Bluetooth,-48
0.649,Bluetooth,-48
0.651,Bluetooth,-48
0.689,Bluetooth,-49
0.690,Bluetooth,-48
0.718,Bluetooth,-47
0.719,Bluetooth,-48
0.749,Bluetooth,-48
0.750,Bluetooth,-47
0.931,Bluetooth,-49
0.932,Bluetooth,-48
0.997,Bluetooth,-48
0.997,Bluetooth,-48
1.027,Bluetooth,-49
1.028,Bluetooth,-48
1.057,Bluetooth,-49
1.233,Bluetooth,-47
1.234,Bluetooth,-48
1.263,Bluetooth,-48
1.263,Bluetooth,-48
1.306,Bluetooth,-49
1.307,Bluetooth,-49
1.442,Bluetooth,-48
1.443,Bluetooth,-49
1.477,Bluetooth,-49
1.478,Bluetooth,-48
1.506,Bluetooth,-49
1.507,Bluetooth,-49
1.643,Bluetooth,-50
1.645,Bluetooth,-50
1.679,Bluetooth,-49
1.714,Bluetooth,-49
1.716,Bluetooth,-49
1.792,Bluetooth,-50
1.793,Bluetooth,-50
1.823,Bluetooth,-48
1.824,Bluetooth,-50
1.861,Bluetooth,-49
1.863,Bluetooth,-50
1.896,Bluetooth,-49
1.896,Bluetooth,-49
1.930,Bluetooth,-49
1.931,Bluetooth,-48
1.970,Bluetooth,-48
2.001,Bluetooth,-49
2.041,Bluetooth,-49
2.043,Bluetooth,-50
2.076,Bluetooth,-48
2.077,Bluetooth,-49
2.212,Bluetooth,-49
2.213,Bluetooth,-49
2.243,Bluetooth,-50
2.244,Bluetooth,-49
2.281,Bluetooth,-50
2.385,Bluetooth,-50
2.386,Bluetooth,-49
2.414,Bluetooth,-49
2.416,Bluetooth,-48
2.450,Bluetooth,-49
2.555,Bluetooth,-49
2.556,Bluetooth,-50
2.557,Bluetooth,-49
2.592,Bluetooth,-50
2.593,Bluetooth,-49
2.629,Bluetooth,-49
2.630,Bluetooth,-49
2.695,Bluetooth,-49
2.695,Bluetooth,-50
2.725,Bluetooth,-49
2.726,Bluetooth,-49
2.762,Bluetooth,-50
2.764,Bluetooth,-49
2.799,Bluetooth,-48
2.799,Bluetooth,-49
2.834,Bluetooth,-49
2.836,Bluetooth,-49
2.869,Bluetooth,-49
2.900,Bluetooth,-49
2.902,Bluetooth,-50
2.936,Bluetooth,-49
2.937,Bluetooth,-49
3.014,Bluetooth,-48
3.015,Bluetooth,-48
3.055,Bluetooth,-48
3.056,Bluetooth,-50
3.091,Bluetooth,-48
3.092,Bluetooth,-50
3.129,Bluetooth,-49
3.130,Bluetooth,-49
3.167,Bluetooth,-49
3.204,Bluetooth,-50
3.206,Bluetooth,-49
3.284,Bluetooth,-49
3.286,Bluetooth,-50
3.322,Bluetooth,-49
3.323,Bluetooth,-49
3.356,Bluetooth,-48
3.357,Bluetooth,-48
3.457,Bluetooth,-49
3.568,Bluetooth,-47
3.569,Bluetooth,-47
3.634,Bluetooth,-49
3.635,Bluetooth,-48
3.736,Bluetooth,-49
3.738,Bluetooth,-49
3.769,Bluetooth,-49
3.848,Bluetooth,-50
3.849,Bluetooth,-50
77.635,Bluetooth,-67
77.636,Bluetooth,-68
77.673,Bluetooth,-54
77.735,Bluetooth,-66
77.736,Bluetooth,-66
77.861,Bluetooth,-69
77.892,Bluetooth,-70
77.893,Bluetooth,-69
77.958,Bluetooth,-61
77.959,Bluetooth,-61
77.992,Bluetooth,-57
77.993,Bluetooth,-57
78.064,Bluetooth,-58
78.065,Bluetooth,-59
78.136,Bluetooth,-68
78.137,Bluetooth,-67
78.201,Bluetooth,-69
78.202,Bluetooth,-68
78.236,Bluetooth,-59
78.237,Bluetooth,-59
78.272,Bluetooth,-55
78.312,Bluetooth,-67
78.350,Bluetooth,-59
78.351,Bluetooth,-59
78.412,Bluetooth,-58
78.413,Bluetooth,-57
78.480,Bluetooth,-65
78.556,Bluetooth,-58
78.557,Bluetooth,-59
78.590,Bluetooth,-56
78.591,Bluetooth,-57
78.625,Bluetooth,-64
78.626,Bluetooth,-64
78.661,Bluetooth,-59
78.662,Bluetooth,-59
78.691,Bluetooth,-58
78.692,Bluetooth,-57
78.729,Bluetooth,-63
78.730,Bluetooth,-62
78.837,Bluetooth,-59
78.901,Bluetooth,-58
78.902,Bluetooth,-59
78.937,Bluetooth,-58
78.937,Bluetooth,-58
78.970,Bluetooth,-63
78.972,Bluetooth,-63
79.038,Bluetooth,-63
79.039,Bluetooth,-62
79.073,Bluetooth,-58
79.148,Bluetooth,-58
79.149,Bluetooth,-58
79.185,Bluetooth,-61
79.186,Bluetooth,-62
79.226,Bluetooth,-58
79.227,Bluetooth,-58
79.259,Bluetooth,-58
79.260,Bluetooth,-58
79.336,Bluetooth,-57
79.336,Bluetooth,-58
79.365,Bluetooth,-58
79.398,Bluetooth,-58
79.399,Bluetooth,-58
79.437,Bluetooth,-57
