Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-63
0.041,Bluetooth,-68
0.042,Bluetooth,-67
0.140,Bluetooth,-75
0.142,Bluetooth,-75
0.209,Bluetooth,-65
0.211,Bluetooth,-66
0.284,Bluetooth,-67
0.285,Bluetooth,-67
0.321,Bluetooth,-61
0.322,Bluetooth,-63
0.385,Bluetooth,-70
0.417,Bluetooth,-63
0.419,Bluetooth,-63
0.520,Bluetooth,-62
0.522,Bluetooth,-61
0.555,Bluetooth,-60
0.592,Bluetooth,-62
0.593,Bluetooth,-62
0.627,Bluetooth,-63
0.628,Bluetooth,-64
0.699,Bluetooth,-63
0.700,Bluetooth,-62
0.769,Bluetooth,-69
0.770,Bluetooth,-69
0.867,Bluetooth,-69
0.868,Bluetooth,-70
0.903,Bluetooth,-72
0.904,Bluetooth,-72
0.940,Bluetooth,-71
0.969,Bluetooth,-70
0.970,Bluetooth,-72
1.000,Bluetooth,-77
1.038,Bluetooth,-70
1.038,Bluetooth,-69
1.144,Bluetooth,-71
1.145,Bluetooth,-70
1.176,Bluetooth,-80
1.177,Bluetooth,-80
1.214,Bluetooth,-70
1.215,Bluetooth,-69
1.254,Bluetooth,-75
1.255,Bluetooth,-75
1.320,Bluetooth,-69
1.453,Bluetooth,-67
1.533,Bluetooth,-76
1.535,Bluetooth,-76
1.564,Bluetooth,-67
1.564,Bluetooth,-67
1.605,Bluetooth,-67
1.644,Bluetooth,-78
1.645,Bluetooth,-80
1.676,Bluetooth,-69
1.677,Bluetooth,-68
1.708,Bluetooth,-75
1.709,Bluetooth,-77
1.738,Bluetooth,-74
1.740,Bluetooth,-74
1.805,Bluetooth,-66
1.807,Bluetooth,-66
1.842,Bluetooth,-67
1.843,Bluetooth,-66
1.878,Bluetooth,-64
1.880,Bluetooth,-63
1.953,Bluetooth,-75
1.954,Bluetooth,-75
1.993,Bluetooth,-64
1.994,Bluetooth,-64
2.023,Bluetooth,-63
2.025,Bluetooth,-63
2.061,Bluetooth,-76
2.098,Bluetooth,-63
2.166,Bluetooth,-79
2.241,Bluetooth,-60
2.243,Bluetooth,-61
2.350,Bluetooth,-62
2.352,Bluetooth,-63
2.457,Bluetooth,-64
