Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-66
0.002,Bluetooth,-66
0.108,Bluetooth,-58
0.109,Bluetooth,-56
0.145,Bluetooth,-51
0.147,Bluetooth,-51
0.179,Bluetooth,-62
0.181,Bluetooth,-62
0.211,Bluetooth,-61
0.212,Bluetooth,-61
0.282,Bluetooth,-51
0.284,Bluetooth,-52
0.321,Bluetooth,-63
0.322,Bluetooth,-63
0.358,Bluetooth,-59
0.359,Bluetooth,-60
0.396,Bluetooth,-55
0.397,Bluetooth,-54
0.434,Bluetooth,-64
0.436,Bluetooth,-67
0.467,Bluetooth,-64
0.467,Bluetooth,-65
0.513,Bluetooth,-61
0.515,Bluetooth,-61
0.545,Bluetooth,-57
0.546,Bluetooth,-57
0.618,Bluetooth,-65
0.620,Bluetooth,-71
0.685,Bluetooth,-52
0.687,Bluetooth,-52
0.716,Bluetooth,-54
0.718,Bluetooth,-54
0.758,Bluetooth,-57
0.760,Bluetooth,-57
0.790,Bluetooth,-52
0.792,Bluetooth,-51
0.823,Bluetooth,-52
0.825,Bluetooth,-54
0.863,Bluetooth,-66
0.864,Bluetooth,-66
1.005,Bluetooth,-75
1.007,Bluetooth,-75
1.042,Bluetooth,-49
1.043,Bluetooth,-49
1.073,Bluetooth,-51
1.075,Bluetooth,-52
1.112,Bluetooth,-69
1.114,Bluetooth,-70
1.143,Bluetooth,-48
1.145,Bluetooth,-50
1.182,Bluetooth,-51
1.183,Bluetooth,-50
1.285,Bluetooth,-49
1.349,Bluetooth,-59
1.350,Bluetooth,-60
1.377,Bluetooth,-47
1.378,Bluetooth,-45
1.413,Bluetooth,-46
1.414,Bluetooth,-48
1.485,Bluetooth,-60
1.487,Bluetooth,-61
1.517,Bluetooth,-48
1.519,Bluetooth,-47
1.552,Bluetooth,-49
1.554,Bluetooth,-49
1.600,Bluetooth,-65
1.601,Bluetooth,-66
1.665,Bluetooth,-51
1.667,Bluetooth,-51
1.698,Bluetooth,-68
1.700,Bluetooth,-74
1.769,Bluetooth,-48
1.771,Bluetooth,-48
1.807,Bluetooth,-48
1.808,Bluetooth,-48
1.877,Bluetooth,-49
1.878,Bluetooth,-49
1.910,Bluetooth,-49
1.912,Bluetooth,-49
1.979,Bluetooth,-48
1.981,Bluetooth,-47
2.020,Bluetooth,-48
2.022,Bluetooth,-47
2.113,Bluetooth,-47
2.115,Bluetooth,-47
2.152,Bluetooth,-49
2.154,Bluetooth,-50
2.194,Bluetooth,-59
2.195,Bluetooth,-59
2.229,Bluetooth,-48
2.231,Bluetooth,-48
2.263,Bluetooth,-50
2.264,Bluetooth,-50
2.304,Bluetooth,-66
2.305,Bluetooth,-66
2.402,Bluetooth,-50
2.403,Bluetooth,-49
2.441,Bluetooth,-53
2.443,Bluetooth,-53
2.469,Bluetooth,-53
2.543,Bluetooth,-61
2.544,Bluetooth,-60
2.578,Bluetooth,-50
2.579,Bluetooth,-50
2.616,Bluetooth,-55
2.618,Bluetooth,-53
2.788,Bluetooth,-57
2.790,Bluetooth,-57
2.827,Bluetooth,-48
2.828,Bluetooth,-49
2.860,Bluetooth,-50
2.861,Bluetooth,-50
2.958,Bluetooth,-49
2.960,Bluetooth,-47
3.071,Bluetooth,-49
3.073,Bluetooth,-51
3.111,Bluetooth,-52
3.113,Bluetooth,-51
3.148,Bluetooth,-68
3.149,Bluetooth,-67
3.176,Bluetooth,-50
3.178,Bluetooth,-52
3.209,Bluetooth,-51
3.211,Bluetooth,-51
3.242,Bluetooth,-51
3.244,Bluetooth,-51
3.280,Bluetooth,-63
3.281,Bluetooth,-62
3.308,Bluetooth,-50
3.310,Bluetooth,-48
3.349,Bluetooth,-51
3.350,Bluetooth,-51
3.382,Bluetooth,-59
3.383,Bluetooth,-58
3.413,Bluetooth,-62
3.414,Bluetooth,-61
3.448,Bluetooth,-47
3.529,Bluetooth,-68
3.559,Bluetooth,-49
3.561,Bluetooth,-49
3.600,Bluetooth,-51
3.601,Bluetooth,-52
3.632,Bluetooth,-58
3.664,Bluetooth,-50
3.665,Bluetooth,-49
3.705,Bluetooth,-51
3.707,Bluetooth,-52
3.736,Bluetooth,-64
3.738,Bluetooth,-63
3.809,Bluetooth,-47
3.811,Bluetooth,-49
3.850,Bluetooth,-51
3.851,Bluetooth,-51
3.880,Bluetooth,-63
3.881,Bluetooth,-62
3.912,Bluetooth,-48
3.913,Bluetooth,-48
104.172,Bluetooth,-55
104.173,Bluetooth,-55
104.212,Bluetooth,-53
