Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-61
0.001,Bluetooth,-60
0.065,Bluetooth,-57
0.132,Bluetooth,-61
0.132,Bluetooth,-59
0.163,Bluetooth,-56
0.164,Bluetooth,-56
0.195,Bluetooth,-58
0.196,Bluetooth,-58
0.228,Bluetooth,-60
0.230,Bluetooth,-60
0.266,Bluetooth,-56
0.267,Bluetooth,-56
0.362,Bluetooth,-60
0.364,Bluetooth,-59
0.394,Bluetooth,-56
0.395,Bluetooth,-57
0.486,Bluetooth,-60
0.487,Bluetooth,-60
0.518,Bluetooth,-56
0.519,Bluetooth,-57
0.553,Bluetooth,-58
0.554,Bluetooth,-58
0.647,Bluetooth,-56
0.648,Bluetooth,-55
0.678,Bluetooth,-58
0.679,Bluetooth,-56
0.708,Bluetooth,-60
0.709,Bluetooth,-60
0.839,Bluetooth,-61
0.840,Bluetooth,-61
0.874,Bluetooth,-55
0.875,Bluetooth,-56
0.905,Bluetooth,-57
0.906,Bluetooth,-57
0.971,Bluetooth,-61
0.972,Bluetooth,-61
1.000,Bluetooth,-57
1.003,Bluetooth,-57
1.031,Bluetooth,-58
1.033,Bluetooth,-57
1.093,Bluetooth,-61
1.094,Bluetooth,-60
1.124,Bluetooth,-56
1.125,Bluetooth,-58
1.157,Bluetooth,-58
1.158,Bluetooth,-57
1.185,Bluetooth,-61
1.187,Bluetooth,-61
1.249,Bluetooth,-56
1.251,Bluetooth,-56
1.285,Bluetooth,-57
1.286,Bluetooth,-57
1.316,Bluetooth,-61
1.317,Bluetooth,-61
1.348,Bluetooth,-56
1.349,Bluetooth,-56
1.469,Bluetooth,-56
1.470,Bluetooth,-56
1.504,Bluetooth,-58
1.505,Bluetooth,-56
1.534,Bluetooth,-57
1.535,Bluetooth,-56
1.565,Bluetooth,-62
1.566,Bluetooth,-62
1.594,Bluetooth,-55
1.595,Bluetooth,-56
1.688,Bluetooth,-61
1.689,Bluetooth,-61
1.720,Bluetooth,-56
1.721,Bluetooth,-55
1.754,Bluetooth,-55
1.755,Bluetooth,-57
1.786,Bluetooth,-61
1.787,Bluetooth,-62
1.890,Bluetooth,-56
1.891,Bluetooth,-57
1.920,Bluetooth,-62
1.921,Bluetooth,-63
1.951,Bluetooth,-56
1.952,Bluetooth,-56
1.983,Bluetooth,-56
1.984,Bluetooth,-57
2.049,Bluetooth,-62
2.051,Bluetooth,-62
2.081,Bluetooth,-56
2.174,Bluetooth,-62
2.175,Bluetooth,-62
2.206,Bluetooth,-55
2.207,Bluetooth,-57
2.237,Bluetooth,-56
2.238,Bluetooth,-56
2.333,Bluetooth,-57
2.334,Bluetooth,-57
2.363,Bluetooth,-57
2.364,Bluetooth,-56
2.423,Bluetooth,-57
2.424,Bluetooth,-57
2.489,Bluetooth,-57
2.490,Bluetooth,-57
2.520,Bluetooth,-62
2.522,Bluetooth,-61
2.555,Bluetooth,-57
2.556,Bluetooth,-57
2.588,Bluetooth,-58
2.589,Bluetooth,-57
2.650,Bluetooth,-62
2.651,Bluetooth,-60
2.683,Bluetooth,-56
2.684,Bluetooth,-57
2.713,Bluetooth,-57
2.714,Bluetooth,-57
2.745,Bluetooth,-60
2.746,Bluetooth,-60
2.839,Bluetooth,-57
2.840,Bluetooth,-56
2.931,Bluetooth,-55
2.932,Bluetooth,-56
2.964,Bluetooth,-58
2.965,Bluetooth,-57
3.024,Bluetooth,-56
3.026,Bluetooth,-56
3.088,Bluetooth,-57
3.089,Bluetooth,-57
3.116,Bluetooth,-60
3.117,Bluetooth,-59
3.149,Bluetooth,-56
3.150,Bluetooth,-56
3.244,Bluetooth,-61
3.245,Bluetooth,-60
3.279,Bluetooth,-57
3.279,Bluetooth,-56
3.309,Bluetooth,-57
3.311,Bluetooth,-59
3.402,Bluetooth,-56
3.403,Bluetooth,-57
3.434,Bluetooth,-59
3.435,Bluetooth,-58
3.467,Bluetooth,-61
3.468,Bluetooth,-61
3.568,Bluetooth,-58
