Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-51
0.001,Bluetooth,-50
0.031,Bluetooth,-55
0.032,Bluetooth,-53
0.103,Bluetooth,-50
0.104,Bluetooth,-51
0.142,Bluetooth,-55
0.143,Bluetooth,-54
0.178,Bluetooth,-58
0.179,Bluetooth,-58
0.210,Bluetooth,-59
0.211,Bluetooth,-58
0.274,Bluetooth,-53
0.275,Bluetooth,-54
0.306,Bluetooth,-57
0.307,Bluetooth,-60
0.384,Bluetooth,-54
0.384,Bluetooth,-54
0.516,Bluetooth,-54
0.517,Bluetooth,-54
0.547,Bluetooth,-58
0.549,Bluetooth,-59
0.578,Bluetooth,-50
0.580,Bluetooth,-51
0.619,Bluetooth,-54
0.620,Bluetooth,-54
0.709,Bluetooth,-52
0.710,Bluetooth,-51
0.742,Bluetooth,-54
0.743,Bluetooth,-54
0.780,Bluetooth,-60
0.781,Bluetooth,-60
0.818,Bluetooth,-51
0.819,Bluetooth,-51
0.857,Bluetooth,-54
0.859,Bluetooth,-54
0.895,Bluetooth,-62
0.896,Bluetooth,-61
0.924,Bluetooth,-62
0.925,Bluetooth,-61
0.963,Bluetooth,-50
0.964,Bluetooth,-51
1.004,Bluetooth,-55
1.005,Bluetooth,-55
1.036,Bluetooth,-63
1.037,Bluetooth,-65
1.068,Bluetooth,-51
1.070,Bluetooth,-51
1.100,Bluetooth,-55
1.101,Bluetooth,-55
1.137,Bluetooth,-61
1.138,Bluetooth,-61
1.238,Bluetooth,-55
1.239,Bluetooth,-55
1.306,Bluetooth,-51
1.307,Bluetooth,-52
1.346,Bluetooth,-53
1.347,Bluetooth,-56
1.379,Bluetooth,-61
1.380,Bluetooth,-61
1.410,Bluetooth,-61
1.411,Bluetooth,-61
1.443,Bluetooth,-51
1.444,Bluetooth,-51
1.518,Bluetooth,-61
1.519,Bluetooth,-61
1.547,Bluetooth,-51
1.548,Bluetooth,-51
1.578,Bluetooth,-55
1.579,Bluetooth,-56
1.610,Bluetooth,-56
1.611,Bluetooth,-54
1.646,Bluetooth,-62
1.647,Bluetooth,-63
1.675,Bluetooth,-51
1.677,Bluetooth,-51
1.710,Bluetooth,-56
1.711,Bluetooth,-56
1.750,Bluetooth,-62
1.782,Bluetooth,-51
1.783,Bluetooth,-51
1.823,Bluetooth,-55
1.825,Bluetooth,-54
1.863,Bluetooth,-60
1.864,Bluetooth,-61
1.899,Bluetooth,-52
1.973,Bluetooth,-61
1.974,Bluetooth,-63
2.088,Bluetooth,-54
2.089,Bluetooth,-55
2.150,Bluetooth,-53
2.151,Bluetooth,-52
2.222,Bluetooth,-62
2.223,Bluetooth,-62
2.253,Bluetooth,-52
2.254,Bluetooth,-52
2.287,Bluetooth,-52
2.288,Bluetooth,-53
2.324,Bluetooth,-55
2.326,Bluetooth,-56
2.355,Bluetooth,-62
2.356,Bluetooth,-62
2.427,Bluetooth,-54
2.428,Bluetooth,-55
2.459,Bluetooth,-62
2.460,Bluetooth,-63
2.559,Bluetooth,-54
2.669,Bluetooth,-55
2.670,Bluetooth,-55
2.743,Bluetooth,-51
2.744,Bluetooth,-51
3.013,Bluetooth,-55
3.014,Bluetooth,-55
3.054,Bluetooth,-63
3.055,Bluetooth,-62
3.087,Bluetooth,-61
3.088,Bluetooth,-63
3.155,Bluetooth,-55
3.156,Bluetooth,-55
3.188,Bluetooth,-61
3.189,Bluetooth,-62
3.254,Bluetooth,-55
3.255,Bluetooth,-55
3.286,Bluetooth,-55
3.287,Bluetooth,-55
3.387,Bluetooth,-55
3.388,Bluetooth,-57
3.419,Bluetooth,-63
3.420,Bluetooth,-63
3.454,Bluetooth,-51
3.495,Bluetooth,-56
3.533,Bluetooth,-63
3.534,Bluetooth,-62
3.600,Bluetooth,-51
3.601,Bluetooth,-51
3.708,Bluetooth,-52
3.708,Bluetooth,-52
3.780,Bluetooth,-62
3.816,Bluetooth,-52
3.817,Bluetooth,-53
3.893,Bluetooth,-62
3.894,Bluetooth,-62
3.926,Bluetooth,-62
3.927,Bluetooth,-62
41.671,Bluetooth,-69
41.672,Bluetooth,-71
41.704,Bluetooth,-63
41.706,Bluetooth,-64
41.738,Bluetooth,-61
41.739,Bluetooth,-61
41.803,Bluetooth,-71
41.805,Bluetooth,-71
41.839,Bluetooth,-62
41.840,Bluetooth,-62
41.873,Bluetooth,-62
41.873,Bluetooth,-61
41.904,Bluetooth,-72
41.905,Bluetooth,-71
41.978,Bluetooth,-61
41.979,Bluetooth,-61
42.042,Bluetooth,-71
42.086,Bluetooth,-62
42.087,Bluetooth,-62
42.187,Bluetooth,-61
42.188,Bluetooth,-61
42.227,Bluetooth,-61
42.228,Bluetooth,-60
42.258,Bluetooth,-71
42.298,Bluetooth,-62
42.299,Bluetooth,-62
42.337,Bluetooth,-61
42.338,Bluetooth,-61
42.404,Bluetooth,-71
42.405,Bluetooth,-71
42.445,Bluetooth,-62
42.446,Bluetooth,-63
42.482,Bluetooth,-61
42.483,Bluetooth,-62
42.512,Bluetooth,-70
42.513,Bluetooth,-72
42.588,Bluetooth,-61
42.589,Bluetooth,-62
42.614,Bluetooth,-70
42.644,Bluetooth,-71
42.725,Bluetooth,-62
42.726,Bluetooth,-62
42.755,Bluetooth,-71
42.787,Bluetooth,-62
42.788,Bluetooth,-63
42.820,Bluetooth,-62
42.853,Bluetooth,-72
42.854,Bluetooth,-72
42.883,Bluetooth,-70
42.884,Bluetooth,-72
42.917,Bluetooth,-62
42.918,Bluetooth,-60
42.954,Bluetooth,-63
42.955,Bluetooth,-62
42.983,Bluetooth,-71
43.020,Bluetooth,-62
43.021,Bluetooth,-61
43.122,Bluetooth,-71
43.158,Bluetooth,-63
43.159,Bluetooth,-61
43.192,Bluetooth,-62
43.194,Bluetooth,-63
43.222,Bluetooth,-72
43.223,Bluetooth,-71
43.255,Bluetooth,-62
43.256,Bluetooth,-61
43.295,Bluetooth,-62
43.297,Bluetooth,-62
43.403,Bluetooth,-62
43.404,Bluetooth,-61
43.437,Bluetooth,-62
43.438,Bluetooth,-62
43.507,Bluetooth,-62
43.508,Bluetooth,-61
43.538,Bluetooth,-62
43.540,Bluetooth,-62
43.608,Bluetooth,-72
43.609,Bluetooth,-72
43.645,Bluetooth,-61
43.646,Bluetooth,-63
43.677,Bluetooth,-62
43.678,Bluetooth,-62
43.710,Bluetooth,-72
43.711,Bluetooth,-72
43.783,Bluetooth,-62
43.784,Bluetooth,-61
43.818,Bluetooth,-72
43.819,Bluetooth,-72
43.852,Bluetooth,-62
43.853,Bluetooth,-63
43.963,Bluetooth,-71
43.964,Bluetooth,-73
44.035,Bluetooth,-61
44.036,Bluetooth,-62
44.065,Bluetooth,-72
44.066,Bluetooth,-73
44.099,Bluetooth,-61
44.100,Bluetooth,-61
44.198,Bluetooth,-72
44.199,Bluetooth,-72
44.270,Bluetooth,-61
44.271,Bluetooth,-63
44.301,Bluetooth,-73
44.374,Bluetooth,-61
44.375,Bluetooth,-61
44.412,Bluetooth,-72
44.413,Bluetooth,-72
44.514,Bluetooth,-61
44.515,Bluetooth,-61
44.549,Bluetooth,-72
44.586,Bluetooth,-61
44.587,Bluetooth,-61
44.693,Bluetooth,-62
44.694,Bluetooth,-61
44.805,Bluetooth,-72
44.806,Bluetooth,-74
44.883,Bluetooth,-60
44.884,Bluetooth,-61
44.913,Bluetooth,-73
44.914,Bluetooth,-73
44.945,Bluetooth,-62
44.947,Bluetooth,-62
45.012,Bluetooth,-73
45.048,Bluetooth,-71
45.087,Bluetooth,-62
