Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-90
0.036,Bluetooth,-68
0.037,Bluetooth,-68
0.062,Bluetooth,-65
0.063,Bluetooth,-66
0.095,Bluetooth,-65
0.096,Bluetooth,-65
0.164,Bluetooth,-68
0.165,Bluetooth,-69
0.203,Bluetooth,-65
0.204,Bluetooth,-65
0.233,Bluetooth,-76
0.234,Bluetooth,-75
0.268,Bluetooth,-70
0.270,Bluetooth,-69
0.301,Bluetooth,-67
0.303,Bluetooth,-67
0.339,Bluetooth,-77
0.340,Bluetooth,-77
0.370,Bluetooth,-77
0.371,Bluetooth,-76
0.410,Bluetooth,-70
0.411,Bluetooth,-69
0.525,Bluetooth,-70
0.527,Bluetooth,-72
0.559,Bluetooth,-67
0.560,Bluetooth,-66
0.587,Bluetooth,-76
0.588,Bluetooth,-75
0.657,Bluetooth,-66
0.659,Bluetooth,-66
0.726,Bluetooth,-74
0.767,Bluetooth,-74
0.808,Bluetooth,-68
0.808,Bluetooth,-68
0.843,Bluetooth,-76
0.917,Bluetooth,-67
0.918,Bluetooth,-68
0.949,Bluetooth,-75
0.950,Bluetooth,-75
1.035,Bluetooth,-66
1.036,Bluetooth,-68
1.065,Bluetooth,-73
1.139,Bluetooth,-67
1.140,Bluetooth,-68
1.177,Bluetooth,-73
1.178,Bluetooth,-73
1.208,Bluetooth,-74
1.210,Bluetooth,-73
1.247,Bluetooth,-74
1.285,Bluetooth,-67
1.286,Bluetooth,-67
1.389,Bluetooth,-68
1.390,Bluetooth,-67
1.488,Bluetooth,-76
1.490,Bluetooth,-76
1.523,Bluetooth,-67
1.524,Bluetooth,-67
1.556,Bluetooth,-73
1.557,Bluetooth,-74
1.664,Bluetooth,-74
1.694,Bluetooth,-73
1.695,Bluetooth,-73
1.726,Bluetooth,-76
1.756,Bluetooth,-67
1.757,Bluetooth,-66
1.787,Bluetooth,-73
1.853,Bluetooth,-76
1.854,Bluetooth,-74
1.893,Bluetooth,-67
1.894,Bluetooth,-66
1.927,Bluetooth,-75
1.966,Bluetooth,-74
1.997,Bluetooth,-66
1.998,Bluetooth,-67
2.100,Bluetooth,-67
2.102,Bluetooth,-67
2.132,Bluetooth,-66
2.245,Bluetooth,-66
2.246,Bluetooth,-66
2.283,Bluetooth,-76
2.349,Bluetooth,-66
2.350,Bluetooth,-66
2.387,Bluetooth,-76
2.426,Bluetooth,-72
2.427,Bluetooth,-72
2.535,Bluetooth,-75
2.569,Bluetooth,-75
2.608,Bluetooth,-73
2.609,Bluetooth,-72
2.644,Bluetooth,-66
2.646,Bluetooth,-66
2.711,Bluetooth,-70
2.742,Bluetooth,-67
2.876,Bluetooth,-67
2.877,Bluetooth,-67
2.908,Bluetooth,-79
2.910,Bluetooth,-79
2.943,Bluetooth,-73
2.944,Bluetooth,-72
2.974,Bluetooth,-72
2.975,Bluetooth,-72
3.041,Bluetooth,-77
3.113,Bluetooth,-67
3.115,Bluetooth,-67
3.142,Bluetooth,-77
3.212,Bluetooth,-71
3.213,Bluetooth,-71
3.243,Bluetooth,-67
3.245,Bluetooth,-67
3.276,Bluetooth,-77
3.382,Bluetooth,-73
3.383,Bluetooth,-73
3.415,Bluetooth,-73
3.417,Bluetooth,-72
3.453,Bluetooth,-71
3.455,Bluetooth,-72
3.484,Bluetooth,-68
3.486,Bluetooth,-69
3.515,Bluetooth,-71
3.517,Bluetooth,-71
3.554,Bluetooth,-71
3.555,Bluetooth,-71
3.590,Bluetooth,-69
3.591,Bluetooth,-69
3.618,Bluetooth,-72
3.619,Bluetooth,-71
3.659,Bluetooth,-70
3.660,Bluetooth,-71
3.695,Bluetooth,-71
3.696,Bluetooth,-70
3.759,Bluetooth,-72
91.008,Bluetooth,-67
91.009,Bluetooth,-67
91.044,Bluetooth,-71
91.045,Bluetooth,-71
91.082,Bluetooth,-69
91.083,Bluetooth,-68
91.223,Bluetooth,-67
91.224,Bluetooth,-67
91.259,Bluetooth,-71
91.260,Bluetooth,-71
91.294,Bluetooth,-71
91.295,Bluetooth,-71
91.330,Bluetooth,-68
91.370,Bluetooth,-67
91.372,Bluetooth,-68
91.403,Bluetooth,-71
91.442,Bluetooth,-68
91.443,Bluetooth,-68
91.474,Bluetooth,-67
91.475,Bluetooth,-67
91.506,Bluetooth,-71
91.507,Bluetooth,-70
91.539,Bluetooth,-68
91.577,Bluetooth,-66
91.579,Bluetooth,-65
91.649,Bluetooth,-71
91.650,Bluetooth,-71
91.680,Bluetooth,-68
91.682,Bluetooth,-69
91.714,Bluetooth,-65
91.716,Bluetooth,-65
91.820,Bluetooth,-67
91.821,Bluetooth,-66
91.866,Bluetooth,-71
91.867,Bluetooth,-71
91.891,Bluetooth,-72
91.892,Bluetooth,-71
91.926,Bluetooth,-68
91.966,Bluetooth,-66
91.967,Bluetooth,-66
92.004,Bluetooth,-71
92.005,Bluetooth,-72
92.041,Bluetooth,-69
92.042,Bluetooth,-67
92.073,Bluetooth,-66
92.074,Bluetooth,-66
92.179,Bluetooth,-66
92.180,Bluetooth,-66
92.210,Bluetooth,-66
92.211,Bluetooth,-65
92.248,Bluetooth,-70
92.249,Bluetooth,-71
92.282,Bluetooth,-69
92.316,Bluetooth,-66
92.317,Bluetooth,-66
92.346,Bluetooth,-71
92.347,Bluetooth,-71
92.484,Bluetooth,-71
92.485,Bluetooth,-71
92.524,Bluetooth,-69
92.525,Bluetooth,-69
92.592,Bluetooth,-68
92.629,Bluetooth,-66
92.630,Bluetooth,-65
92.662,Bluetooth,-71
92.698,Bluetooth,-69
92.738,Bluetooth,-66
92.739,Bluetooth,-66
92.771,Bluetooth,-66
92.772,Bluetooth,-65
92.806,Bluetooth,-71
92.807,Bluetooth,-72
92.848,Bluetooth,-69
92.889,Bluetooth,-66
92.890,Bluetooth,-66
92.963,Bluetooth,-69
92.965,Bluetooth,-68
93.000,Bluetooth,-66
93.002,Bluetooth,-66
93.032,Bluetooth,-71
93.033,Bluetooth,-70
93.068,Bluetooth,-69
93.069,Bluetooth,-69
93.106,Bluetooth,-66
93.107,Bluetooth,-67
93.177,Bluetooth,-67
93.241,Bluetooth,-66
93.242,Bluetooth,-66
93.270,Bluetooth,-71
93.308,Bluetooth,-69
93.309,Bluetooth,-69
93.346,Bluetooth,-67
93.348,Bluetooth,-66
93.382,Bluetooth,-71
93.383,Bluetooth,-71
93.422,Bluetooth,-68
93.423,Bluetooth,-68
93.455,Bluetooth,-68
93.456,Bluetooth,-68
93.530,Bluetooth,-70
93.531,Bluetooth,-69
93.565,Bluetooth,-70
93.606,Bluetooth,-67
93.607,Bluetooth,-68
93.639,Bluetooth,-70
93.640,Bluetooth,-71
93.708,Bluetooth,-67
93.709,Bluetooth,-66
93.742,Bluetooth,-71
93.742,Bluetooth,-72
93.809,Bluetooth,-68
93.810,Bluetooth,-67
93.882,Bluetooth,-70
93.921,Bluetooth,-68
93.922,Bluetooth,-67
93.953,Bluetooth,-67
93.954,Bluetooth,-67
93.992,Bluetooth,-70
93.993,Bluetooth,-71
94.029,Bluetooth,-68
94.030,Bluetooth,-67
94.060,Bluetooth,-65
94.061,Bluetooth,-67
94.167,Bluetooth,-68
94.208,Bluetooth,-66
94.209,Bluetooth,-68
94.282,Bluetooth,-67
94.284,Bluetooth,-68
94.318,Bluetooth,-67
94.319,Bluetooth,-67
94.348,Bluetooth,-71
94.350,Bluetooth,-72
94.426,Bluetooth,-66
94.427,Bluetooth,-66
