Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-82
0.001,Bluetooth,-83
0.030,Bluetooth,-61
0.032,Bluetooth,-62
0.071,Bluetooth,-61
0.111,Bluetooth,-68
0.112,Bluetooth,-68
0.140,Bluetooth,-65
0.141,Bluetooth,-65
0.249,Bluetooth,-74
0.250,Bluetooth,-74
0.280,Bluetooth,-69
0.282,Bluetooth,-69
0.348,Bluetooth,-72
0.349,Bluetooth,-72
0.380,Bluetooth,-65
0.381,Bluetooth,-66
0.416,Bluetooth,-67
0.457,Bluetooth,-74
0.458,Bluetooth,-74
0.491,Bluetooth,-62
0.528,Bluetooth,-68
0.530,Bluetooth,-69
0.562,Bluetooth,-67
0.625,Bluetooth,-70
0.695,Bluetooth,-54
0.696,Bluetooth,-56
0.767,Bluetooth,-62
0.768,Bluetooth,-63
0.807,Bluetooth,-57
0.808,Bluetooth,-59
0.840,Bluetooth,-59
0.841,Bluetooth,-59
0.870,Bluetooth,-66
0.904,Bluetooth,-61
0.905,Bluetooth,-61
0.938,Bluetooth,-67
0.939,Bluetooth,-67
0.974,Bluetooth,-65
1.011,Bluetooth,-57
1.013,Bluetooth,-57
1.055,Bluetooth,-69
1.056,Bluetooth,-69
1.150,Bluetooth,-59
1.151,Bluetooth,-61
1.243,Bluetooth,-68
1.244,Bluetooth,-68
1.282,Bluetooth,-60
1.283,Bluetooth,-60
1.317,Bluetooth,-74
1.318,Bluetooth,-74
1.350,Bluetooth,-67
1.351,Bluetooth,-69
1.387,Bluetooth,-60
1.388,Bluetooth,-60
1.420,Bluetooth,-70
1.421,Bluetooth,-69
1.453,Bluetooth,-67
1.455,Bluetooth,-67
1.484,Bluetooth,-65
1.485,Bluetooth,-65
1.517,Bluetooth,-65
1.518,Bluetooth,-65
1.556,Bluetooth,-66
1.557,Bluetooth,-66
1.621,Bluetooth,-65
1.622,Bluetooth,-65
1.759,Bluetooth,-66
1.761,Bluetooth,-66
1.792,Bluetooth,-64
1.794,Bluetooth,-64
1.830,Bluetooth,-70
1.866,Bluetooth,-68
1.867,Bluetooth,-68
1.900,Bluetooth,-62
1.900,Bluetooth,-63
1.929,Bluetooth,-71
1.930,Bluetooth,-71
1.965,Bluetooth,-72
1.970,Bluetooth,-71
2.006,Bluetooth,-60
2.007,Bluetooth,-63
2.037,Bluetooth,-61
2.038,Bluetooth,-61
2.076,Bluetooth,-71
2.147,Bluetooth,-62
2.148,Bluetooth,-61
2.181,Bluetooth,-70
2.183,Bluetooth,-70
2.257,Bluetooth,-61
2.319,Bluetooth,-71
2.320,Bluetooth,-72
2.360,Bluetooth,-74
2.426,Bluetooth,-71
2.427,Bluetooth,-71
2.465,Bluetooth,-74
2.573,Bluetooth,-74
2.644,Bluetooth,-61
2.646,Bluetooth,-62
2.677,Bluetooth,-71
2.711,Bluetooth,-73
2.712,Bluetooth,-75
2.749,Bluetooth,-62
2.750,Bluetooth,-62
2.783,Bluetooth,-71
2.784,Bluetooth,-71
2.946,Bluetooth,-73
2.985,Bluetooth,-62
2.986,Bluetooth,-62
3.017,Bluetooth,-71
3.018,Bluetooth,-71
3.056,Bluetooth,-73
3.090,Bluetooth,-62
3.091,Bluetooth,-61
3.120,Bluetooth,-62
3.121,Bluetooth,-64
3.194,Bluetooth,-72
3.321,Bluetooth,-71
3.361,Bluetooth,-61
3.362,Bluetooth,-62
3.394,Bluetooth,-72
3.532,Bluetooth,-71
3.670,Bluetooth,-71
3.705,Bluetooth,-61
3.706,Bluetooth,-62
3.742,Bluetooth,-74
3.888,Bluetooth,-71
3.889,Bluetooth,-72
3.928,Bluetooth,-65
3.929,Bluetooth,-66
94.385,Bluetooth,-60
94.386,Bluetooth,-62
94.414,Bluetooth,-61
94.415,Bluetooth,-62
94.486,Bluetooth,-61
94.487,Bluetooth,-61
94.551,Bluetooth,-63
94.552,Bluetooth,-62
94.582,Bluetooth,-62
94.583,Bluetooth,-63
94.615,Bluetooth,-61
94.616,Bluetooth,-61
94.689,Bluetooth,-63
94.690,Bluetooth,-63
94.726,Bluetooth,-60
94.727,Bluetooth,-61
94.764,Bluetooth,-61
94.765,Bluetooth,-62
94.805,Bluetooth,-63
94.807,Bluetooth,-63
94.836,Bluetooth,-61
94.837,Bluetooth,-64
