Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-55
0.001,Bluetooth,-55
0.037,Bluetooth,-57
0.038,Bluetooth,-57
0.068,Bluetooth,-59
0.141,Bluetooth,-59
0.142,Bluetooth,-58
0.177,Bluetooth,-54
0.178,Bluetooth,-55
0.208,Bluetooth,-57
0.209,Bluetooth,-57
0.244,Bluetooth,-60
0.245,Bluetooth,-60
0.276,Bluetooth,-54
0.277,Bluetooth,-54
0.349,Bluetooth,-55
0.384,Bluetooth,-55
0.384,Bluetooth,-56
0.420,Bluetooth,-60
0.421,Bluetooth,-60
0.546,Bluetooth,-59
0.547,Bluetooth,-60
0.579,Bluetooth,-54
0.580,Bluetooth,-55
0.618,Bluetooth,-57
0.619,Bluetooth,-57
0.652,Bluetooth,-57
0.687,Bluetooth,-58
0.688,Bluetooth,-58
0.726,Bluetooth,-60
0.727,Bluetooth,-59
0.756,Bluetooth,-58
0.757,Bluetooth,-57
0.822,Bluetooth,-61
0.823,Bluetooth,-60
0.861,Bluetooth,-59
0.862,Bluetooth,-60
0.898,Bluetooth,-62
0.899,Bluetooth,-63
0.934,Bluetooth,-58
0.935,Bluetooth,-58
0.970,Bluetooth,-61
1.083,Bluetooth,-57
1.083,Bluetooth,-57
1.123,Bluetooth,-63
1.124,Bluetooth,-64
1.198,Bluetooth,-61
1.199,Bluetooth,-61
1.264,Bluetooth,-63
1.328,Bluetooth,-59
1.329,Bluetooth,-61
1.495,Bluetooth,-58
1.496,Bluetooth,-58
1.594,Bluetooth,-57
1.595,Bluetooth,-56
1.632,Bluetooth,-59
1.633,Bluetooth,-61
1.668,Bluetooth,-61
1.669,Bluetooth,-62
1.701,Bluetooth,-58
1.702,Bluetooth,-58
1.743,Bluetooth,-63
1.744,Bluetooth,-63
1.882,Bluetooth,-60
1.883,Bluetooth,-60
1.926,Bluetooth,-58
1.927,Bluetooth,-58
1.956,Bluetooth,-66
1.957,Bluetooth,-66
2.021,Bluetooth,-65
2.021,Bluetooth,-64
2.057,Bluetooth,-58
2.058,Bluetooth,-57
2.097,Bluetooth,-61
2.098,Bluetooth,-62
2.132,Bluetooth,-63
2.133,Bluetooth,-63
2.166,Bluetooth,-61
2.243,Bluetooth,-60
2.245,Bluetooth,-60
2.277,Bluetooth,-60
2.278,Bluetooth,-61
2.305,Bluetooth,-61
2.306,Bluetooth,-61
2.346,Bluetooth,-58
2.347,Bluetooth,-59
2.415,Bluetooth,-61
2.416,Bluetooth,-61
2.457,Bluetooth,-60
2.494,Bluetooth,-61
2.495,Bluetooth,-61
2.563,Bluetooth,-55
2.564,Bluetooth,-55
2.603,Bluetooth,-60
2.603,Bluetooth,-60
2.633,Bluetooth,-58
2.634,Bluetooth,-58
2.664,Bluetooth,-53
2.665,Bluetooth,-54
2.770,Bluetooth,-60
2.804,Bluetooth,-58
2.805,Bluetooth,-61
2.845,Bluetooth,-57
2.846,Bluetooth,-59
2.909,Bluetooth,-61
2.910,Bluetooth,-61
3.017,Bluetooth,-60
3.018,Bluetooth,-59
3.048,Bluetooth,-57
3.125,Bluetooth,-57
3.126,Bluetooth,-57
3.163,Bluetooth,-58
3.164,Bluetooth,-58
3.201,Bluetooth,-62
3.202,Bluetooth,-62
3.347,Bluetooth,-58
3.379,Bluetooth,-60
3.380,Bluetooth,-61
3.444,Bluetooth,-55
3.445,Bluetooth,-55
3.507,Bluetooth,-60
3.508,Bluetooth,-60
3.537,Bluetooth,-56
3.538,Bluetooth,-55
3.641,Bluetooth,-61
3.677,Bluetooth,-61
3.678,Bluetooth,-62
3.716,Bluetooth,-55
3.717,Bluetooth,-55
3.789,Bluetooth,-57
3.790,Bluetooth,-56
3.960,Bluetooth,-54
141.005,Bluetooth,-59
141.006,Bluetooth,-58
141.079,Bluetooth,-60
141.080,Bluetooth,-59
141.143,Bluetooth,-67
141.144,Bluetooth,-67
141.248,Bluetooth,-66
141.249,Bluetooth,-65
141.289,Bluetooth,-61
141.289,Bluetooth,-62
141.322,Bluetooth,-59
141.323,Bluetooth,-59
141.359,Bluetooth,-68
141.393,Bluetooth,-61
141.394,Bluetooth,-61
141.425,Bluetooth,-69
141.426,Bluetooth,-69
141.459,Bluetooth,-59
141.460,Bluetooth,-59
141.571,Bluetooth,-86
141.572,Bluetooth,-88
141.604,Bluetooth,-61
141.606,Bluetooth,-61
141.635,Bluetooth,-61
141.668,Bluetooth,-67
141.743,Bluetooth,-66
141.743,Bluetooth,-65
141.818,Bluetooth,-59
141.819,Bluetooth,-60
141.890,Bluetooth,-66
141.891,Bluetooth,-66
141.966,Bluetooth,-61
142.003,Bluetooth,-61
142.004,Bluetooth,-61
142.031,Bluetooth,-75
142.032,Bluetooth,-75
142.068,Bluetooth,-75
142.069,Bluetooth,-75
142.171,Bluetooth,-61
142.172,Bluetooth,-61
142.244,Bluetooth,-65
142.306,Bluetooth,-64
142.307,Bluetooth,-64
142.522,Bluetooth,-62
142.523,Bluetooth,-62
142.560,Bluetooth,-64
142.591,Bluetooth,-68
142.592,Bluetooth,-68
142.632,Bluetooth,-57
142.633,Bluetooth,-58
142.660,Bluetooth,-63
142.661,Bluetooth,-64
142.698,Bluetooth,-64
142.699,Bluetooth,-64
142.805,Bluetooth,-61
142.805,Bluetooth,-61
142.848,Bluetooth,-65
142.886,Bluetooth,-61
142.887,Bluetooth,-61
142.956,Bluetooth,-68
142.957,Bluetooth,-68
143.057,Bluetooth,-76
143.059,Bluetooth,-76
143.090,Bluetooth,-68
143.091,Bluetooth,-67
143.125,Bluetooth,-67
143.126,Bluetooth,-66
143.156,Bluetooth,-71
143.192,Bluetooth,-70
143.193,Bluetooth,-69
143.230,Bluetooth,-64
143.232,Bluetooth,-63
143.267,Bluetooth,-68
143.361,Bluetooth,-65
143.362,Bluetooth,-65
143.399,Bluetooth,-62
143.400,Bluetooth,-62
143.472,Bluetooth,-67
143.599,Bluetooth,-66
143.599,Bluetooth,-66
143.703,Bluetooth,-60
143.704,Bluetooth,-60
143.733,Bluetooth,-65
143.803,Bluetooth,-65
143.804,Bluetooth,-66
143.833,Bluetooth,-66
143.834,Bluetooth,-66
143.866,Bluetooth,-61
143.867,Bluetooth,-63
143.905,Bluetooth,-64
143.906,Bluetooth,-65
143.986,Bluetooth,-63
143.987,Bluetooth,-61
