Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.085,Bluetooth,-66
0.087,Bluetooth,-66
0.151,Bluetooth,-67
0.154,Bluetooth,-66
0.225,Bluetooth,-67
0.227,Bluetooth,-67
0.258,Bluetooth,-65
0.259,Bluetooth,-65
0.298,Bluetooth,-65
0.301,Bluetooth,-64
0.338,Bluetooth,-59
0.340,Bluetooth,-59
0.442,Bluetooth,-64
0.444,Bluetooth,-65
0.476,Bluetooth,-68
0.478,Bluetooth,-67
0.554,Bluetooth,-66
0.556,Bluetooth,-66
0.587,Bluetooth,-59
0.589,Bluetooth,-60
0.620,Bluetooth,-72
0.622,Bluetooth,-73
0.661,Bluetooth,-71
0.696,Bluetooth,-66
0.699,Bluetooth,-66
0.735,Bluetooth,-55
0.737,Bluetooth,-55
0.769,Bluetooth,-61
0.770,Bluetooth,-60
0.948,Bluetooth,-56
0.987,Bluetooth,-68
0.989,Bluetooth,-70
1.025,Bluetooth,-56
1.027,Bluetooth,-55
1.128,Bluetooth,-58
1.129,Bluetooth,-58
1.200,Bluetooth,-64
1.202,Bluetooth,-63
1.238,Bluetooth,-61
1.240,Bluetooth,-61
1.274,Bluetooth,-60
1.342,Bluetooth,-64
1.343,Bluetooth,-63
1.381,Bluetooth,-61
1.384,Bluetooth,-63
1.418,Bluetooth,-61
1.420,Bluetooth,-62
1.550,Bluetooth,-64
1.588,Bluetooth,-57
1.590,Bluetooth,-57
1.626,Bluetooth,-64
1.628,Bluetooth,-64
1.694,Bluetooth,-66
1.696,Bluetooth,-66
1.754,Bluetooth,-60
1.755,Bluetooth,-60
1.788,Bluetooth,-61
1.858,Bluetooth,-58
1.896,Bluetooth,-58
1.898,Bluetooth,-57
1.934,Bluetooth,-62
1.966,Bluetooth,-64
1.968,Bluetooth,-64
2.004,Bluetooth,-58
2.005,Bluetooth,-58
2.068,Bluetooth,-61
2.070,Bluetooth,-62
2.103,Bluetooth,-61
2.105,Bluetooth,-62
2.143,Bluetooth,-58
2.145,Bluetooth,-59
2.209,Bluetooth,-56
2.211,Bluetooth,-57
2.242,Bluetooth,-60
2.309,Bluetooth,-57
2.311,Bluetooth,-57
2.339,Bluetooth,-60
2.342,Bluetooth,-60
2.411,Bluetooth,-59
2.413,Bluetooth,-59
2.442,Bluetooth,-57
2.444,Bluetooth,-57
2.480,Bluetooth,-57
2.482,Bluetooth,-57
2.550,Bluetooth,-59
2.552,Bluetooth,-58
2.696,Bluetooth,-59
2.698,Bluetooth,-59
2.871,Bluetooth,-62
2.873,Bluetooth,-62
2.902,Bluetooth,-57
2.904,Bluetooth,-57
2.936,Bluetooth,-56
2.938,Bluetooth,-56
2.974,Bluetooth,-57
2.976,Bluetooth,-56
3.073,Bluetooth,-58
3.183,Bluetooth,-60
3.185,Bluetooth,-59
3.216,Bluetooth,-58
3.321,Bluetooth,-58
3.390,Bluetooth,-56
3.392,Bluetooth,-55
3.428,Bluetooth,-59
3.430,Bluetooth,-58
3.463,Bluetooth,-58
3.465,Bluetooth,-58
3.570,Bluetooth,-58
3.572,Bluetooth,-57
3.607,Bluetooth,-55
3.609,Bluetooth,-56
3.639,Bluetooth,-60
3.642,Bluetooth,-59
3.668,Bluetooth,-55
3.708,Bluetooth,-58
3.711,Bluetooth,-60
3.750,Bluetooth,-60
3.750,Bluetooth,-58
3.857,Bluetooth,-60
3.859,Bluetooth,-60
3.896,Bluetooth,-56
3.898,Bluetooth,-55
90.305,Bluetooth,-73
90.307,Bluetooth,-73
90.344,Bluetooth,-77
90.346,Bluetooth,-76
90.381,Bluetooth,-75
90.383,Bluetooth,-75
90.487,Bluetooth,-75
90.490,Bluetooth,-74
90.558,Bluetooth,-76
90.559,Bluetooth,-74
90.592,Bluetooth,-74
90.632,Bluetooth,-74
90.634,Bluetooth,-72
90.673,Bluetooth,-75
90.702,Bluetooth,-72
90.705,Bluetooth,-71
90.775,Bluetooth,-75
90.778,Bluetooth,-75
90.804,Bluetooth,-72
90.807,Bluetooth,-71
90.844,Bluetooth,-76
90.845,Bluetooth,-75
90.884,Bluetooth,-74
90.887,Bluetooth,-75
90.952,Bluetooth,-72
90.985,Bluetooth,-72
90.987,Bluetooth,-72
91.028,Bluetooth,-79
91.030,Bluetooth,-80
91.126,Bluetooth,-72
91.128,Bluetooth,-72
91.207,Bluetooth,-69
91.209,Bluetooth,-70
91.245,Bluetooth,-71
91.247,Bluetooth,-72
91.323,Bluetooth,-70
91.354,Bluetooth,-79
91.356,Bluetooth,-78
91.463,Bluetooth,-81
91.465,Bluetooth,-80
91.500,Bluetooth,-70
91.645,Bluetooth,-83
91.788,Bluetooth,-73
91.790,Bluetooth,-74
91.864,Bluetooth,-70
91.893,Bluetooth,-69
91.896,Bluetooth,-70
91.925,Bluetooth,-80
91.927,Bluetooth,-80
92.026,Bluetooth,-70
92.028,Bluetooth,-70
92.158,Bluetooth,-79
92.195,Bluetooth,-71
92.197,Bluetooth,-71
92.235,Bluetooth,-78
92.237,Bluetooth,-79
92.270,Bluetooth,-71
92.272,Bluetooth,-71
92.303,Bluetooth,-71
92.305,Bluetooth,-72
92.365,Bluetooth,-76
92.367,Bluetooth,-77
92.401,Bluetooth,-72
92.403,Bluetooth,-73
92.436,Bluetooth,-72
92.438,Bluetooth,-72
92.477,Bluetooth,-71
92.508,Bluetooth,-72
92.511,Bluetooth,-71
92.543,Bluetooth,-77
92.582,Bluetooth,-78
92.584,Bluetooth,-78
92.620,Bluetooth,-72
92.621,Bluetooth,-72
92.652,Bluetooth,-72
92.654,Bluetooth,-71
92.762,Bluetooth,-72
92.857,Bluetooth,-71
92.860,Bluetooth,-71
92.896,Bluetooth,-75
92.966,Bluetooth,-72
93.037,Bluetooth,-72
93.039,Bluetooth,-73
93.078,Bluetooth,-73
93.109,Bluetooth,-72
93.112,Bluetooth,-73
93.143,Bluetooth,-74
93.145,Bluetooth,-74
93.174,Bluetooth,-72
93.176,Bluetooth,-73
93.272,Bluetooth,-74
93.275,Bluetooth,-75
93.307,Bluetooth,-73
93.309,Bluetooth,-73
93.345,Bluetooth,-72
93.381,Bluetooth,-72
93.384,Bluetooth,-71
93.488,Bluetooth,-73
93.529,Bluetooth,-71
93.531,Bluetooth,-72
93.602,Bluetooth,-74
93.604,Bluetooth,-73
93.637,Bluetooth,-70
93.639,Bluetooth,-71
93.671,Bluetooth,-74
93.702,Bluetooth,-71
93.704,Bluetooth,-71
93.734,Bluetooth,-74
93.735,Bluetooth,-73
93.809,Bluetooth,-70
93.811,Bluetooth,-71
93.874,Bluetooth,-71
93.876,Bluetooth,-71
93.948,Bluetooth,-73
93.979,Bluetooth,-73
93.980,Bluetooth,-73
94.014,Bluetooth,-71
94.017,Bluetooth,-73
94.044,Bluetooth,-71
94.046,Bluetooth,-71
213.076,Bluetooth,-60
213.113,Bluetooth,-67
213.116,Bluetooth,-68
213.256,Bluetooth,-80
213.258,Bluetooth,-77
213.293,Bluetooth,-67
213.295,Bluetooth,-68
213.334,Bluetooth,-65
213.372,Bluetooth,-67
213.447,Bluetooth,-69
213.449,Bluetooth,-69
213.527,Bluetooth,-63
213.529,Bluetooth,-63
213.624,Bluetooth,-63
213.627,Bluetooth,-64
213.653,Bluetooth,-73
213.689,Bluetooth,-62
213.722,Bluetooth,-64
213.725,Bluetooth,-63
213.788,Bluetooth,-77
213.789,Bluetooth,-78
213.827,Bluetooth,-61
213.829,Bluetooth,-61
213.863,Bluetooth,-65
213.866,Bluetooth,-65
213.901,Bluetooth,-85
213.903,Bluetooth,-83
213.943,Bluetooth,-63
213.946,Bluetooth,-63
213.977,Bluetooth,-62
214.053,Bluetooth,-66
214.056,Bluetooth,-65
214.127,Bluetooth,-63
214.129,Bluetooth,-63
214.201,Bluetooth,-66
214.204,Bluetooth,-66
214.241,Bluetooth,-87
214.243,Bluetooth,-87
214.276,Bluetooth,-67
214.341,Bluetooth,-68
214.343,Bluetooth,-68
214.382,Bluetooth,-73
214.385,Bluetooth,-74
214.417,Bluetooth,-69
214.420,Bluetooth,-69
214.452,Bluetooth,-69
214.454,Bluetooth,-71
214.485,Bluetooth,-68
214.487,Bluetooth,-69
214.548,Bluetooth,-71
214.578,Bluetooth,-75
214.719,Bluetooth,-68
214.721,Bluetooth,-68
214.781,Bluetooth,-67
214.783,Bluetooth,-67
214.822,Bluetooth,-72
214.824,Bluetooth,-71
214.856,Bluetooth,-74
214.890,Bluetooth,-73
214.968,Bluetooth,-61
215.031,Bluetooth,-63
215.034,Bluetooth,-63
215.068,Bluetooth,-66
215.105,Bluetooth,-64
215.177,Bluetooth,-64
215.287,Bluetooth,-62
215.289,Bluetooth,-61
215.320,Bluetooth,-58
215.322,Bluetooth,-60
215.357,Bluetooth,-68
215.359,Bluetooth,-67
215.402,Bluetooth,-59
215.472,Bluetooth,-59
215.504,Bluetooth,-64
215.507,Bluetooth,-65
215.579,Bluetooth,-60
215.582,Bluetooth,-59
215.617,Bluetooth,-66
215.619,Bluetooth,-65
215.681,Bluetooth,-61
215.683,Bluetooth,-61
