Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-52
0.001,Bluetooth,-53
0.035,Bluetooth,-54
0.036,Bluetooth,-54
0.070,Bluetooth,-61
0.071,Bluetooth,-63
0.111,Bluetooth,-53
0.112,Bluetooth,-54
0.148,Bluetooth,-53
0.149,Bluetooth,-52
0.207,Bluetooth,-66
0.208,Bluetooth,-67
0.346,Bluetooth,-55
0.348,Bluetooth,-54
0.386,Bluetooth,-53
0.387,Bluetooth,-53
0.423,Bluetooth,-67
0.424,Bluetooth,-70
0.453,Bluetooth,-58
0.454,Bluetooth,-59
0.486,Bluetooth,-58
0.487,Bluetooth,-57
0.518,Bluetooth,-53
0.519,Bluetooth,-54
0.555,Bluetooth,-62
0.556,Bluetooth,-63
0.586,Bluetooth,-60
0.588,Bluetooth,-60
0.625,Bluetooth,-52
0.653,Bluetooth,-61
0.654,Bluetooth,-59
0.724,Bluetooth,-63
0.860,Bluetooth,-54
0.862,Bluetooth,-55
0.963,Bluetooth,-72
0.964,Bluetooth,-73
0.996,Bluetooth,-53
0.997,Bluetooth,-53
1.024,Bluetooth,-57
1.025,Bluetooth,-57
1.058,Bluetooth,-66
1.059,Bluetooth,-66
1.093,Bluetooth,-53
1.094,Bluetooth,-53
1.128,Bluetooth,-54
1.129,Bluetooth,-54
1.156,Bluetooth,-58
1.158,Bluetooth,-60
1.229,Bluetooth,-52
1.230,Bluetooth,-53
1.262,Bluetooth,-60
1.263,Bluetooth,-60
1.338,Bluetooth,-52
1.340,Bluetooth,-51
1.378,Bluetooth,-61
1.379,Bluetooth,-60
1.409,Bluetooth,-63
1.410,Bluetooth,-63
1.442,Bluetooth,-63
1.443,Bluetooth,-61
1.479,Bluetooth,-52
1.480,Bluetooth,-53
1.518,Bluetooth,-60
1.519,Bluetooth,-61
1.548,Bluetooth,-62
1.549,Bluetooth,-61
1.588,Bluetooth,-52
1.590,Bluetooth,-53
1.626,Bluetooth,-62
1.627,Bluetooth,-61
1.662,Bluetooth,-61
1.663,Bluetooth,-60
1.736,Bluetooth,-60
1.738,Bluetooth,-60
1.808,Bluetooth,-62
1.809,Bluetooth,-63
1.839,Bluetooth,-53
1.840,Bluetooth,-52
1.904,Bluetooth,-63
1.905,Bluetooth,-62
1.979,Bluetooth,-59
1.980,Bluetooth,-58
2.016,Bluetooth,-62
2.017,Bluetooth,-62
2.087,Bluetooth,-52
2.089,Bluetooth,-52
2.190,Bluetooth,-52
2.191,Bluetooth,-52
2.225,Bluetooth,-59
2.226,Bluetooth,-58
2.260,Bluetooth,-62
2.261,Bluetooth,-62
2.296,Bluetooth,-52
2.297,Bluetooth,-53
2.326,Bluetooth,-53
2.327,Bluetooth,-52
2.363,Bluetooth,-59
2.364,Bluetooth,-58
2.436,Bluetooth,-52
2.437,Bluetooth,-52
2.507,Bluetooth,-61
2.508,Bluetooth,-62
2.583,Bluetooth,-60
2.584,Bluetooth,-59
2.723,Bluetooth,-59
2.724,Bluetooth,-60
2.760,Bluetooth,-62
2.761,Bluetooth,-62
2.797,Bluetooth,-52
2.798,Bluetooth,-52
2.942,Bluetooth,-60
2.943,Bluetooth,-60
2.975,Bluetooth,-62
2.976,Bluetooth,-62
3.072,Bluetooth,-60
3.073,Bluetooth,-60
3.107,Bluetooth,-61
3.109,Bluetooth,-61
3.148,Bluetooth,-52
3.149,Bluetooth,-52
3.253,Bluetooth,-52
3.254,Bluetooth,-52
3.288,Bluetooth,-53
3.289,Bluetooth,-51
3.316,Bluetooth,-59
3.317,Bluetooth,-60
3.349,Bluetooth,-62
3.350,Bluetooth,-62
3.423,Bluetooth,-60
3.424,Bluetooth,-59
3.462,Bluetooth,-62
3.499,Bluetooth,-51
3.500,Bluetooth,-52
3.530,Bluetooth,-61
3.566,Bluetooth,-59
3.567,Bluetooth,-60
3.600,Bluetooth,-62
3.601,Bluetooth,-62
3.632,Bluetooth,-52
3.633,Bluetooth,-53
3.665,Bluetooth,-60
3.666,Bluetooth,-61
3.729,Bluetooth,-53
3.731,Bluetooth,-53
3.767,Bluetooth,-53
3.767,Bluetooth,-53
3.803,Bluetooth,-61
3.804,Bluetooth,-62
3.839,Bluetooth,-63
3.840,Bluetooth,-63
