Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-52
0.002,Bluetooth,-51
0.039,Bluetooth,-54
0.040,Bluetooth,-53
0.075,Bluetooth,-49
0.076,Bluetooth,-49
0.109,Bluetooth,-53
0.110,Bluetooth,-53
0.145,Bluetooth,-58
0.146,Bluetooth,-57
0.177,Bluetooth,-50
0.178,Bluetooth,-51
0.217,Bluetooth,-55
0.219,Bluetooth,-57
0.285,Bluetooth,-54
0.286,Bluetooth,-53
0.319,Bluetooth,-58
0.319,Bluetooth,-58
0.351,Bluetooth,-62
0.352,Bluetooth,-63
0.389,Bluetooth,-62
0.389,Bluetooth,-63
0.419,Bluetooth,-62
0.420,Bluetooth,-63
0.457,Bluetooth,-59
0.458,Bluetooth,-60
0.494,Bluetooth,-55
0.495,Bluetooth,-55
0.527,Bluetooth,-53
0.528,Bluetooth,-53
0.633,Bluetooth,-51
0.633,Bluetooth,-51
0.668,Bluetooth,-50
0.669,Bluetooth,-50
0.702,Bluetooth,-52
0.704,Bluetooth,-52
0.736,Bluetooth,-57
0.737,Bluetooth,-53
0.775,Bluetooth,-50
0.776,Bluetooth,-51
0.813,Bluetooth,-51
0.814,Bluetooth,-50
0.849,Bluetooth,-51
0.850,Bluetooth,-52
0.916,Bluetooth,-54
0.917,Bluetooth,-56
0.948,Bluetooth,-58
0.949,Bluetooth,-58
0.980,Bluetooth,-58
0.981,Bluetooth,-59
1.083,Bluetooth,-58
1.149,Bluetooth,-75
1.151,Bluetooth,-89
1.365,Bluetooth,-56
1.367,Bluetooth,-57
1.439,Bluetooth,-61
1.440,Bluetooth,-61
1.479,Bluetooth,-61
1.480,Bluetooth,-60
1.543,Bluetooth,-57
1.545,Bluetooth,-58
1.579,Bluetooth,-56
1.580,Bluetooth,-56
1.643,Bluetooth,-58
1.645,Bluetooth,-58
1.715,Bluetooth,-65
1.717,Bluetooth,-66
1.823,Bluetooth,-57
1.824,Bluetooth,-56
1.860,Bluetooth,-51
1.862,Bluetooth,-51
1.894,Bluetooth,-62
1.896,Bluetooth,-62
1.926,Bluetooth,-61
1.927,Bluetooth,-61
1.997,Bluetooth,-51
1.999,Bluetooth,-52
2.036,Bluetooth,-62
2.037,Bluetooth,-62
2.073,Bluetooth,-59
2.074,Bluetooth,-60
2.111,Bluetooth,-55
2.112,Bluetooth,-55
2.149,Bluetooth,-63
2.151,Bluetooth,-67
2.182,Bluetooth,-64
2.182,Bluetooth,-65
2.228,Bluetooth,-61
2.230,Bluetooth,-60
2.260,Bluetooth,-57
2.261,Bluetooth,-57
2.333,Bluetooth,-67
2.335,Bluetooth,-70
2.400,Bluetooth,-52
2.402,Bluetooth,-53
2.431,Bluetooth,-53
2.433,Bluetooth,-54
2.473,Bluetooth,-57
2.475,Bluetooth,-57
2.505,Bluetooth,-52
2.507,Bluetooth,-52
2.538,Bluetooth,-52
2.540,Bluetooth,-53
2.578,Bluetooth,-66
2.579,Bluetooth,-65
2.720,Bluetooth,-75
2.722,Bluetooth,-74
2.757,Bluetooth,-49
2.758,Bluetooth,-49
2.788,Bluetooth,-51
2.790,Bluetooth,-51
2.827,Bluetooth,-69
2.829,Bluetooth,-70
2.858,Bluetooth,-49
2.860,Bluetooth,-49
2.897,Bluetooth,-52
2.898,Bluetooth,-51
3.000,Bluetooth,-49
3.064,Bluetooth,-60
3.065,Bluetooth,-60
3.092,Bluetooth,-45
3.093,Bluetooth,-46
3.128,Bluetooth,-47
3.129,Bluetooth,-47
3.200,Bluetooth,-61
3.202,Bluetooth,-61
3.232,Bluetooth,-48
3.234,Bluetooth,-48
3.267,Bluetooth,-49
3.269,Bluetooth,-49
3.315,Bluetooth,-66
3.316,Bluetooth,-66
3.380,Bluetooth,-50
3.382,Bluetooth,-51
3.413,Bluetooth,-67
3.415,Bluetooth,-75
3.484,Bluetooth,-49
3.486,Bluetooth,-47
3.522,Bluetooth,-47
3.523,Bluetooth,-48
3.592,Bluetooth,-48
3.593,Bluetooth,-49
3.625,Bluetooth,-48
3.627,Bluetooth,-48
3.694,Bluetooth,-47
3.696,Bluetooth,-47
3.735,Bluetooth,-48
3.737,Bluetooth,-48
3.828,Bluetooth,-48
3.830,Bluetooth,-47
3.867,Bluetooth,-49
3.869,Bluetooth,-50
3.909,Bluetooth,-59
3.910,Bluetooth,-59
3.944,Bluetooth,-48
3.946,Bluetooth,-48
13.069,Bluetooth,-60
13.101,Bluetooth,-54
13.103,Bluetooth,-56
13.177,Bluetooth,-60
13.178,Bluetooth,-60
13.214,Bluetooth,-53
13.216,Bluetooth,-56
13.253,Bluetooth,-56
13.255,Bluetooth,-57
13.365,Bluetooth,-57
13.367,Bluetooth,-57
13.403,Bluetooth,-58
13.406,Bluetooth,-60
13.435,Bluetooth,-56
13.436,Bluetooth,-54
13.506,Bluetooth,-57
13.507,Bluetooth,-57
13.536,Bluetooth,-60
13.538,Bluetooth,-59
13.616,Bluetooth,-57
13.617,Bluetooth,-58
13.654,Bluetooth,-60
13.656,Bluetooth,-61
13.682,Bluetooth,-55
13.684,Bluetooth,-55
13.722,Bluetooth,-58
13.723,Bluetooth,-57
13.764,Bluetooth,-60
13.765,Bluetooth,-58
13.800,Bluetooth,-54
13.801,Bluetooth,-54
13.872,Bluetooth,-59
13.874,Bluetooth,-59
13.906,Bluetooth,-59
13.908,Bluetooth,-59
13.943,Bluetooth,-55
13.945,Bluetooth,-55
13.984,Bluetooth,-58
13.986,Bluetooth,-58
14.055,Bluetooth,-54
14.057,Bluetooth,-56
14.095,Bluetooth,-57
14.097,Bluetooth,-58
14.156,Bluetooth,-55
14.157,Bluetooth,-55
14.338,Bluetooth,-58
14.340,Bluetooth,-60
14.373,Bluetooth,-60
14.375,Bluetooth,-60
14.405,Bluetooth,-55
14.407,Bluetooth,-55
14.446,Bluetooth,-56
14.447,Bluetooth,-57
14.486,Bluetooth,-58
14.488,Bluetooth,-60
14.523,Bluetooth,-54
14.525,Bluetooth,-56
14.556,Bluetooth,-57
14.557,Bluetooth,-56
14.585,Bluetooth,-58
14.587,Bluetooth,-58
14.618,Bluetooth,-59
14.620,Bluetooth,-60
14.657,Bluetooth,-55
14.659,Bluetooth,-56
14.688,Bluetooth,-58
14.689,Bluetooth,-58
14.724,Bluetooth,-60
14.725,Bluetooth,-58
14.762,Bluetooth,-56
14.764,Bluetooth,-55
14.834,Bluetooth,-58
14.836,Bluetooth,-59
14.909,Bluetooth,-55
14.910,Bluetooth,-54
14.945,Bluetooth,-59
14.947,Bluetooth,-59
14.976,Bluetooth,-59
14.978,Bluetooth,-59
15.062,Bluetooth,-59
15.063,Bluetooth,-59
15.093,Bluetooth,-58
15.095,Bluetooth,-58
15.128,Bluetooth,-56
15.130,Bluetooth,-54
15.168,Bluetooth,-59
15.235,Bluetooth,-56
15.236,Bluetooth,-56
15.269,Bluetooth,-56
15.271,Bluetooth,-56
15.343,Bluetooth,-60
15.345,Bluetooth,-59
15.376,Bluetooth,-57
