Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.069,Bluetooth,-61
0.071,Bluetooth,-59
0.103,Bluetooth,-61
0.104,Bluetooth,-61
0.131,Bluetooth,-61
0.132,Bluetooth,-61
0.172,Bluetooth,-59
0.173,Bluetooth,-58
0.241,Bluetooth,-61
0.242,Bluetooth,-61
0.283,Bluetooth,-60
0.320,Bluetooth,-61
0.321,Bluetooth,-60
0.389,Bluetooth,-54
0.390,Bluetooth,-53
0.429,Bluetooth,-59
0.429,Bluetooth,-60
0.459,Bluetooth,-58
0.460,Bluetooth,-58
0.490,Bluetooth,-54
0.491,Bluetooth,-52
0.596,Bluetooth,-60
0.630,Bluetooth,-59
0.631,Bluetooth,-62
0.671,Bluetooth,-57
0.672,Bluetooth,-58
0.735,Bluetooth,-61
0.736,Bluetooth,-61
0.843,Bluetooth,-59
0.844,Bluetooth,-61
0.874,Bluetooth,-57
0.951,Bluetooth,-57
0.952,Bluetooth,-57
0.989,Bluetooth,-58
0.990,Bluetooth,-57
1.027,Bluetooth,-62
1.028,Bluetooth,-62
1.173,Bluetooth,-58
1.205,Bluetooth,-60
1.206,Bluetooth,-60
1.270,Bluetooth,-55
1.271,Bluetooth,-55
1.333,Bluetooth,-61
1.334,Bluetooth,-60
1.363,Bluetooth,-55
1.364,Bluetooth,-55
1.467,Bluetooth,-61
1.503,Bluetooth,-61
1.504,Bluetooth,-61
1.542,Bluetooth,-56
1.543,Bluetooth,-55
1.615,Bluetooth,-56
1.616,Bluetooth,-56
1.786,Bluetooth,-55
1.823,Bluetooth,-61
1.823,Bluetooth,-61
1.860,Bluetooth,-55
1.861,Bluetooth,-55
1.899,Bluetooth,-57
1.900,Bluetooth,-57
1.933,Bluetooth,-61
1.934,Bluetooth,-60
1.968,Bluetooth,-55
1.969,Bluetooth,-55
2.072,Bluetooth,-58
2.106,Bluetooth,-61
2.185,Bluetooth,-58
2.187,Bluetooth,-57
2.318,Bluetooth,-58
2.319,Bluetooth,-59
2.356,Bluetooth,-60
2.357,Bluetooth,-61
2.385,Bluetooth,-60
2.417,Bluetooth,-61
2.418,Bluetooth,-61
2.493,Bluetooth,-57
2.494,Bluetooth,-58
2.522,Bluetooth,-61
2.523,Bluetooth,-62
2.695,Bluetooth,-56
2.765,Bluetooth,-56
2.765,Bluetooth,-55
2.795,Bluetooth,-58
2.795,Bluetooth,-58
2.868,Bluetooth,-55
2.869,Bluetooth,-55
2.933,Bluetooth,-57
2.934,Bluetooth,-56
2.994,Bluetooth,-57
3.028,Bluetooth,-63
3.029,Bluetooth,-63
3.096,Bluetooth,-63
3.097,Bluetooth,-63
3.130,Bluetooth,-63
3.131,Bluetooth,-63
3.171,Bluetooth,-54
3.172,Bluetooth,-55
3.279,Bluetooth,-62
3.317,Bluetooth,-56
3.318,Bluetooth,-55
3.386,Bluetooth,-64
3.387,Bluetooth,-63
3.426,Bluetooth,-55
3.427,Bluetooth,-55
3.491,Bluetooth,-59
3.492,Bluetooth,-58
3.520,Bluetooth,-65
3.521,Bluetooth,-66
3.554,Bluetooth,-55
3.555,Bluetooth,-56
3.590,Bluetooth,-58
3.620,Bluetooth,-56
3.620,Bluetooth,-55
3.655,Bluetooth,-57
3.656,Bluetooth,-58
3.694,Bluetooth,-66
3.695,Bluetooth,-66
3.761,Bluetooth,-58
3.762,Bluetooth,-58
3.831,Bluetooth,-65
3.832,Bluetooth,-66
3.866,Bluetooth,-55
3.867,Bluetooth,-54
3.943,Bluetooth,-66
3.944,Bluetooth,-66
76.220,Bluetooth,-55
76.221,Bluetooth,-54
76.256,Bluetooth,-52
76.257,Bluetooth,-51
76.391,Bluetooth,-51
76.392,Bluetooth,-51
76.495,Bluetooth,-51
76.683,Bluetooth,-51
76.684,Bluetooth,-50
76.751,Bluetooth,-56
76.751,Bluetooth,-56
76.822,Bluetooth,-56
76.823,Bluetooth,-57
76.853,Bluetooth,-51
76.854,Bluetooth,-51
76.968,Bluetooth,-51
76.969,Bluetooth,-50
77.007,Bluetooth,-55
77.008,Bluetooth,-55
77.076,Bluetooth,-55
77.115,Bluetooth,-55
77.116,Bluetooth,-54
77.232,Bluetooth,-54
77.233,Bluetooth,-54
77.299,Bluetooth,-51
77.300,Bluetooth,-51
77.334,Bluetooth,-54
77.335,Bluetooth,-54
77.370,Bluetooth,-50
77.409,Bluetooth,-51
77.410,Bluetooth,-51
77.443,Bluetooth,-55
77.444,Bluetooth,-54
77.511,Bluetooth,-54
77.512,Bluetooth,-55
77.578,Bluetooth,-55
77.579,Bluetooth,-53
77.605,Bluetooth,-55
77.606,Bluetooth,-54
77.682,Bluetooth,-54
77.721,Bluetooth,-51
77.721,Bluetooth,-51
77.752,Bluetooth,-54
77.782,Bluetooth,-54
77.783,Bluetooth,-54
77.916,Bluetooth,-54
77.917,Bluetooth,-54
77.948,Bluetooth,-51
77.949,Bluetooth,-52
77.986,Bluetooth,-54
78.018,Bluetooth,-50
78.019,Bluetooth,-51
78.048,Bluetooth,-55
78.049,Bluetooth,-55
78.085,Bluetooth,-54
78.086,Bluetooth,-54
78.188,Bluetooth,-53
78.189,Bluetooth,-54
78.217,Bluetooth,-54
78.219,Bluetooth,-55
78.283,Bluetooth,-51
78.320,Bluetooth,-51
78.322,Bluetooth,-51
78.352,Bluetooth,-55
78.354,Bluetooth,-54
78.391,Bluetooth,-54
78.392,Bluetooth,-54
78.469,Bluetooth,-51
78.470,Bluetooth,-51
78.504,Bluetooth,-55
78.505,Bluetooth,-53
78.537,Bluetooth,-54
78.539,Bluetooth,-54
78.571,Bluetooth,-53
78.812,Bluetooth,-51
78.813,Bluetooth,-51
78.850,Bluetooth,-55
78.851,Bluetooth,-55
78.914,Bluetooth,-55
78.915,Bluetooth,-53
78.944,Bluetooth,-54
78.945,Bluetooth,-54
79.084,Bluetooth,-55
79.084,Bluetooth,-54
79.122,Bluetooth,-51
79.123,Bluetooth,-52
79.158,Bluetooth,-53
79.158,Bluetooth,-54
79.187,Bluetooth,-51
79.226,Bluetooth,-53
79.227,Bluetooth,-54
79.300,Bluetooth,-49
79.301,Bluetooth,-51
79.341,Bluetooth,-53
79.375,Bluetooth,-55
79.376,Bluetooth,-54
79.409,Bluetooth,-52
79.410,Bluetooth,-52
79.484,Bluetooth,-54
79.518,Bluetooth,-53
79.519,Bluetooth,-53
79.550,Bluetooth,-54
79.551,Bluetooth,-55
79.587,Bluetooth,-51
79.588,Bluetooth,-51
79.692,Bluetooth,-54
79.693,Bluetooth,-54
79.724,Bluetooth,-51
79.725,Bluetooth,-51
79.758,Bluetooth,-50
79.759,Bluetooth,-51
79.791,Bluetooth,-54
79.865,Bluetooth,-54
79.866,Bluetooth,-54
79.939,Bluetooth,-53
79.940,Bluetooth,-52
80.009,Bluetooth,-51
80.010,Bluetooth,-51
80.047,Bluetooth,-55
80.048,Bluetooth,-55
80.127,Bluetooth,-54
80.127,Bluetooth,-54
80.166,Bluetooth,-54
80.167,Bluetooth,-54
158.871,Bluetooth,-70
158.872,Bluetooth,-70
158.904,Bluetooth,-59
158.905,Bluetooth,-59
158.944,Bluetooth,-63
158.945,Bluetooth,-62
159.015,Bluetooth,-62
159.017,Bluetooth,-62
159.050,Bluetooth,-65
159.051,Bluetooth,-65
159.148,Bluetooth,-60
159.149,Bluetooth,-57
159.181,Bluetooth,-64
159.182,Bluetooth,-63
159.219,Bluetooth,-67
159.220,Bluetooth,-68
159.258,Bluetooth,-61
159.260,Bluetooth,-61
159.298,Bluetooth,-64
159.369,Bluetooth,-62
159.370,Bluetooth,-62
159.398,Bluetooth,-76
159.399,Bluetooth,-75
159.427,Bluetooth,-63
159.428,Bluetooth,-63
159.465,Bluetooth,-65
159.466,Bluetooth,-65
159.567,Bluetooth,-69
159.604,Bluetooth,-63
159.605,Bluetooth,-64
159.741,Bluetooth,-63
159.742,Bluetooth,-63
159.774,Bluetooth,-61
159.775,Bluetooth,-62
159.811,Bluetooth,-69
159.812,Bluetooth,-69
159.842,Bluetooth,-66
159.843,Bluetooth,-66
159.876,Bluetooth,-66
159.916,Bluetooth,-65
159.917,Bluetooth,-65
159.948,Bluetooth,-63
159.949,Bluetooth,-63
159.985,Bluetooth,-73
159.986,Bluetooth,-74
160.090,Bluetooth,-62
160.091,Bluetooth,-63
160.123,Bluetooth,-73
160.124,Bluetooth,-74
160.154,Bluetooth,-64
160.155,Bluetooth,-64
160.184,Bluetooth,-60
160.216,Bluetooth,-63
160.216,Bluetooth,-63
160.249,Bluetooth,-62
160.250,Bluetooth,-62
160.321,Bluetooth,-69
160.322,Bluetooth,-67
160.460,Bluetooth,-77
160.461,Bluetooth,-77
160.495,Bluetooth,-75
160.563,Bluetooth,-67
160.564,Bluetooth,-68
160.603,Bluetooth,-62
160.604,Bluetooth,-62
160.638,Bluetooth,-69
160.639,Bluetooth,-70
160.675,Bluetooth,-66
160.675,Bluetooth,-67
160.710,Bluetooth,-62
160.711,Bluetooth,-61
160.781,Bluetooth,-65
160.818,Bluetooth,-73
160.819,Bluetooth,-73
160.853,Bluetooth,-63
160.854,Bluetooth,-65
160.886,Bluetooth,-60
160.887,Bluetooth,-60
160.983,Bluetooth,-64
160.984,Bluetooth,-64
161.022,Bluetooth,-61
161.023,Bluetooth,-62
161.063,Bluetooth,-68
161.064,Bluetooth,-69
161.096,Bluetooth,-60
161.168,Bluetooth,-66
161.169,Bluetooth,-66
161.207,Bluetooth,-62
161.208,Bluetooth,-62
161.240,Bluetooth,-66
161.241,Bluetooth,-66
161.274,Bluetooth,-66
161.275,Bluetooth,-66
161.309,Bluetooth,-63
161.310,Bluetooth,-63
161.342,Bluetooth,-66
161.343,Bluetooth,-66
161.376,Bluetooth,-65
161.406,Bluetooth,-66
161.407,Bluetooth,-65
161.442,Bluetooth,-65
161.443,Bluetooth,-65
161.552,Bluetooth,-66
161.552,Bluetooth,-67
161.694,Bluetooth,-65
161.805,Bluetooth,-61
161.806,Bluetooth,-62
161.874,Bluetooth,-60
161.874,Bluetooth,-60
161.912,Bluetooth,-61
161.913,Bluetooth,-61
161.948,Bluetooth,-61
161.949,Bluetooth,-62
161.987,Bluetooth,-62
162.058,Bluetooth,-61
162.096,Bluetooth,-63
162.096,Bluetooth,-62
162.135,Bluetooth,-62
162.136,Bluetooth,-62
162.203,Bluetooth,-62
162.204,Bluetooth,-62
162.232,Bluetooth,-62
162.233,Bluetooth,-62
162.298,Bluetooth,-62
162.404,Bluetooth,-62
162.405,Bluetooth,-62
162.436,Bluetooth,-62
162.436,Bluetooth,-62
162.477,Bluetooth,-61
162.478,Bluetooth,-62
162.579,Bluetooth,-61
162.650,Bluetooth,-60
162.651,Bluetooth,-60
162.785,Bluetooth,-61
162.786,Bluetooth,-60
162.821,Bluetooth,-63
162.822,Bluetooth,-61
233.373,Bluetooth,-57
233.411,Bluetooth,-56
233.412,Bluetooth,-58
233.443,Bluetooth,-53
233.444,Bluetooth,-53
233.507,Bluetooth,-55
233.508,Bluetooth,-56
233.542,Bluetooth,-57
233.543,Bluetooth,-57
233.620,Bluetooth,-56
233.622,Bluetooth,-55
233.654,Bluetooth,-55
233.655,Bluetooth,-55
233.726,Bluetooth,-55
233.727,Bluetooth,-55
233.761,Bluetooth,-51
233.762,Bluetooth,-51
233.794,Bluetooth,-53
233.795,Bluetooth,-54
233.830,Bluetooth,-55
233.831,Bluetooth,-55
233.862,Bluetooth,-51
233.864,Bluetooth,-50
233.896,Bluetooth,-52
233.897,Bluetooth,-51
