Distance,10.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-67
0.002,Bluetooth,-67
0.067,Bluetooth,-53
0.069,Bluetooth,-53
0.098,Bluetooth,-54
0.100,Bluetooth,-53
0.134,Bluetooth,-66
0.135,Bluetooth,-67
0.166,Bluetooth,-60
0.230,Bluetooth,-58
0.231,Bluetooth,-58
0.268,Bluetooth,-70
0.270,Bluetooth,-70
0.302,Bluetooth,-72
0.304,Bluetooth,-70
0.337,Bluetooth,-61
0.338,Bluetooth,-60
0.370,Bluetooth,-60
0.372,Bluetooth,-60
0.401,Bluetooth,-59
0.403,Bluetooth,-59
0.436,Bluetooth,-60
0.438,Bluetooth,-60
0.472,Bluetooth,-58
0.474,Bluetooth,-58
0.507,Bluetooth,-62
0.508,Bluetooth,-61
0.537,Bluetooth,-63
0.538,Bluetooth,-65
0.567,Bluetooth,-73
0.569,Bluetooth,-72
0.606,Bluetooth,-61
0.607,Bluetooth,-60
0.672,Bluetooth,-62
0.673,Bluetooth,-63
0.710,Bluetooth,-65
0.711,Bluetooth,-65
0.747,Bluetooth,-60
0.748,Bluetooth,-62
0.775,Bluetooth,-66
0.776,Bluetooth,-64
0.806,Bluetooth,-64
0.807,Bluetooth,-65
0.839,Bluetooth,-60
0.841,Bluetooth,-62
0.875,Bluetooth,-66
0.877,Bluetooth,-66
0.908,Bluetooth,-62
0.909,Bluetooth,-61
0.940,Bluetooth,-68
0.941,Bluetooth,-68
0.975,Bluetooth,-63
0.977,Bluetooth,-61
1.011,Bluetooth,-61
1.013,Bluetooth,-61
1.051,Bluetooth,-71
1.053,Bluetooth,-71
1.088,Bluetooth,-65
1.090,Bluetooth,-66
1.117,Bluetooth,-63
1.119,Bluetooth,-63
1.152,Bluetooth,-62
1.153,Bluetooth,-62
1.184,Bluetooth,-63
1.185,Bluetooth,-64
1.214,Bluetooth,-64
1.216,Bluetooth,-64
1.245,Bluetooth,-60
1.247,Bluetooth,-60
1.284,Bluetooth,-65
1.285,Bluetooth,-65
1.320,Bluetooth,-72
1.322,Bluetooth,-72
1.388,Bluetooth,-70
1.389,Bluetooth,-70
1.464,Bluetooth,-80
1.466,Bluetooth,-80
1.500,Bluetooth,-59
1.501,Bluetooth,-60
1.534,Bluetooth,-63
1.536,Bluetooth,-63
1.574,Bluetooth,-69
1.576,Bluetooth,-69
1.618,Bluetooth,-61
1.619,Bluetooth,-61
1.682,Bluetooth,-72
1.684,Bluetooth,-72
1.747,Bluetooth,-58
1.749,Bluetooth,-57
1.782,Bluetooth,-62
1.783,Bluetooth,-61
1.821,Bluetooth,-72
1.822,Bluetooth,-73
1.859,Bluetooth,-58
1.860,Bluetooth,-58
1.965,Bluetooth,-58
1.967,Bluetooth,-57
1.997,Bluetooth,-61
1.998,Bluetooth,-61
2.038,Bluetooth,-66
2.039,Bluetooth,-67
2.069,Bluetooth,-65
2.070,Bluetooth,-67
2.099,Bluetooth,-58
2.100,Bluetooth,-58
2.134,Bluetooth,-66
2.136,Bluetooth,-66
2.174,Bluetooth,-71
2.176,Bluetooth,-71
2.204,Bluetooth,-59
2.205,Bluetooth,-60
2.238,Bluetooth,-67
2.239,Bluetooth,-67
2.276,Bluetooth,-77
2.277,Bluetooth,-76
2.309,Bluetooth,-74
2.310,Bluetooth,-74
2.384,Bluetooth,-68
2.386,Bluetooth,-68
2.419,Bluetooth,-69
2.421,Bluetooth,-70
2.455,Bluetooth,-71
2.456,Bluetooth,-71
2.495,Bluetooth,-66
2.497,Bluetooth,-65
2.531,Bluetooth,-70
2.533,Bluetooth,-70
2.609,Bluetooth,-70
2.611,Bluetooth,-71
2.647,Bluetooth,-69
2.649,Bluetooth,-69
2.682,Bluetooth,-75
2.684,Bluetooth,-74
2.720,Bluetooth,-73
2.720,Bluetooth,-71
2.823,Bluetooth,-71
2.825,Bluetooth,-71
2.858,Bluetooth,-69
2.890,Bluetooth,-71
2.891,Bluetooth,-73
2.921,Bluetooth,-71
2.923,Bluetooth,-70
2.960,Bluetooth,-63
2.962,Bluetooth,-64
2.990,Bluetooth,-64
2.992,Bluetooth,-64
3.028,Bluetooth,-75
3.030,Bluetooth,-76
3.059,Bluetooth,-63
3.060,Bluetooth,-62
3.093,Bluetooth,-60
3.095,Bluetooth,-59
3.126,Bluetooth,-67
3.127,Bluetooth,-68
3.164,Bluetooth,-56
3.166,Bluetooth,-57
3.201,Bluetooth,-56
3.203,Bluetooth,-57
3.242,Bluetooth,-61
3.243,Bluetooth,-60
3.421,Bluetooth,-68
3.422,Bluetooth,-69
3.457,Bluetooth,-61
3.493,Bluetooth,-60
3.495,Bluetooth,-61
3.526,Bluetooth,-75
3.567,Bluetooth,-61
3.608,Bluetooth,-61
3.609,Bluetooth,-60
3.643,Bluetooth,-64
3.684,Bluetooth,-62
