Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-61
0.001,Bluetooth,-62
0.091,Bluetooth,-64
0.092,Bluetooth,-63
0.189,Bluetooth,-73
0.190,Bluetooth,-74
0.227,Bluetooth,-61
0.228,Bluetooth,-61
0.261,Bluetooth,-63
0.262,Bluetooth,-62
0.294,Bluetooth,-53
0.295,Bluetooth,-53
0.327,Bluetooth,-59
0.328,Bluetooth,-58
0.362,Bluetooth,-59
0.364,Bluetooth,-59
0.399,Bluetooth,-76
0.432,Bluetooth,-65
0.462,Bluetooth,-57
0.463,Bluetooth,-56
0.538,Bluetooth,-61
0.539,Bluetooth,-62
0.571,Bluetooth,-63
0.573,Bluetooth,-63
0.642,Bluetooth,-60
0.744,Bluetooth,-59
0.745,Bluetooth,-58
0.817,Bluetooth,-57
0.819,Bluetooth,-58
0.850,Bluetooth,-56
0.851,Bluetooth,-56
0.887,Bluetooth,-59
0.888,Bluetooth,-59
0.924,Bluetooth,-58
0.988,Bluetooth,-59
0.989,Bluetooth,-60
1.172,Bluetooth,-61
1.173,Bluetooth,-62
1.240,Bluetooth,-62
1.241,Bluetooth,-61
1.273,Bluetooth,-62
1.275,Bluetooth,-63
1.346,Bluetooth,-62
1.347,Bluetooth,-61
1.383,Bluetooth,-63
1.384,Bluetooth,-63
1.488,Bluetooth,-62
1.489,Bluetooth,-63
1.558,Bluetooth,-56
1.559,Bluetooth,-56
1.669,Bluetooth,-56
1.670,Bluetooth,-56
1.698,Bluetooth,-56
1.699,Bluetooth,-57
1.772,Bluetooth,-60
1.773,Bluetooth,-61
1.812,Bluetooth,-55
1.813,Bluetooth,-55
1.851,Bluetooth,-63
1.852,Bluetooth,-61
1.885,Bluetooth,-60
1.886,Bluetooth,-61
1.995,Bluetooth,-61
1.996,Bluetooth,-61
2.066,Bluetooth,-61
2.067,Bluetooth,-63
2.103,Bluetooth,-60
2.104,Bluetooth,-61
2.179,Bluetooth,-57
2.180,Bluetooth,-56
2.211,Bluetooth,-59
2.212,Bluetooth,-59
2.277,Bluetooth,-55
2.278,Bluetooth,-56
2.312,Bluetooth,-58
2.313,Bluetooth,-58
2.377,Bluetooth,-62
2.378,Bluetooth,-61
2.415,Bluetooth,-55
2.416,Bluetooth,-55
2.444,Bluetooth,-57
2.445,Bluetooth,-57
2.484,Bluetooth,-61
2.485,Bluetooth,-60
2.515,Bluetooth,-55
2.516,Bluetooth,-55
2.544,Bluetooth,-58
2.545,Bluetooth,-58
2.575,Bluetooth,-58
2.576,Bluetooth,-58
2.614,Bluetooth,-61
2.615,Bluetooth,-61
2.652,Bluetooth,-55
2.653,Bluetooth,-55
2.689,Bluetooth,-57
2.690,Bluetooth,-57
2.721,Bluetooth,-61
2.722,Bluetooth,-61
2.784,Bluetooth,-58
2.786,Bluetooth,-57
2.858,Bluetooth,-61
2.859,Bluetooth,-61
2.929,Bluetooth,-58
2.930,Bluetooth,-58
2.966,Bluetooth,-61
2.967,Bluetooth,-61
3.035,Bluetooth,-59
3.068,Bluetooth,-62
3.070,Bluetooth,-62
3.102,Bluetooth,-58
3.103,Bluetooth,-56
3.134,Bluetooth,-56
3.135,Bluetooth,-56
3.163,Bluetooth,-59
3.164,Bluetooth,-61
3.199,Bluetooth,-60
3.200,Bluetooth,-59
3.231,Bluetooth,-57
3.232,Bluetooth,-56
3.265,Bluetooth,-61
3.302,Bluetooth,-61
3.303,Bluetooth,-61
3.328,Bluetooth,-59
3.329,Bluetooth,-61
3.368,Bluetooth,-56
3.369,Bluetooth,-56
3.407,Bluetooth,-62
3.408,Bluetooth,-61
3.445,Bluetooth,-59
3.446,Bluetooth,-61
3.477,Bluetooth,-54
3.478,Bluetooth,-55
3.510,Bluetooth,-61
3.511,Bluetooth,-62
3.541,Bluetooth,-59
3.542,Bluetooth,-60
3.789,Bluetooth,-58
3.790,Bluetooth,-60
3.823,Bluetooth,-54
3.825,Bluetooth,-53
3.857,Bluetooth,-54
3.858,Bluetooth,-55
3.887,Bluetooth,-58
3.889,Bluetooth,-60
63.106,Bluetooth,-63
63.107,Bluetooth,-63
63.142,Bluetooth,-67
63.143,Bluetooth,-67
63.255,Bluetooth,-62
63.256,Bluetooth,-63
63.297,Bluetooth,-70
63.298,Bluetooth,-70
63.321,Bluetooth,-57
63.322,Bluetooth,-57
63.356,Bluetooth,-63
63.358,Bluetooth,-63
63.420,Bluetooth,-56
63.421,Bluetooth,-56
63.496,Bluetooth,-64
63.497,Bluetooth,-65
63.529,Bluetooth,-64
63.531,Bluetooth,-66
63.560,Bluetooth,-56
63.562,Bluetooth,-56
63.598,Bluetooth,-64
63.599,Bluetooth,-65
63.628,Bluetooth,-64
63.629,Bluetooth,-65
63.665,Bluetooth,-55
63.776,Bluetooth,-64
63.778,Bluetooth,-65
63.875,Bluetooth,-64
64.010,Bluetooth,-65
64.012,Bluetooth,-65
64.040,Bluetooth,-53
64.041,Bluetooth,-54
64.070,Bluetooth,-63
64.072,Bluetooth,-65
64.108,Bluetooth,-64
64.109,Bluetooth,-64
64.144,Bluetooth,-54
64.145,Bluetooth,-55
64.224,Bluetooth,-64
64.225,Bluetooth,-65
64.263,Bluetooth,-55
64.264,Bluetooth,-54
64.328,Bluetooth,-65
64.361,Bluetooth,-64
64.362,Bluetooth,-64
64.393,Bluetooth,-54
64.395,Bluetooth,-54
64.432,Bluetooth,-65
64.472,Bluetooth,-64
64.473,Bluetooth,-64
64.502,Bluetooth,-55
64.504,Bluetooth,-54
64.577,Bluetooth,-65
64.579,Bluetooth,-65
64.654,Bluetooth,-54
64.655,Bluetooth,-54
64.684,Bluetooth,-64
64.686,Bluetooth,-64
64.719,Bluetooth,-64
64.721,Bluetooth,-65
64.831,Bluetooth,-64
64.832,Bluetooth,-64
64.863,Bluetooth,-56
64.864,Bluetooth,-54
64.962,Bluetooth,-64
64.963,Bluetooth,-64
65.026,Bluetooth,-63
65.027,Bluetooth,-63
65.128,Bluetooth,-56
65.130,Bluetooth,-56
65.169,Bluetooth,-62
65.170,Bluetooth,-63
65.199,Bluetooth,-64
65.200,Bluetooth,-64
65.233,Bluetooth,-56
65.234,Bluetooth,-56
65.273,Bluetooth,-63
65.274,Bluetooth,-61
65.312,Bluetooth,-64
65.313,Bluetooth,-65
65.387,Bluetooth,-63
65.388,Bluetooth,-62
65.421,Bluetooth,-65
65.422,Bluetooth,-65
65.451,Bluetooth,-64
65.452,Bluetooth,-65
65.481,Bluetooth,-57
65.483,Bluetooth,-58
65.517,Bluetooth,-63
65.519,Bluetooth,-61
65.559,Bluetooth,-65
65.561,Bluetooth,-65
65.593,Bluetooth,-57
65.595,Bluetooth,-57
65.627,Bluetooth,-62
65.628,Bluetooth,-62
65.664,Bluetooth,-65
65.665,Bluetooth,-66
65.737,Bluetooth,-57
65.738,Bluetooth,-58
65.777,Bluetooth,-62
65.779,Bluetooth,-62
65.847,Bluetooth,-58
65.848,Bluetooth,-57
65.888,Bluetooth,-65
65.889,Bluetooth,-64
65.922,Bluetooth,-66
65.923,Bluetooth,-65
65.955,Bluetooth,-57
65.986,Bluetooth,-62
65.987,Bluetooth,-64
66.025,Bluetooth,-65
66.026,Bluetooth,-66
66.062,Bluetooth,-56
66.063,Bluetooth,-58
66.093,Bluetooth,-59
66.095,Bluetooth,-61
66.133,Bluetooth,-64
66.134,Bluetooth,-64
66.271,Bluetooth,-65
66.272,Bluetooth,-67
66.301,Bluetooth,-57
66.342,Bluetooth,-62
66.343,Bluetooth,-63
66.382,Bluetooth,-66
66.383,Bluetooth,-65
66.449,Bluetooth,-56
66.450,Bluetooth,-56
66.480,Bluetooth,-62
66.481,Bluetooth,-65
66.519,Bluetooth,-65
66.521,Bluetooth,-66
66.628,Bluetooth,-66
66.629,Bluetooth,-66
66.659,Bluetooth,-56
66.661,Bluetooth,-56
66.699,Bluetooth,-63
66.700,Bluetooth,-63
66.732,Bluetooth,-62
66.733,Bluetooth,-64
66.768,Bluetooth,-65
66.769,Bluetooth,-65
66.798,Bluetooth,-57
66.799,Bluetooth,-55
66.837,Bluetooth,-62
66.838,Bluetooth,-63
66.869,Bluetooth,-66
66.870,Bluetooth,-64
66.902,Bluetooth,-56
66.903,Bluetooth,-56
66.932,Bluetooth,-56
66.933,Bluetooth,-56
67.011,Bluetooth,-64
124.371,Bluetooth,-65
124.442,Bluetooth,-60
124.443,Bluetooth,-59
124.478,Bluetooth,-58
124.480,Bluetooth,-59
124.516,Bluetooth,-58
124.517,Bluetooth,-59
124.556,Bluetooth,-59
124.557,Bluetooth,-59
