Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-58
0.002,Bluetooth,-56
0.074,Bluetooth,-61
0.075,Bluetooth,-61
0.145,Bluetooth,-59
0.146,Bluetooth,-58
0.182,Bluetooth,-62
0.183,Bluetooth,-61
0.251,Bluetooth,-59
0.284,Bluetooth,-61
0.286,Bluetooth,-62
0.318,Bluetooth,-57
0.319,Bluetooth,-57
0.350,Bluetooth,-56
0.351,Bluetooth,-56
0.379,Bluetooth,-61
0.380,Bluetooth,-60
0.415,Bluetooth,-61
0.416,Bluetooth,-61
0.447,Bluetooth,-57
0.448,Bluetooth,-56
0.481,Bluetooth,-61
0.518,Bluetooth,-61
0.519,Bluetooth,-61
0.544,Bluetooth,-60
0.545,Bluetooth,-60
0.584,Bluetooth,-55
0.585,Bluetooth,-55
0.623,Bluetooth,-61
0.624,Bluetooth,-61
0.661,Bluetooth,-61
0.662,Bluetooth,-60
0.693,Bluetooth,-54
0.694,Bluetooth,-55
0.726,Bluetooth,-61
0.727,Bluetooth,-62
0.757,Bluetooth,-60
0.758,Bluetooth,-61
1.005,Bluetooth,-59
1.006,Bluetooth,-61
1.039,Bluetooth,-53
1.041,Bluetooth,-54
1.073,Bluetooth,-54
1.074,Bluetooth,-54
1.103,Bluetooth,-59
1.105,Bluetooth,-60
1.135,Bluetooth,-59
1.137,Bluetooth,-57
1.166,Bluetooth,-53
1.167,Bluetooth,-54
1.201,Bluetooth,-59
1.202,Bluetooth,-60
1.239,Bluetooth,-59
1.240,Bluetooth,-60
1.279,Bluetooth,-53
1.281,Bluetooth,-54
1.318,Bluetooth,-59
1.320,Bluetooth,-60
1.352,Bluetooth,-59
1.353,Bluetooth,-60
1.386,Bluetooth,-59
1.388,Bluetooth,-61
1.453,Bluetooth,-59
1.455,Bluetooth,-57
1.490,Bluetooth,-60
1.492,Bluetooth,-61
1.529,Bluetooth,-54
1.530,Bluetooth,-54
1.769,Bluetooth,-55
1.770,Bluetooth,-53
1.799,Bluetooth,-59
1.800,Bluetooth,-59
1.829,Bluetooth,-58
1.830,Bluetooth,-60
1.868,Bluetooth,-62
1.869,Bluetooth,-61
1.936,Bluetooth,-59
1.938,Bluetooth,-59
1.973,Bluetooth,-61
2.003,Bluetooth,-53
2.004,Bluetooth,-54
2.075,Bluetooth,-58
2.076,Bluetooth,-60
2.150,Bluetooth,-55
2.151,Bluetooth,-54
2.179,Bluetooth,-59
2.180,Bluetooth,-61
2.216,Bluetooth,-60
2.217,Bluetooth,-61
2.251,Bluetooth,-54
2.252,Bluetooth,-55
2.283,Bluetooth,-59
2.284,Bluetooth,-59
2.318,Bluetooth,-62
2.319,Bluetooth,-62
2.395,Bluetooth,-54
2.396,Bluetooth,-54
2.462,Bluetooth,-61
2.463,Bluetooth,-62
2.533,Bluetooth,-59
2.534,Bluetooth,-59
2.566,Bluetooth,-61
2.567,Bluetooth,-63
2.598,Bluetooth,-54
2.599,Bluetooth,-54
2.670,Bluetooth,-59
2.672,Bluetooth,-59
2.702,Bluetooth,-61
2.703,Bluetooth,-61
2.739,Bluetooth,-55
2.740,Bluetooth,-54
2.770,Bluetooth,-59
2.771,Bluetooth,-59
2.835,Bluetooth,-61
2.836,Bluetooth,-61
2.875,Bluetooth,-54
2.876,Bluetooth,-54
2.913,Bluetooth,-59
2.914,Bluetooth,-58
2.950,Bluetooth,-61
2.992,Bluetooth,-54
2.993,Bluetooth,-53
3.024,Bluetooth,-58
3.025,Bluetooth,-58
3.065,Bluetooth,-62
3.066,Bluetooth,-60
3.134,Bluetooth,-58
3.175,Bluetooth,-61
3.176,Bluetooth,-61
3.209,Bluetooth,-54
3.209,Bluetooth,-54
3.247,Bluetooth,-58
3.248,Bluetooth,-59
3.286,Bluetooth,-61
3.288,Bluetooth,-61
3.393,Bluetooth,-57
3.493,Bluetooth,-59
3.524,Bluetooth,-63
3.525,Bluetooth,-63
3.629,Bluetooth,-58
3.630,Bluetooth,-59
3.698,Bluetooth,-54
3.699,Bluetooth,-54
3.734,Bluetooth,-60
3.736,Bluetooth,-60
3.771,Bluetooth,-62
3.772,Bluetooth,-62
3.840,Bluetooth,-60
3.841,Bluetooth,-59
3.874,Bluetooth,-60
3.875,Bluetooth,-60
3.915,Bluetooth,-64
3.916,Bluetooth,-62
121.587,Bluetooth,-65
121.658,Bluetooth,-60
121.659,Bluetooth,-59
121.694,Bluetooth,-58
121.696,Bluetooth,-58
121.732,Bluetooth,-57
121.733,Bluetooth,-58
121.772,Bluetooth,-58
121.773,Bluetooth,-60
121.810,Bluetooth,-67
121.840,Bluetooth,-65
121.875,Bluetooth,-61
121.876,Bluetooth,-59
122.005,Bluetooth,-60
122.006,Bluetooth,-59
122.072,Bluetooth,-62
122.073,Bluetooth,-63
122.102,Bluetooth,-61
122.103,Bluetooth,-62
122.181,Bluetooth,-54
122.183,Bluetooth,-54
122.222,Bluetooth,-62
122.224,Bluetooth,-62
122.294,Bluetooth,-57
122.295,Bluetooth,-57
122.334,Bluetooth,-67
122.335,Bluetooth,-67
122.368,Bluetooth,-68
122.369,Bluetooth,-68
122.436,Bluetooth,-66
122.438,Bluetooth,-66
122.581,Bluetooth,-63
122.582,Bluetooth,-62
122.613,Bluetooth,-62
122.614,Bluetooth,-63
122.646,Bluetooth,-59
122.648,Bluetooth,-59
122.678,Bluetooth,-63
122.680,Bluetooth,-62
122.715,Bluetooth,-65
122.716,Bluetooth,-63
122.897,Bluetooth,-59
122.898,Bluetooth,-60
122.959,Bluetooth,-64
122.960,Bluetooth,-67
122.996,Bluetooth,-61
122.997,Bluetooth,-61
123.032,Bluetooth,-65
123.033,Bluetooth,-64
123.136,Bluetooth,-61
123.137,Bluetooth,-62
123.170,Bluetooth,-64
123.171,Bluetooth,-64
123.208,Bluetooth,-64
123.209,Bluetooth,-67
123.234,Bluetooth,-60
123.265,Bluetooth,-59
123.301,Bluetooth,-63
123.341,Bluetooth,-64
123.374,Bluetooth,-59
123.375,Bluetooth,-59
123.410,Bluetooth,-63
123.412,Bluetooth,-64
123.450,Bluetooth,-64
123.451,Bluetooth,-63
123.518,Bluetooth,-62
123.519,Bluetooth,-62
123.659,Bluetooth,-61
123.660,Bluetooth,-62
123.692,Bluetooth,-60
123.693,Bluetooth,-59
123.764,Bluetooth,-62
123.765,Bluetooth,-62
123.797,Bluetooth,-60
123.798,Bluetooth,-60
123.865,Bluetooth,-57
123.866,Bluetooth,-57
123.938,Bluetooth,-59
123.940,Bluetooth,-60
123.976,Bluetooth,-58
123.977,Bluetooth,-58
124.012,Bluetooth,-62
124.013,Bluetooth,-61
124.052,Bluetooth,-59
124.053,Bluetooth,-60
124.085,Bluetooth,-57
124.086,Bluetooth,-58
124.118,Bluetooth,-62
124.119,Bluetooth,-62
124.186,Bluetooth,-60
124.187,Bluetooth,-60
124.214,Bluetooth,-59
124.215,Bluetooth,-58
124.253,Bluetooth,-62
124.254,Bluetooth,-62
124.284,Bluetooth,-61
124.319,Bluetooth,-59
124.464,Bluetooth,-59
124.465,Bluetooth,-59
124.502,Bluetooth,-64
124.503,Bluetooth,-63
124.538,Bluetooth,-61
124.539,Bluetooth,-61
124.573,Bluetooth,-60
124.574,Bluetooth,-59
124.610,Bluetooth,-62
124.611,Bluetooth,-61
124.641,Bluetooth,-61
124.642,Bluetooth,-60
124.675,Bluetooth,-60
124.676,Bluetooth,-60
124.807,Bluetooth,-60
124.808,Bluetooth,-60
124.844,Bluetooth,-62
124.845,Bluetooth,-62
124.885,Bluetooth,-60
124.886,Bluetooth,-61
124.915,Bluetooth,-59
124.917,Bluetooth,-58
124.945,Bluetooth,-59
124.947,Bluetooth,-58
124.975,Bluetooth,-62
124.976,Bluetooth,-63
125.011,Bluetooth,-61
125.012,Bluetooth,-62
125.040,Bluetooth,-58
125.041,Bluetooth,-58
125.075,Bluetooth,-62
125.076,Bluetooth,-62
125.150,Bluetooth,-63
125.179,Bluetooth,-60
125.180,Bluetooth,-59
125.209,Bluetooth,-61
125.210,Bluetooth,-62
125.249,Bluetooth,-60
125.250,Bluetooth,-62
125.279,Bluetooth,-59
125.280,Bluetooth,-59
125.317,Bluetooth,-62
125.318,Bluetooth,-62
125.347,Bluetooth,-60
125.348,Bluetooth,-62
125.415,Bluetooth,-58
125.417,Bluetooth,-59
125.458,Bluetooth,-60
125.459,Bluetooth,-61
125.488,Bluetooth,-60
125.489,Bluetooth,-60
125.521,Bluetooth,-60
125.522,Bluetooth,-59
