Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-50
0.002,Bluetooth,-52
0.036,Bluetooth,-51
0.037,Bluetooth,-50
0.072,Bluetooth,-52
0.073,Bluetooth,-53
0.109,Bluetooth,-52
0.109,Bluetooth,-52
0.147,Bluetooth,-51
0.148,Bluetooth,-51
0.221,Bluetooth,-53
0.254,Bluetooth,-52
0.255,Bluetooth,-53
0.288,Bluetooth,-53
0.289,Bluetooth,-54
0.389,Bluetooth,-52
0.389,Bluetooth,-52
0.425,Bluetooth,-54
0.426,Bluetooth,-53
0.494,Bluetooth,-53
0.495,Bluetooth,-53
0.594,Bluetooth,-54
0.594,Bluetooth,-53
0.693,Bluetooth,-53
0.694,Bluetooth,-53
0.723,Bluetooth,-54
0.724,Bluetooth,-53
0.760,Bluetooth,-49
0.761,Bluetooth,-50
0.798,Bluetooth,-54
0.799,Bluetooth,-53
0.833,Bluetooth,-53
0.902,Bluetooth,-51
0.903,Bluetooth,-53
0.933,Bluetooth,-48
0.934,Bluetooth,-49
1.008,Bluetooth,-52
1.008,Bluetooth,-52
1.126,Bluetooth,-52
1.165,Bluetooth,-52
1.166,Bluetooth,-52
1.197,Bluetooth,-52
1.198,Bluetooth,-52
1.268,Bluetooth,-51
1.269,Bluetooth,-53
1.371,Bluetooth,-49
1.372,Bluetooth,-49
1.407,Bluetooth,-53
1.408,Bluetooth,-53
1.486,Bluetooth,-53
1.487,Bluetooth,-53
1.623,Bluetooth,-53
1.624,Bluetooth,-53
1.655,Bluetooth,-48
1.655,Bluetooth,-49
1.692,Bluetooth,-53
1.693,Bluetooth,-53
1.731,Bluetooth,-53
1.801,Bluetooth,-52
1.802,Bluetooth,-53
1.876,Bluetooth,-54
1.877,Bluetooth,-53
1.906,Bluetooth,-55
1.907,Bluetooth,-55
1.945,Bluetooth,-49
1.946,Bluetooth,-50
2.017,Bluetooth,-55
2.052,Bluetooth,-54
2.053,Bluetooth,-54
2.327,Bluetooth,-50
2.359,Bluetooth,-55
2.360,Bluetooth,-54
2.391,Bluetooth,-53
2.392,Bluetooth,-54
2.537,Bluetooth,-54
2.538,Bluetooth,-53
2.569,Bluetooth,-52
2.569,Bluetooth,-53
2.607,Bluetooth,-49
2.608,Bluetooth,-49
2.640,Bluetooth,-54
2.671,Bluetooth,-49
2.672,Bluetooth,-50
2.714,Bluetooth,-54
2.715,Bluetooth,-54
2.744,Bluetooth,-53
2.745,Bluetooth,-51
2.781,Bluetooth,-50
2.782,Bluetooth,-49
2.847,Bluetooth,-51
2.848,Bluetooth,-52
2.876,Bluetooth,-51
2.879,Bluetooth,-51
2.948,Bluetooth,-50
2.949,Bluetooth,-49
3.096,Bluetooth,-50
3.097,Bluetooth,-49
3.133,Bluetooth,-54
3.134,Bluetooth,-53
3.169,Bluetooth,-51
3.170,Bluetooth,-51
3.209,Bluetooth,-49
3.210,Bluetooth,-49
3.237,Bluetooth,-48
3.268,Bluetooth,-49
3.268,Bluetooth,-50
3.306,Bluetooth,-53
3.307,Bluetooth,-52
3.378,Bluetooth,-49
3.379,Bluetooth,-48
3.452,Bluetooth,-50
3.453,Bluetooth,-50
3.486,Bluetooth,-49
3.487,Bluetooth,-50
3.520,Bluetooth,-52
3.553,Bluetooth,-49
3.553,Bluetooth,-48
3.591,Bluetooth,-52
3.592,Bluetooth,-51
3.628,Bluetooth,-50
3.629,Bluetooth,-50
3.700,Bluetooth,-50
3.701,Bluetooth,-49
3.735,Bluetooth,-49
3.736,Bluetooth,-49
3.776,Bluetooth,-52
3.778,Bluetooth,-51
3.812,Bluetooth,-51
3.850,Bluetooth,-50
3.851,Bluetooth,-50
3.911,Bluetooth,-50
3.911,Bluetooth,-49
3.949,Bluetooth,-52
3.950,Bluetooth,-51
73.078,Bluetooth,-51
73.079,Bluetooth,-51
73.110,Bluetooth,-51
73.110,Bluetooth,-51
73.143,Bluetooth,-51
73.287,Bluetooth,-73
73.288,Bluetooth,-74
73.319,Bluetooth,-58
73.388,Bluetooth,-62
73.389,Bluetooth,-64
73.424,Bluetooth,-62
73.460,Bluetooth,-64
73.461,Bluetooth,-65
73.489,Bluetooth,-60
73.491,Bluetooth,-59
73.531,Bluetooth,-59
73.531,Bluetooth,-59
73.598,Bluetooth,-66
73.600,Bluetooth,-66
73.631,Bluetooth,-60
73.631,Bluetooth,-61
73.672,Bluetooth,-62
73.672,Bluetooth,-63
73.701,Bluetooth,-68
73.701,Bluetooth,-68
73.738,Bluetooth,-63
73.769,Bluetooth,-71
73.770,Bluetooth,-71
73.841,Bluetooth,-66
73.842,Bluetooth,-66
73.915,Bluetooth,-68
73.916,Bluetooth,-67
73.947,Bluetooth,-68
73.949,Bluetooth,-68
74.018,Bluetooth,-67
74.089,Bluetooth,-81
74.089,Bluetooth,-81
74.124,Bluetooth,-69
74.125,Bluetooth,-69
74.162,Bluetooth,-63
74.163,Bluetooth,-62
74.200,Bluetooth,-72
74.201,Bluetooth,-73
