Distance,4.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-75
0.001,Bluetooth,-72
0.030,Bluetooth,-77
0.031,Bluetooth,-77
0.063,Bluetooth,-67
0.066,Bluetooth,-66
0.098,Bluetooth,-68
0.099,Bluetooth,-68
0.130,Bluetooth,-74
0.132,Bluetooth,-74
0.160,Bluetooth,-77
0.160,Bluetooth,-79
0.186,Bluetooth,-68
0.186,Bluetooth,-67
0.252,Bluetooth,-75
0.252,Bluetooth,-72
0.281,Bluetooth,-77
0.282,Bluetooth,-78
0.313,Bluetooth,-68
0.313,Bluetooth,-68
0.345,Bluetooth,-76
0.345,Bluetooth,-74
0.409,Bluetooth,-79
0.409,Bluetooth,-79
0.441,Bluetooth,-69
0.442,Bluetooth,-69
0.470,Bluetooth,-76
0.470,Bluetooth,-76
0.530,Bluetooth,-79
0.531,Bluetooth,-79
0.593,Bluetooth,-78
0.593,Bluetooth,-77
0.653,Bluetooth,-80
0.653,Bluetooth,-79
0.683,Bluetooth,-69
0.683,Bluetooth,-69
0.718,Bluetooth,-78
0.718,Bluetooth,-78
0.746,Bluetooth,-78
0.747,Bluetooth,-79
0.777,Bluetooth,-77
0.777,Bluetooth,-78
0.807,Bluetooth,-70
0.807,Bluetooth,-70
0.838,Bluetooth,-77
0.838,Bluetooth,-77
0.866,Bluetooth,-78
0.867,Bluetooth,-79
0.902,Bluetooth,-71
0.903,Bluetooth,-69
0.932,Bluetooth,-70
0.932,Bluetooth,-69
0.966,Bluetooth,-76
0.967,Bluetooth,-76
0.997,Bluetooth,-79
0.997,Bluetooth,-79
1.029,Bluetooth,-69
1.030,Bluetooth,-69
1.060,Bluetooth,-69
1.060,Bluetooth,-69
1.092,Bluetooth,-77
1.092,Bluetooth,-77
1.123,Bluetooth,-78
1.124,Bluetooth,-79
1.153,Bluetooth,-69
1.154,Bluetooth,-68
1.189,Bluetooth,-77
1.191,Bluetooth,-76
1.254,Bluetooth,-78
1.255,Bluetooth,-77
1.288,Bluetooth,-68
1.288,Bluetooth,-68
1.322,Bluetooth,-77
1.323,Bluetooth,-76
1.352,Bluetooth,-78
1.352,Bluetooth,-79
1.385,Bluetooth,-69
1.385,Bluetooth,-69
1.416,Bluetooth,-69
1.416,Bluetooth,-69
1.447,Bluetooth,-76
1.447,Bluetooth,-76
1.479,Bluetooth,-78
1.479,Bluetooth,-78
1.511,Bluetooth,-68
1.511,Bluetooth,-68
1.544,Bluetooth,-76
1.545,Bluetooth,-75
1.575,Bluetooth,-76
1.576,Bluetooth,-74
1.608,Bluetooth,-77
1.609,Bluetooth,-78
1.639,Bluetooth,-68
1.640,Bluetooth,-69
1.670,Bluetooth,-78
1.671,Bluetooth,-76
1.734,Bluetooth,-79
1.735,Bluetooth,-79
1.763,Bluetooth,-69
1.764,Bluetooth,-69
1.794,Bluetooth,-75
1.795,Bluetooth,-74
1.855,Bluetooth,-79
1.857,Bluetooth,-78
1.886,Bluetooth,-68
1.887,Bluetooth,-68
1.920,Bluetooth,-75
1.921,Bluetooth,-75
1.950,Bluetooth,-78
1.951,Bluetooth,-78
2.012,Bluetooth,-69
2.013,Bluetooth,-69
2.043,Bluetooth,127
2.075,Bluetooth,-78
2.077,Bluetooth,-78
2.107,Bluetooth,-68
2.109,Bluetooth,-69
2.137,Bluetooth,-70
2.138,Bluetooth,-68
2.168,Bluetooth,-76
2.169,Bluetooth,-76
2.197,Bluetooth,-78
2.199,Bluetooth,-78
2.228,Bluetooth,-66
2.230,Bluetooth,-66
2.261,Bluetooth,127
2.292,Bluetooth,-76
2.293,Bluetooth,-76
2.324,Bluetooth,-78
2.326,Bluetooth,-77
2.354,Bluetooth,126
2.386,Bluetooth,-76
2.388,Bluetooth,-76
2.416,Bluetooth,127
2.446,Bluetooth,-77
2.447,Bluetooth,-79
2.477,Bluetooth,-68
2.479,Bluetooth,-67
2.510,Bluetooth,-75
2.511,Bluetooth,-75
2.538,Bluetooth,-77
2.539,Bluetooth,-76
2.633,Bluetooth,-76
2.634,Bluetooth,-75
2.665,Bluetooth,-75
2.666,Bluetooth,-76
2.726,Bluetooth,-67
2.728,Bluetooth,-66
2.789,Bluetooth,-73
2.792,Bluetooth,-74
2.819,Bluetooth,127
2.851,Bluetooth,-65
2.852,Bluetooth,-65
2.885,Bluetooth,127
2.915,Bluetooth,-73
2.917,Bluetooth,-75
2.947,Bluetooth,127
2.979,Bluetooth,-65
2.980,Bluetooth,-66
3.013,Bluetooth,126
3.042,Bluetooth,-75
3.044,Bluetooth,-74
3.074,Bluetooth,127
3.108,Bluetooth,-74
3.110,Bluetooth,-75
3.137,Bluetooth,127
3.170,Bluetooth,-73
3.170,Bluetooth,-74
3.205,Bluetooth,127
3.236,Bluetooth,-73
3.236,Bluetooth,-73
3.268,Bluetooth,127
3.299,Bluetooth,-74
3.300,Bluetooth,-75
3.334,Bluetooth,-65
3.335,Bluetooth,-63
3.368,Bluetooth,-75
3.369,Bluetooth,-74
3.400,Bluetooth,-75
3.401,Bluetooth,-75
3.433,Bluetooth,-67
3.434,Bluetooth,-65
3.468,Bluetooth,-75
3.470,Bluetooth,-74
3.499,Bluetooth,-74
3.500,Bluetooth,-74
3.530,Bluetooth,-75
3.531,Bluetooth,-74
3.566,Bluetooth,-66
3.567,Bluetooth,-67
3.596,Bluetooth,-75
3.597,Bluetooth,-74
3.625,Bluetooth,-75
3.627,Bluetooth,-75
3.658,Bluetooth,-76
3.659,Bluetooth,-75
3.692,Bluetooth,-67
3.693,Bluetooth,-67
3.726,Bluetooth,-75
3.727,Bluetooth,-75
3.757,Bluetooth,-74
3.759,Bluetooth,-75
3.790,Bluetooth,-66
3.792,Bluetooth,-67
3.820,Bluetooth,-66
3.821,Bluetooth,-66
3.853,Bluetooth,-77
3.854,Bluetooth,-74
3.882,Bluetooth,-75
3.883,Bluetooth,-76
3.917,Bluetooth,-66
3.918,Bluetooth,-66
3.948,Bluetooth,-83
3.949,Bluetooth,-81
3.979,Bluetooth,-80
3.980,Bluetooth,-78
63.982,Bluetooth,-72
63.983,Bluetooth,-71
64.007,Bluetooth,-75
64.008,Bluetooth,-75
64.042,Bluetooth,-74
64.043,Bluetooth,-74
64.074,Bluetooth,-72
64.075,Bluetooth,-73
64.108,Bluetooth,-72
64.109,Bluetooth,128
64.139,Bluetooth,-74
64.140,Bluetooth,-74
64.172,Bluetooth,-70
64.173,Bluetooth,-73
64.237,Bluetooth,-73
64.238,Bluetooth,127
64.268,Bluetooth,-73
64.269,Bluetooth,-75
64.300,Bluetooth,-70
64.312,Bluetooth,-71
64.329,Bluetooth,-72
64.332,Bluetooth,-73
64.362,Bluetooth,-72
64.363,Bluetooth,126
64.391,Bluetooth,-74
64.391,Bluetooth,-74
64.425,Bluetooth,-72
64.426,Bluetooth,-71
64.459,Bluetooth,-72
64.461,Bluetooth,127
64.488,Bluetooth,-74
64.489,Bluetooth,-73
64.523,Bluetooth,-73
64.523,Bluetooth,-75
64.557,Bluetooth,-70
64.558,Bluetooth,-71
64.588,Bluetooth,-72
64.588,Bluetooth,-74
64.616,Bluetooth,-74
