Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-59
0.000,Bluetooth,-59
0.027,Bluetooth,-57
0.028,Bluetooth,-58
0.094,Bluetooth,-57
0.095,Bluetooth,-57
0.158,Bluetooth,-62
0.159,Bluetooth,-62
0.189,Bluetooth,-59
0.190,Bluetooth,-58
0.222,Bluetooth,-57
0.223,Bluetooth,-57
0.315,Bluetooth,-59
0.316,Bluetooth,-57
0.345,Bluetooth,-58
0.346,Bluetooth,-57
0.377,Bluetooth,-62
0.378,Bluetooth,-63
0.442,Bluetooth,-59
0.443,Bluetooth,-60
0.471,Bluetooth,-56
0.473,Bluetooth,-57
0.506,Bluetooth,-61
0.508,Bluetooth,-61
0.542,Bluetooth,-57
0.543,Bluetooth,-58
0.607,Bluetooth,-57
0.609,Bluetooth,-58
0.672,Bluetooth,-59
0.674,Bluetooth,-58
0.704,Bluetooth,-57
0.706,Bluetooth,-57
0.799,Bluetooth,-58
0.800,Bluetooth,-58
0.831,Bluetooth,-55
0.832,Bluetooth,-56
0.863,Bluetooth,-64
0.864,Bluetooth,-62
0.925,Bluetooth,-57
0.926,Bluetooth,-57
0.958,Bluetooth,-57
0.959,Bluetooth,-57
0.992,Bluetooth,-60
0.992,Bluetooth,-59
1.019,Bluetooth,-58
1.020,Bluetooth,-59
1.152,Bluetooth,-57
1.152,Bluetooth,-57
1.182,Bluetooth,-57
1.183,Bluetooth,-56
1.247,Bluetooth,-60
1.248,Bluetooth,-60
1.279,Bluetooth,-58
1.280,Bluetooth,-58
1.308,Bluetooth,-57
1.309,Bluetooth,-57
1.341,Bluetooth,-62
1.343,Bluetooth,-61
1.432,Bluetooth,-58
1.434,Bluetooth,-58
1.464,Bluetooth,-58
1.560,Bluetooth,-59
1.561,Bluetooth,-58
1.595,Bluetooth,-59
1.596,Bluetooth,-59
1.630,Bluetooth,-62
1.631,Bluetooth,-64
1.660,Bluetooth,-58
1.662,Bluetooth,-58
1.693,Bluetooth,-58
1.694,Bluetooth,-58
1.725,Bluetooth,-59
1.726,Bluetooth,-59
1.759,Bluetooth,-62
1.760,Bluetooth,-62
1.788,Bluetooth,-57
1.789,Bluetooth,-59
1.849,Bluetooth,-59
