Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-54
0.032,Bluetooth,-55
0.033,Bluetooth,-57
0.134,Bluetooth,-55
0.135,Bluetooth,-55
0.169,Bluetooth,-55
0.170,Bluetooth,-55
0.202,Bluetooth,-58
0.203,Bluetooth,-59
0.231,Bluetooth,-55
0.232,Bluetooth,-54
0.302,Bluetooth,-56
0.303,Bluetooth,-56
0.333,Bluetooth,-58
0.369,Bluetooth,-59
0.370,Bluetooth,-60
0.469,Bluetooth,-66
0.470,Bluetooth,-68
0.577,Bluetooth,-69
0.578,Bluetooth,-69
0.611,Bluetooth,-64
0.612,Bluetooth,-64
0.641,Bluetooth,-64
0.673,Bluetooth,-63
0.676,Bluetooth,-64
0.712,Bluetooth,-58
0.713,Bluetooth,-57
0.742,Bluetooth,-65
0.744,Bluetooth,-64
0.813,Bluetooth,-58
0.814,Bluetooth,-59
0.851,Bluetooth,-60
0.852,Bluetooth,-61
0.950,Bluetooth,-59
1.058,Bluetooth,-62
1.059,Bluetooth,-61
1.096,Bluetooth,-60
1.097,Bluetooth,-60
1.129,Bluetooth,-59
1.130,Bluetooth,-59
1.234,Bluetooth,-61
1.274,Bluetooth,-61
1.275,Bluetooth,-61
1.308,Bluetooth,-60
1.309,Bluetooth,-60
1.342,Bluetooth,-64
1.343,Bluetooth,-64
1.422,Bluetooth,-59
1.423,Bluetooth,-59
1.452,Bluetooth,-60
1.452,Bluetooth,-60
1.492,Bluetooth,-66
1.493,Bluetooth,-66
1.524,Bluetooth,-62
1.525,Bluetooth,-63
1.558,Bluetooth,-63
1.631,Bluetooth,-59
1.632,Bluetooth,-59
1.665,Bluetooth,-62
1.665,Bluetooth,-62
1.699,Bluetooth,-63
1.701,Bluetooth,-63
1.733,Bluetooth,-58
1.733,Bluetooth,-60
1.771,Bluetooth,-61
1.772,Bluetooth,-61
1.802,Bluetooth,-62
1.803,Bluetooth,-61
1.833,Bluetooth,-58
1.874,Bluetooth,-62
1.875,Bluetooth,-61
1.910,Bluetooth,-58
1.911,Bluetooth,-59
1.944,Bluetooth,-61
1.944,Bluetooth,-62
1.982,Bluetooth,-63
1.984,Bluetooth,-62
2.085,Bluetooth,-61
2.085,Bluetooth,-62
2.152,Bluetooth,-69
2.185,Bluetooth,-59
2.187,Bluetooth,-59
2.298,Bluetooth,-63
2.299,Bluetooth,-63
2.335,Bluetooth,-60
2.336,Bluetooth,-59
2.434,Bluetooth,-57
2.467,Bluetooth,-55
2.469,Bluetooth,-55
2.568,Bluetooth,-57
2.569,Bluetooth,-57
2.607,Bluetooth,-60
2.607,Bluetooth,-60
2.673,Bluetooth,-60
2.674,Bluetooth,-57
2.707,Bluetooth,-63
2.708,Bluetooth,-63
2.743,Bluetooth,-58
2.777,Bluetooth,-60
2.778,Bluetooth,-59
2.812,Bluetooth,-58
2.813,Bluetooth,-57
2.885,Bluetooth,-59
2.886,Bluetooth,-60
2.950,Bluetooth,-55
2.952,Bluetooth,-55
2.987,Bluetooth,-64
2.988,Bluetooth,-65
3.059,Bluetooth,-70
3.125,Bluetooth,-58
3.126,Bluetooth,-58
3.232,Bluetooth,-58
3.311,Bluetooth,-62
3.312,Bluetooth,-62
3.343,Bluetooth,-63
3.377,Bluetooth,-64
3.378,Bluetooth,-64
3.414,Bluetooth,-63
3.415,Bluetooth,-62
3.527,Bluetooth,-61
3.527,Bluetooth,-61
3.564,Bluetooth,-61
3.565,Bluetooth,-61
3.594,Bluetooth,-59
3.595,Bluetooth,-59
3.629,Bluetooth,-60
3.660,Bluetooth,-58
3.730,Bluetooth,-57
3.731,Bluetooth,-58
3.795,Bluetooth,-65
3.796,Bluetooth,-66
3.932,Bluetooth,-64
