Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-43
0.001,Bluetooth,-43
0.039,Bluetooth,-44
0.041,Bluetooth,-45
0.071,Bluetooth,-44
0.072,Bluetooth,-44
0.134,Bluetooth,-43
0.135,Bluetooth,-44
0.243,Bluetooth,-42
0.244,Bluetooth,-42
0.281,Bluetooth,-42
0.282,Bluetooth,-44
0.316,Bluetooth,-44
0.317,Bluetooth,-44
0.346,Bluetooth,-46
0.347,Bluetooth,-44
0.374,Bluetooth,-46
0.376,Bluetooth,-46
0.412,Bluetooth,-46
0.413,Bluetooth,-47
0.532,Bluetooth,-46
0.533,Bluetooth,-47
0.571,Bluetooth,-46
0.572,Bluetooth,-46
0.609,Bluetooth,-46
0.610,Bluetooth,-46
0.682,Bluetooth,-45
0.683,Bluetooth,-46
0.713,Bluetooth,-45
0.714,Bluetooth,-46
0.746,Bluetooth,-47
0.747,Bluetooth,-45
0.783,Bluetooth,-46
0.785,Bluetooth,-46
0.821,Bluetooth,-45
0.822,Bluetooth,-45
0.854,Bluetooth,-46
0.855,Bluetooth,-46
0.885,Bluetooth,-46
0.886,Bluetooth,-46
0.920,Bluetooth,-43
0.921,Bluetooth,-43
0.992,Bluetooth,-43
0.993,Bluetooth,-42
1.031,Bluetooth,-39
1.032,Bluetooth,-40
1.096,Bluetooth,-40
1.097,Bluetooth,-40
1.134,Bluetooth,-41
1.136,Bluetooth,-40
1.197,Bluetooth,-39
1.199,Bluetooth,-38
1.238,Bluetooth,-36
1.240,Bluetooth,-36
1.271,Bluetooth,-35
1.273,Bluetooth,-36
1.340,Bluetooth,-33
1.342,Bluetooth,-34
1.372,Bluetooth,-34
1.374,Bluetooth,-34
1.482,Bluetooth,-41
1.523,Bluetooth,-43
1.524,Bluetooth,-44
1.593,Bluetooth,-43
1.595,Bluetooth,-43
1.670,Bluetooth,-44
1.671,Bluetooth,-45
1.705,Bluetooth,-41
1.707,Bluetooth,-41
1.746,Bluetooth,-64
1.747,Bluetooth,-62
1.812,Bluetooth,-45
1.814,Bluetooth,-45
1.846,Bluetooth,-45
1.847,Bluetooth,-45
1.886,Bluetooth,-42
1.887,Bluetooth,-43
1.914,Bluetooth,-48
1.915,Bluetooth,-48
1.947,Bluetooth,-50
1.948,Bluetooth,-50
1.980,Bluetooth,-51
1.980,Bluetooth,-52
2.013,Bluetooth,-67
2.014,Bluetooth,-67
2.044,Bluetooth,-54
2.045,Bluetooth,-55
2.184,Bluetooth,-47
2.185,Bluetooth,-48
2.260,Bluetooth,-45
2.261,Bluetooth,-45
2.298,Bluetooth,-45
2.299,Bluetooth,-45
2.332,Bluetooth,-48
2.333,Bluetooth,-48
2.363,Bluetooth,-46
2.364,Bluetooth,-47
2.402,Bluetooth,-43
2.404,Bluetooth,-43
2.516,Bluetooth,-51
2.517,Bluetooth,-52
2.544,Bluetooth,-44
2.545,Bluetooth,-43
2.581,Bluetooth,-45
2.582,Bluetooth,-45
2.613,Bluetooth,-54
2.614,Bluetooth,-55
2.647,Bluetooth,-51
2.648,Bluetooth,-50
2.679,Bluetooth,-51
2.680,Bluetooth,-51
2.746,Bluetooth,-57
2.776,Bluetooth,-61
2.778,Bluetooth,-61
2.814,Bluetooth,-56
2.815,Bluetooth,-57
2.851,Bluetooth,-76
2.852,Bluetooth,-77
2.887,Bluetooth,-55
2.926,Bluetooth,-51
2.927,Bluetooth,-51
2.967,Bluetooth,-59
2.968,Bluetooth,-60
2.997,Bluetooth,-58
2.998,Bluetooth,-58
3.037,Bluetooth,-53
3.039,Bluetooth,-53
3.099,Bluetooth,-63
3.100,Bluetooth,-64
3.136,Bluetooth,-59
3.138,Bluetooth,-59
3.244,Bluetooth,-57
3.245,Bluetooth,-58
3.352,Bluetooth,-53
3.354,Bluetooth,-52
3.537,Bluetooth,-51
3.538,Bluetooth,-51
3.572,Bluetooth,-57
3.573,Bluetooth,-58
3.610,Bluetooth,-53
3.611,Bluetooth,-52
3.640,Bluetooth,-51
3.642,Bluetooth,-51
3.678,Bluetooth,-58
3.679,Bluetooth,-57
3.716,Bluetooth,-52
3.818,Bluetooth,-59
3.819,Bluetooth,-59
3.910,Bluetooth,-60
3.911,Bluetooth,-60
32.198,Bluetooth,-63
32.198,Bluetooth,-63
