Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.050,Bluetooth,-69
0.051,Bluetooth,-69
0.081,Bluetooth,127
0.113,Bluetooth,-78
0.115,Bluetooth,-78
0.145,Bluetooth,-69
0.147,Bluetooth,-69
0.175,Bluetooth,-69
0.176,Bluetooth,-67
0.206,Bluetooth,-75
0.207,Bluetooth,-77
0.235,Bluetooth,-77
0.237,Bluetooth,-78
0.266,Bluetooth,-67
0.268,Bluetooth,-67
0.299,Bluetooth,126
0.330,Bluetooth,-77
0.331,Bluetooth,-76
0.362,Bluetooth,-78
0.364,Bluetooth,-78
0.392,Bluetooth,127
0.424,Bluetooth,-76
0.426,Bluetooth,-76
0.454,Bluetooth,127
0.484,Bluetooth,-78
0.485,Bluetooth,-78
0.515,Bluetooth,-68
0.517,Bluetooth,-68
0.548,Bluetooth,-76
0.549,Bluetooth,-75
0.576,Bluetooth,-77
0.577,Bluetooth,-76
0.671,Bluetooth,-76
0.672,Bluetooth,-75
0.703,Bluetooth,-75
0.704,Bluetooth,-76
0.764,Bluetooth,-66
0.766,Bluetooth,-66
0.827,Bluetooth,-74
0.830,Bluetooth,-74
0.857,Bluetooth,127
0.889,Bluetooth,-65
0.890,Bluetooth,-65
0.923,Bluetooth,127
0.953,Bluetooth,-73
0.955,Bluetooth,-74
0.985,Bluetooth,128
1.017,Bluetooth,-65
1.018,Bluetooth,-66
1.051,Bluetooth,127
1.080,Bluetooth,-75
1.082,Bluetooth,-74
1.112,Bluetooth,127
1.146,Bluetooth,-74
1.148,Bluetooth,-74
1.175,Bluetooth,127
1.208,Bluetooth,-74
1.208,Bluetooth,-74
1.243,Bluetooth,127
1.274,Bluetooth,-74
1.274,Bluetooth,-74
1.306,Bluetooth,127
1.337,Bluetooth,-75
1.338,Bluetooth,-73
1.372,Bluetooth,-65
1.373,Bluetooth,-64
1.406,Bluetooth,-76
1.407,Bluetooth,-74
1.438,Bluetooth,-74
1.439,Bluetooth,-75
1.471,Bluetooth,-65
1.472,Bluetooth,-66
1.506,Bluetooth,-75
1.508,Bluetooth,-73
1.537,Bluetooth,-75
1.538,Bluetooth,-74
1.568,Bluetooth,-74
1.569,Bluetooth,-74
1.604,Bluetooth,-67
1.605,Bluetooth,-67
1.634,Bluetooth,-75
1.635,Bluetooth,-74
1.663,Bluetooth,-75
1.665,Bluetooth,-75
1.696,Bluetooth,-76
1.697,Bluetooth,-74
1.730,Bluetooth,-67
1.731,Bluetooth,-67
1.764,Bluetooth,-75
1.765,Bluetooth,-73
1.795,Bluetooth,-75
1.797,Bluetooth,-75
1.828,Bluetooth,-67
1.830,Bluetooth,-66
1.858,Bluetooth,-67
1.859,Bluetooth,-67
1.891,Bluetooth,-77
1.892,Bluetooth,-74
1.920,Bluetooth,-75
1.921,Bluetooth,-74
1.955,Bluetooth,-65
1.956,Bluetooth,-66
1.986,Bluetooth,-82
1.987,Bluetooth,-82
2.017,Bluetooth,-79
2.018,Bluetooth,-78
2.050,Bluetooth,-71
2.050,Bluetooth,-71
2.081,Bluetooth,-63
2.083,Bluetooth,-64
2.113,Bluetooth,-74
2.113,Bluetooth,-72
2.142,Bluetooth,-73
2.143,Bluetooth,-73
2.205,Bluetooth,-70
2.206,Bluetooth,-69
2.236,Bluetooth,-74
2.237,Bluetooth,-73
2.267,Bluetooth,-86
2.268,Bluetooth,-85
2.298,Bluetooth,-88
2.300,Bluetooth,-86
2.330,Bluetooth,-74
2.331,Bluetooth,-73
2.361,Bluetooth,-73
2.362,Bluetooth,-72
2.425,Bluetooth,127
2.614,Bluetooth,-73
2.614,Bluetooth,-72
2.642,Bluetooth,127
2.678,Bluetooth,-80
2.679,Bluetooth,-77
2.710,Bluetooth,-74
2.710,Bluetooth,-74
2.742,Bluetooth,-87
2.743,Bluetooth,-87
2.776,Bluetooth,-90
2.776,Bluetooth,-89
2.876,Bluetooth,-88
2.877,Bluetooth,-89
2.972,Bluetooth,-75
2.973,Bluetooth,-74
3.002,Bluetooth,-88
3.002,Bluetooth,-87
3.038,Bluetooth,-76
3.039,Bluetooth,-76
3.070,Bluetooth,-73
3.071,Bluetooth,-74
3.162,Bluetooth,-77
3.164,Bluetooth,-76
3.252,Bluetooth,-94
3.253,Bluetooth,-93
3.285,Bluetooth,-76
3.286,Bluetooth,-75
3.317,Bluetooth,-78
3.318,Bluetooth,-77
3.348,Bluetooth,-75
3.350,Bluetooth,-75
3.384,Bluetooth,-72
3.385,Bluetooth,-72
3.414,Bluetooth,-70
3.415,Bluetooth,-70
3.448,Bluetooth,-77
3.450,Bluetooth,-78
3.480,Bluetooth,-71
3.481,Bluetooth,-72
3.511,Bluetooth,-64
3.512,Bluetooth,-65
3.546,Bluetooth,-74
3.547,Bluetooth,-75
3.608,Bluetooth,-69
3.609,Bluetooth,-69
3.642,Bluetooth,-64
3.643,Bluetooth,-63
3.676,Bluetooth,-72
3.677,Bluetooth,-74
3.708,Bluetooth,-69
3.709,Bluetooth,-70
3.741,Bluetooth,-66
3.741,Bluetooth,-66
3.771,Bluetooth,-66
3.772,Bluetooth,-66
3.804,Bluetooth,-70
3.805,Bluetooth,-71
3.831,Bluetooth,-70
3.832,Bluetooth,-71
3.867,Bluetooth,-66
3.868,Bluetooth,-67
3.899,Bluetooth,-66
3.901,Bluetooth,-66
3.934,Bluetooth,-70
3.935,Bluetooth,-70
3.965,Bluetooth,-70
3.967,Bluetooth,-70
58.286,Bluetooth,-70
58.286,Bluetooth,127
58.319,Bluetooth,-69
58.320,Bluetooth,127
58.349,Bluetooth,-71
58.351,Bluetooth,-73
58.382,Bluetooth,-71
58.384,Bluetooth,-71
58.412,Bluetooth,-69
58.413,Bluetooth,127
58.445,Bluetooth,-73
58.446,Bluetooth,-73
58.477,Bluetooth,-72
58.478,Bluetooth,-74
58.511,Bluetooth,-71
58.512,Bluetooth,-70
58.547,Bluetooth,-70
58.548,Bluetooth,127
58.576,Bluetooth,-72
58.577,Bluetooth,-74
58.607,Bluetooth,-71
58.608,Bluetooth,-71
58.642,Bluetooth,-70
58.642,Bluetooth,-71
58.675,Bluetooth,-70
58.676,Bluetooth,128
58.740,Bluetooth,-71
58.741,Bluetooth,-72
58.771,Bluetooth,-70
58.771,Bluetooth,127
58.830,Bluetooth,-74
58.831,Bluetooth,-74
58.866,Bluetooth,-71
58.868,Bluetooth,-70
58.896,Bluetooth,-72
58.897,Bluetooth,128
58.926,Bluetooth,-72
58.927,Bluetooth,-75
58.957,Bluetooth,-72
58.959,Bluetooth,-74
58.987,Bluetooth,-71
58.988,Bluetooth,-70
59.021,Bluetooth,-73
59.022,Bluetooth,128
59.054,Bluetooth,-73
59.055,Bluetooth,-73
59.088,Bluetooth,-71
59.089,Bluetooth,-70
59.118,Bluetooth,-71
59.119,Bluetooth,-71
59.149,Bluetooth,-72
59.151,Bluetooth,127
59.180,Bluetooth,-73
59.181,Bluetooth,-74
59.212,Bluetooth,-71
59.213,Bluetooth,-72
59.242,Bluetooth,-71
59.243,Bluetooth,-72
59.272,Bluetooth,-73
59.273,Bluetooth,127
59.304,Bluetooth,-73
59.305,Bluetooth,-74
59.337,Bluetooth,-72
59.338,Bluetooth,-74
59.370,Bluetooth,-73
59.371,Bluetooth,127
59.435,Bluetooth,-72
59.436,Bluetooth,-71
59.467,Bluetooth,-72
59.468,Bluetooth,-72
59.501,Bluetooth,-73
59.503,Bluetooth,128
59.530,Bluetooth,-71
59.531,Bluetooth,-72
59.560,Bluetooth,-72
59.561,Bluetooth,-74
59.620,Bluetooth,-73
59.621,Bluetooth,126
59.652,Bluetooth,-68
59.654,Bluetooth,-70
59.685,Bluetooth,-70
59.687,Bluetooth,-71
59.719,Bluetooth,-71
59.720,Bluetooth,-72
59.877,Bluetooth,-73
59.878,Bluetooth,127
59.940,Bluetooth,127
60.032,Bluetooth,-67
60.034,Bluetooth,-68
60.067,Bluetooth,-70
60.068,Bluetooth,-71
60.097,Bluetooth,-73
60.099,Bluetooth,127
60.126,Bluetooth,-70
60.127,Bluetooth,-70
60.161,Bluetooth,-69
60.162,Bluetooth,-71
60.195,Bluetooth,-71
60.197,Bluetooth,-72
60.225,Bluetooth,-72
60.226,Bluetooth,127
60.255,Bluetooth,-69
60.256,Bluetooth,-69
60.289,Bluetooth,-71
60.290,Bluetooth,-71
60.358,Bluetooth,-71
60.359,Bluetooth,126
60.387,Bluetooth,-69
60.388,Bluetooth,-69
60.418,Bluetooth,-71
60.419,Bluetooth,-72
60.451,Bluetooth,-71
60.452,Bluetooth,127
60.510,Bluetooth,-70
60.511,Bluetooth,-70
60.540,Bluetooth,-70
60.541,Bluetooth,-72
60.571,Bluetooth,-71
60.572,Bluetooth,126
60.632,Bluetooth,-69
60.635,Bluetooth,-69
60.664,Bluetooth,-68
60.666,Bluetooth,-70
60.754,Bluetooth,-68
60.755,Bluetooth,-70
60.785,Bluetooth,-70
60.787,Bluetooth,-70
60.818,Bluetooth,-72
60.820,Bluetooth,127
60.850,Bluetooth,-69
60.851,Bluetooth,-70
60.917,Bluetooth,-67
60.918,Bluetooth,-69
60.951,Bluetooth,-71
60.953,Bluetooth,128
60.984,Bluetooth,-68
60.985,Bluetooth,-70
61.019,Bluetooth,-69
61.020,Bluetooth,-69
61.049,Bluetooth,-72
61.051,Bluetooth,127
61.080,Bluetooth,-70
61.081,Bluetooth,126
61.111,Bluetooth,-69
61.112,Bluetooth,-70
61.177,Bluetooth,-72
61.178,Bluetooth,126
61.205,Bluetooth,-69
61.206,Bluetooth,-72
61.236,Bluetooth,-70
61.237,Bluetooth,-72
61.271,Bluetooth,-69
61.272,Bluetooth,-69
61.334,Bluetooth,-69
61.335,Bluetooth,-71
61.364,Bluetooth,-70
61.365,Bluetooth,-70
61.394,Bluetooth,-70
61.395,Bluetooth,-71
61.425,Bluetooth,-72
61.426,Bluetooth,-73
61.455,Bluetooth,-72
61.456,Bluetooth,-72
61.485,Bluetooth,-71
61.487,Bluetooth,-71
61.519,Bluetooth,-71
61.520,Bluetooth,-70
61.550,Bluetooth,-72
61.551,Bluetooth,-73
61.579,Bluetooth,-73
61.581,Bluetooth,-74
61.613,Bluetooth,-72
61.614,Bluetooth,-72
61.799,Bluetooth,-71
61.801,Bluetooth,126
61.828,Bluetooth,-74
61.829,Bluetooth,-74
61.859,Bluetooth,-71
61.860,Bluetooth,-71
61.892,Bluetooth,-71
61.894,Bluetooth,-72
61.926,Bluetooth,-76
61.927,Bluetooth,-76
61.956,Bluetooth,-75
61.957,Bluetooth,-75
62.020,Bluetooth,-71
62.021,Bluetooth,-73
62.045,Bluetooth,-74
62.046,Bluetooth,-75
62.080,Bluetooth,-74
62.081,Bluetooth,-74
62.112,Bluetooth,-71
62.113,Bluetooth,-72
62.146,Bluetooth,-72
62.147,Bluetooth,128
62.177,Bluetooth,-74
62.178,Bluetooth,-74
62.210,Bluetooth,-71
62.211,Bluetooth,-72
107.329,Bluetooth,-68
107.330,Bluetooth,-70
107.391,Bluetooth,-61
107.392,Bluetooth,-60
107.488,Bluetooth,-64
107.489,Bluetooth,-64
107.557,Bluetooth,-68
