Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-64
0.001,Bluetooth,-64
0.036,Bluetooth,-64
0.037,Bluetooth,-64
0.097,Bluetooth,-67
0.098,Bluetooth,-67
0.129,Bluetooth,-64
0.130,Bluetooth,-64
0.160,Bluetooth,-63
0.161,Bluetooth,-63
0.220,Bluetooth,-68
0.221,Bluetooth,-67
0.315,Bluetooth,-64
0.317,Bluetooth,-64
0.346,Bluetooth,-68
0.349,Bluetooth,-67
0.420,Bluetooth,-64
0.421,Bluetooth,-64
0.477,Bluetooth,-67
0.479,Bluetooth,-67
0.509,Bluetooth,-65
0.510,Bluetooth,-65
0.539,Bluetooth,-65
0.540,Bluetooth,-63
0.605,Bluetooth,-67
0.606,Bluetooth,-67
0.639,Bluetooth,-65
0.639,Bluetooth,-65
0.698,Bluetooth,-67
0.699,Bluetooth,-67
0.762,Bluetooth,-64
0.763,Bluetooth,-64
0.793,Bluetooth,-63
0.794,Bluetooth,-65
0.820,Bluetooth,-67
0.821,Bluetooth,-66
0.882,Bluetooth,-64
0.883,Bluetooth,-63
0.915,Bluetooth,-65
0.916,Bluetooth,-64
0.948,Bluetooth,-66
0.949,Bluetooth,-66
0.984,Bluetooth,-62
0.985,Bluetooth,-63
1.046,Bluetooth,-65
1.047,Bluetooth,-65
1.076,Bluetooth,-66
1.077,Bluetooth,-65
1.107,Bluetooth,-64
1.109,Bluetooth,-63
1.139,Bluetooth,-64
1.139,Bluetooth,-65
1.200,Bluetooth,-66
1.201,Bluetooth,-66
1.235,Bluetooth,-62
1.236,Bluetooth,-62
1.267,Bluetooth,-66
1.268,Bluetooth,-65
1.295,Bluetooth,-65
1.296,Bluetooth,-65
1.361,Bluetooth,-62
1.362,Bluetooth,-62
1.392,Bluetooth,-67
1.393,Bluetooth,-65
1.422,Bluetooth,-66
1.424,Bluetooth,-67
1.458,Bluetooth,-62
1.458,Bluetooth,-61
1.521,Bluetooth,-61
1.522,Bluetooth,-63
1.584,Bluetooth,-65
1.585,Bluetooth,-65
1.618,Bluetooth,-62
1.619,Bluetooth,-62
1.680,Bluetooth,-68
1.681,Bluetooth,-68
1.743,Bluetooth,-62
1.744,Bluetooth,-63
1.779,Bluetooth,-68
1.780,Bluetooth,-68
1.840,Bluetooth,-65
1.841,Bluetooth,-64
1.876,Bluetooth,-64
1.877,Bluetooth,-64
1.912,Bluetooth,-70
1.912,Bluetooth,-69
1.942,Bluetooth,-65
1.943,Bluetooth,-64
2.008,Bluetooth,-65
2.009,Bluetooth,-65
2.043,Bluetooth,-71
2.044,Bluetooth,-71
2.072,Bluetooth,-66
2.073,Bluetooth,-64
2.104,Bluetooth,-67
2.106,Bluetooth,-66
2.139,Bluetooth,-71
2.140,Bluetooth,-70
2.206,Bluetooth,-66
2.207,Bluetooth,-66
2.237,Bluetooth,-68
2.239,Bluetooth,-67
2.270,Bluetooth,-70
2.272,Bluetooth,-71
2.300,Bluetooth,-66
2.301,Bluetooth,-67
2.331,Bluetooth,-66
2.331,Bluetooth,-65
2.361,Bluetooth,-68
2.362,Bluetooth,-68
2.393,Bluetooth,-70
2.394,Bluetooth,-71
2.423,Bluetooth,-67
2.424,Bluetooth,-66
2.483,Bluetooth,-68
2.484,Bluetooth,-69
2.607,Bluetooth,-67
2.608,Bluetooth,-68
2.639,Bluetooth,-71
2.639,Bluetooth,-71
2.667,Bluetooth,-67
2.668,Bluetooth,-66
2.697,Bluetooth,-68
2.795,Bluetooth,-67
2.796,Bluetooth,-66
2.830,Bluetooth,-69
2.831,Bluetooth,-69
2.859,Bluetooth,-70
2.860,Bluetooth,-70
2.919,Bluetooth,-66
2.920,Bluetooth,-66
2.950,Bluetooth,-68
2.952,Bluetooth,-68
2.984,Bluetooth,-70
2.986,Bluetooth,-71
3.045,Bluetooth,-66
3.046,Bluetooth,-66
3.079,Bluetooth,-69
3.079,Bluetooth,-69
3.111,Bluetooth,-70
3.113,Bluetooth,-70
3.206,Bluetooth,-72
3.207,Bluetooth,-71
3.238,Bluetooth,-73
3.239,Bluetooth,-72
3.302,Bluetooth,-75
3.303,Bluetooth,-75
3.431,Bluetooth,-74
3.432,Bluetooth,-74
3.527,Bluetooth,-68
3.560,Bluetooth,-70
3.561,Bluetooth,-70
3.594,Bluetooth,-71
3.595,Bluetooth,-70
3.627,Bluetooth,-71
3.629,Bluetooth,-71
3.662,Bluetooth,-70
3.663,Bluetooth,-71
3.725,Bluetooth,-66
3.726,Bluetooth,-65
3.759,Bluetooth,-83
3.759,Bluetooth,-83
3.791,Bluetooth,-71
3.793,Bluetooth,-70
3.824,Bluetooth,-67
3.825,Bluetooth,-67
3.889,Bluetooth,-75
3.889,Bluetooth,-75
3.950,Bluetooth,-67
3.951,Bluetooth,-68
3.980,Bluetooth,-79
3.981,Bluetooth,-78
