Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.073,Bluetooth,-61
0.074,Bluetooth,-61
0.101,Bluetooth,-52
0.102,Bluetooth,-52
0.142,Bluetooth,-55
0.176,Bluetooth,-57
0.177,Bluetooth,-56
0.238,Bluetooth,-49
0.239,Bluetooth,-50
0.277,Bluetooth,-53
0.279,Bluetooth,-54
0.349,Bluetooth,-51
0.420,Bluetooth,-58
0.421,Bluetooth,-59
0.453,Bluetooth,-51
0.454,Bluetooth,-50
0.493,Bluetooth,-53
0.494,Bluetooth,-53
0.530,Bluetooth,-60
0.531,Bluetooth,-60
0.634,Bluetooth,-52
0.635,Bluetooth,-52
0.675,Bluetooth,-60
0.676,Bluetooth,-59
0.713,Bluetooth,-50
0.714,Bluetooth,-49
0.793,Bluetooth,-59
0.794,Bluetooth,-59
0.825,Bluetooth,-50
0.826,Bluetooth,-49
0.863,Bluetooth,-52
0.864,Bluetooth,-52
0.900,Bluetooth,-59
0.902,Bluetooth,-59
0.964,Bluetooth,-52
0.965,Bluetooth,-52
1.006,Bluetooth,-59
1.007,Bluetooth,-59
1.153,Bluetooth,-59
1.154,Bluetooth,-59
1.218,Bluetooth,-53
1.219,Bluetooth,-53
1.257,Bluetooth,-59
1.258,Bluetooth,-58
1.326,Bluetooth,-52
1.327,Bluetooth,-53
1.366,Bluetooth,-59
1.367,Bluetooth,-59
1.401,Bluetooth,-60
1.402,Bluetooth,-59
1.435,Bluetooth,-49
1.436,Bluetooth,-50
1.512,Bluetooth,-60
1.513,Bluetooth,-59
1.540,Bluetooth,-48
1.541,Bluetooth,-50
1.577,Bluetooth,-53
1.578,Bluetooth,-52
1.645,Bluetooth,-48
1.646,Bluetooth,-51
1.676,Bluetooth,-51
1.677,Bluetooth,-49
1.714,Bluetooth,-52
1.715,Bluetooth,-52
1.781,Bluetooth,-49
1.782,Bluetooth,-50
1.856,Bluetooth,-60
1.857,Bluetooth,-60
1.887,Bluetooth,-49
1.888,Bluetooth,-50
1.919,Bluetooth,-49
1.920,Bluetooth,-50
1.954,Bluetooth,-52
1.955,Bluetooth,-52
2.055,Bluetooth,-52
2.056,Bluetooth,-51
2.128,Bluetooth,-49
2.129,Bluetooth,-50
2.156,Bluetooth,-50
2.157,Bluetooth,-51
2.195,Bluetooth,-52
2.197,Bluetooth,-53
2.226,Bluetooth,-60
2.227,Bluetooth,-61
2.265,Bluetooth,-49
2.266,Bluetooth,-49
2.299,Bluetooth,-52
2.300,Bluetooth,-52
2.337,Bluetooth,-59
2.338,Bluetooth,-60
2.413,Bluetooth,-53
2.414,Bluetooth,-52
2.444,Bluetooth,-58
2.445,Bluetooth,-60
2.479,Bluetooth,-59
2.480,Bluetooth,-59
2.546,Bluetooth,-52
2.547,Bluetooth,-53
2.613,Bluetooth,-50
2.614,Bluetooth,-50
2.647,Bluetooth,-51
2.648,Bluetooth,-52
2.750,Bluetooth,-50
2.791,Bluetooth,-52
2.826,Bluetooth,-60
2.827,Bluetooth,-60
2.855,Bluetooth,-50
2.856,Bluetooth,-49
2.893,Bluetooth,-52
2.894,Bluetooth,-52
2.932,Bluetooth,-59
2.933,Bluetooth,-59
3.035,Bluetooth,-52
3.036,Bluetooth,-52
3.144,Bluetooth,-51
3.145,Bluetooth,-52
3.181,Bluetooth,-60
3.182,Bluetooth,-59
3.216,Bluetooth,-49
3.218,Bluetooth,-51
3.254,Bluetooth,-51
3.255,Bluetooth,-52
3.288,Bluetooth,-59
3.289,Bluetooth,-59
3.355,Bluetooth,-49
3.357,Bluetooth,-49
3.433,Bluetooth,-59
3.434,Bluetooth,-58
3.464,Bluetooth,-49
3.465,Bluetooth,-49
3.494,Bluetooth,-52
3.495,Bluetooth,-52
3.527,Bluetooth,-59
3.528,Bluetooth,-58
3.678,Bluetooth,-61
3.679,Bluetooth,-61
3.708,Bluetooth,-51
3.709,Bluetooth,-51
3.745,Bluetooth,-55
3.746,Bluetooth,-56
3.777,Bluetooth,-62
3.778,Bluetooth,-60
3.838,Bluetooth,-53
3.839,Bluetooth,-52
3.869,Bluetooth,-55
3.870,Bluetooth,-56
3.908,Bluetooth,-60
3.909,Bluetooth,-60
3.946,Bluetooth,-52
3.947,Bluetooth,-52
3.977,Bluetooth,-53
3.978,Bluetooth,-55
94.672,Bluetooth,-57
94.674,Bluetooth,-59
94.711,Bluetooth,-58
94.712,Bluetooth,-59
94.850,Bluetooth,-60
94.851,Bluetooth,-60
94.880,Bluetooth,-60
94.881,Bluetooth,-59
94.954,Bluetooth,-59
94.956,Bluetooth,-58
94.990,Bluetooth,-60
94.991,Bluetooth,-59
95.066,Bluetooth,-59
95.067,Bluetooth,-60
95.137,Bluetooth,-58
95.138,Bluetooth,-59
95.199,Bluetooth,-60
95.201,Bluetooth,-59
95.233,Bluetooth,-59
95.234,Bluetooth,-58
95.266,Bluetooth,-58
95.267,Bluetooth,-58
95.295,Bluetooth,-59
95.296,Bluetooth,-58
95.327,Bluetooth,-59
95.328,Bluetooth,-59
95.367,Bluetooth,-59
95.368,Bluetooth,-58
95.404,Bluetooth,-59
95.610,Bluetooth,-58
95.611,Bluetooth,-58
95.648,Bluetooth,-59
95.649,Bluetooth,-59
95.684,Bluetooth,-58
95.685,Bluetooth,-58
95.747,Bluetooth,-58
95.748,Bluetooth,-57
95.781,Bluetooth,-60
95.782,Bluetooth,-59
95.845,Bluetooth,-57
95.846,Bluetooth,-58
95.919,Bluetooth,-61
95.920,Bluetooth,-59
95.959,Bluetooth,-57
95.960,Bluetooth,-58
95.997,Bluetooth,-58
95.998,Bluetooth,-57
96.028,Bluetooth,-60
96.029,Bluetooth,-60
96.065,Bluetooth,-57
96.066,Bluetooth,-57
96.104,Bluetooth,-58
96.105,Bluetooth,-57
96.135,Bluetooth,-60
96.136,Bluetooth,-61
96.166,Bluetooth,-58
96.167,Bluetooth,-59
96.272,Bluetooth,-58
96.311,Bluetooth,-58
96.312,Bluetooth,-59
96.342,Bluetooth,-58
96.343,Bluetooth,-59
96.373,Bluetooth,-60
96.374,Bluetooth,-60
96.407,Bluetooth,-59
96.408,Bluetooth,-58
96.445,Bluetooth,-59
96.446,Bluetooth,-58
96.477,Bluetooth,-57
96.478,Bluetooth,-58
96.508,Bluetooth,-60
96.509,Bluetooth,-60
96.583,Bluetooth,-58
96.584,Bluetooth,-57
96.614,Bluetooth,-60
96.615,Bluetooth,-60
96.806,Bluetooth,-58
96.908,Bluetooth,-57
96.909,Bluetooth,-58
96.940,Bluetooth,-57
96.941,Bluetooth,-57
96.974,Bluetooth,-60
96.975,Bluetooth,-60
97.008,Bluetooth,-58
97.009,Bluetooth,-57
97.047,Bluetooth,-58
97.048,Bluetooth,-59
97.077,Bluetooth,-58
97.078,Bluetooth,-58
97.105,Bluetooth,-60
97.106,Bluetooth,-60
97.136,Bluetooth,-58
97.137,Bluetooth,-58
97.169,Bluetooth,-57
97.170,Bluetooth,-58
97.202,Bluetooth,-58
97.235,Bluetooth,-60
97.236,Bluetooth,-60
97.268,Bluetooth,-59
97.270,Bluetooth,-58
97.305,Bluetooth,-58
97.306,Bluetooth,-58
97.372,Bluetooth,-59
97.373,Bluetooth,-58
97.478,Bluetooth,-58
97.479,Bluetooth,-59
97.513,Bluetooth,-58
97.554,Bluetooth,-58
97.555,Bluetooth,-58
97.586,Bluetooth,-59
97.588,Bluetooth,-59
97.617,Bluetooth,-58
97.618,Bluetooth,-60
97.649,Bluetooth,-58
97.650,Bluetooth,-58
97.678,Bluetooth,-58
97.679,Bluetooth,-59
97.714,Bluetooth,-59
97.716,Bluetooth,-58
97.750,Bluetooth,-60
97.751,Bluetooth,-59
97.784,Bluetooth,-58
97.785,Bluetooth,-58
97.818,Bluetooth,-58
97.819,Bluetooth,-59
97.857,Bluetooth,-60
97.858,Bluetooth,-60
97.937,Bluetooth,-59
97.939,Bluetooth,-59
97.973,Bluetooth,-60
97.974,Bluetooth,-60
97.997,Bluetooth,-60
97.998,Bluetooth,-60
98.037,Bluetooth,-57
98.038,Bluetooth,-58
98.074,Bluetooth,-59
98.075,Bluetooth,-58
98.106,Bluetooth,-58
98.107,Bluetooth,-61
98.249,Bluetooth,-58
98.250,Bluetooth,-58
98.282,Bluetooth,-59
98.316,Bluetooth,-59
98.317,Bluetooth,-59
98.354,Bluetooth,-60
98.355,Bluetooth,-60
98.426,Bluetooth,-59
98.428,Bluetooth,-59
98.504,Bluetooth,-58
98.505,Bluetooth,-58
98.541,Bluetooth,-58
98.542,Bluetooth,-60
98.579,Bluetooth,-59
98.580,Bluetooth,-61
98.617,Bluetooth,-60
98.618,Bluetooth,-61
190.013,Bluetooth,-55
190.014,Bluetooth,-55
190.043,Bluetooth,-66
190.044,Bluetooth,-65
190.073,Bluetooth,-65
190.074,Bluetooth,-64
190.147,Bluetooth,-56
190.148,Bluetooth,-55
190.186,Bluetooth,-65
190.187,Bluetooth,-65
190.224,Bluetooth,-62
190.226,Bluetooth,-63
190.263,Bluetooth,-56
190.264,Bluetooth,-55
190.339,Bluetooth,-62
190.341,Bluetooth,-62
190.370,Bluetooth,-56
190.371,Bluetooth,-56
190.404,Bluetooth,-70
190.405,Bluetooth,-70
190.434,Bluetooth,-66
190.435,Bluetooth,-66
190.512,Bluetooth,-55
190.514,Bluetooth,-55
190.542,Bluetooth,-65
190.543,Bluetooth,-65
190.608,Bluetooth,-56
190.610,Bluetooth,-55
190.643,Bluetooth,-65
190.644,Bluetooth,-66
190.685,Bluetooth,-61
190.686,Bluetooth,-61
190.719,Bluetooth,-62
190.721,Bluetooth,-61
190.764,Bluetooth,-55
190.765,Bluetooth,-54
190.789,Bluetooth,-63
190.790,Bluetooth,-64
190.823,Bluetooth,-63
190.824,Bluetooth,-63
190.853,Bluetooth,-54
190.854,Bluetooth,-55
190.888,Bluetooth,-65
190.889,Bluetooth,-65
191.024,Bluetooth,-64
191.025,Bluetooth,-65
191.101,Bluetooth,-55
191.102,Bluetooth,-55
191.134,Bluetooth,-64
191.135,Bluetooth,-65
191.167,Bluetooth,-62
191.169,Bluetooth,-62
191.197,Bluetooth,-62
191.198,Bluetooth,-62
191.298,Bluetooth,-62
191.299,Bluetooth,-63
191.335,Bluetooth,-55
191.336,Bluetooth,-55
191.367,Bluetooth,-65
191.368,Bluetooth,-65
191.512,Bluetooth,-65
191.540,Bluetooth,-62
191.541,Bluetooth,-63
191.572,Bluetooth,-55
191.573,Bluetooth,-55
191.646,Bluetooth,-62
191.647,Bluetooth,-62
191.676,Bluetooth,-63
191.677,Bluetooth,-63
191.716,Bluetooth,-56
191.717,Bluetooth,-56
191.787,Bluetooth,-63
191.788,Bluetooth,-62
191.819,Bluetooth,-56
191.820,Bluetooth,-56
191.856,Bluetooth,-66
191.857,Bluetooth,-64
191.893,Bluetooth,-62
191.894,Bluetooth,-62
191.987,Bluetooth,-65
191.989,Bluetooth,-64
192.096,Bluetooth,-66
192.097,Bluetooth,-64
192.128,Bluetooth,-62
192.129,Bluetooth,-63
192.165,Bluetooth,-55
192.166,Bluetooth,-55
192.199,Bluetooth,-56
192.200,Bluetooth,-56
192.228,Bluetooth,-64
192.229,Bluetooth,-64
192.262,Bluetooth,-62
192.263,Bluetooth,-62
192.300,Bluetooth,-56
192.300,Bluetooth,-55
192.336,Bluetooth,-64
192.337,Bluetooth,-65
192.369,Bluetooth,-61
192.370,Bluetooth,-62
192.433,Bluetooth,-55
192.434,Bluetooth,-55
192.469,Bluetooth,-63
192.470,Bluetooth,-65
192.546,Bluetooth,-55
192.547,Bluetooth,-55
192.578,Bluetooth,-63
192.612,Bluetooth,-62
192.613,Bluetooth,-62
192.645,Bluetooth,-55
192.646,Bluetooth,-55
192.712,Bluetooth,-65
192.714,Bluetooth,-65
192.752,Bluetooth,-61
192.753,Bluetooth,-61
192.823,Bluetooth,-65
192.824,Bluetooth,-65
192.864,Bluetooth,-60
192.937,Bluetooth,-70
192.938,Bluetooth,-69
193.012,Bluetooth,-55
193.013,Bluetooth,-55
193.376,Bluetooth,-55
193.377,Bluetooth,-55
193.410,Bluetooth,-62
193.449,Bluetooth,-62
193.450,Bluetooth,-62
193.485,Bluetooth,-54
193.487,Bluetooth,-55
193.632,Bluetooth,-54
193.633,Bluetooth,-55
193.662,Bluetooth,-61
193.663,Bluetooth,-61
193.699,Bluetooth,-63
193.700,Bluetooth,-63
193.730,Bluetooth,-54
193.732,Bluetooth,-54
193.765,Bluetooth,-61
193.766,Bluetooth,-62
193.806,Bluetooth,-63
193.807,Bluetooth,-62
193.836,Bluetooth,-64
193.837,Bluetooth,-63
193.875,Bluetooth,-55
193.878,Bluetooth,-55
193.912,Bluetooth,-62
193.913,Bluetooth,-61
193.950,Bluetooth,-63
193.951,Bluetooth,-63
193.981,Bluetooth,-55
193.982,Bluetooth,-56
