Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-50
0.107,Bluetooth,-50
0.107,Bluetooth,-49
0.140,Bluetooth,-49
0.141,Bluetooth,-49
0.180,Bluetooth,-49
0.181,Bluetooth,-49
0.220,Bluetooth,-50
0.221,Bluetooth,-50
0.355,Bluetooth,-49
0.355,Bluetooth,-49
0.427,Bluetooth,-49
0.428,Bluetooth,-49
0.489,Bluetooth,-48
0.490,Bluetooth,-48
0.527,Bluetooth,-50
0.528,Bluetooth,-49
0.564,Bluetooth,-49
0.565,Bluetooth,-48
0.595,Bluetooth,-48
0.739,Bluetooth,-47
0.741,Bluetooth,-47
0.817,Bluetooth,-48
0.818,Bluetooth,-48
0.854,Bluetooth,-48
0.855,Bluetooth,-48
0.895,Bluetooth,-48
0.931,Bluetooth,-48
0.932,Bluetooth,-48
1.003,Bluetooth,-47
1.003,Bluetooth,-48
1.040,Bluetooth,-48
1.042,Bluetooth,-49
1.147,Bluetooth,-48
1.148,Bluetooth,-48
1.178,Bluetooth,-48
1.179,Bluetooth,-47
1.254,Bluetooth,-48
1.254,Bluetooth,-48
1.326,Bluetooth,-48
1.327,Bluetooth,-48
1.360,Bluetooth,-47
1.360,Bluetooth,-49
1.399,Bluetooth,-48
1.401,Bluetooth,-48
1.439,Bluetooth,-48
1.440,Bluetooth,-49
1.479,Bluetooth,-46
1.480,Bluetooth,-47
1.687,Bluetooth,-48
1.688,Bluetooth,-48
1.723,Bluetooth,-48
1.724,Bluetooth,-48
1.756,Bluetooth,-47
1.757,Bluetooth,-48
1.795,Bluetooth,-47
1.908,Bluetooth,-48
1.910,Bluetooth,-47
1.946,Bluetooth,-48
1.947,Bluetooth,-48
1.977,Bluetooth,-48
1.978,Bluetooth,-48
2.046,Bluetooth,-48
2.046,Bluetooth,-48
2.226,Bluetooth,-47
2.227,Bluetooth,-49
2.260,Bluetooth,-48
2.260,Bluetooth,-48
2.295,Bluetooth,-48
2.296,Bluetooth,-47
2.336,Bluetooth,-48
2.338,Bluetooth,-47
2.373,Bluetooth,-48
2.375,Bluetooth,-47
2.407,Bluetooth,-48
2.481,Bluetooth,-48
2.482,Bluetooth,-49
2.516,Bluetooth,-49
2.517,Bluetooth,-47
2.547,Bluetooth,-48
2.584,Bluetooth,-49
2.585,Bluetooth,-47
2.624,Bluetooth,-47
2.625,Bluetooth,-48
2.663,Bluetooth,-48
2.663,Bluetooth,-48
2.699,Bluetooth,-48
2.730,Bluetooth,-47
2.731,Bluetooth,-49
2.768,Bluetooth,-48
2.769,Bluetooth,-48
2.846,Bluetooth,-47
2.846,Bluetooth,-47
2.875,Bluetooth,-48
2.877,Bluetooth,-48
2.915,Bluetooth,-48
2.916,Bluetooth,-47
2.944,Bluetooth,-49
2.945,Bluetooth,-47
2.975,Bluetooth,-47
2.976,Bluetooth,-49
3.157,Bluetooth,-47
3.158,Bluetooth,-48
3.223,Bluetooth,-47
3.223,Bluetooth,-49
3.253,Bluetooth,-47
3.254,Bluetooth,-48
3.283,Bluetooth,-49
3.459,Bluetooth,-49
3.460,Bluetooth,-48
3.489,Bluetooth,-48
3.489,Bluetooth,-49
3.532,Bluetooth,-49
3.533,Bluetooth,-48
3.668,Bluetooth,-48
3.669,Bluetooth,-49
3.703,Bluetooth,-49
3.704,Bluetooth,-49
3.732,Bluetooth,-50
3.733,Bluetooth,-49
3.869,Bluetooth,-49
3.871,Bluetooth,-49
3.905,Bluetooth,-50
3.940,Bluetooth,-48
3.942,Bluetooth,-49
13.648,Bluetooth,-43
13.649,Bluetooth,-43
13.683,Bluetooth,-43
13.685,Bluetooth,-43
13.780,Bluetooth,-42
13.817,Bluetooth,-42
13.818,Bluetooth,-42
13.856,Bluetooth,-41
13.857,Bluetooth,-41
13.921,Bluetooth,-43
13.922,Bluetooth,-42
14.087,Bluetooth,-45
14.156,Bluetooth,-46
14.157,Bluetooth,-45
14.226,Bluetooth,-44
14.227,Bluetooth,-44
14.300,Bluetooth,-43
14.301,Bluetooth,-44
14.373,Bluetooth,-43
14.374,Bluetooth,-43
14.411,Bluetooth,-42
14.442,Bluetooth,-44
14.443,Bluetooth,-41
14.510,Bluetooth,-45
14.511,Bluetooth,-44
14.540,Bluetooth,-42
14.540,Bluetooth,-43
14.574,Bluetooth,-45
14.575,Bluetooth,-43
14.644,Bluetooth,-47
14.645,Bluetooth,-46
14.717,Bluetooth,-43
14.718,Bluetooth,-43
14.935,Bluetooth,-46
14.936,Bluetooth,-45
14.964,Bluetooth,-43
14.965,Bluetooth,-42
14.996,Bluetooth,-43
15.038,Bluetooth,-42
15.039,Bluetooth,-43
15.077,Bluetooth,-44
15.078,Bluetooth,-43
15.116,Bluetooth,-47
15.117,Bluetooth,-47
15.151,Bluetooth,-43
15.152,Bluetooth,-43
15.189,Bluetooth,-43
15.190,Bluetooth,-43
15.262,Bluetooth,-44
15.262,Bluetooth,-43
15.296,Bluetooth,-45
15.439,Bluetooth,-45
15.440,Bluetooth,-45
15.475,Bluetooth,-44
15.476,Bluetooth,-44
15.516,Bluetooth,-46
15.517,Bluetooth,-46
15.583,Bluetooth,-46
15.655,Bluetooth,-44
15.656,Bluetooth,-44
15.725,Bluetooth,-46
15.726,Bluetooth,-46
15.758,Bluetooth,-44
15.760,Bluetooth,-44
15.858,Bluetooth,-44
15.859,Bluetooth,-44
15.900,Bluetooth,-44
15.932,Bluetooth,-45
15.933,Bluetooth,-45
16.010,Bluetooth,-45
16.011,Bluetooth,-45
