Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.023,Bluetooth,-84
0.055,Bluetooth,-76
0.057,Bluetooth,-76
0.085,Bluetooth,-71
0.087,Bluetooth,-69
0.119,Bluetooth,-71
0.121,Bluetooth,-71
0.147,Bluetooth,-83
0.148,Bluetooth,-81
0.180,Bluetooth,-77
0.182,Bluetooth,-77
0.214,Bluetooth,-69
0.215,Bluetooth,-70
0.248,Bluetooth,-80
0.249,Bluetooth,-81
0.347,Bluetooth,-70
0.348,Bluetooth,-70
0.376,Bluetooth,-81
0.477,Bluetooth,-71
0.478,Bluetooth,-71
0.506,Bluetooth,-81
0.507,Bluetooth,-80
0.537,Bluetooth,-75
0.539,Bluetooth,-74
0.570,Bluetooth,-71
0.573,Bluetooth,-69
0.633,Bluetooth,-82
0.702,Bluetooth,-70
0.703,Bluetooth,-70
0.730,Bluetooth,-81
0.732,Bluetooth,-81
0.796,Bluetooth,-75
0.797,Bluetooth,-75
0.928,Bluetooth,-71
0.929,Bluetooth,-70
0.993,Bluetooth,-80
0.994,Bluetooth,-82
1.027,Bluetooth,-75
1.061,Bluetooth,-69
1.063,Bluetooth,-71
1.094,Bluetooth,-81
1.096,Bluetooth,-81
1.130,Bluetooth,-75
1.131,Bluetooth,-75
1.197,Bluetooth,-70
1.198,Bluetooth,-70
1.225,Bluetooth,-80
1.227,Bluetooth,-81
1.256,Bluetooth,-75
1.258,Bluetooth,-75
1.292,Bluetooth,-70
1.294,Bluetooth,-70
1.326,Bluetooth,-81
1.327,Bluetooth,-83
1.357,Bluetooth,-82
1.359,Bluetooth,-82
1.390,Bluetooth,-75
1.392,Bluetooth,-77
1.426,Bluetooth,-72
1.427,Bluetooth,-71
1.489,Bluetooth,-76
1.491,Bluetooth,-76
1.580,Bluetooth,-83
1.612,Bluetooth,-76
1.614,Bluetooth,-77
1.680,Bluetooth,-71
1.682,Bluetooth,-70
1.838,Bluetooth,-83
1.840,Bluetooth,-82
1.937,Bluetooth,-83
1.939,Bluetooth,-81
1.967,Bluetooth,-79
1.968,Bluetooth,-79
2.034,Bluetooth,-71
2.036,Bluetooth,-70
2.065,Bluetooth,-83
2.067,Bluetooth,-82
2.098,Bluetooth,-79
2.100,Bluetooth,-80
2.134,Bluetooth,-71
2.136,Bluetooth,-71
2.198,Bluetooth,-82
2.199,Bluetooth,-82
2.238,Bluetooth,-79
2.239,Bluetooth,-79
2.263,Bluetooth,-71
2.264,Bluetooth,-70
2.293,Bluetooth,-80
2.294,Bluetooth,-82
2.356,Bluetooth,-80
2.357,Bluetooth,-79
2.387,Bluetooth,-71
2.389,Bluetooth,-71
2.415,Bluetooth,-81
2.417,Bluetooth,-82
2.451,Bluetooth,-78
2.452,Bluetooth,-78
2.513,Bluetooth,-71
2.514,Bluetooth,-72
2.544,Bluetooth,-81
2.545,Bluetooth,-81
2.579,Bluetooth,-79
2.581,Bluetooth,-77
2.614,Bluetooth,-70
2.616,Bluetooth,-71
2.645,Bluetooth,-81
2.647,Bluetooth,-81
2.679,Bluetooth,-81
2.681,Bluetooth,-82
2.711,Bluetooth,-80
2.712,Bluetooth,-78
2.742,Bluetooth,-71
2.744,Bluetooth,-71
2.770,Bluetooth,-81
2.772,Bluetooth,-82
2.808,Bluetooth,-78
2.809,Bluetooth,-79
2.838,Bluetooth,-79
2.839,Bluetooth,-79
2.869,Bluetooth,-71
2.871,Bluetooth,-71
2.900,Bluetooth,-82
2.902,Bluetooth,-81
2.933,Bluetooth,-78
2.935,Bluetooth,-78
2.968,Bluetooth,-71
2.969,Bluetooth,-71
