Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.037,Bluetooth,-54
0.038,Bluetooth,-53
0.137,Bluetooth,-54
0.137,Bluetooth,-54
0.236,Bluetooth,-53
0.237,Bluetooth,-53
0.266,Bluetooth,-53
0.267,Bluetooth,-53
0.303,Bluetooth,-48
0.304,Bluetooth,-49
0.341,Bluetooth,-54
0.342,Bluetooth,-53
0.376,Bluetooth,-53
0.445,Bluetooth,-52
0.446,Bluetooth,-52
0.476,Bluetooth,-50
0.477,Bluetooth,-49
0.551,Bluetooth,-52
0.551,Bluetooth,-52
0.669,Bluetooth,-52
0.708,Bluetooth,-52
0.709,Bluetooth,-52
0.740,Bluetooth,-52
0.741,Bluetooth,-52
0.811,Bluetooth,-52
0.812,Bluetooth,-54
0.914,Bluetooth,-48
0.915,Bluetooth,-49
0.950,Bluetooth,-54
0.951,Bluetooth,-54
1.029,Bluetooth,-53
1.030,Bluetooth,-52
1.166,Bluetooth,-53
1.167,Bluetooth,-53
1.198,Bluetooth,-50
1.198,Bluetooth,-49
1.235,Bluetooth,-53
1.236,Bluetooth,-53
1.274,Bluetooth,-52
1.344,Bluetooth,-52
1.345,Bluetooth,-54
1.419,Bluetooth,-54
1.420,Bluetooth,-52
1.449,Bluetooth,-55
1.450,Bluetooth,-54
1.488,Bluetooth,-50
1.489,Bluetooth,-49
1.560,Bluetooth,-56
1.595,Bluetooth,-54
1.596,Bluetooth,-53
1.870,Bluetooth,-49
1.902,Bluetooth,-54
1.903,Bluetooth,-54
1.934,Bluetooth,-54
1.935,Bluetooth,-54
2.080,Bluetooth,-54
2.081,Bluetooth,-54
2.112,Bluetooth,-53
2.112,Bluetooth,-54
2.150,Bluetooth,-50
2.151,Bluetooth,-49
2.183,Bluetooth,-54
2.214,Bluetooth,-49
2.215,Bluetooth,-48
2.257,Bluetooth,-54
2.258,Bluetooth,-54
2.287,Bluetooth,-53
2.288,Bluetooth,-51
2.324,Bluetooth,-49
2.325,Bluetooth,-49
2.390,Bluetooth,-51
2.391,Bluetooth,-51
2.419,Bluetooth,-51
2.422,Bluetooth,-51
2.491,Bluetooth,-48
2.492,Bluetooth,-49
2.639,Bluetooth,-49
2.640,Bluetooth,-50
2.676,Bluetooth,-53
2.677,Bluetooth,-52
2.712,Bluetooth,-51
2.713,Bluetooth,-51
2.752,Bluetooth,-49
2.753,Bluetooth,-49
2.780,Bluetooth,-49
2.811,Bluetooth,-49
2.811,Bluetooth,-49
2.849,Bluetooth,-53
2.850,Bluetooth,-53
2.921,Bluetooth,-50
2.922,Bluetooth,-49
2.995,Bluetooth,-51
2.996,Bluetooth,-50
3.029,Bluetooth,-49
3.030,Bluetooth,-49
3.063,Bluetooth,-52
3.096,Bluetooth,-49
3.096,Bluetooth,-48
3.134,Bluetooth,-52
3.135,Bluetooth,-52
3.171,Bluetooth,-50
3.172,Bluetooth,-50
3.243,Bluetooth,-50
3.244,Bluetooth,-50
3.278,Bluetooth,-48
3.279,Bluetooth,-49
3.319,Bluetooth,-52
3.321,Bluetooth,-52
3.355,Bluetooth,-51
3.393,Bluetooth,-51
3.394,Bluetooth,-49
3.454,Bluetooth,-49
3.454,Bluetooth,-50
3.492,Bluetooth,-52
3.493,Bluetooth,-52
3.530,Bluetooth,-51
3.531,Bluetooth,-52
3.630,Bluetooth,-50
3.631,Bluetooth,-51
3.659,Bluetooth,-49
3.820,Bluetooth,-51
3.821,Bluetooth,-50
3.857,Bluetooth,-49
3.857,Bluetooth,-49
3.888,Bluetooth,-53
3.889,Bluetooth,-54
3.918,Bluetooth,-53
3.919,Bluetooth,-53
105.874,Bluetooth,-52
105.875,Bluetooth,-52
105.904,Bluetooth,-51
105.905,Bluetooth,-50
105.978,Bluetooth,-51
106.045,Bluetooth,-53
106.045,Bluetooth,-52
106.076,Bluetooth,-51
106.076,Bluetooth,-52
106.111,Bluetooth,-54
106.112,Bluetooth,-54
106.143,Bluetooth,-54
106.144,Bluetooth,-55
106.173,Bluetooth,-53
106.174,Bluetooth,-53
106.204,Bluetooth,-54
106.205,Bluetooth,-53
106.237,Bluetooth,-53
106.238,Bluetooth,-54
106.271,Bluetooth,-54
106.306,Bluetooth,-55
106.307,Bluetooth,-54
106.337,Bluetooth,-52
106.338,Bluetooth,-52
106.375,Bluetooth,-52
106.376,Bluetooth,-52
106.452,Bluetooth,-54
106.453,Bluetooth,-52
106.523,Bluetooth,-54
106.524,Bluetooth,-55
106.564,Bluetooth,-53
106.594,Bluetooth,-54
106.595,Bluetooth,-52
106.691,Bluetooth,-56
106.691,Bluetooth,-56
106.721,Bluetooth,-53
106.722,Bluetooth,-53
106.756,Bluetooth,-51
106.757,Bluetooth,-50
106.791,Bluetooth,-53
106.792,Bluetooth,-54
106.819,Bluetooth,-53
106.820,Bluetooth,-54
106.854,Bluetooth,-52
106.855,Bluetooth,-52
107.057,Bluetooth,-52
107.058,Bluetooth,-52
107.087,Bluetooth,-52
107.088,Bluetooth,-53
107.159,Bluetooth,-56
107.193,Bluetooth,-53
107.195,Bluetooth,-53
107.303,Bluetooth,-54
107.304,Bluetooth,-53
107.337,Bluetooth,-52
107.338,Bluetooth,-52
107.372,Bluetooth,-55
107.374,Bluetooth,-55
107.410,Bluetooth,-52
107.443,Bluetooth,-52
107.444,Bluetooth,-52
107.474,Bluetooth,-53
107.508,Bluetooth,-51
107.510,Bluetooth,-52
107.536,Bluetooth,-55
107.537,Bluetooth,-55
107.639,Bluetooth,-51
107.639,Bluetooth,-51
107.675,Bluetooth,-54
107.676,Bluetooth,-53
107.709,Bluetooth,-52
