Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-62
0.037,Bluetooth,-54
0.038,Bluetooth,-54
0.143,Bluetooth,-54
0.173,Bluetooth,-61
0.174,Bluetooth,-62
0.239,Bluetooth,-64
0.240,Bluetooth,-63
0.350,Bluetooth,-61
0.351,Bluetooth,-61
0.387,Bluetooth,-63
0.388,Bluetooth,-63
0.453,Bluetooth,-54
0.454,Bluetooth,-55
0.485,Bluetooth,-60
0.486,Bluetooth,-60
0.553,Bluetooth,-53
0.554,Bluetooth,-53
0.590,Bluetooth,-53
0.625,Bluetooth,-54
0.626,Bluetooth,-54
0.655,Bluetooth,-59
0.656,Bluetooth,-60
0.689,Bluetooth,-62
0.690,Bluetooth,-62
0.750,Bluetooth,-61
0.751,Bluetooth,-60
0.785,Bluetooth,-53
0.786,Bluetooth,-54
0.819,Bluetooth,-59
0.820,Bluetooth,-59
0.895,Bluetooth,-58
0.932,Bluetooth,-61
0.932,Bluetooth,-60
0.972,Bluetooth,-52
0.973,Bluetooth,-54
1.006,Bluetooth,-58
1.007,Bluetooth,-58
1.037,Bluetooth,-60
1.037,Bluetooth,-60
1.070,Bluetooth,-54
1.071,Bluetooth,-53
1.175,Bluetooth,-60
1.212,Bluetooth,-60
1.213,Bluetooth,-59
1.251,Bluetooth,-53
1.252,Bluetooth,-52
1.571,Bluetooth,-54
1.571,Bluetooth,-54
1.607,Bluetooth,-57
1.608,Bluetooth,-57
1.641,Bluetooth,-59
1.641,Bluetooth,-58
1.679,Bluetooth,-55
1.680,Bluetooth,-54
1.719,Bluetooth,-56
1.720,Bluetooth,-56
1.756,Bluetooth,-60
1.757,Bluetooth,-59
1.791,Bluetooth,-57
1.861,Bluetooth,-55
1.862,Bluetooth,-56
1.896,Bluetooth,-57
1.897,Bluetooth,-57
1.927,Bluetooth,-59
1.928,Bluetooth,-59
2.033,Bluetooth,-55
2.034,Bluetooth,-54
2.070,Bluetooth,-57
2.071,Bluetooth,-56
2.101,Bluetooth,-59
2.174,Bluetooth,-60
2.175,Bluetooth,-59
2.210,Bluetooth,-53
2.211,Bluetooth,-54
2.241,Bluetooth,-57
2.242,Bluetooth,-58
2.277,Bluetooth,-60
2.278,Bluetooth,-60
2.309,Bluetooth,-54
2.310,Bluetooth,-55
2.382,Bluetooth,-56
2.417,Bluetooth,-56
2.417,Bluetooth,-56
2.453,Bluetooth,-61
2.454,Bluetooth,-60
2.579,Bluetooth,-59
2.580,Bluetooth,-59
2.612,Bluetooth,-56
2.613,Bluetooth,-55
2.651,Bluetooth,-57
2.652,Bluetooth,-57
2.685,Bluetooth,-58
2.720,Bluetooth,-58
2.721,Bluetooth,-59
2.759,Bluetooth,-59
2.760,Bluetooth,-59
2.789,Bluetooth,-58
2.790,Bluetooth,-57
2.855,Bluetooth,-59
2.856,Bluetooth,-59
2.894,Bluetooth,-59
2.895,Bluetooth,-60
2.931,Bluetooth,-62
2.932,Bluetooth,-64
2.967,Bluetooth,-58
2.968,Bluetooth,-58
3.003,Bluetooth,-61
3.116,Bluetooth,-57
3.116,Bluetooth,-57
3.156,Bluetooth,-63
3.157,Bluetooth,-63
3.231,Bluetooth,-62
3.232,Bluetooth,-61
3.297,Bluetooth,-62
3.361,Bluetooth,-60
