Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-63
0.001,Bluetooth,-64
0.075,Bluetooth,-62
0.076,Bluetooth,-61
0.141,Bluetooth,-64
0.205,Bluetooth,-60
0.206,Bluetooth,-60
0.372,Bluetooth,-57
0.373,Bluetooth,-59
0.471,Bluetooth,-57
0.472,Bluetooth,-57
0.509,Bluetooth,-59
0.510,Bluetooth,-60
0.545,Bluetooth,-61
0.546,Bluetooth,-63
0.578,Bluetooth,-58
0.579,Bluetooth,-58
0.620,Bluetooth,-62
0.621,Bluetooth,-64
0.759,Bluetooth,-60
0.760,Bluetooth,-59
0.803,Bluetooth,-58
0.804,Bluetooth,-58
0.833,Bluetooth,-67
0.834,Bluetooth,-66
0.898,Bluetooth,-64
0.898,Bluetooth,-64
0.934,Bluetooth,-58
0.935,Bluetooth,-57
0.974,Bluetooth,-60
0.975,Bluetooth,-60
1.009,Bluetooth,-62
1.010,Bluetooth,-63
1.043,Bluetooth,-60
1.120,Bluetooth,-60
1.122,Bluetooth,-60
1.154,Bluetooth,-61
1.155,Bluetooth,-60
1.182,Bluetooth,-61
1.183,Bluetooth,-61
1.223,Bluetooth,-58
1.224,Bluetooth,-57
1.292,Bluetooth,-62
1.293,Bluetooth,-61
1.334,Bluetooth,-61
1.371,Bluetooth,-61
1.372,Bluetooth,-62
1.440,Bluetooth,-54
1.441,Bluetooth,-55
1.480,Bluetooth,-59
1.480,Bluetooth,-60
1.510,Bluetooth,-58
1.511,Bluetooth,-58
1.541,Bluetooth,-53
1.542,Bluetooth,-54
1.647,Bluetooth,-59
1.681,Bluetooth,-58
1.682,Bluetooth,-61
1.722,Bluetooth,-57
1.723,Bluetooth,-57
1.786,Bluetooth,-61
1.787,Bluetooth,-61
1.894,Bluetooth,-60
1.895,Bluetooth,-60
1.925,Bluetooth,-57
2.002,Bluetooth,-56
2.003,Bluetooth,-57
2.040,Bluetooth,-58
2.041,Bluetooth,-58
2.078,Bluetooth,-61
2.079,Bluetooth,-62
2.224,Bluetooth,-58
2.256,Bluetooth,-60
2.257,Bluetooth,-60
2.321,Bluetooth,-55
2.322,Bluetooth,-55
2.384,Bluetooth,-60
2.385,Bluetooth,-60
2.414,Bluetooth,-54
2.415,Bluetooth,-55
2.518,Bluetooth,-61
2.554,Bluetooth,-61
2.555,Bluetooth,-61
2.593,Bluetooth,-55
2.594,Bluetooth,-55
2.666,Bluetooth,-56
2.667,Bluetooth,-56
2.837,Bluetooth,-55
2.874,Bluetooth,-61
2.874,Bluetooth,-61
2.911,Bluetooth,-55
2.912,Bluetooth,-55
2.950,Bluetooth,-56
2.951,Bluetooth,-56
2.984,Bluetooth,-61
2.985,Bluetooth,-61
3.019,Bluetooth,-55
3.020,Bluetooth,-53
3.123,Bluetooth,-57
3.157,Bluetooth,-60
3.236,Bluetooth,-58
3.238,Bluetooth,-58
3.369,Bluetooth,-58
3.370,Bluetooth,-58
3.407,Bluetooth,-61
3.408,Bluetooth,-60
3.436,Bluetooth,-60
3.468,Bluetooth,-60
3.469,Bluetooth,-62
3.544,Bluetooth,-57
3.545,Bluetooth,-59
3.573,Bluetooth,-61
3.574,Bluetooth,-61
3.746,Bluetooth,-54
3.816,Bluetooth,-57
3.816,Bluetooth,-55
3.846,Bluetooth,-58
3.846,Bluetooth,-58
3.919,Bluetooth,-55
3.920,Bluetooth,-54
44.437,Bluetooth,-63
44.438,Bluetooth,-62
44.470,Bluetooth,-60
44.471,Bluetooth,-60
44.502,Bluetooth,-55
44.503,Bluetooth,-55
44.545,Bluetooth,-65
44.581,Bluetooth,-54
44.582,Bluetooth,-53
44.613,Bluetooth,-67
44.614,Bluetooth,-66
44.683,Bluetooth,-54
44.684,Bluetooth,-54
44.724,Bluetooth,-64
44.725,Bluetooth,-64
44.753,Bluetooth,-60
44.754,Bluetooth,-60
44.793,Bluetooth,-54
44.793,Bluetooth,-54
44.831,Bluetooth,-60
44.868,Bluetooth,-54
44.869,Bluetooth,-55
44.907,Bluetooth,-63
44.908,Bluetooth,-63
44.943,Bluetooth,-63
44.944,Bluetooth,-63
44.976,Bluetooth,-63
44.976,Bluetooth,-63
45.007,Bluetooth,-63
45.007,Bluetooth,-63
45.044,Bluetooth,-57
