Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-62
0.001,Bluetooth,-62
0.033,Bluetooth,-66
0.034,Bluetooth,-65
0.096,Bluetooth,-61
0.097,Bluetooth,-62
0.126,Bluetooth,-66
0.127,Bluetooth,-65
0.155,Bluetooth,-69
0.189,Bluetooth,-62
0.190,Bluetooth,-62
0.222,Bluetooth,-64
0.223,Bluetooth,-65
0.286,Bluetooth,-62
0.287,Bluetooth,-62
0.316,Bluetooth,-65
0.317,Bluetooth,-65
0.380,Bluetooth,-62
0.381,Bluetooth,-62
0.411,Bluetooth,-65
0.412,Bluetooth,-66
0.475,Bluetooth,-62
0.476,Bluetooth,-63
0.537,Bluetooth,-65
0.538,Bluetooth,-65
0.571,Bluetooth,-63
0.572,Bluetooth,-61
0.703,Bluetooth,-63
0.704,Bluetooth,-62
0.734,Bluetooth,-65
0.736,Bluetooth,-65
0.770,Bluetooth,-62
0.770,Bluetooth,-62
0.799,Bluetooth,-62
0.800,Bluetooth,-62
0.833,Bluetooth,-65
0.834,Bluetooth,-65
0.902,Bluetooth,-61
0.902,Bluetooth,-63
0.929,Bluetooth,-65
0.930,Bluetooth,-65
0.988,Bluetooth,-61
0.989,Bluetooth,-62
1.024,Bluetooth,-65
1.025,Bluetooth,-65
1.087,Bluetooth,-62
1.088,Bluetooth,-62
1.117,Bluetooth,-65
1.118,Bluetooth,-65
1.208,Bluetooth,-62
1.209,Bluetooth,-62
1.241,Bluetooth,-64
1.243,Bluetooth,-64
1.276,Bluetooth,-62
1.277,Bluetooth,-62
1.372,Bluetooth,-62
1.433,Bluetooth,-65
1.435,Bluetooth,-64
1.498,Bluetooth,-63
1.499,Bluetooth,-62
1.528,Bluetooth,-65
1.529,Bluetooth,-65
1.595,Bluetooth,-62
1.596,Bluetooth,-62
1.626,Bluetooth,-65
1.627,Bluetooth,-66
1.689,Bluetooth,-62
1.690,Bluetooth,-62
1.719,Bluetooth,-65
1.720,Bluetooth,-65
1.786,Bluetooth,-62
1.787,Bluetooth,-61
1.816,Bluetooth,-66
1.817,Bluetooth,-64
1.860,Bluetooth,-70
1.882,Bluetooth,-62
1.883,Bluetooth,-63
1.914,Bluetooth,-64
1.915,Bluetooth,-65
1.944,Bluetooth,-65
1.946,Bluetooth,-66
1.976,Bluetooth,-62
1.977,Bluetooth,-62
