Distance,10.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.020,Bluetooth,-72
0.022,Bluetooth,-71
0.057,Bluetooth,-65
0.059,Bluetooth,-66
0.086,Bluetooth,-63
0.088,Bluetooth,-63
0.121,Bluetooth,-61
0.122,Bluetooth,-61
0.153,Bluetooth,-63
0.154,Bluetooth,-64
0.183,Bluetooth,-64
0.185,Bluetooth,-65
0.214,Bluetooth,-59
0.216,Bluetooth,-60
0.253,Bluetooth,-65
0.254,Bluetooth,-65
0.289,Bluetooth,-73
0.291,Bluetooth,-72
0.357,Bluetooth,-70
0.358,Bluetooth,-70
0.433,Bluetooth,-80
0.435,Bluetooth,-81
0.469,Bluetooth,-60
0.470,Bluetooth,-60
0.503,Bluetooth,-64
0.505,Bluetooth,-63
0.543,Bluetooth,-68
0.545,Bluetooth,-68
0.587,Bluetooth,-61
0.588,Bluetooth,-62
0.651,Bluetooth,-72
0.653,Bluetooth,-71
0.716,Bluetooth,-58
0.718,Bluetooth,-56
0.751,Bluetooth,-61
0.752,Bluetooth,-61
0.790,Bluetooth,-72
0.791,Bluetooth,-73
0.828,Bluetooth,-58
0.829,Bluetooth,-59
0.934,Bluetooth,-58
0.936,Bluetooth,-58
0.966,Bluetooth,-60
0.967,Bluetooth,-62
1.007,Bluetooth,-68
1.008,Bluetooth,-66
1.038,Bluetooth,-66
1.039,Bluetooth,-67
1.068,Bluetooth,-59
1.069,Bluetooth,-58
1.103,Bluetooth,-67
1.105,Bluetooth,-66
1.143,Bluetooth,-71
1.145,Bluetooth,-71
1.173,Bluetooth,-59
1.174,Bluetooth,-61
1.207,Bluetooth,-67
1.208,Bluetooth,-68
1.245,Bluetooth,-76
1.246,Bluetooth,-76
1.278,Bluetooth,-74
1.279,Bluetooth,-75
1.353,Bluetooth,-69
1.355,Bluetooth,-68
1.388,Bluetooth,-70
1.390,Bluetooth,-70
1.424,Bluetooth,-71
1.425,Bluetooth,-71
1.464,Bluetooth,-65
1.466,Bluetooth,-65
1.500,Bluetooth,-70
1.502,Bluetooth,-71
1.578,Bluetooth,-70
1.580,Bluetooth,-71
1.616,Bluetooth,-69
1.618,Bluetooth,-69
1.651,Bluetooth,-74
1.653,Bluetooth,-74
1.689,Bluetooth,-73
1.689,Bluetooth,-71
1.792,Bluetooth,-71
1.794,Bluetooth,-71
1.827,Bluetooth,-69
1.859,Bluetooth,-71
1.860,Bluetooth,-72
1.890,Bluetooth,-72
1.892,Bluetooth,-71
1.929,Bluetooth,-62
1.931,Bluetooth,-64
1.959,Bluetooth,-64
1.961,Bluetooth,-63
1.997,Bluetooth,-74
1.999,Bluetooth,-76
2.028,Bluetooth,-63
2.029,Bluetooth,-62
2.062,Bluetooth,-61
2.064,Bluetooth,-60
2.095,Bluetooth,-67
2.096,Bluetooth,-68
2.133,Bluetooth,-56
2.135,Bluetooth,-57
2.170,Bluetooth,-56
2.172,Bluetooth,-56
2.211,Bluetooth,-60
2.212,Bluetooth,-62
2.390,Bluetooth,-68
2.391,Bluetooth,-68
2.426,Bluetooth,-62
2.462,Bluetooth,-59
2.464,Bluetooth,-60
2.495,Bluetooth,-75
2.536,Bluetooth,-61
2.577,Bluetooth,-61
2.578,Bluetooth,-60
2.612,Bluetooth,-64
2.653,Bluetooth,-62
2.654,Bluetooth,-62
2.686,Bluetooth,-55
2.687,Bluetooth,-55
2.719,Bluetooth,-56
2.720,Bluetooth,-56
2.788,Bluetooth,-67
2.789,Bluetooth,-67
2.820,Bluetooth,-59
2.821,Bluetooth,-57
2.852,Bluetooth,-62
2.854,Bluetooth,-62
2.888,Bluetooth,-60
2.889,Bluetooth,-60
2.956,Bluetooth,-59
2.957,Bluetooth,-61
2.993,Bluetooth,-60
2.995,Bluetooth,-60
3.030,Bluetooth,-58
3.032,Bluetooth,-58
3.061,Bluetooth,-59
3.062,Bluetooth,-59
3.094,Bluetooth,-59
3.096,Bluetooth,-59
3.167,Bluetooth,-60
3.169,Bluetooth,-58
3.237,Bluetooth,-59
3.239,Bluetooth,-59
3.277,Bluetooth,-58
3.278,Bluetooth,-59
3.314,Bluetooth,-60
3.315,Bluetooth,-60
3.389,Bluetooth,-58
3.390,Bluetooth,-58
3.462,Bluetooth,-59
3.464,Bluetooth,-58
3.496,Bluetooth,-58
3.497,Bluetooth,-58
3.534,Bluetooth,-60
3.536,Bluetooth,-61
3.641,Bluetooth,-58
3.642,Bluetooth,-58
3.715,Bluetooth,-59
3.716,Bluetooth,-58
3.753,Bluetooth,-57
3.755,Bluetooth,-58
3.785,Bluetooth,-62
3.786,Bluetooth,-63
3.814,Bluetooth,-59
3.815,Bluetooth,-59
3.848,Bluetooth,-59
3.849,Bluetooth,-59
3.887,Bluetooth,-60
3.888,Bluetooth,-62
3.916,Bluetooth,-61
3.918,Bluetooth,-62
3.956,Bluetooth,-59
3.957,Bluetooth,-59
3.987,Bluetooth,-59
76.988,Bluetooth,-68
77.158,Bluetooth,-69
77.160,Bluetooth,-69
77.198,Bluetooth,-63
77.199,Bluetooth,-63
77.226,Bluetooth,-74
77.228,Bluetooth,-74
77.258,Bluetooth,-76
77.260,Bluetooth,-75
77.293,Bluetooth,-70
77.295,Bluetooth,-70
77.333,Bluetooth,-63
77.334,Bluetooth,-65
77.371,Bluetooth,-74
77.449,Bluetooth,-64
77.451,Bluetooth,-63
77.482,Bluetooth,-75
77.484,Bluetooth,-75
77.520,Bluetooth,-70
77.522,Bluetooth,-70
77.555,Bluetooth,-63
77.556,Bluetooth,-63
77.592,Bluetooth,-72
77.593,Bluetooth,-72
77.626,Bluetooth,-68
77.628,Bluetooth,-69
77.662,Bluetooth,-69
77.664,Bluetooth,-69
77.703,Bluetooth,-64
77.704,Bluetooth,-63
77.735,Bluetooth,-69
77.736,Bluetooth,-69
77.770,Bluetooth,-68
77.772,Bluetooth,-67
77.801,Bluetooth,-64
77.803,Bluetooth,-62
77.838,Bluetooth,-67
77.840,Bluetooth,-67
77.871,Bluetooth,-69
77.873,Bluetooth,-69
77.906,Bluetooth,-65
77.907,Bluetooth,-62
77.936,Bluetooth,-63
77.937,Bluetooth,-64
77.970,Bluetooth,-65
77.971,Bluetooth,-66
78.008,Bluetooth,-68
78.009,Bluetooth,-68
78.042,Bluetooth,-64
78.044,Bluetooth,-64
78.074,Bluetooth,-66
78.076,Bluetooth,-67
78.113,Bluetooth,-67
78.115,Bluetooth,-66
78.178,Bluetooth,-63
78.180,Bluetooth,-62
78.208,Bluetooth,-64
78.210,Bluetooth,-64
78.239,Bluetooth,-66
78.240,Bluetooth,-66
78.275,Bluetooth,-62
78.276,Bluetooth,-62
78.375,Bluetooth,-65
78.377,Bluetooth,-68
78.438,Bluetooth,-63
78.440,Bluetooth,-64
78.571,Bluetooth,-63
78.572,Bluetooth,-64
78.605,Bluetooth,-68
78.607,Bluetooth,-67
78.640,Bluetooth,-63
78.641,Bluetooth,-63
78.672,Bluetooth,-64
78.673,Bluetooth,-63
78.747,Bluetooth,-63
78.749,Bluetooth,-64
78.798,Bluetooth,-63
78.800,Bluetooth,-64
78.829,Bluetooth,-67
78.831,Bluetooth,-68
78.970,Bluetooth,-66
78.972,Bluetooth,-66
79.005,Bluetooth,-63
79.006,Bluetooth,-63
79.043,Bluetooth,-63
79.045,Bluetooth,-65
79.076,Bluetooth,-66
79.078,Bluetooth,-67
79.107,Bluetooth,-63
79.109,Bluetooth,-63
79.178,Bluetooth,-64
79.180,Bluetooth,-65
79.212,Bluetooth,-65
79.215,Bluetooth,-67
79.251,Bluetooth,-63
79.253,Bluetooth,-62
79.418,Bluetooth,-64
79.420,Bluetooth,-64
79.456,Bluetooth,-66
79.458,Bluetooth,-65
79.499,Bluetooth,-62
79.501,Bluetooth,-62
79.525,Bluetooth,-64
79.527,Bluetooth,-64
79.566,Bluetooth,-67
79.567,Bluetooth,-66
79.596,Bluetooth,-63
79.598,Bluetooth,-61
79.633,Bluetooth,-64
79.635,Bluetooth,-64
79.668,Bluetooth,-64
79.670,Bluetooth,-66
79.700,Bluetooth,-66
79.702,Bluetooth,-66
79.838,Bluetooth,-62
79.840,Bluetooth,-63
79.869,Bluetooth,-65
79.871,Bluetooth,-64
80.093,Bluetooth,-63
80.095,Bluetooth,-64
80.167,Bluetooth,-66
80.169,Bluetooth,-66
80.204,Bluetooth,-62
80.205,Bluetooth,-62
80.235,Bluetooth,-64
80.236,Bluetooth,-64
80.374,Bluetooth,-64
80.376,Bluetooth,-66
80.408,Bluetooth,-65
80.409,Bluetooth,-66
80.442,Bluetooth,-65
80.444,Bluetooth,-64
80.508,Bluetooth,-65
80.509,Bluetooth,-65
80.547,Bluetooth,-64
80.549,Bluetooth,-63
80.585,Bluetooth,-65
80.586,Bluetooth,-64
80.620,Bluetooth,-64
80.621,Bluetooth,-64
80.656,Bluetooth,-67
80.658,Bluetooth,-68
80.695,Bluetooth,-63
80.696,Bluetooth,-63
80.729,Bluetooth,-64
80.731,Bluetooth,-65
80.770,Bluetooth,-66
80.772,Bluetooth,-66
80.801,Bluetooth,-62
80.803,Bluetooth,-63
80.837,Bluetooth,-63
80.839,Bluetooth,-63
80.872,Bluetooth,-67
80.873,Bluetooth,-65
80.908,Bluetooth,-63
80.910,Bluetooth,-63
158.922,Bluetooth,-61
158.924,Bluetooth,-62
158.963,Bluetooth,-64
158.965,Bluetooth,-64
159.033,Bluetooth,-59
159.034,Bluetooth,-59
159.064,Bluetooth,-60
159.065,Bluetooth,-60
159.129,Bluetooth,-58
159.131,Bluetooth,-60
159.161,Bluetooth,-59
159.164,Bluetooth,-58
159.196,Bluetooth,-59
159.198,Bluetooth,-57
159.227,Bluetooth,-61
159.228,Bluetooth,-62
159.256,Bluetooth,-57
159.258,Bluetooth,-57
159.286,Bluetooth,-57
159.287,Bluetooth,-57
159.385,Bluetooth,-57
159.387,Bluetooth,-57
159.509,Bluetooth,-57
159.511,Bluetooth,-58
159.541,Bluetooth,-56
159.582,Bluetooth,-63
159.583,Bluetooth,-63
159.610,Bluetooth,-57
159.645,Bluetooth,-58
159.747,Bluetooth,-58
159.749,Bluetooth,-57
159.784,Bluetooth,-56
159.785,Bluetooth,-58
159.818,Bluetooth,-62
159.819,Bluetooth,-61
159.855,Bluetooth,-57
159.857,Bluetooth,-57
159.923,Bluetooth,-62
159.924,Bluetooth,-62
159.961,Bluetooth,-57
159.963,Bluetooth,-57
159.998,Bluetooth,-59
159.999,Bluetooth,-59
160.031,Bluetooth,-59
160.033,Bluetooth,-58
160.133,Bluetooth,-58
160.135,Bluetooth,-56
160.173,Bluetooth,-62
160.174,Bluetooth,-61
160.210,Bluetooth,-57
160.212,Bluetooth,-58
160.247,Bluetooth,-57
160.249,Bluetooth,-57
160.283,Bluetooth,-61
160.285,Bluetooth,-62
160.416,Bluetooth,-62
160.418,Bluetooth,-62
160.449,Bluetooth,-56
160.450,Bluetooth,-57
160.487,Bluetooth,-57
160.489,Bluetooth,-57
160.524,Bluetooth,-62
160.526,Bluetooth,-62
160.589,Bluetooth,-56
160.590,Bluetooth,-56
160.661,Bluetooth,-62
