Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.016,Bluetooth,-65
0.046,Bluetooth,-56
0.047,Bluetooth,-56
0.122,Bluetooth,-60
0.123,Bluetooth,-60
0.155,Bluetooth,-63
0.157,Bluetooth,-63
0.226,Bluetooth,-60
0.328,Bluetooth,-60
0.329,Bluetooth,-59
0.401,Bluetooth,-58
0.403,Bluetooth,-57
0.434,Bluetooth,-57
0.435,Bluetooth,-57
0.471,Bluetooth,-60
0.472,Bluetooth,-59
0.508,Bluetooth,-58
0.572,Bluetooth,-59
0.573,Bluetooth,-59
0.756,Bluetooth,-61
0.757,Bluetooth,-61
0.824,Bluetooth,-60
0.825,Bluetooth,-61
0.857,Bluetooth,-63
0.859,Bluetooth,-64
0.930,Bluetooth,-62
0.931,Bluetooth,-62
0.967,Bluetooth,-63
0.968,Bluetooth,-62
1.072,Bluetooth,-63
1.073,Bluetooth,-63
1.142,Bluetooth,-57
1.143,Bluetooth,-57
1.253,Bluetooth,-57
1.254,Bluetooth,-56
1.282,Bluetooth,-56
1.283,Bluetooth,-56
1.356,Bluetooth,-61
1.357,Bluetooth,-61
1.396,Bluetooth,-56
1.397,Bluetooth,-55
1.435,Bluetooth,-63
1.436,Bluetooth,-62
1.469,Bluetooth,-60
1.470,Bluetooth,-62
1.579,Bluetooth,-61
1.580,Bluetooth,-61
1.650,Bluetooth,-62
1.651,Bluetooth,-63
1.687,Bluetooth,-60
1.688,Bluetooth,-61
1.763,Bluetooth,-56
1.764,Bluetooth,-56
1.795,Bluetooth,-59
1.796,Bluetooth,-60
1.861,Bluetooth,-56
1.862,Bluetooth,-54
1.896,Bluetooth,-59
1.897,Bluetooth,-58
1.961,Bluetooth,-61
1.962,Bluetooth,-61
1.999,Bluetooth,-54
2.000,Bluetooth,-55
2.028,Bluetooth,-56
2.029,Bluetooth,-57
2.068,Bluetooth,-62
2.069,Bluetooth,-61
2.099,Bluetooth,-55
2.100,Bluetooth,-55
2.128,Bluetooth,-59
2.129,Bluetooth,-59
2.159,Bluetooth,-58
2.160,Bluetooth,-57
2.198,Bluetooth,-61
2.199,Bluetooth,-61
2.236,Bluetooth,-55
2.237,Bluetooth,-55
2.273,Bluetooth,-58
2.274,Bluetooth,-58
2.305,Bluetooth,-61
2.306,Bluetooth,-61
2.368,Bluetooth,-58
2.370,Bluetooth,-57
2.442,Bluetooth,-61
2.443,Bluetooth,-61
2.513,Bluetooth,-58
2.514,Bluetooth,-59
2.550,Bluetooth,-61
2.551,Bluetooth,-62
2.619,Bluetooth,-59
2.652,Bluetooth,-62
2.654,Bluetooth,-62
2.686,Bluetooth,-57
2.687,Bluetooth,-57
2.718,Bluetooth,-57
2.719,Bluetooth,-57
2.747,Bluetooth,-60
2.748,Bluetooth,-60
2.783,Bluetooth,-60
2.784,Bluetooth,-60
2.815,Bluetooth,-56
2.816,Bluetooth,-55
2.849,Bluetooth,-62
2.886,Bluetooth,-60
2.887,Bluetooth,-61
2.912,Bluetooth,-60
2.913,Bluetooth,-59
2.952,Bluetooth,-55
2.953,Bluetooth,-54
2.991,Bluetooth,-61
2.992,Bluetooth,-62
3.029,Bluetooth,-61
3.030,Bluetooth,-59
3.061,Bluetooth,-54
3.062,Bluetooth,-55
3.094,Bluetooth,-61
3.095,Bluetooth,-61
3.125,Bluetooth,-60
3.126,Bluetooth,-60
3.373,Bluetooth,-60
3.374,Bluetooth,-60
3.407,Bluetooth,-54
3.409,Bluetooth,-54
3.441,Bluetooth,-54
3.442,Bluetooth,-54
3.471,Bluetooth,-59
3.473,Bluetooth,-60
3.503,Bluetooth,-58
3.505,Bluetooth,-59
3.534,Bluetooth,-53
3.535,Bluetooth,-55
3.569,Bluetooth,-58
3.570,Bluetooth,-60
3.607,Bluetooth,-59
3.608,Bluetooth,-59
3.647,Bluetooth,-54
3.649,Bluetooth,-54
3.686,Bluetooth,-59
3.688,Bluetooth,-59
3.720,Bluetooth,-59
3.721,Bluetooth,-59
3.754,Bluetooth,-61
3.756,Bluetooth,-60
3.821,Bluetooth,-59
3.823,Bluetooth,-57
3.858,Bluetooth,-60
3.860,Bluetooth,-60
3.897,Bluetooth,-54
3.898,Bluetooth,-54
30.463,Bluetooth,-69
30.501,Bluetooth,-67
30.502,Bluetooth,-67
30.538,Bluetooth,-73
30.540,Bluetooth,-75
30.570,Bluetooth,-69
30.608,Bluetooth,-67
30.609,Bluetooth,-67
30.687,Bluetooth,-69
30.688,Bluetooth,-70
30.727,Bluetooth,-67
30.728,Bluetooth,-67
30.795,Bluetooth,-72
30.796,Bluetooth,-72
30.834,Bluetooth,-70
30.835,Bluetooth,-69
30.905,Bluetooth,-71
30.906,Bluetooth,-72
30.946,Bluetooth,-69
30.947,Bluetooth,-69
30.987,Bluetooth,-67
30.988,Bluetooth,-68
31.048,Bluetooth,-69
31.049,Bluetooth,-69
31.083,Bluetooth,-70
31.084,Bluetooth,-71
31.158,Bluetooth,-71
31.160,Bluetooth,-72
31.194,Bluetooth,-69
31.228,Bluetooth,-69
31.228,Bluetooth,-68
31.295,Bluetooth,-70
31.296,Bluetooth,-69
31.365,Bluetooth,-71
31.366,Bluetooth,-70
