Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-58
0.001,Bluetooth,-58
0.065,Bluetooth,-57
0.067,Bluetooth,-57
0.130,Bluetooth,-58
0.132,Bluetooth,-57
0.162,Bluetooth,-57
0.164,Bluetooth,-58
0.257,Bluetooth,-57
0.258,Bluetooth,-59
0.289,Bluetooth,-56
0.290,Bluetooth,-55
0.321,Bluetooth,-64
0.322,Bluetooth,-62
0.383,Bluetooth,-57
0.384,Bluetooth,-57
0.416,Bluetooth,-57
0.417,Bluetooth,-58
0.450,Bluetooth,-60
0.450,Bluetooth,-60
0.477,Bluetooth,-58
0.478,Bluetooth,-57
0.610,Bluetooth,-57
0.610,Bluetooth,-57
0.640,Bluetooth,-56
0.641,Bluetooth,-56
0.705,Bluetooth,-59
0.706,Bluetooth,-60
0.737,Bluetooth,-56
0.738,Bluetooth,-58
0.766,Bluetooth,-57
0.767,Bluetooth,-57
0.799,Bluetooth,-60
0.801,Bluetooth,-62
0.890,Bluetooth,-58
0.892,Bluetooth,-58
0.922,Bluetooth,-58
1.018,Bluetooth,-59
1.019,Bluetooth,-57
1.053,Bluetooth,-59
1.054,Bluetooth,-58
1.088,Bluetooth,-62
1.089,Bluetooth,-64
1.118,Bluetooth,-58
1.120,Bluetooth,-58
1.151,Bluetooth,-57
1.152,Bluetooth,-59
1.183,Bluetooth,-59
1.184,Bluetooth,-59
1.217,Bluetooth,-62
1.218,Bluetooth,-62
1.246,Bluetooth,-59
1.247,Bluetooth,-58
1.307,Bluetooth,-59
1.309,Bluetooth,-59
1.338,Bluetooth,-59
1.340,Bluetooth,-60
1.372,Bluetooth,-58
1.373,Bluetooth,-57
1.402,Bluetooth,-58
1.404,Bluetooth,-58
1.467,Bluetooth,-60
1.468,Bluetooth,-60
1.501,Bluetooth,-59
1.501,Bluetooth,-59
1.530,Bluetooth,-59
1.531,Bluetooth,-58
1.629,Bluetooth,-58
1.631,Bluetooth,-57
1.662,Bluetooth,-59
1.663,Bluetooth,-59
1.697,Bluetooth,-62
1.698,Bluetooth,-62
1.725,Bluetooth,-58
1.726,Bluetooth,-58
1.790,Bluetooth,-61
1.791,Bluetooth,-61
1.820,Bluetooth,-62
1.822,Bluetooth,-62
1.852,Bluetooth,-58
1.853,Bluetooth,-60
1.883,Bluetooth,-62
1.884,Bluetooth,-63
1.947,Bluetooth,-63
1.948,Bluetooth,-64
1.980,Bluetooth,-61
1.981,Bluetooth,-62
2.012,Bluetooth,-61
2.013,Bluetooth,-61
2.043,Bluetooth,-63
2.044,Bluetooth,-63
2.112,Bluetooth,-60
2.113,Bluetooth,-62
2.176,Bluetooth,-61
2.177,Bluetooth,-61
2.211,Bluetooth,-64
2.212,Bluetooth,-62
2.313,Bluetooth,-60
2.313,Bluetooth,-59
2.346,Bluetooth,-64
2.347,Bluetooth,-65
2.375,Bluetooth,-61
2.376,Bluetooth,-61
2.408,Bluetooth,-59
2.409,Bluetooth,-59
2.445,Bluetooth,-62
2.446,Bluetooth,-63
2.503,Bluetooth,-59
2.504,Bluetooth,-59
2.532,Bluetooth,-59
2.533,Bluetooth,-60
2.567,Bluetooth,-62
2.568,Bluetooth,-60
2.630,Bluetooth,-58
2.631,Bluetooth,-58
2.660,Bluetooth,-61
2.661,Bluetooth,-61
2.694,Bluetooth,-60
2.696,Bluetooth,-61
2.726,Bluetooth,-58
2.727,Bluetooth,-59
2.855,Bluetooth,-60
2.856,Bluetooth,-59
2.886,Bluetooth,-61
2.886,Bluetooth,-62
2.982,Bluetooth,-60
2.983,Bluetooth,-61
3.017,Bluetooth,-60
3.018,Bluetooth,-60
3.052,Bluetooth,-61
3.053,Bluetooth,-61
3.084,Bluetooth,-59
3.085,Bluetooth,-60
3.149,Bluetooth,-59
3.150,Bluetooth,-59
3.182,Bluetooth,-61
3.183,Bluetooth,-60
3.211,Bluetooth,-60
3.212,Bluetooth,-59
3.242,Bluetooth,-58
3.243,Bluetooth,-60
3.302,Bluetooth,-61
3.304,Bluetooth,-61
3.333,Bluetooth,-58
3.334,Bluetooth,-59
3.366,Bluetooth,-59
3.368,Bluetooth,-59
3.461,Bluetooth,-58
3.462,Bluetooth,-58
3.494,Bluetooth,-59
3.495,Bluetooth,-59
3.525,Bluetooth,-59
3.526,Bluetooth,-60
3.622,Bluetooth,-59
3.623,Bluetooth,-60
3.654,Bluetooth,-60
3.655,Bluetooth,-60
3.683,Bluetooth,-59
3.684,Bluetooth,-60
3.748,Bluetooth,-60
3.749,Bluetooth,-60
3.779,Bluetooth,-60
3.780,Bluetooth,-60
3.807,Bluetooth,-59
3.808,Bluetooth,-59
3.841,Bluetooth,-60
3.846,Bluetooth,-61
3.911,Bluetooth,-60
3.912,Bluetooth,-61
3.939,Bluetooth,-59
3.940,Bluetooth,-58
27.450,Bluetooth,-64
27.452,Bluetooth,-64
27.516,Bluetooth,-66
27.517,Bluetooth,-65
27.545,Bluetooth,-59
27.546,Bluetooth,-60
27.580,Bluetooth,-63
27.581,Bluetooth,-62
27.612,Bluetooth,-66
27.614,Bluetooth,-64
27.714,Bluetooth,-64
27.715,Bluetooth,-64
27.773,Bluetooth,-65
27.775,Bluetooth,-66
27.801,Bluetooth,-59
27.803,Bluetooth,-59
27.870,Bluetooth,-63
27.871,Bluetooth,-63
27.906,Bluetooth,-64
27.907,Bluetooth,-64
27.970,Bluetooth,-65
27.971,Bluetooth,-65
28.062,Bluetooth,-61
28.063,Bluetooth,-62
28.097,Bluetooth,-64
28.098,Bluetooth,-65
28.126,Bluetooth,-65
28.127,Bluetooth,-65
28.190,Bluetooth,-62
28.191,Bluetooth,-62
28.222,Bluetooth,-66
28.222,Bluetooth,-65
28.258,Bluetooth,-65
28.259,Bluetooth,-65
28.287,Bluetooth,-61
28.288,Bluetooth,-61
28.379,Bluetooth,-64
28.381,Bluetooth,-63
28.409,Bluetooth,-60
28.409,Bluetooth,-60
28.442,Bluetooth,-64
28.442,Bluetooth,-64
28.508,Bluetooth,-63
28.509,Bluetooth,-64
28.536,Bluetooth,-60
28.537,Bluetooth,-61
28.568,Bluetooth,-66
28.569,Bluetooth,-66
28.601,Bluetooth,-66
28.602,Bluetooth,-64
28.661,Bluetooth,-63
28.662,Bluetooth,-63
28.692,Bluetooth,-64
28.694,Bluetooth,-65
28.726,Bluetooth,-65
28.727,Bluetooth,-65
28.790,Bluetooth,-60
28.791,Bluetooth,-60
28.823,Bluetooth,-63
28.823,Bluetooth,-62
28.854,Bluetooth,-64
28.856,Bluetooth,-64
28.885,Bluetooth,-59
28.886,Bluetooth,-59
28.949,Bluetooth,-62
28.950,Bluetooth,-63
28.981,Bluetooth,-64
28.982,Bluetooth,-65
29.011,Bluetooth,-59
29.012,Bluetooth,-59
29.042,Bluetooth,-58
29.043,Bluetooth,-59
29.079,Bluetooth,-62
29.080,Bluetooth,-63
29.145,Bluetooth,-64
29.146,Bluetooth,-64
29.178,Bluetooth,-60
29.179,Bluetooth,-60
29.209,Bluetooth,-64
29.210,Bluetooth,-64
29.242,Bluetooth,-65
29.243,Bluetooth,-64
29.372,Bluetooth,-65
29.374,Bluetooth,-65
29.502,Bluetooth,-66
29.503,Bluetooth,-66
29.532,Bluetooth,-62
29.533,Bluetooth,-63
29.564,Bluetooth,-65
29.565,Bluetooth,-65
29.623,Bluetooth,-66
29.625,Bluetooth,-66
29.655,Bluetooth,-63
29.656,Bluetooth,-64
29.689,Bluetooth,-65
29.690,Bluetooth,-65
29.724,Bluetooth,-67
29.725,Bluetooth,-66
29.819,Bluetooth,-65
29.884,Bluetooth,-62
29.885,Bluetooth,-62
29.944,Bluetooth,-65
29.945,Bluetooth,-64
29.976,Bluetooth,-65
29.977,Bluetooth,-65
30.008,Bluetooth,-62
30.009,Bluetooth,-61
30.038,Bluetooth,-65
30.039,Bluetooth,-65
30.069,Bluetooth,-65
30.070,Bluetooth,-65
30.167,Bluetooth,-65
30.169,Bluetooth,-64
30.200,Bluetooth,-65
30.201,Bluetooth,-66
30.264,Bluetooth,-60
30.264,Bluetooth,-61
30.327,Bluetooth,-62
30.328,Bluetooth,-62
30.391,Bluetooth,-66
30.392,Bluetooth,-65
30.420,Bluetooth,-60
30.421,Bluetooth,-60
30.454,Bluetooth,-62
30.454,Bluetooth,-62
30.483,Bluetooth,-63
30.484,Bluetooth,-65
30.553,Bluetooth,-61
30.554,Bluetooth,-61
30.708,Bluetooth,-64
30.709,Bluetooth,-64
30.772,Bluetooth,-61
30.773,Bluetooth,-60
30.864,Bluetooth,-63
30.865,Bluetooth,-64
30.897,Bluetooth,-62
30.898,Bluetooth,-62
30.933,Bluetooth,-64
30.934,Bluetooth,-64
30.963,Bluetooth,-64
30.965,Bluetooth,-65
31.030,Bluetooth,-61
31.031,Bluetooth,-61
31.059,Bluetooth,-64
31.060,Bluetooth,-65
31.089,Bluetooth,-65
31.090,Bluetooth,-64
31.148,Bluetooth,-61
31.149,Bluetooth,-60
31.182,Bluetooth,-65
31.183,Bluetooth,-64
31.248,Bluetooth,-62
31.249,Bluetooth,-61
31.343,Bluetooth,-64
31.343,Bluetooth,-64
31.374,Bluetooth,-62
31.374,Bluetooth,-63
47.428,Bluetooth,-67
47.459,Bluetooth,-76
47.460,Bluetooth,-78
47.489,Bluetooth,-69
47.490,Bluetooth,-69
47.521,Bluetooth,-68
47.522,Bluetooth,-68
47.585,Bluetooth,-77
47.587,Bluetooth,-76
47.619,Bluetooth,-70
47.620,Bluetooth,-70
47.654,Bluetooth,-69
47.655,Bluetooth,-70
47.778,Bluetooth,-71
47.780,Bluetooth,-71
47.812,Bluetooth,-69
47.848,Bluetooth,-75
47.849,Bluetooth,-75
47.912,Bluetooth,-71
47.913,Bluetooth,-70
47.945,Bluetooth,-73
47.946,Bluetooth,-73
47.975,Bluetooth,-79
47.976,Bluetooth,-77
48.007,Bluetooth,-70
48.008,Bluetooth,-69
48.041,Bluetooth,-76
48.043,Bluetooth,-76
48.109,Bluetooth,-74
48.110,Bluetooth,-73
48.141,Bluetooth,-70
48.142,Bluetooth,-70
48.172,Bluetooth,-77
48.173,Bluetooth,-77
48.202,Bluetooth,-70
48.204,Bluetooth,-70
48.265,Bluetooth,-69
48.266,Bluetooth,-70
48.301,Bluetooth,-70
48.302,Bluetooth,-70
48.331,Bluetooth,-77
48.459,Bluetooth,-74
48.459,Bluetooth,-75
48.491,Bluetooth,-72
48.493,Bluetooth,-73
48.525,Bluetooth,-70
48.526,Bluetooth,-69
48.588,Bluetooth,-74
48.589,Bluetooth,-73
48.619,Bluetooth,-70
48.620,Bluetooth,-70
48.649,Bluetooth,-68
48.650,Bluetooth,-67
48.710,Bluetooth,-73
48.711,Bluetooth,-72
48.742,Bluetooth,-72
48.744,Bluetooth,-72
48.774,Bluetooth,-68
48.775,Bluetooth,-69
48.804,Bluetooth,-75
48.804,Bluetooth,-75
48.833,Bluetooth,-76
48.865,Bluetooth,-71
48.866,Bluetooth,-71
48.895,Bluetooth,-69
48.896,Bluetooth,-69
48.927,Bluetooth,-75
48.928,Bluetooth,-75
48.992,Bluetooth,-71
48.992,Bluetooth,-69
49.023,Bluetooth,-69
49.025,Bluetooth,-69
49.056,Bluetooth,-74
49.058,Bluetooth,-75
49.084,Bluetooth,-68
49.084,Bluetooth,-70
49.180,Bluetooth,-73
49.181,Bluetooth,-73
49.209,Bluetooth,-70
49.210,Bluetooth,-70
49.243,Bluetooth,-68
49.245,Bluetooth,-68
49.304,Bluetooth,-73
49.305,Bluetooth,-73
49.338,Bluetooth,-71
49.339,Bluetooth,-70
49.430,Bluetooth,-73
49.431,Bluetooth,-74
49.460,Bluetooth,-70
49.461,Bluetooth,-70
49.492,Bluetooth,-68
49.493,Bluetooth,-68
49.521,Bluetooth,-73
49.522,Bluetooth,-72
49.583,Bluetooth,-69
49.584,Bluetooth,-68
49.613,Bluetooth,-67
49.614,Bluetooth,-68
49.647,Bluetooth,-72
49.648,Bluetooth,-73
49.710,Bluetooth,-73
49.711,Bluetooth,-73
49.746,Bluetooth,-68
49.747,Bluetooth,-67
49.778,Bluetooth,-72
49.780,Bluetooth,-72
49.813,Bluetooth,-77
49.814,Bluetooth,-77
49.846,Bluetooth,-68
49.847,Bluetooth,-68
49.945,Bluetooth,-76
49.946,Bluetooth,-76
49.977,Bluetooth,-68
50.006,Bluetooth,-69
50.008,Bluetooth,-69
50.106,Bluetooth,-69
50.106,Bluetooth,-67
50.139,Bluetooth,-69
50.140,Bluetooth,-69
50.169,Bluetooth,-72
50.170,Bluetooth,-72
50.203,Bluetooth,-68
50.205,Bluetooth,-68
50.266,Bluetooth,-71
50.297,Bluetooth,-69
50.298,Bluetooth,-68
50.365,Bluetooth,-72
50.366,Bluetooth,-73
50.428,Bluetooth,-66
50.429,Bluetooth,-65
50.461,Bluetooth,-69
50.462,Bluetooth,-69
50.522,Bluetooth,-67
50.522,Bluetooth,-69
50.585,Bluetooth,-70
50.586,Bluetooth,-70
50.612,Bluetooth,-83
50.614,Bluetooth,-82
50.650,Bluetooth,-67
50.650,Bluetooth,-67
50.684,Bluetooth,-70
50.685,Bluetooth,-70
50.773,Bluetooth,-68
50.774,Bluetooth,-67
50.804,Bluetooth,-69
50.805,Bluetooth,-69
50.867,Bluetooth,-74
50.868,Bluetooth,-74
50.898,Bluetooth,-66
50.899,Bluetooth,-67
50.987,Bluetooth,-76
50.988,Bluetooth,-76
51.021,Bluetooth,-69
51.022,Bluetooth,-68
51.049,Bluetooth,-69
51.050,Bluetooth,-69
51.081,Bluetooth,-75
51.082,Bluetooth,-74
51.111,Bluetooth,-75
51.111,Bluetooth,-76
51.143,Bluetooth,-66
51.144,Bluetooth,-66
51.177,Bluetooth,-69
51.178,Bluetooth,-68
51.207,Bluetooth,-73
51.208,Bluetooth,-72
51.239,Bluetooth,-67
51.240,Bluetooth,-67
51.272,Bluetooth,-66
51.303,Bluetooth,-68
51.305,Bluetooth,-69
51.334,Bluetooth,-72
51.335,Bluetooth,-74
51.364,Bluetooth,-69
51.365,Bluetooth,-67
76.663,Bluetooth,-74
76.663,Bluetooth,-74
76.692,Bluetooth,-71
76.694,Bluetooth,-70
76.723,Bluetooth,-82
76.724,Bluetooth,-81
76.753,Bluetooth,-82
76.753,Bluetooth,-81
76.783,Bluetooth,-74
