Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-51
0.001,Bluetooth,-50
0.036,Bluetooth,-53
0.037,Bluetooth,-53
0.069,Bluetooth,-53
0.070,Bluetooth,-52
0.107,Bluetooth,-52
0.108,Bluetooth,-52
0.146,Bluetooth,-53
0.147,Bluetooth,-53
0.209,Bluetooth,-52
0.210,Bluetooth,-52
0.243,Bluetooth,-51
0.244,Bluetooth,-51
0.277,Bluetooth,-52
0.278,Bluetooth,-51
0.311,Bluetooth,-52
0.312,Bluetooth,-52
0.375,Bluetooth,-51
0.376,Bluetooth,-50
0.406,Bluetooth,-50
0.407,Bluetooth,-50
0.443,Bluetooth,-50
0.444,Bluetooth,-51
0.479,Bluetooth,-51
0.511,Bluetooth,-52
0.512,Bluetooth,-50
0.552,Bluetooth,-50
0.553,Bluetooth,-50
0.581,Bluetooth,-49
0.581,Bluetooth,-49
0.690,Bluetooth,-50
0.690,Bluetooth,-50
0.725,Bluetooth,-49
0.726,Bluetooth,-50
0.766,Bluetooth,-53
0.805,Bluetooth,-52
0.805,Bluetooth,-52
0.844,Bluetooth,-51
0.846,Bluetooth,-52
0.880,Bluetooth,-51
0.881,Bluetooth,-50
0.916,Bluetooth,-51
0.917,Bluetooth,-52
0.953,Bluetooth,-52
0.953,Bluetooth,-52
0.991,Bluetooth,-51
0.992,Bluetooth,-51
1.065,Bluetooth,-53
1.098,Bluetooth,-52
1.099,Bluetooth,-52
1.132,Bluetooth,-53
1.133,Bluetooth,-54
1.233,Bluetooth,-52
1.233,Bluetooth,-52
1.269,Bluetooth,-53
1.270,Bluetooth,-54
1.338,Bluetooth,-52
1.339,Bluetooth,-53
1.438,Bluetooth,-54
1.438,Bluetooth,-54
1.537,Bluetooth,-52
1.538,Bluetooth,-53
1.567,Bluetooth,-53
1.568,Bluetooth,-53
1.604,Bluetooth,-50
1.605,Bluetooth,-49
1.642,Bluetooth,-53
1.643,Bluetooth,-52
1.677,Bluetooth,-53
1.746,Bluetooth,-52
1.747,Bluetooth,-53
1.777,Bluetooth,-49
1.778,Bluetooth,-49
1.852,Bluetooth,-52
1.852,Bluetooth,-52
1.970,Bluetooth,-52
2.009,Bluetooth,-53
2.010,Bluetooth,-52
2.041,Bluetooth,-52
2.042,Bluetooth,-52
2.112,Bluetooth,-52
2.113,Bluetooth,-53
2.215,Bluetooth,-49
2.216,Bluetooth,-48
2.251,Bluetooth,-53
2.252,Bluetooth,-52
2.330,Bluetooth,-53
2.331,Bluetooth,-52
2.467,Bluetooth,-52
2.468,Bluetooth,-54
2.499,Bluetooth,-49
2.499,Bluetooth,-50
2.536,Bluetooth,-53
2.537,Bluetooth,-53
2.575,Bluetooth,-53
2.645,Bluetooth,-54
2.646,Bluetooth,-53
2.720,Bluetooth,-53
2.721,Bluetooth,-52
2.750,Bluetooth,-55
2.751,Bluetooth,-56
2.789,Bluetooth,-50
2.790,Bluetooth,-49
2.861,Bluetooth,-55
2.896,Bluetooth,-54
2.897,Bluetooth,-54
3.171,Bluetooth,-49
3.203,Bluetooth,-53
3.204,Bluetooth,-54
3.235,Bluetooth,-54
3.236,Bluetooth,-54
3.381,Bluetooth,-54
3.382,Bluetooth,-53
3.413,Bluetooth,-53
3.413,Bluetooth,-53
3.451,Bluetooth,-48
3.452,Bluetooth,-49
3.484,Bluetooth,-54
3.515,Bluetooth,-49
3.516,Bluetooth,-49
3.558,Bluetooth,-54
3.559,Bluetooth,-55
3.588,Bluetooth,-51
3.589,Bluetooth,-51
3.625,Bluetooth,-49
3.626,Bluetooth,-49
3.691,Bluetooth,-50
3.692,Bluetooth,-51
3.720,Bluetooth,-51
3.723,Bluetooth,-51
3.792,Bluetooth,-49
3.793,Bluetooth,-49
3.940,Bluetooth,-48
3.941,Bluetooth,-49
3.977,Bluetooth,-52
3.978,Bluetooth,-53
154.570,Bluetooth,-57
154.570,Bluetooth,-57
154.638,Bluetooth,-62
154.639,Bluetooth,-61
154.671,Bluetooth,-62
154.710,Bluetooth,-64
154.745,Bluetooth,-59
154.746,Bluetooth,-59
154.922,Bluetooth,-55
154.923,Bluetooth,-55
154.953,Bluetooth,-64
154.954,Bluetooth,-63
155.055,Bluetooth,-60
155.055,Bluetooth,-59
155.085,Bluetooth,-55
155.086,Bluetooth,-55
155.122,Bluetooth,-62
155.123,Bluetooth,-61
155.155,Bluetooth,-59
155.156,Bluetooth,-60
155.218,Bluetooth,-55
155.218,Bluetooth,-55
155.258,Bluetooth,-55
155.361,Bluetooth,-59
155.362,Bluetooth,-60
155.394,Bluetooth,-55
155.395,Bluetooth,-55
155.425,Bluetooth,-61
155.426,Bluetooth,-62
155.456,Bluetooth,-58
155.457,Bluetooth,-58
155.514,Bluetooth,-55
155.515,Bluetooth,-55
155.579,Bluetooth,-61
155.681,Bluetooth,-55
155.682,Bluetooth,-55
155.715,Bluetooth,-63
155.717,Bluetooth,-62
155.812,Bluetooth,-55
155.812,Bluetooth,-55
155.843,Bluetooth,-61
155.844,Bluetooth,-60
155.906,Bluetooth,-61
155.907,Bluetooth,-61
155.940,Bluetooth,-57
155.941,Bluetooth,-58
156.044,Bluetooth,-60
156.045,Bluetooth,-60
156.083,Bluetooth,-58
156.084,Bluetooth,-58
156.148,Bluetooth,-61
156.149,Bluetooth,-60
156.181,Bluetooth,-55
156.250,Bluetooth,-58
156.282,Bluetooth,-54
156.283,Bluetooth,-54
156.321,Bluetooth,-60
156.322,Bluetooth,-60
156.454,Bluetooth,-60
156.455,Bluetooth,-60
156.559,Bluetooth,-56
156.559,Bluetooth,-57
156.664,Bluetooth,-56
156.665,Bluetooth,-56
156.693,Bluetooth,-56
156.694,Bluetooth,-55
156.732,Bluetooth,-61
156.733,Bluetooth,-61
156.801,Bluetooth,-61
156.802,Bluetooth,-63
156.867,Bluetooth,-62
156.867,Bluetooth,-62
156.974,Bluetooth,-62
156.975,Bluetooth,-62
157.080,Bluetooth,-54
157.143,Bluetooth,-60
157.144,Bluetooth,-60
157.283,Bluetooth,-61
157.283,Bluetooth,-61
157.322,Bluetooth,-57
157.323,Bluetooth,-57
157.357,Bluetooth,-54
157.358,Bluetooth,-61
157.455,Bluetooth,-62
157.456,Bluetooth,-62
157.565,Bluetooth,-63
157.566,Bluetooth,-61
157.637,Bluetooth,-54
157.638,Bluetooth,-54
157.677,Bluetooth,-56
157.706,Bluetooth,-54
157.707,Bluetooth,-55
157.811,Bluetooth,-53
157.812,Bluetooth,-55
157.917,Bluetooth,-58
157.918,Bluetooth,-56
157.949,Bluetooth,-55
157.950,Bluetooth,-54
157.988,Bluetooth,-54
158.162,Bluetooth,-63
158.163,Bluetooth,-64
158.194,Bluetooth,-57
158.195,Bluetooth,-57
158.267,Bluetooth,-62
158.332,Bluetooth,-62
158.333,Bluetooth,-62
158.433,Bluetooth,-54
158.434,Bluetooth,-54
158.464,Bluetooth,-60
158.465,Bluetooth,-60
158.502,Bluetooth,-58
158.503,Bluetooth,-58
158.532,Bluetooth,-55
158.533,Bluetooth,-55
