Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-75
0.001,Bluetooth,-75
0.062,Bluetooth,-80
0.063,Bluetooth,-80
0.220,Bluetooth,-76
0.222,Bluetooth,-75
0.252,Bluetooth,-80
0.253,Bluetooth,-80
0.283,Bluetooth,-71
0.284,Bluetooth,-72
0.311,Bluetooth,-74
0.312,Bluetooth,-75
0.341,Bluetooth,-81
0.343,Bluetooth,-82
0.411,Bluetooth,-75
0.412,Bluetooth,-75
0.443,Bluetooth,-81
0.444,Bluetooth,-81
0.506,Bluetooth,-75
0.538,Bluetooth,-81
0.539,Bluetooth,-81
0.602,Bluetooth,-75
0.603,Bluetooth,-75
0.662,Bluetooth,-82
0.663,Bluetooth,-81
0.723,Bluetooth,-75
0.723,Bluetooth,-75
0.812,Bluetooth,-75
0.813,Bluetooth,-75
0.844,Bluetooth,-81
0.845,Bluetooth,-81
0.904,Bluetooth,-75
0.905,Bluetooth,-75
0.936,Bluetooth,-81
0.938,Bluetooth,-81
1.031,Bluetooth,-75
1.032,Bluetooth,-74
1.064,Bluetooth,-80
1.065,Bluetooth,-81
1.098,Bluetooth,-74
1.226,Bluetooth,-74
1.227,Bluetooth,-75
1.259,Bluetooth,-80
1.260,Bluetooth,-79
1.319,Bluetooth,-73
1.320,Bluetooth,-75
1.410,Bluetooth,-74
1.411,Bluetooth,-73
1.444,Bluetooth,-78
1.445,Bluetooth,-79
1.509,Bluetooth,-73
1.510,Bluetooth,-73
1.542,Bluetooth,-80
1.543,Bluetooth,-79
1.587,Bluetooth,-70
1.608,Bluetooth,-74
1.609,Bluetooth,-74
1.640,Bluetooth,-79
1.670,Bluetooth,-79
1.671,Bluetooth,-79
1.742,Bluetooth,-82
1.743,Bluetooth,-81
1.802,Bluetooth,-76
1.803,Bluetooth,-77
1.868,Bluetooth,-78
1.869,Bluetooth,-79
1.900,Bluetooth,-76
1.901,Bluetooth,-77
1.965,Bluetooth,-78
1.966,Bluetooth,-77
2.025,Bluetooth,-73
2.026,Bluetooth,-74
2.056,Bluetooth,-79
2.058,Bluetooth,-79
2.121,Bluetooth,-74
2.122,Bluetooth,-74
2.155,Bluetooth,-78
2.156,Bluetooth,-79
2.258,Bluetooth,-74
2.259,Bluetooth,-73
2.344,Bluetooth,-78
2.345,Bluetooth,-78
2.406,Bluetooth,-74
2.407,Bluetooth,-74
2.471,Bluetooth,-74
2.508,Bluetooth,-74
2.509,Bluetooth,-75
2.539,Bluetooth,-79
2.541,Bluetooth,-80
2.575,Bluetooth,-70
2.576,Bluetooth,-70
2.604,Bluetooth,-76
2.605,Bluetooth,-75
2.670,Bluetooth,-80
2.670,Bluetooth,-80
2.760,Bluetooth,-79
2.762,Bluetooth,-79
2.826,Bluetooth,-74
2.827,Bluetooth,-75
2.856,Bluetooth,-80
2.857,Bluetooth,-80
2.949,Bluetooth,-79
2.950,Bluetooth,-81
2.986,Bluetooth,-70
2.987,Bluetooth,-70
3.013,Bluetooth,-77
3.013,Bluetooth,-77
3.045,Bluetooth,-79
3.046,Bluetooth,-80
3.106,Bluetooth,-75
3.107,Bluetooth,-75
3.139,Bluetooth,-81
3.141,Bluetooth,-81
3.198,Bluetooth,-77
3.199,Bluetooth,-78
3.265,Bluetooth,-82
3.266,Bluetooth,-81
3.296,Bluetooth,-75
3.297,Bluetooth,-75
3.361,Bluetooth,-82
3.362,Bluetooth,-82
3.452,Bluetooth,-83
3.453,Bluetooth,-81
3.484,Bluetooth,-70
3.485,Bluetooth,-69
3.513,Bluetooth,-75
3.545,Bluetooth,-82
3.546,Bluetooth,-82
3.605,Bluetooth,-75
3.606,Bluetooth,-74
3.642,Bluetooth,-81
3.643,Bluetooth,-81
3.703,Bluetooth,-74
3.704,Bluetooth,-74
3.732,Bluetooth,-75
3.734,Bluetooth,-75
3.827,Bluetooth,-75
3.829,Bluetooth,-75
3.861,Bluetooth,-82
3.862,Bluetooth,-81
3.921,Bluetooth,-75
3.922,Bluetooth,-76
3.955,Bluetooth,-82
3.956,Bluetooth,-81
