Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.020,Bluetooth,-53
0.021,Bluetooth,-52
0.058,Bluetooth,-51
0.059,Bluetooth,-52
0.097,Bluetooth,-53
0.098,Bluetooth,-53
0.160,Bluetooth,-54
0.161,Bluetooth,-53
0.194,Bluetooth,-51
0.195,Bluetooth,-51
0.228,Bluetooth,-51
0.229,Bluetooth,-51
0.262,Bluetooth,-52
0.263,Bluetooth,-52
0.326,Bluetooth,-49
0.327,Bluetooth,-50
0.357,Bluetooth,-51
0.358,Bluetooth,-51
0.394,Bluetooth,-50
0.395,Bluetooth,-51
0.430,Bluetooth,-50
0.462,Bluetooth,-51
0.463,Bluetooth,-51
0.503,Bluetooth,-49
0.504,Bluetooth,-51
0.532,Bluetooth,-49
0.532,Bluetooth,-49
0.641,Bluetooth,-50
0.641,Bluetooth,-49
0.676,Bluetooth,-49
0.677,Bluetooth,-49
0.717,Bluetooth,-53
0.756,Bluetooth,-52
0.756,Bluetooth,-52
0.795,Bluetooth,-50
0.797,Bluetooth,-50
0.831,Bluetooth,-50
0.832,Bluetooth,-49
0.867,Bluetooth,-52
0.868,Bluetooth,-52
0.904,Bluetooth,-52
0.904,Bluetooth,-53
0.942,Bluetooth,-51
0.943,Bluetooth,-52
1.016,Bluetooth,-52
1.049,Bluetooth,-52
1.050,Bluetooth,-52
1.083,Bluetooth,-54
1.084,Bluetooth,-52
1.184,Bluetooth,-52
1.184,Bluetooth,-54
1.220,Bluetooth,-53
1.221,Bluetooth,-53
1.289,Bluetooth,-53
1.290,Bluetooth,-53
1.389,Bluetooth,-54
1.389,Bluetooth,-54
1.488,Bluetooth,-52
1.489,Bluetooth,-53
1.518,Bluetooth,-53
1.519,Bluetooth,-53
1.555,Bluetooth,-49
1.556,Bluetooth,-49
1.593,Bluetooth,-53
1.594,Bluetooth,-52
1.628,Bluetooth,-53
1.697,Bluetooth,-53
1.698,Bluetooth,-52
1.728,Bluetooth,-49
1.729,Bluetooth,-49
1.803,Bluetooth,-51
1.803,Bluetooth,-52
1.921,Bluetooth,-52
1.960,Bluetooth,-52
1.961,Bluetooth,-52
1.992,Bluetooth,-52
1.993,Bluetooth,-53
2.063,Bluetooth,-52
2.064,Bluetooth,-53
2.166,Bluetooth,-49
2.167,Bluetooth,-49
2.202,Bluetooth,-53
2.203,Bluetooth,-52
2.281,Bluetooth,-53
2.282,Bluetooth,-53
2.418,Bluetooth,-53
2.419,Bluetooth,-52
2.450,Bluetooth,-49
2.450,Bluetooth,-50
2.487,Bluetooth,-52
2.488,Bluetooth,-52
2.526,Bluetooth,-53
2.596,Bluetooth,-54
2.597,Bluetooth,-54
2.671,Bluetooth,-54
2.672,Bluetooth,-54
2.701,Bluetooth,-55
2.702,Bluetooth,-55
2.740,Bluetooth,-49
2.741,Bluetooth,-49
2.812,Bluetooth,-55
2.847,Bluetooth,-53
2.848,Bluetooth,-55
3.122,Bluetooth,-49
3.154,Bluetooth,-54
3.155,Bluetooth,-54
3.186,Bluetooth,-54
3.187,Bluetooth,-53
3.332,Bluetooth,-54
3.333,Bluetooth,-53
3.364,Bluetooth,-53
3.364,Bluetooth,-53
3.402,Bluetooth,-48
3.403,Bluetooth,-49
3.435,Bluetooth,-53
3.466,Bluetooth,-49
3.467,Bluetooth,-48
3.509,Bluetooth,-54
3.510,Bluetooth,-55
3.539,Bluetooth,-52
3.540,Bluetooth,-52
3.576,Bluetooth,-49
3.577,Bluetooth,-48
3.642,Bluetooth,-51
3.643,Bluetooth,-52
3.671,Bluetooth,-51
3.674,Bluetooth,-51
3.743,Bluetooth,-50
3.744,Bluetooth,-49
3.891,Bluetooth,-50
3.892,Bluetooth,-49
3.928,Bluetooth,-53
3.929,Bluetooth,-53
3.964,Bluetooth,-51
3.965,Bluetooth,-51
151.735,Bluetooth,-57
151.736,Bluetooth,-57
151.765,Bluetooth,-54
151.766,Bluetooth,-54
151.828,Bluetooth,-56
151.829,Bluetooth,-56
151.932,Bluetooth,-60
152.037,Bluetooth,-54
152.038,Bluetooth,-54
152.068,Bluetooth,-60
152.070,Bluetooth,-60
152.167,Bluetooth,-54
152.169,Bluetooth,-54
152.199,Bluetooth,-62
152.200,Bluetooth,-62
152.236,Bluetooth,-58
152.306,Bluetooth,-57
152.341,Bluetooth,-54
152.342,Bluetooth,-54
152.374,Bluetooth,-63
152.374,Bluetooth,-62
152.406,Bluetooth,-57
152.408,Bluetooth,-57
152.444,Bluetooth,-53
152.444,Bluetooth,-53
152.681,Bluetooth,-62
152.682,Bluetooth,-60
152.711,Bluetooth,-56
152.712,Bluetooth,-56
152.746,Bluetooth,-55
152.747,Bluetooth,-54
152.787,Bluetooth,-62
152.788,Bluetooth,-62
152.903,Bluetooth,-57
152.904,Bluetooth,-57
153.003,Bluetooth,-62
153.004,Bluetooth,-61
153.036,Bluetooth,-58
153.037,Bluetooth,-57
153.095,Bluetooth,-53
153.096,Bluetooth,-52
153.166,Bluetooth,-61
153.167,Bluetooth,-62
153.202,Bluetooth,-57
153.203,Bluetooth,-57
153.236,Bluetooth,-54
153.238,Bluetooth,-54
153.270,Bluetooth,-62
153.275,Bluetooth,-60
153.306,Bluetooth,-56
153.370,Bluetooth,-53
153.370,Bluetooth,-55
153.444,Bluetooth,-61
153.445,Bluetooth,-61
153.551,Bluetooth,-54
153.552,Bluetooth,-55
153.590,Bluetooth,-61
153.591,Bluetooth,-61
153.627,Bluetooth,-58
153.628,Bluetooth,-56
153.658,Bluetooth,-53
153.659,Bluetooth,-54
153.698,Bluetooth,-61
153.699,Bluetooth,-61
153.726,Bluetooth,-61
153.758,Bluetooth,-61
153.759,Bluetooth,-61
153.789,Bluetooth,-56
153.790,Bluetooth,-57
153.850,Bluetooth,-53
153.851,Bluetooth,-53
153.950,Bluetooth,-54
153.951,Bluetooth,-52
153.985,Bluetooth,-60
153.986,Bluetooth,-60
154.021,Bluetooth,-57
154.050,Bluetooth,-62
154.051,Bluetooth,-62
154.084,Bluetooth,-57
154.085,Bluetooth,-59
154.115,Bluetooth,-58
154.116,Bluetooth,-59
154.314,Bluetooth,-55
154.346,Bluetooth,-61
154.347,Bluetooth,-60
154.385,Bluetooth,-56
154.386,Bluetooth,-57
154.423,Bluetooth,-54
154.424,Bluetooth,-53
154.485,Bluetooth,-63
154.485,Bluetooth,-61
154.521,Bluetooth,-57
154.521,Bluetooth,-57
154.589,Bluetooth,-62
154.590,Bluetooth,-62
154.622,Bluetooth,-62
154.661,Bluetooth,-63
154.696,Bluetooth,-58
154.697,Bluetooth,-59
154.873,Bluetooth,-55
154.874,Bluetooth,-55
154.904,Bluetooth,-63
154.905,Bluetooth,-63
155.006,Bluetooth,-59
155.006,Bluetooth,-59
155.036,Bluetooth,-55
155.037,Bluetooth,-55
155.073,Bluetooth,-61
155.074,Bluetooth,-62
155.106,Bluetooth,-59
155.107,Bluetooth,-59
155.169,Bluetooth,-54
155.169,Bluetooth,-54
155.209,Bluetooth,-55
155.312,Bluetooth,-59
155.313,Bluetooth,-59
155.345,Bluetooth,-54
155.346,Bluetooth,-54
155.376,Bluetooth,-61
155.377,Bluetooth,-60
155.407,Bluetooth,-58
155.408,Bluetooth,-58
155.465,Bluetooth,-55
155.466,Bluetooth,-55
155.530,Bluetooth,-61
155.632,Bluetooth,-55
155.633,Bluetooth,-55
155.666,Bluetooth,-62
155.668,Bluetooth,-61
