Distance,10.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.008,Bluetooth,-72
0.009,Bluetooth,-74
0.039,Bluetooth,-75
0.040,Bluetooth,-74
0.074,Bluetooth,-73
0.075,Bluetooth,-75
0.103,Bluetooth,-75
0.103,Bluetooth,-75
0.133,Bluetooth,-74
0.134,Bluetooth,-73
0.168,Bluetooth,-75
0.169,Bluetooth,-75
0.228,Bluetooth,-76
0.229,Bluetooth,-75
0.258,Bluetooth,-73
0.260,Bluetooth,-74
0.292,Bluetooth,-74
0.293,Bluetooth,-75
0.323,Bluetooth,-75
0.323,Bluetooth,-75
0.356,Bluetooth,-74
0.357,Bluetooth,-74
0.388,Bluetooth,-73
0.389,Bluetooth,-74
0.420,Bluetooth,-76
0.420,Bluetooth,-76
0.452,Bluetooth,-75
0.453,Bluetooth,-75
0.482,Bluetooth,-74
0.483,Bluetooth,-73
0.512,Bluetooth,-74
0.513,Bluetooth,-75
0.546,Bluetooth,-77
0.547,Bluetooth,-76
0.580,Bluetooth,-75
0.582,Bluetooth,-76
0.608,Bluetooth,-74
0.610,Bluetooth,-74
0.643,Bluetooth,-76
0.645,Bluetooth,-76
0.707,Bluetooth,-74
0.708,Bluetooth,-75
0.742,Bluetooth,-75
0.744,Bluetooth,-74
0.777,Bluetooth,-77
0.779,Bluetooth,-76
0.808,Bluetooth,-74
0.809,Bluetooth,-75
0.838,Bluetooth,-74
0.839,Bluetooth,-73
0.868,Bluetooth,-73
0.869,Bluetooth,-75
0.899,Bluetooth,-75
0.900,Bluetooth,-74
0.930,Bluetooth,-76
0.931,Bluetooth,-75
0.965,Bluetooth,-73
0.966,Bluetooth,-74
0.999,Bluetooth,-74
0.999,Bluetooth,-73
1.033,Bluetooth,-75
1.035,Bluetooth,-75
1.193,Bluetooth,-75
1.195,Bluetooth,-77
1.226,Bluetooth,-73
1.227,Bluetooth,-74
1.288,Bluetooth,-76
1.289,Bluetooth,-75
1.382,Bluetooth,-75
1.383,Bluetooth,-75
1.412,Bluetooth,-74
