Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-60
0.001,Bluetooth,-59
0.037,Bluetooth,-63
0.073,Bluetooth,-59
0.112,Bluetooth,-63
0.112,Bluetooth,-64
0.151,Bluetooth,-59
0.152,Bluetooth,-59
0.179,Bluetooth,-59
0.181,Bluetooth,-59
0.217,Bluetooth,-63
0.218,Bluetooth,-64
0.283,Bluetooth,-59
0.284,Bluetooth,-59
0.320,Bluetooth,-58
0.321,Bluetooth,-59
0.394,Bluetooth,-64
0.394,Bluetooth,-62
0.457,Bluetooth,-59
0.458,Bluetooth,-59
0.489,Bluetooth,-59
0.490,Bluetooth,-58
0.606,Bluetooth,-59
0.644,Bluetooth,-63
0.645,Bluetooth,-63
0.681,Bluetooth,-59
0.712,Bluetooth,-63
0.713,Bluetooth,-63
0.747,Bluetooth,-59
0.748,Bluetooth,-59
0.779,Bluetooth,-60
0.780,Bluetooth,-61
0.813,Bluetooth,-63
0.814,Bluetooth,-63
0.880,Bluetooth,-60
0.914,Bluetooth,-59
0.915,Bluetooth,-59
0.953,Bluetooth,-62
0.954,Bluetooth,-64
1.092,Bluetooth,-57
1.093,Bluetooth,-59
1.128,Bluetooth,-59
1.129,Bluetooth,-58
1.166,Bluetooth,-63
1.166,Bluetooth,-63
1.346,Bluetooth,-58
1.347,Bluetooth,-60
1.450,Bluetooth,-59
1.451,Bluetooth,-59
1.489,Bluetooth,-59
1.490,Bluetooth,-59
1.524,Bluetooth,-62
1.525,Bluetooth,-62
1.621,Bluetooth,-58
1.622,Bluetooth,-59
1.661,Bluetooth,-60
1.662,Bluetooth,-60
1.692,Bluetooth,-63
1.693,Bluetooth,-63
1.728,Bluetooth,-58
1.730,Bluetooth,-59
1.761,Bluetooth,-59
1.762,Bluetooth,-59
1.797,Bluetooth,-64
1.798,Bluetooth,-63
1.865,Bluetooth,-59
1.897,Bluetooth,-58
1.898,Bluetooth,-58
2.110,Bluetooth,-64
2.112,Bluetooth,-65
2.151,Bluetooth,-58
2.153,Bluetooth,-59
2.182,Bluetooth,-64
2.221,Bluetooth,-60
2.221,Bluetooth,-58
2.252,Bluetooth,-60
2.253,Bluetooth,-60
2.285,Bluetooth,-64
2.286,Bluetooth,-64
2.360,Bluetooth,-59
2.361,Bluetooth,-59
2.397,Bluetooth,-59
2.398,Bluetooth,-60
2.468,Bluetooth,-58
2.505,Bluetooth,-63
2.506,Bluetooth,-63
2.546,Bluetooth,-58
2.547,Bluetooth,-58
2.583,Bluetooth,-59
2.584,Bluetooth,-58
2.655,Bluetooth,-59
2.656,Bluetooth,-59
2.721,Bluetooth,-60
2.722,Bluetooth,-61
2.753,Bluetooth,-65
2.754,Bluetooth,-65
2.834,Bluetooth,-59
2.835,Bluetooth,-60
2.902,Bluetooth,-61
2.903,Bluetooth,-60
2.984,Bluetooth,-60
2.985,Bluetooth,-61
3.016,Bluetooth,-60
3.017,Bluetooth,-61
3.053,Bluetooth,-65
3.054,Bluetooth,-66
3.085,Bluetooth,-65
3.115,Bluetooth,-65
3.116,Bluetooth,-65
3.147,Bluetooth,-60
3.148,Bluetooth,-60
3.186,Bluetooth,-60
3.187,Bluetooth,-60
3.257,Bluetooth,-59
3.258,Bluetooth,-59
3.363,Bluetooth,-60
3.401,Bluetooth,-64
3.402,Bluetooth,-63
3.502,Bluetooth,-63
3.502,Bluetooth,-63
3.540,Bluetooth,-61
3.541,Bluetooth,-60
3.570,Bluetooth,-59
3.571,Bluetooth,-59
3.637,Bluetooth,-62
3.638,Bluetooth,-63
3.706,Bluetooth,-64
3.707,Bluetooth,-64
3.738,Bluetooth,-59
3.739,Bluetooth,-58
3.775,Bluetooth,-58
3.776,Bluetooth,-57
3.853,Bluetooth,-59
3.854,Bluetooth,-59
3.962,Bluetooth,-63
28.245,Bluetooth,-62
28.316,Bluetooth,-61
28.317,Bluetooth,-60
28.565,Bluetooth,-73
28.597,Bluetooth,-60
28.598,Bluetooth,-59
28.705,Bluetooth,-58
28.706,Bluetooth,-58
28.770,Bluetooth,-74
28.772,Bluetooth,-74
28.803,Bluetooth,-59
28.804,Bluetooth,-58
28.837,Bluetooth,-60
28.838,Bluetooth,-60
28.917,Bluetooth,-60
28.918,Bluetooth,-60
28.954,Bluetooth,-66
28.956,Bluetooth,-67
28.986,Bluetooth,-57
28.987,Bluetooth,-58
29.020,Bluetooth,-61
29.021,Bluetooth,-62
29.161,Bluetooth,-61
29.233,Bluetooth,-62
29.234,Bluetooth,-62
29.272,Bluetooth,-66
29.273,Bluetooth,-65
29.307,Bluetooth,-59
