Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-61
0.001,Bluetooth,-61
0.068,Bluetooth,-68
0.069,Bluetooth,-70
0.097,Bluetooth,-62
0.098,Bluetooth,-63
0.127,Bluetooth,-70
0.128,Bluetooth,-70
0.194,Bluetooth,-62
0.195,Bluetooth,-62
0.257,Bluetooth,-70
0.259,Bluetooth,-71
0.289,Bluetooth,-61
0.290,Bluetooth,-63
0.322,Bluetooth,-62
0.323,Bluetooth,-62
0.351,Bluetooth,-73
0.354,Bluetooth,-73
0.420,Bluetooth,-63
0.421,Bluetooth,-62
0.452,Bluetooth,-72
0.453,Bluetooth,-73
0.517,Bluetooth,-62
0.518,Bluetooth,-62
0.611,Bluetooth,-62
0.612,Bluetooth,-62
0.644,Bluetooth,-73
0.645,Bluetooth,-74
0.746,Bluetooth,-74
0.747,Bluetooth,-74
0.810,Bluetooth,-62
0.811,Bluetooth,-62
0.877,Bluetooth,-57
0.878,Bluetooth,-58
0.966,Bluetooth,-74
0.971,Bluetooth,-73
0.998,Bluetooth,-62
0.999,Bluetooth,-62
1.061,Bluetooth,-74
1.062,Bluetooth,-76
1.092,Bluetooth,-63
1.093,Bluetooth,-62
1.154,Bluetooth,-75
1.157,Bluetooth,-75
1.223,Bluetooth,-61
1.223,Bluetooth,-62
1.256,Bluetooth,-77
1.257,Bluetooth,-76
1.316,Bluetooth,-62
1.317,Bluetooth,-62
1.350,Bluetooth,-77
1.351,Bluetooth,-77
1.413,Bluetooth,-62
1.414,Bluetooth,-62
1.511,Bluetooth,-62
1.511,Bluetooth,-62
1.541,Bluetooth,-78
1.542,Bluetooth,-80
1.581,Bluetooth,-57
1.607,Bluetooth,-62
1.608,Bluetooth,-62
1.638,Bluetooth,-80
1.703,Bluetooth,-65
1.705,Bluetooth,-65
1.733,Bluetooth,-67
1.734,Bluetooth,-69
1.895,Bluetooth,-61
1.896,Bluetooth,-61
2.023,Bluetooth,-62
2.024,Bluetooth,-61
2.117,Bluetooth,-63
2.118,Bluetooth,-62
2.150,Bluetooth,-80
2.152,Bluetooth,-81
2.214,Bluetooth,-63
2.216,Bluetooth,-62
2.342,Bluetooth,-79
2.343,Bluetooth,-80
2.408,Bluetooth,-63
2.409,Bluetooth,-62
2.506,Bluetooth,-63
2.507,Bluetooth,-62
2.535,Bluetooth,-80
2.536,Bluetooth,-80
2.599,Bluetooth,-62
2.600,Bluetooth,-62
2.661,Bluetooth,-80
2.662,Bluetooth,-80
2.721,Bluetooth,-61
2.752,Bluetooth,-80
2.753,Bluetooth,-80
2.816,Bluetooth,-61
2.817,Bluetooth,-62
2.850,Bluetooth,-80
2.851,Bluetooth,-80
2.916,Bluetooth,-62
2.917,Bluetooth,-62
2.944,Bluetooth,-81
2.945,Bluetooth,-80
3.014,Bluetooth,-64
3.016,Bluetooth,-65
3.142,Bluetooth,-81
3.144,Bluetooth,-80
3.182,Bluetooth,-58
3.183,Bluetooth,-58
3.206,Bluetooth,-62
3.207,Bluetooth,-62
3.237,Bluetooth,-79
3.238,Bluetooth,-81
3.269,Bluetooth,-79
3.270,Bluetooth,-80
3.303,Bluetooth,-63
3.304,Bluetooth,-62
3.339,Bluetooth,-80
3.340,Bluetooth,-79
3.370,Bluetooth,-58
3.402,Bluetooth,-62
3.404,Bluetooth,-62
3.437,Bluetooth,-79
3.438,Bluetooth,-79
3.562,Bluetooth,-79
3.563,Bluetooth,-79
3.626,Bluetooth,-62
3.627,Bluetooth,-62
3.658,Bluetooth,-79
3.660,Bluetooth,-78
3.721,Bluetooth,-62
3.721,Bluetooth,-62
3.750,Bluetooth,-78
3.751,Bluetooth,-79
3.811,Bluetooth,-63
3.812,Bluetooth,-61
3.842,Bluetooth,-80
3.844,Bluetooth,-79
3.876,Bluetooth,-56
3.907,Bluetooth,-62
3.908,Bluetooth,-62
3.941,Bluetooth,-79
3.942,Bluetooth,-79
59.318,Bluetooth,-81
59.320,Bluetooth,-81
59.350,Bluetooth,-78
59.351,Bluetooth,-78
59.411,Bluetooth,-81
59.412,Bluetooth,-81
59.440,Bluetooth,-79
59.442,Bluetooth,-79
59.502,Bluetooth,-80
59.535,Bluetooth,-77
59.536,Bluetooth,-80
59.595,Bluetooth,-81
59.596,Bluetooth,-81
59.626,Bluetooth,-81
59.627,Bluetooth,-81
59.659,Bluetooth,-79
59.661,Bluetooth,-80
59.755,Bluetooth,-79
59.815,Bluetooth,-81
59.816,Bluetooth,-81
59.847,Bluetooth,-81
59.849,Bluetooth,-82
59.913,Bluetooth,-81
59.914,Bluetooth,-80
60.041,Bluetooth,-80
60.042,Bluetooth,-78
60.077,Bluetooth,-73
60.078,Bluetooth,-73
60.136,Bluetooth,-79
60.137,Bluetooth,-79
60.199,Bluetooth,-82
60.200,Bluetooth,-81
60.258,Bluetooth,-79
60.259,Bluetooth,-80
60.291,Bluetooth,-81
60.291,Bluetooth,-82
60.356,Bluetooth,-79
60.357,Bluetooth,-79
60.421,Bluetooth,-80
60.422,Bluetooth,-81
60.452,Bluetooth,-79
60.453,Bluetooth,-79
60.514,Bluetooth,-80
60.515,Bluetooth,-81
60.547,Bluetooth,-79
60.548,Bluetooth,-78
60.611,Bluetooth,-81
60.612,Bluetooth,-80
60.645,Bluetooth,-79
60.646,Bluetooth,-80
60.678,Bluetooth,-73
60.704,Bluetooth,-81
60.705,Bluetooth,-81
60.736,Bluetooth,-79
60.739,Bluetooth,-78
60.782,Bluetooth,-73
60.783,Bluetooth,-73
60.836,Bluetooth,-79
60.837,Bluetooth,-79
60.902,Bluetooth,-81
60.903,Bluetooth,-81
60.934,Bluetooth,-79
60.934,Bluetooth,-80
60.995,Bluetooth,-81
60.995,Bluetooth,-81
61.058,Bluetooth,-78
61.058,Bluetooth,-79
61.090,Bluetooth,-81
61.090,Bluetooth,-81
61.122,Bluetooth,-80
61.123,Bluetooth,-80
61.212,Bluetooth,-81
61.213,Bluetooth,-81
61.246,Bluetooth,-80
61.248,Bluetooth,-79
61.314,Bluetooth,-80
61.314,Bluetooth,-80
61.347,Bluetooth,-78
61.349,Bluetooth,-77
61.416,Bluetooth,-80
61.417,Bluetooth,-80
61.447,Bluetooth,-79
61.448,Bluetooth,-79
61.481,Bluetooth,-73
61.509,Bluetooth,-80
61.510,Bluetooth,-80
61.539,Bluetooth,-79
61.540,Bluetooth,-78
61.582,Bluetooth,-74
61.603,Bluetooth,-80
61.603,Bluetooth,-81
61.662,Bluetooth,-78
61.664,Bluetooth,-78
61.691,Bluetooth,-80
61.692,Bluetooth,-80
61.758,Bluetooth,-80
61.760,Bluetooth,-79
61.822,Bluetooth,-80
61.824,Bluetooth,-80
61.859,Bluetooth,-80
61.860,Bluetooth,-78
61.919,Bluetooth,-81
61.920,Bluetooth,-80
62.013,Bluetooth,-80
62.014,Bluetooth,-79
62.045,Bluetooth,-80
62.046,Bluetooth,-79
62.110,Bluetooth,-80
62.111,Bluetooth,-80
62.142,Bluetooth,-79
62.143,Bluetooth,-79
62.205,Bluetooth,-80
62.207,Bluetooth,-80
62.236,Bluetooth,-80
62.237,Bluetooth,-79
62.302,Bluetooth,-79
62.303,Bluetooth,-81
62.336,Bluetooth,-79
62.337,Bluetooth,-78
62.617,Bluetooth,-80
62.618,Bluetooth,-80
62.649,Bluetooth,-78
62.650,Bluetooth,-80
62.711,Bluetooth,-81
62.711,Bluetooth,-81
62.743,Bluetooth,-79
62.744,Bluetooth,-79
62.782,Bluetooth,-73
62.783,Bluetooth,-75
62.805,Bluetooth,-80
62.806,Bluetooth,-80
62.835,Bluetooth,-79
62.837,Bluetooth,-79
62.869,Bluetooth,-78
62.870,Bluetooth,-81
62.898,Bluetooth,-80
62.899,Bluetooth,-80
62.932,Bluetooth,-79
62.933,Bluetooth,-79
63.066,Bluetooth,-78
63.067,Bluetooth,-79
63.099,Bluetooth,-79
63.161,Bluetooth,-79
63.162,Bluetooth,-79
63.258,Bluetooth,-80
63.259,Bluetooth,-79
141.228,Bluetooth,-75
141.229,Bluetooth,-74
141.263,Bluetooth,-74
141.264,Bluetooth,-75
141.327,Bluetooth,-67
141.327,Bluetooth,-68
141.359,Bluetooth,-67
141.361,Bluetooth,-67
141.420,Bluetooth,-70
141.421,Bluetooth,-71
141.452,Bluetooth,-68
141.453,Bluetooth,-68
141.585,Bluetooth,-79
141.586,Bluetooth,-80
141.643,Bluetooth,-67
141.644,Bluetooth,-67
141.708,Bluetooth,-74
141.709,Bluetooth,-75
141.782,Bluetooth,-67
141.801,Bluetooth,-74
141.802,Bluetooth,-73
141.898,Bluetooth,-76
141.899,Bluetooth,-76
141.957,Bluetooth,-64
141.958,Bluetooth,-64
142.023,Bluetooth,-72
142.024,Bluetooth,-72
142.118,Bluetooth,-67
142.119,Bluetooth,-67
142.154,Bluetooth,-62
142.155,Bluetooth,-62
142.220,Bluetooth,-64
142.221,Bluetooth,-65
142.255,Bluetooth,-62
142.256,Bluetooth,-62
142.323,Bluetooth,-67
142.324,Bluetooth,-67
142.422,Bluetooth,-65
142.454,Bluetooth,-60
142.455,Bluetooth,-60
142.516,Bluetooth,-67
142.517,Bluetooth,-68
142.612,Bluetooth,-67
142.613,Bluetooth,-68
142.640,Bluetooth,-60
142.642,Bluetooth,-59
142.703,Bluetooth,-69
142.704,Bluetooth,-67
142.736,Bluetooth,-59
142.737,Bluetooth,-60
142.771,Bluetooth,-56
142.772,Bluetooth,-57
142.804,Bluetooth,-68
142.805,Bluetooth,-68
142.838,Bluetooth,-59
142.839,Bluetooth,-60
142.903,Bluetooth,-71
142.904,Bluetooth,-71
142.935,Bluetooth,-60
142.936,Bluetooth,-61
143.002,Bluetooth,-71
143.003,Bluetooth,-71
143.067,Bluetooth,-72
143.067,Bluetooth,-71
143.097,Bluetooth,-72
143.098,Bluetooth,-72
143.157,Bluetooth,-60
143.158,Bluetooth,-61
143.255,Bluetooth,-60
143.257,Bluetooth,-60
143.323,Bluetooth,-69
143.324,Bluetooth,-71
143.350,Bluetooth,-61
143.351,Bluetooth,-61
143.409,Bluetooth,-71
143.410,Bluetooth,-71
143.441,Bluetooth,-61
143.442,Bluetooth,-61
143.504,Bluetooth,-70
143.534,Bluetooth,-61
143.535,Bluetooth,-60
143.564,Bluetooth,-61
143.564,Bluetooth,-61
143.623,Bluetooth,-72
143.624,Bluetooth,-72
143.653,Bluetooth,-61
143.654,Bluetooth,-61
143.716,Bluetooth,-72
143.811,Bluetooth,-71
143.812,Bluetooth,-71
143.905,Bluetooth,-72
143.906,Bluetooth,-70
143.941,Bluetooth,-61
143.942,Bluetooth,-61
143.982,Bluetooth,-58
143.983,Bluetooth,-58
144.124,Bluetooth,-75
144.125,Bluetooth,-74
144.155,Bluetooth,-60
144.156,Bluetooth,-61
144.214,Bluetooth,-75
144.215,Bluetooth,-75
144.339,Bluetooth,-76
144.340,Bluetooth,-75
144.371,Bluetooth,-62
144.404,Bluetooth,-76
144.405,Bluetooth,-76
144.502,Bluetooth,-74
144.503,Bluetooth,-75
144.533,Bluetooth,-61
144.534,Bluetooth,-61
144.627,Bluetooth,-74
144.628,Bluetooth,-75
144.659,Bluetooth,-59
144.660,Bluetooth,-60
144.689,Bluetooth,-73
144.690,Bluetooth,-71
144.719,Bluetooth,-72
144.720,Bluetooth,-72
144.755,Bluetooth,-61
144.756,Bluetooth,-60
144.816,Bluetooth,-66
144.817,Bluetooth,-66
144.914,Bluetooth,-66
144.915,Bluetooth,-66
144.946,Bluetooth,-59
144.947,Bluetooth,-59
144.981,Bluetooth,-58
144.982,Bluetooth,-58
145.008,Bluetooth,-63
145.009,Bluetooth,-64
145.044,Bluetooth,-59
145.044,Bluetooth,-58
145.104,Bluetooth,-64
145.106,Bluetooth,-64
145.135,Bluetooth,-58
145.136,Bluetooth,-58
204.406,Bluetooth,-85
204.407,Bluetooth,-86
204.503,Bluetooth,-85
204.504,Bluetooth,-86
204.532,Bluetooth,-85
204.533,Bluetooth,-85
204.561,Bluetooth,-86
204.562,Bluetooth,-85
204.593,Bluetooth,-84
204.594,Bluetooth,-87
204.628,Bluetooth,-85
204.629,Bluetooth,-84
204.717,Bluetooth,-86
204.718,Bluetooth,-86
204.748,Bluetooth,-85
204.749,Bluetooth,-84
204.809,Bluetooth,-86
204.810,Bluetooth,-86
204.840,Bluetooth,-86
204.841,Bluetooth,-85
204.881,Bluetooth,-74
204.882,Bluetooth,-72
204.904,Bluetooth,-85
204.905,Bluetooth,-86
204.937,Bluetooth,-85
204.938,Bluetooth,-86
205.000,Bluetooth,-87
205.001,Bluetooth,-86
205.095,Bluetooth,-86
205.096,Bluetooth,-87
205.126,Bluetooth,-86
205.158,Bluetooth,-85
205.159,Bluetooth,-86
205.187,Bluetooth,-86
205.188,Bluetooth,-87
205.256,Bluetooth,-86
205.257,Bluetooth,-87
205.320,Bluetooth,-88
205.321,Bluetooth,-87
205.352,Bluetooth,-86
205.353,Bluetooth,-85
205.445,Bluetooth,-85
205.514,Bluetooth,-87
205.515,Bluetooth,-87
205.543,Bluetooth,-85
205.545,Bluetooth,-86
205.582,Bluetooth,-73
205.583,Bluetooth,-73
205.610,Bluetooth,-87
205.611,Bluetooth,-88
205.643,Bluetooth,-85
205.644,Bluetooth,-85
205.770,Bluetooth,-85
205.772,Bluetooth,-84
205.801,Bluetooth,-88
205.802,Bluetooth,-87
205.864,Bluetooth,-85
205.865,Bluetooth,-85
205.895,Bluetooth,-87
205.896,Bluetooth,-86
205.953,Bluetooth,-85
205.956,Bluetooth,-85
206.021,Bluetooth,-87
206.022,Bluetooth,-88
206.054,Bluetooth,-85
206.055,Bluetooth,-85
206.114,Bluetooth,-87
206.115,Bluetooth,-85
206.151,Bluetooth,-85
206.152,Bluetooth,-85
206.211,Bluetooth,-86
206.212,Bluetooth,-87
206.243,Bluetooth,-84
206.244,Bluetooth,-85
206.278,Bluetooth,-73
206.279,Bluetooth,-73
206.305,Bluetooth,-85
206.306,Bluetooth,-87
206.335,Bluetooth,-85
206.336,Bluetooth,-85
206.399,Bluetooth,-85
206.400,Bluetooth,-85
206.462,Bluetooth,-85
206.463,Bluetooth,-86
206.491,Bluetooth,-87
206.492,Bluetooth,-86
206.558,Bluetooth,-84
206.559,Bluetooth,-84
206.620,Bluetooth,-86
206.621,Bluetooth,-86
206.650,Bluetooth,-85
206.652,Bluetooth,-85
206.715,Bluetooth,-85
206.716,Bluetooth,-86
206.745,Bluetooth,-85
206.747,Bluetooth,-85
206.810,Bluetooth,-86
206.811,Bluetooth,-86
206.841,Bluetooth,-85
206.843,Bluetooth,-85
206.903,Bluetooth,-86
206.904,Bluetooth,-86
206.932,Bluetooth,-85
206.933,Bluetooth,-85
207.088,Bluetooth,-85
207.090,Bluetooth,-85
207.156,Bluetooth,-84
207.157,Bluetooth,-85
207.220,Bluetooth,-85
207.221,Bluetooth,-86
207.250,Bluetooth,-85
207.252,Bluetooth,-84
207.320,Bluetooth,-85
207.321,Bluetooth,-87
207.350,Bluetooth,-85
207.350,Bluetooth,-85
207.410,Bluetooth,-86
207.411,Bluetooth,-87
207.443,Bluetooth,-86
207.444,Bluetooth,-86
207.504,Bluetooth,-85
207.505,Bluetooth,-84
207.537,Bluetooth,-86
207.537,Bluetooth,-85
207.570,Bluetooth,-72
207.571,Bluetooth,-73
207.599,Bluetooth,-85
207.600,Bluetooth,-85
207.661,Bluetooth,-85
207.662,Bluetooth,-85
207.691,Bluetooth,-86
207.693,Bluetooth,-86
207.722,Bluetooth,-87
207.723,Bluetooth,-86
207.757,Bluetooth,-85
207.758,Bluetooth,-85
207.851,Bluetooth,-86
207.852,Bluetooth,-85
207.911,Bluetooth,-87
207.912,Bluetooth,-86
207.942,Bluetooth,-85
207.943,Bluetooth,-85
207.983,Bluetooth,-72
207.984,Bluetooth,-73
208.041,Bluetooth,-84
208.108,Bluetooth,-86
208.109,Bluetooth,-88
208.198,Bluetooth,-87
208.199,Bluetooth,-87
208.260,Bluetooth,-85
208.261,Bluetooth,-85
208.293,Bluetooth,-88
208.294,Bluetooth,-86
208.325,Bluetooth,-88
208.326,Bluetooth,-87
208.362,Bluetooth,-87
208.363,Bluetooth,-86
