Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-46
0.001,Bluetooth,-46
0.034,Bluetooth,-47
0.036,Bluetooth,-45
0.067,Bluetooth,-54
0.069,Bluetooth,-54
0.134,Bluetooth,-47
0.135,Bluetooth,-47
0.211,Bluetooth,-61
0.213,Bluetooth,-61
0.245,Bluetooth,-49
0.246,Bluetooth,-49
0.281,Bluetooth,-50
0.283,Bluetooth,-50
0.385,Bluetooth,-51
0.387,Bluetooth,-51
0.414,Bluetooth,-51
0.415,Bluetooth,-51
0.449,Bluetooth,-54
0.450,Bluetooth,-55
0.483,Bluetooth,-48
0.484,Bluetooth,-49
0.522,Bluetooth,-51
0.523,Bluetooth,-52
0.558,Bluetooth,-55
0.559,Bluetooth,-53
0.588,Bluetooth,-50
0.590,Bluetooth,-50
0.694,Bluetooth,-51
0.695,Bluetooth,-51
0.729,Bluetooth,-48
0.730,Bluetooth,-48
0.764,Bluetooth,-47
0.766,Bluetooth,-47
0.797,Bluetooth,-55
0.799,Bluetooth,-55
0.826,Bluetooth,-48
0.827,Bluetooth,-48
0.865,Bluetooth,-48
0.867,Bluetooth,-48
0.906,Bluetooth,-55
0.908,Bluetooth,-56
0.941,Bluetooth,-48
0.943,Bluetooth,-49
1.037,Bluetooth,-53
1.039,Bluetooth,-53
1.074,Bluetooth,-48
1.075,Bluetooth,-48
1.292,Bluetooth,-52
1.294,Bluetooth,-52
1.330,Bluetooth,-51
1.331,Bluetooth,-51
1.369,Bluetooth,-51
1.371,Bluetooth,-51
1.408,Bluetooth,-53
1.409,Bluetooth,-53
1.444,Bluetooth,-49
1.445,Bluetooth,-50
1.478,Bluetooth,-52
1.479,Bluetooth,-51
1.514,Bluetooth,-58
1.515,Bluetooth,-56
1.546,Bluetooth,-52
1.547,Bluetooth,-51
1.586,Bluetooth,-55
1.588,Bluetooth,-56
1.654,Bluetooth,-54
1.655,Bluetooth,-53
1.688,Bluetooth,-58
1.688,Bluetooth,-59
1.720,Bluetooth,-63
1.721,Bluetooth,-63
1.758,Bluetooth,-62
1.758,Bluetooth,-63
1.788,Bluetooth,-62
1.789,Bluetooth,-63
