Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-48
0.002,Bluetooth,-49
0.040,Bluetooth,-48
0.041,Bluetooth,-48
0.080,Bluetooth,-47
0.081,Bluetooth,-48
0.288,Bluetooth,-47
0.289,Bluetooth,-48
0.324,Bluetooth,-47
0.325,Bluetooth,-48
0.357,Bluetooth,-47
0.358,Bluetooth,-47
0.396,Bluetooth,-47
0.509,Bluetooth,-48
0.511,Bluetooth,-48
0.547,Bluetooth,-48
0.548,Bluetooth,-48
0.578,Bluetooth,-48
0.579,Bluetooth,-49
0.647,Bluetooth,-47
0.647,Bluetooth,-47
0.827,Bluetooth,-48
0.828,Bluetooth,-48
0.861,Bluetooth,-48
0.861,Bluetooth,-48
0.896,Bluetooth,-48
0.897,Bluetooth,-47
0.937,Bluetooth,-48
0.939,Bluetooth,-48
0.974,Bluetooth,-47
0.976,Bluetooth,-47
1.008,Bluetooth,-48
1.082,Bluetooth,-48
1.083,Bluetooth,-47
1.117,Bluetooth,-48
1.118,Bluetooth,-48
1.148,Bluetooth,-47
1.185,Bluetooth,-48
1.186,Bluetooth,-48
1.225,Bluetooth,-48
1.226,Bluetooth,-48
1.264,Bluetooth,-48
1.264,Bluetooth,-48
1.300,Bluetooth,-48
1.331,Bluetooth,-49
1.332,Bluetooth,-48
1.369,Bluetooth,-49
1.370,Bluetooth,-48
1.447,Bluetooth,-48
1.447,Bluetooth,-48
1.476,Bluetooth,-48
1.478,Bluetooth,-48
1.516,Bluetooth,-48
1.517,Bluetooth,-48
1.545,Bluetooth,-48
1.546,Bluetooth,-48
1.576,Bluetooth,-48
1.577,Bluetooth,-48
1.758,Bluetooth,-48
1.759,Bluetooth,-48
1.824,Bluetooth,-48
1.824,Bluetooth,-48
1.854,Bluetooth,-48
1.855,Bluetooth,-48
1.884,Bluetooth,-49
2.060,Bluetooth,-49
2.061,Bluetooth,-48
2.090,Bluetooth,-48
2.090,Bluetooth,-49
2.133,Bluetooth,-50
2.134,Bluetooth,-48
2.269,Bluetooth,-48
2.270,Bluetooth,-49
2.304,Bluetooth,-50
2.305,Bluetooth,-49
2.333,Bluetooth,-49
2.334,Bluetooth,-49
2.470,Bluetooth,-49
2.472,Bluetooth,-49
2.506,Bluetooth,-49
2.541,Bluetooth,-49
2.543,Bluetooth,-49
2.619,Bluetooth,-50
2.620,Bluetooth,-49
2.650,Bluetooth,-49
2.651,Bluetooth,-48
2.688,Bluetooth,-49
2.690,Bluetooth,-49
2.723,Bluetooth,-49
2.723,Bluetooth,-50
2.757,Bluetooth,-49
2.758,Bluetooth,-49
2.797,Bluetooth,-49
2.828,Bluetooth,-50
2.868,Bluetooth,-49
2.870,Bluetooth,-49
2.903,Bluetooth,-48
2.904,Bluetooth,-49
3.039,Bluetooth,-49
3.040,Bluetooth,-49
3.070,Bluetooth,-49
3.071,Bluetooth,-49
3.108,Bluetooth,-49
3.212,Bluetooth,-50
3.213,Bluetooth,-50
3.241,Bluetooth,-49
3.243,Bluetooth,-49
3.277,Bluetooth,-48
3.382,Bluetooth,-49
3.383,Bluetooth,-50
3.384,Bluetooth,-49
3.419,Bluetooth,-49
3.420,Bluetooth,-49
3.456,Bluetooth,-49
3.457,Bluetooth,-49
3.522,Bluetooth,-49
3.522,Bluetooth,-49
3.552,Bluetooth,-48
3.553,Bluetooth,-49
3.589,Bluetooth,-49
3.591,Bluetooth,-48
3.626,Bluetooth,-49
3.626,Bluetooth,-48
3.661,Bluetooth,-49
3.663,Bluetooth,-50
3.696,Bluetooth,-49
3.727,Bluetooth,-50
3.729,Bluetooth,-49
3.763,Bluetooth,-49
3.764,Bluetooth,-49
3.841,Bluetooth,-49
3.842,Bluetooth,-49
3.882,Bluetooth,-49
3.883,Bluetooth,-49
3.918,Bluetooth,-49
3.919,Bluetooth,-49
3.956,Bluetooth,-50
3.957,Bluetooth,-49
93.028,Bluetooth,-51
93.029,Bluetooth,-51
93.125,Bluetooth,-52
93.126,Bluetooth,-52
93.157,Bluetooth,-53
93.158,Bluetooth,-53
93.263,Bluetooth,-51
93.264,Bluetooth,-50
93.298,Bluetooth,-51
93.298,Bluetooth,-52
93.372,Bluetooth,-51
93.373,Bluetooth,-51
93.410,Bluetooth,-50
93.477,Bluetooth,-50
93.517,Bluetooth,-48
93.518,Bluetooth,-47
93.582,Bluetooth,-50
93.583,Bluetooth,-49
93.755,Bluetooth,-51
93.756,Bluetooth,-50
93.797,Bluetooth,-51
93.798,Bluetooth,-51
93.866,Bluetooth,-50
93.866,Bluetooth,-49
93.974,Bluetooth,-50
93.975,Bluetooth,-51
94.140,Bluetooth,-51
94.140,Bluetooth,-50
94.205,Bluetooth,-49
94.206,Bluetooth,-49
94.243,Bluetooth,-50
94.244,Bluetooth,-50
94.273,Bluetooth,-49
94.273,Bluetooth,-49
94.308,Bluetooth,-49
94.376,Bluetooth,-50
94.377,Bluetooth,-50
94.444,Bluetooth,-49
94.445,Bluetooth,-49
94.515,Bluetooth,-49
94.516,Bluetooth,-49
94.547,Bluetooth,-50
94.548,Bluetooth,-48
94.681,Bluetooth,-50
94.682,Bluetooth,-50
94.718,Bluetooth,-48
94.719,Bluetooth,-49
94.754,Bluetooth,-49
94.755,Bluetooth,-49
94.785,Bluetooth,-49
94.786,Bluetooth,-49
94.815,Bluetooth,-49
94.817,Bluetooth,-48
94.845,Bluetooth,-49
94.846,Bluetooth,-50
94.908,Bluetooth,-49
94.975,Bluetooth,-49
94.976,Bluetooth,-49
95.009,Bluetooth,-49
95.010,Bluetooth,-49
95.187,Bluetooth,-47
95.256,Bluetooth,-48
95.258,Bluetooth,-47
95.363,Bluetooth,-48
95.363,Bluetooth,-48
95.426,Bluetooth,-48
95.427,Bluetooth,-49
95.494,Bluetooth,-49
95.531,Bluetooth,-49
95.532,Bluetooth,-49
95.563,Bluetooth,-49
95.564,Bluetooth,-51
95.603,Bluetooth,-48
95.604,Bluetooth,-48
95.709,Bluetooth,-49
95.710,Bluetooth,-50
95.778,Bluetooth,-49
95.779,Bluetooth,-48
95.848,Bluetooth,-49
95.849,Bluetooth,-49
95.925,Bluetooth,-49
95.925,Bluetooth,-49
95.952,Bluetooth,-50
96.024,Bluetooth,-49
96.025,Bluetooth,-49
96.059,Bluetooth,-49
96.059,Bluetooth,-49
96.091,Bluetooth,-49
96.159,Bluetooth,-50
96.160,Bluetooth,-51
96.194,Bluetooth,-48
96.195,Bluetooth,-49
96.258,Bluetooth,-50
96.259,Bluetooth,-50
96.297,Bluetooth,-50
96.298,Bluetooth,-50
96.331,Bluetooth,-49
96.332,Bluetooth,-48
96.397,Bluetooth,-50
96.431,Bluetooth,-52
96.432,Bluetooth,-51
96.507,Bluetooth,-50
96.507,Bluetooth,-50
96.541,Bluetooth,-49
96.542,Bluetooth,-49
96.577,Bluetooth,-51
96.579,Bluetooth,-51
96.617,Bluetooth,-50
96.617,Bluetooth,-50
96.690,Bluetooth,-50
96.730,Bluetooth,-51
96.731,Bluetooth,-51
96.764,Bluetooth,-52
96.765,Bluetooth,-52
96.793,Bluetooth,-50
96.793,Bluetooth,-50
96.899,Bluetooth,-50
96.900,Bluetooth,-49
184.026,Bluetooth,-51
184.027,Bluetooth,-50
184.067,Bluetooth,-53
184.068,Bluetooth,-53
184.102,Bluetooth,-58
184.103,Bluetooth,-59
184.142,Bluetooth,-51
184.143,Bluetooth,-50
184.174,Bluetooth,-53
