Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-56
0.033,Bluetooth,-52
0.035,Bluetooth,-52
0.070,Bluetooth,-53
0.072,Bluetooth,-54
0.109,Bluetooth,-57
0.111,Bluetooth,-57
0.140,Bluetooth,-56
0.142,Bluetooth,-56
0.171,Bluetooth,-55
0.173,Bluetooth,-55
0.244,Bluetooth,-55
0.246,Bluetooth,-54
0.349,Bluetooth,-58
0.351,Bluetooth,-58
0.387,Bluetooth,-51
0.390,Bluetooth,-50
0.463,Bluetooth,-63
0.465,Bluetooth,-63
0.490,Bluetooth,-49
0.493,Bluetooth,-50
0.600,Bluetooth,-57
0.635,Bluetooth,-56
0.637,Bluetooth,-56
0.770,Bluetooth,-57
0.840,Bluetooth,-47
0.842,Bluetooth,-47
0.869,Bluetooth,-48
0.871,Bluetooth,-47
0.901,Bluetooth,-47
0.935,Bluetooth,-59
0.937,Bluetooth,-57
1.038,Bluetooth,-49
1.040,Bluetooth,-47
1.069,Bluetooth,-58
1.098,Bluetooth,-46
1.099,Bluetooth,-46
1.136,Bluetooth,-49
1.138,Bluetooth,-48
1.177,Bluetooth,-58
1.180,Bluetooth,-59
1.248,Bluetooth,-57
1.250,Bluetooth,-59
1.278,Bluetooth,-46
1.280,Bluetooth,-47
1.318,Bluetooth,-50
1.320,Bluetooth,-50
1.351,Bluetooth,-59
1.354,Bluetooth,-57
1.420,Bluetooth,-49
1.422,Bluetooth,-49
1.461,Bluetooth,-52
1.463,Bluetooth,-52
1.503,Bluetooth,-58
1.539,Bluetooth,-59
1.542,Bluetooth,-60
1.638,Bluetooth,-53
1.640,Bluetooth,-54
1.708,Bluetooth,-53
1.711,Bluetooth,-53
1.741,Bluetooth,-55
1.744,Bluetooth,-56
1.780,Bluetooth,-62
1.782,Bluetooth,-61
1.846,Bluetooth,-60
1.848,Bluetooth,-60
1.880,Bluetooth,-52
1.882,Bluetooth,-52
1.912,Bluetooth,-55
1.914,Bluetooth,-57
1.979,Bluetooth,-59
1.981,Bluetooth,-58
2.018,Bluetooth,-52
2.020,Bluetooth,-52
2.164,Bluetooth,-56
2.166,Bluetooth,-55
2.200,Bluetooth,-53
2.202,Bluetooth,-53
2.231,Bluetooth,-55
2.233,Bluetooth,-55
2.266,Bluetooth,-55
2.268,Bluetooth,-55
2.297,Bluetooth,-54
2.299,Bluetooth,-52
2.326,Bluetooth,-54
2.327,Bluetooth,-53
2.365,Bluetooth,-55
2.368,Bluetooth,-55
2.404,Bluetooth,-54
2.437,Bluetooth,-54
2.440,Bluetooth,-53
2.468,Bluetooth,-55
2.470,Bluetooth,-54
2.510,Bluetooth,-54
2.512,Bluetooth,-54
2.542,Bluetooth,-53
2.544,Bluetooth,-55
2.580,Bluetooth,-52
2.583,Bluetooth,-53
2.649,Bluetooth,-53
2.651,Bluetooth,-53
2.688,Bluetooth,-52
2.690,Bluetooth,-53
2.725,Bluetooth,-54
2.839,Bluetooth,-51
2.841,Bluetooth,-52
2.871,Bluetooth,-52
2.873,Bluetooth,-52
2.908,Bluetooth,-53
2.910,Bluetooth,-53
2.947,Bluetooth,-52
2.949,Bluetooth,-52
3.023,Bluetooth,-53
3.055,Bluetooth,-53
3.058,Bluetooth,-53
3.092,Bluetooth,-53
3.095,Bluetooth,-53
3.125,Bluetooth,-52
3.127,Bluetooth,-52
3.163,Bluetooth,-53
3.165,Bluetooth,-53
3.196,Bluetooth,-53
3.198,Bluetooth,-53
3.229,Bluetooth,-52
3.231,Bluetooth,-52
3.302,Bluetooth,-55
3.340,Bluetooth,-54
3.341,Bluetooth,-55
3.396,Bluetooth,-56
3.397,Bluetooth,-55
3.432,Bluetooth,-54
3.434,Bluetooth,-54
3.463,Bluetooth,-53
3.464,Bluetooth,-54
3.531,Bluetooth,-57
3.534,Bluetooth,-57
3.564,Bluetooth,-52
3.566,Bluetooth,-52
3.597,Bluetooth,-53
3.664,Bluetooth,-54
3.665,Bluetooth,-53
3.774,Bluetooth,-54
3.775,Bluetooth,-54
3.816,Bluetooth,-64
3.819,Bluetooth,-63
3.847,Bluetooth,-51
3.885,Bluetooth,-55
3.887,Bluetooth,-53
34.056,Bluetooth,-57
34.059,Bluetooth,-57
34.121,Bluetooth,-57
34.122,Bluetooth,-57
34.281,Bluetooth,-57
34.284,Bluetooth,-57
34.315,Bluetooth,-57
34.318,Bluetooth,-57
34.418,Bluetooth,-59
34.419,Bluetooth,-59
34.456,Bluetooth,-60
34.458,Bluetooth,-60
34.492,Bluetooth,-54
34.494,Bluetooth,-52
34.530,Bluetooth,-53
34.532,Bluetooth,-53
34.695,Bluetooth,-59
34.698,Bluetooth,-60
34.757,Bluetooth,-59
34.759,Bluetooth,-59
34.793,Bluetooth,-51
34.936,Bluetooth,-56
34.938,Bluetooth,-56
35.006,Bluetooth,-60
35.008,Bluetooth,-59
35.041,Bluetooth,-58
35.043,Bluetooth,-58
35.074,Bluetooth,-53
35.076,Bluetooth,-52
35.109,Bluetooth,-60
35.151,Bluetooth,-52
35.152,Bluetooth,-54
35.176,Bluetooth,-62
35.178,Bluetooth,-61
35.213,Bluetooth,-62
35.216,Bluetooth,-62
35.320,Bluetooth,-59
35.322,Bluetooth,-56
35.352,Bluetooth,-58
35.354,Bluetooth,-57
35.399,Bluetooth,-56
35.400,Bluetooth,-56
35.423,Bluetooth,-56
35.497,Bluetooth,-58
35.499,Bluetooth,-58
35.526,Bluetooth,-60
35.529,Bluetooth,-59
35.566,Bluetooth,-66
35.568,Bluetooth,-65
35.634,Bluetooth,-63
35.634,Bluetooth,-63
35.707,Bluetooth,-57
35.739,Bluetooth,-67
35.741,Bluetooth,-66
35.772,Bluetooth,-57
35.809,Bluetooth,-66
35.811,Bluetooth,-66
35.888,Bluetooth,-59
35.890,Bluetooth,-59
35.955,Bluetooth,-65
35.957,Bluetooth,-64
35.989,Bluetooth,-61
35.991,Bluetooth,-60
36.020,Bluetooth,-62
36.058,Bluetooth,-60
36.060,Bluetooth,-59
36.094,Bluetooth,-55
36.097,Bluetooth,-56
36.128,Bluetooth,-61
36.130,Bluetooth,-62
36.165,Bluetooth,-60
36.167,Bluetooth,-59
36.233,Bluetooth,-61
36.235,Bluetooth,-61
36.307,Bluetooth,-62
36.383,Bluetooth,-59
36.385,Bluetooth,-58
36.411,Bluetooth,-55
36.414,Bluetooth,-55
36.442,Bluetooth,-55
36.444,Bluetooth,-55
36.477,Bluetooth,-57
36.479,Bluetooth,-56
36.514,Bluetooth,-60
36.516,Bluetooth,-61
36.550,Bluetooth,-54
36.553,Bluetooth,-54
36.620,Bluetooth,-60
36.818,Bluetooth,-56
36.820,Bluetooth,-57
36.852,Bluetooth,-52
36.854,Bluetooth,-52
36.921,Bluetooth,-52
36.954,Bluetooth,-51
36.956,Bluetooth,-50
36.988,Bluetooth,-55
36.990,Bluetooth,-55
37.019,Bluetooth,-54
37.021,Bluetooth,-54
37.059,Bluetooth,-50
37.061,Bluetooth,-50
37.096,Bluetooth,-54
37.098,Bluetooth,-54
37.131,Bluetooth,-55
37.133,Bluetooth,-54
37.199,Bluetooth,-50
37.230,Bluetooth,-51
37.232,Bluetooth,-50
37.513,Bluetooth,-55
37.546,Bluetooth,-51
37.548,Bluetooth,-52
37.583,Bluetooth,-56
37.585,Bluetooth,-56
37.616,Bluetooth,-55
37.618,Bluetooth,-56
37.677,Bluetooth,-67
37.679,Bluetooth,-67
37.712,Bluetooth,-55
37.713,Bluetooth,-55
37.850,Bluetooth,-59
37.886,Bluetooth,-62
37.889,Bluetooth,-62
37.962,Bluetooth,-58
37.964,Bluetooth,-59
37.993,Bluetooth,-60
37.995,Bluetooth,-60
71.738,Bluetooth,-66
71.740,Bluetooth,-67
71.778,Bluetooth,-68
71.848,Bluetooth,-69
71.850,Bluetooth,-68
71.889,Bluetooth,-68
71.996,Bluetooth,-71
71.998,Bluetooth,-70
72.022,Bluetooth,-72
72.055,Bluetooth,-73
72.056,Bluetooth,-73
72.124,Bluetooth,-71
72.127,Bluetooth,-70
72.193,Bluetooth,-75
72.196,Bluetooth,-75
72.258,Bluetooth,-70
72.261,Bluetooth,-71
72.297,Bluetooth,-76
72.438,Bluetooth,-68
72.440,Bluetooth,-69
72.500,Bluetooth,-77
72.605,Bluetooth,-76
72.639,Bluetooth,-69
72.642,Bluetooth,-70
72.671,Bluetooth,-80
72.673,Bluetooth,-79
72.878,Bluetooth,-71
72.879,Bluetooth,-71
72.908,Bluetooth,-71
72.946,Bluetooth,-72
72.948,Bluetooth,-71
72.981,Bluetooth,-78
72.983,Bluetooth,-78
73.082,Bluetooth,-73
73.178,Bluetooth,-75
73.180,Bluetooth,-75
73.214,Bluetooth,-76
73.250,Bluetooth,-76
73.251,Bluetooth,-75
73.285,Bluetooth,-74
73.287,Bluetooth,-74
73.420,Bluetooth,-67
73.422,Bluetooth,-67
73.458,Bluetooth,-77
73.461,Bluetooth,-79
73.487,Bluetooth,-67
73.489,Bluetooth,-67
73.559,Bluetooth,-68
73.593,Bluetooth,-63
73.595,Bluetooth,-62
73.623,Bluetooth,-63
73.625,Bluetooth,-63
73.692,Bluetooth,-56
73.694,Bluetooth,-56
73.731,Bluetooth,-64
73.733,Bluetooth,-63
73.802,Bluetooth,-63
73.834,Bluetooth,-58
73.837,Bluetooth,-58
73.942,Bluetooth,-58
73.944,Bluetooth,-59
73.974,Bluetooth,-61
73.976,Bluetooth,-60
74.055,Bluetooth,-61
74.091,Bluetooth,-64
74.093,Bluetooth,-63
74.124,Bluetooth,-58
