Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-68
0.001,Bluetooth,-67
0.033,Bluetooth,-67
0.036,Bluetooth,-67
0.063,Bluetooth,-73
0.064,Bluetooth,-73
0.092,Bluetooth,-74
0.093,Bluetooth,-75
0.123,Bluetooth,-67
0.124,Bluetooth,-67
0.154,Bluetooth,-67
0.155,Bluetooth,-67
0.184,Bluetooth,-74
0.185,Bluetooth,-72
0.213,Bluetooth,-76
0.214,Bluetooth,-75
0.251,Bluetooth,-67
0.252,Bluetooth,-67
0.286,Bluetooth,-74
0.287,Bluetooth,-73
0.351,Bluetooth,-75
0.352,Bluetooth,-75
0.380,Bluetooth,-67
0.381,Bluetooth,-67
0.410,Bluetooth,-73
0.411,Bluetooth,-72
0.442,Bluetooth,-75
0.443,Bluetooth,-75
0.472,Bluetooth,-75
0.473,Bluetooth,-75
0.502,Bluetooth,-66
0.504,Bluetooth,-67
0.536,Bluetooth,-74
0.537,Bluetooth,-74
0.564,Bluetooth,-75
0.565,Bluetooth,-74
0.598,Bluetooth,-68
0.601,Bluetooth,-67
0.630,Bluetooth,-68
0.631,Bluetooth,-67
0.666,Bluetooth,-73
0.668,Bluetooth,-74
0.694,Bluetooth,-76
0.696,Bluetooth,-75
0.727,Bluetooth,-66
0.728,Bluetooth,-67
0.760,Bluetooth,-72
0.762,Bluetooth,-73
0.791,Bluetooth,-72
0.792,Bluetooth,-73
0.821,Bluetooth,-76
0.822,Bluetooth,-76
0.855,Bluetooth,-67
0.855,Bluetooth,-67
0.889,Bluetooth,-74
0.891,Bluetooth,-73
0.920,Bluetooth,-75
0.921,Bluetooth,-76
0.985,Bluetooth,-66
0.985,Bluetooth,-65
1.016,Bluetooth,-73
1.017,Bluetooth,-73
1.048,Bluetooth,-75
1.049,Bluetooth,-75
1.079,Bluetooth,-67
1.079,Bluetooth,-67
1.109,Bluetooth,-68
1.109,Bluetooth,-66
1.140,Bluetooth,-73
1.140,Bluetooth,-72
1.170,Bluetooth,-75
1.171,Bluetooth,-77
1.206,Bluetooth,-68
1.207,Bluetooth,-67
1.241,Bluetooth,-74
1.242,Bluetooth,-72
1.271,Bluetooth,-72
1.272,Bluetooth,-73
1.305,Bluetooth,-76
1.306,Bluetooth,-77
1.334,Bluetooth,-65
1.335,Bluetooth,-66
1.365,Bluetooth,-74
1.365,Bluetooth,-72
1.426,Bluetooth,-75
1.427,Bluetooth,-75
1.458,Bluetooth,-66
1.459,Bluetooth,-68
1.490,Bluetooth,-72
1.490,Bluetooth,-75
1.523,Bluetooth,-75
1.524,Bluetooth,-75
1.553,Bluetooth,-76
1.555,Bluetooth,-76
1.585,Bluetooth,-67
1.588,Bluetooth,-67
1.615,Bluetooth,-73
1.616,Bluetooth,-72
1.644,Bluetooth,-76
1.645,Bluetooth,-77
1.675,Bluetooth,-76
1.676,Bluetooth,-75
1.709,Bluetooth,-66
1.710,Bluetooth,-68
1.742,Bluetooth,-73
1.742,Bluetooth,-72
1.771,Bluetooth,-75
1.773,Bluetooth,-76
1.804,Bluetooth,-67
1.806,Bluetooth,-67
1.837,Bluetooth,127
1.870,Bluetooth,-73
1.871,Bluetooth,-72
1.897,Bluetooth,-76
1.898,Bluetooth,-76
1.934,Bluetooth,-67
1.936,Bluetooth,-66
1.963,Bluetooth,-72
1.964,Bluetooth,-74
2.028,Bluetooth,-77
2.029,Bluetooth,-76
2.061,Bluetooth,-68
2.062,Bluetooth,-67
2.093,Bluetooth,-75
2.094,Bluetooth,-72
2.123,Bluetooth,-77
2.124,Bluetooth,-77
2.156,Bluetooth,-68
2.159,Bluetooth,-67
2.191,Bluetooth,-68
2.192,Bluetooth,-68
2.223,Bluetooth,-74
2.225,Bluetooth,-75
2.253,Bluetooth,-76
2.253,Bluetooth,-78
2.279,Bluetooth,-67
2.279,Bluetooth,-68
2.345,Bluetooth,-75
2.345,Bluetooth,-73
2.374,Bluetooth,-78
2.375,Bluetooth,-78
2.406,Bluetooth,-67
2.406,Bluetooth,-69
2.438,Bluetooth,-75
2.438,Bluetooth,-74
2.502,Bluetooth,-79
2.502,Bluetooth,-79
2.534,Bluetooth,-69
2.535,Bluetooth,-68
2.563,Bluetooth,-76
2.563,Bluetooth,-76
2.623,Bluetooth,-79
2.624,Bluetooth,-80
2.686,Bluetooth,-78
2.686,Bluetooth,-76
2.746,Bluetooth,-79
2.746,Bluetooth,-78
2.776,Bluetooth,-69
2.776,Bluetooth,-69
2.811,Bluetooth,-78
2.811,Bluetooth,-77
2.839,Bluetooth,-79
2.840,Bluetooth,-79
2.870,Bluetooth,-78
2.870,Bluetooth,-78
2.900,Bluetooth,-70
2.900,Bluetooth,-71
